step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
5000	-165.471768805483151	-172.327256756442523	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536514982445169	8	10	10	13	10	11	12	13	12	13	13	14	16	14	16	17	15	18	17	16	19	19	21	22	22	25	0	1	1	3	1	1	6	9	1	5	7	9	17	9	9	11	3	6	17	9	15	9	20	18	20	24	1	1	1	1	1	2	1	1	3	1	1	2	1	1	2	3	2	2	1	3	2	3	2	2	3	2
5500	-180.036774264289079	-186.892262215248451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592968093837146	9	10	10	12	12	10	11	12	12	14	14	15	17	14	14	13	15	17	17	14	20	20	20	21	21	25	0	1	1	3	3	1	1	3	3	5	7	8	17	9	8	7	3	6	17	3	15	12	20	18	23	24	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	3	1	2	4	2	2	2	1	2
6000	-170.251667416411465	-177.107155367370837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578489729775721	9	11	10	13	13	12	12	12	13	13	13	14	15	15	15	16	15	17	18	16	19	18	21	21	22	24	0	1	1	3	1	3	1	1	3	1	7	9	3	9	9	11	3	6	17	13	15	9	20	18	20	24	1	1	1	2	2	1	2	2	1	2	1	1	2	1	1	2	2	3	2	1	2	2	3	3	2	2
6500	-177.525053271152558	-184.380541222111930	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.537870135005394	9	11	10	13	12	12	13	13	12	14	14	15	16	14	16	17	14	17	17	16	20	17	22	21	22	25	0	3	1	3	3	3	3	9	3	5	7	3	17	9	9	11	3	6	17	1	15	9	20	6	20	24	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	2	2	3	2	3	2	3	4	4	3	1
7000	-178.530453110296094	-185.385941061255465	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.751122364801845	9	11	11	12	13	11	14	13	12	14	12	14	16	15	15	15	14	17	17	16	17	18	20	21	23	26	0	1	1	3	3	1	11	9	6	5	1	9	17	9	9	11	9	6	17	14	15	9	20	18	20	24	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	2	1	3	1	1	1	2	2	2	4	2
7500	-174.449009072860832	-181.304497023820204	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685764286946813	8	9	9	12	12	11	13	11	13	14	12	14	16	14	16	17	15	17	17	15	20	18	22	21	22	24	0	1	1	3	3	3	11	1	1	5	1	9	17	9	9	7	3	6	9	9	15	14	20	18	20	24	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	3	3	2	1	2	2	4	1	3	1
8000	-173.612485694819924	-180.467973645779296	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575353977422959	8	10	10	14	11	11	13	12	11	13	12	15	16	15	16	16	14	18	17	16	19	19	20	21	23	25	0	1	1	3	3	3	11	9	1	5	3	9	17	9	14	7	3	6	13	4	15	14	20	18	20	24	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	3	1	2	2	2	2	1	5	3
8500	-185.365656573854636	-192.221144524814008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563932791416971	8	11	10	13	12	12	14	13	14	14	13	14	16	13	15	16	15	17	16	16	20	19	20	21	22	25	0	1	1	1	1	1	11	1	14	5	3	1	17	3	9	11	3	6	3	3	15	9	20	6	23	24	1	2	1	2	3	2	1	1	1	2	1	2	1	1	1	2	2	2	3	3	2	2	1	5	1	2
9000	-180.755073176858957	-187.610561127818329	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468310954794900	8	10	10	13	11	12	13	12	12	13	12	14	15	14	15	16	16	17	17	16	18	19	21	20	22	25	0	1	1	1	1	3	11	1	3	5	3	9	1	9	9	11	13	6	8	9	15	8	20	18	20	24	1	2	1	1	1	2	1	3	2	1	1	1	3	1	2	2	1	2	3	2	2	3	3	1	2	3
9500	-195.356472619044354	-202.211960570003725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615330878593111	8	10	10	13	12	11	14	13	12	13	13	15	16	14	16	15	14	16	17	14	19	18	19	21	22	25	0	1	1	6	3	3	11	9	3	5	3	6	17	9	9	11	1	6	17	3	15	9	22	6	23	24	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	3	1	2	3	3	3	1	3	2	2
10000	-188.763958171795281	-195.619446122754653	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673886399439415	8	11	9	13	11	12	14	11	13	13	13	15	16	14	15	15	13	16	17	16	19	19	21	21	22	24	0	3	1	1	1	3	11	3	8	5	1	17	17	9	9	11	1	3	17	3	15	9	20	4	20	24	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	3	2	2	3	2	3	2	4	2	1
10500	-165.663519751568316	-172.519007702527688	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572233558976353	9	10	10	13	12	12	14	11	13	14	12	14	16	14	15	16	16	17	18	17	19	19	20	21	23	26	0	1	1	1	1	1	11	3	8	5	3	9	1	9	9	7	5	6	13	13	15	9	13	18	23	24	1	1	1	2	2	2	1	1	1	1	1	1	5	1	1	1	2	3	2	1	2	2	2	2	2	3
11000	-199.379620688714709	-206.235108639674081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.528842358663971	9	10	10	12	11	11	13	13	13	14	13	15	17	15	16	15	14	17	18	16	19	20	22	19	21	25	0	1	1	3	1	1	1	3	3	3	1	9	17	9	9	7	3	6	17	1	15	20	8	18	20	24	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	2	3	2	3	1	1	3	1	2	3
11500	-168.088734008890071	-174.944221959849443	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609861220036159	9	11	10	13	11	12	12	12	11	13	14	14	17	15	14	15	15	17	17	15	18	19	21	22	23	25	0	1	1	1	1	3	3	9	1	5	7	9	17	9	9	11	1	6	17	4	15	14	20	18	23	24	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	3	2	2	1	2
12000	-171.756894566170899	-178.612382517130271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.419413781265535	8	11	10	12	10	12	12	13	12	14	13	14	16	14	15	16	13	18	17	15	20	20	21	22	22	23	0	3	1	1	1	3	1	9	3	5	7	9	17	9	9	11	3	6	17	3	15	9	20	18	20	24	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	2	2	3	2	2	3	4	3	2	4	1
12500	-182.579418450443825	-189.434906401403197	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698731814309747	9	10	11	13	13	11	14	11	12	14	13	13	15	15	16	17	15	17	18	16	20	19	22	21	21	25	0	1	1	3	3	1	11	1	1	3	1	9	3	9	9	7	3	6	17	8	15	9	20	18	20	24	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	3	1	3	2	3	2	2	2	3
13000	-185.301984725985619	-192.157472676944991	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675014319958006	9	10	10	13	13	12	14	12	13	14	13	13	17	12	15	17	15	17	17	16	19	19	20	22	23	25	0	1	1	1	3	1	11	3	1	9	1	3	17	3	9	11	3	6	17	3	15	14	20	18	20	24	1	1	1	2	1	2	1	1	4	1	1	1	1	1	1	1	3	3	1	3	2	3	2	2	2	2
13500	-176.354696715025653	-183.210184665985025	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444715082832816	8	10	10	13	10	11	14	12	13	14	11	14	13	15	15	16	15	16	17	16	19	18	21	21	21	25	0	1	1	6	1	1	11	1	3	5	1	8	3	9	8	7	13	6	13	13	15	9	20	18	20	24	1	1	1	1	1	2	2	3	1	2	2	1	2	1	1	1	1	3	2	1	1	2	3	2	2	3
14000	-174.452396099951613	-181.307884050910985	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.511193629909284	8	10	10	11	11	11	14	13	12	13	12	14	14	14	14	16	16	15	18	17	19	20	21	21	23	25	0	1	1	3	3	1	11	9	3	5	2	9	2	9	9	11	13	6	13	3	15	9	20	18	20	24	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	5	2	3	4	2
14500	-183.868628559504288	-190.724116510463659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645135703496961	9	11	11	14	11	12	14	12	14	14	13	14	15	15	15	15	16	18	16	16	20	18	21	22	23	25	0	1	1	3	1	3	11	3	3	3	1	1	9	9	9	11	13	6	9	3	15	9	20	18	20	24	1	1	1	1	1	1	1	1	3	2	2	3	1	1	1	1	1	2	1	3	2	1	2	2	4	2
15000	-170.779884562103518	-177.635372513062890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.409938557891180	8	10	9	13	11	11	13	13	13	13	12	15	16	14	15	17	15	17	17	16	19	18	21	21	22	25	0	3	1	1	1	3	11	3	1	5	1	9	4	9	9	11	3	6	17	9	15	9	20	6	20	24	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	2	3	3	1	2	2	3	3	5	2	2
15500	-179.042299178043805	-185.897787129003177	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592319068489820	9	11	11	13	13	12	13	12	13	14	11	15	14	14	15	15	13	14	17	17	17	19	21	20	23	24	0	1	1	1	1	1	11	3	3	5	1	9	17	9	9	7	3	6	17	3	15	14	20	6	23	24	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	2	2
16000	-167.631881616158495	-174.487369567117867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585117196442562	8	10	10	12	12	12	14	12	13	13	12	15	17	14	16	16	15	18	16	16	18	18	20	22	23	26	0	1	1	3	3	3	11	3	3	5	3	9	17	9	9	11	3	6	17	3	15	3	20	18	23	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	3	1	3	2	2	2	2
16500	-185.907757728508813	-192.763245679468184	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572486225444186	8	11	10	12	10	12	14	12	11	12	13	13	16	14	16	16	14	17	17	15	20	19	20	21	22	25	0	1	1	3	1	1	11	9	1	5	3	1	17	9	14	11	3	6	17	14	15	14	20	6	20	24	1	2	1	1	1	1	1	1	2	1	3	2	1	1	1	2	2	3	1	1	2	2	2	3	4	2
17000	-187.986123521621067	-194.841611472580439	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512660422255275	9	11	11	13	11	12	12	13	12	13	13	13	16	14	15	16	15	15	17	17	19	19	21	22	22	25	0	1	1	1	1	1	1	9	3	5	7	9	17	9	9	11	3	6	17	17	9	9	20	6	3	24	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	2	2	1	1	3	4	1	5	8	2
17500	-158.921491597898438	-165.776979548857810	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608430917944277	9	10	10	13	12	12	12	12	13	14	13	14	14	14	15	15	15	18	17	16	19	20	20	22	22	26	0	1	1	1	1	3	1	3	1	5	7	9	3	9	9	11	13	6	13	9	15	14	20	18	23	24	1	1	1	2	2	2	1	1	2	1	1	1	3	1	1	1	1	3	1	2	2	3	1	2	1	2
18000	-167.538859653876216	-174.394347604835588	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631965324346115	9	11	10	14	11	12	12	12	13	14	13	15	16	14	16	16	15	18	18	16	19	20	21	21	22	25	0	1	1	3	3	1	3	3	8	5	7	9	17	9	9	11	3	6	13	1	15	9	20	18	23	24	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	4	2	1	1	2
18500	-169.369718458820785	-176.225206409780156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559471973161783	8	11	10	14	12	10	12	11	13	14	13	15	17	15	15	17	15	17	16	16	19	16	20	22	20	26	0	3	1	3	1	1	3	1	3	5	7	8	17	9	9	11	1	6	17	9	15	9	20	18	20	24	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	2	3	4	1	1	3	2	2	3	2	3
19000	-164.795502746348632	-171.650990697308004	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723915791684565	9	10	10	13	12	12	12	12	12	14	13	14	17	15	15	16	15	18	18	17	19	18	21	21	21	25	0	1	1	3	3	3	2	3	3	5	7	9	17	9	9	11	4	6	17	9	15	14	20	18	20	24	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	4	2	2	2	1	2	1	2	2
19500	-176.263598383997760	-183.119086334957132	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539366268209067	8	10	10	14	12	11	12	12	11	13	14	14	13	14	16	16	15	17	17	16	19	18	21	20	22	25	0	1	1	1	1	1	1	9	3	5	7	9	3	1	14	11	1	6	17	14	15	9	20	6	20	24	1	1	1	3	2	2	1	1	1	1	1	1	2	2	1	1	5	2	1	1	3	3	2	3	3	2
20000	-169.391324220417914	-176.246812171377286	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.564617177890936	8	10	10	13	12	10	12	13	12	13	14	13	15	14	16	16	15	16	17	16	20	19	19	21	21	25	0	1	1	3	3	1	1	9	3	5	7	9	3	9	9	11	1	6	13	9	15	9	20	18	20	24	1	1	1	2	1	1	1	1	1	1	1	1	3	1	2	1	3	3	1	3	2	3	2	3	3	2
20500	-168.376523362860695	-175.232011313820067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.676437101068625	8	10	9	14	11	12	11	13	12	13	14	14	16	15	15	16	15	16	17	17	19	19	21	21	20	25	0	3	1	3	3	3	1	9	1	5	7	9	17	9	9	11	1	6	17	9	15	9	25	18	20	24	1	1	1	3	1	2	2	1	2	2	2	2	1	2	2	1	3	2	1	2	2	3	1	2	2	2
21000	-170.772927921458830	-177.628415872418202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.766964984958410	8	10	11	14	11	11	14	13	13	13	12	13	15	15	15	16	14	17	17	16	19	18	20	21	21	26	0	1	1	3	2	1	11	3	3	5	3	3	17	9	9	11	3	6	17	3	15	15	20	18	20	24	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	2	3
21500	-177.816804104389689	-184.672292055349061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532894920359947	8	10	10	13	12	11	14	12	11	14	13	15	16	14	15	15	15	16	18	17	20	19	22	22	23	24	0	1	1	3	3	1	11	9	3	5	6	9	17	9	9	11	3	6	17	3	15	3	20	18	20	24	1	1	1	1	1	2	1	1	1	1	1	2	1	2	3	1	2	2	2	2	2	4	2	2	2	1
22000	-178.085262989976059	-184.940750940935430	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746805691086482	8	10	10	13	12	12	14	12	13	13	12	14	16	14	16	15	14	18	18	17	19	19	20	20	22	22	0	1	1	3	3	3	11	3	8	5	3	9	17	9	9	11	3	6	17	8	15	9	20	6	20	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	2	3	3	2	2	1
22500	-174.343455066739722	-181.198943017699094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646897146833192	8	11	10	13	12	12	14	12	13	13	13	14	16	14	15	16	14	16	17	17	19	17	20	22	22	25	0	1	1	3	1	3	11	3	3	5	3	9	17	5	9	11	3	6	13	3	15	9	20	18	20	24	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	2	2	2	1	3	2	2	2	3	2	2
23000	-194.439720238336122	-201.295208189295494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.482939603532161	8	11	10	13	11	12	14	12	12	14	13	15	15	15	15	17	14	18	18	14	19	19	21	21	23	26	0	3	1	1	1	1	11	1	1	5	3	9	9	8	9	11	3	6	17	9	15	9	14	18	23	24	1	1	1	3	1	2	1	3	2	2	3	1	2	3	2	3	2	3	2	2	3	3	3	1	1	3
23500	-179.375706839326170	-186.231194790285542	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465068798559090	8	11	10	12	10	12	14	12	14	13	12	13	17	15	16	16	14	17	18	16	19	17	21	21	23	25	0	1	1	1	1	3	11	1	8	5	1	8	10	9	9	11	1	6	17	17	15	9	20	18	20	24	1	1	1	2	1	1	2	2	1	3	2	1	2	1	1	2	4	2	3	1	1	2	2	2	5	2
24000	-163.872128773284828	-170.727616724244200	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693785801347052	8	9	11	13	11	11	14	13	11	13	13	13	15	14	15	17	15	18	17	16	18	18	21	21	22	24	0	1	1	3	1	1	11	9	1	5	9	9	3	9	9	11	3	6	17	3	15	9	20	18	20	24	1	1	2	1	1	1	1	1	2	2	1	1	2	2	2	1	2	4	1	2	1	3	2	2	3	2
24500	-159.940764262077948	-166.796252213037320	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724304757196927	9	11	11	14	10	11	14	13	12	13	13	14	16	14	15	16	15	17	17	17	18	19	21	21	22	25	0	1	1	1	1	1	11	9	1	5	1	9	17	9	9	11	3	6	17	4	15	9	20	18	20	24	1	1	1	3	1	1	1	1	2	2	2	1	1	1	1	1	2	3	1	2	1	2	2	2	3	1
25000	-181.667957995103734	-188.523445946063106	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.597583148175057	9	11	10	14	12	11	13	13	14	14	11	15	14	15	16	17	15	16	17	14	20	19	21	19	20	24	0	3	1	3	3	1	11	1	3	5	1	9	3	9	9	11	3	6	13	3	15	9	20	18	20	24	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	3	2	2	2	2	3	4	1	2	3
25500	-152.735061086763920	-159.590549037723292	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628751587920164	7	9	11	13	13	12	13	12	13	14	12	14	17	14	15	16	16	16	17	16	19	20	21	22	22	26	0	1	1	3	3	3	11	3	3	3	3	9	17	9	9	11	3	6	17	3	15	9	20	18	20	24	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	3	2	2	3	2
26000	-175.262909294809134	-182.118397245768506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590413072645387	8	9	10	13	12	11	14	13	12	14	11	13	15	15	14	16	15	17	17	16	18	18	20	22	22	26	0	1	1	1	3	3	11	9	1	5	3	3	5	9	9	7	1	17	17	13	15	9	20	6	23	24	1	1	2	2	1	1	2	1	2	1	1	2	2	2	1	1	3	1	1	1	2	2	2	5	2	2
26500	-184.160643644598707	-191.016131595558079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652662549911149	8	11	10	14	12	11	14	11	14	13	13	15	17	14	16	16	15	16	17	17	20	19	22	21	22	26	0	3	1	3	3	1	11	1	8	5	5	9	4	8	9	11	1	5	17	9	15	9	20	18	20	24	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	4	2	1	3	2	2	2	3	3	3
27000	-190.541978172886417	-197.397466123845788	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534877293614470	9	11	10	14	12	12	14	13	13	13	13	14	16	14	15	16	15	18	18	17	20	20	20	22	23	25	0	1	1	3	1	3	11	3	1	5	1	9	9	9	9	11	3	20	17	1	15	9	17	18	20	24	1	1	1	2	2	1	1	2	2	1	2	1	2	1	1	2	2	1	1	4	2	3	1	3	2	1
27500	-170.828941028453414	-177.684428979412786	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548363136136991	9	10	10	12	11	11	13	13	12	13	12	14	17	14	15	15	13	16	17	17	18	20	21	21	22	25	0	1	1	3	1	3	11	9	3	5	1	9	17	9	9	11	3	6	17	3	15	14	20	18	20	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	3	2	2	2	2
28000	-176.979779037451493	-183.835266988410865	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.492713440271434	8	10	9	13	12	11	12	13	13	13	14	15	17	14	15	16	14	15	18	16	19	19	21	21	22	25	0	1	1	1	1	3	1	5	1	5	7	9	17	9	9	11	3	6	17	5	15	14	20	18	20	24	1	1	1	2	2	1	3	1	3	1	1	1	2	1	2	1	3	1	3	2	2	3	2	3	4	2
28500	-173.669458141175852	-180.524946092135224	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487651584166994	8	10	11	13	12	12	12	12	11	14	14	14	17	14	14	16	15	16	16	16	19	19	21	21	22	24	0	1	1	3	3	1	1	9	1	5	7	9	17	9	9	11	3	6	17	14	15	14	20	18	20	24	1	2	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	1	2	3	2	2	2	2	1
29000	-171.395509855459267	-178.250997806418638	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606739668338118	8	11	10	12	11	10	11	13	13	12	13	15	15	14	15	14	13	16	17	16	18	19	20	21	21	25	0	1	1	3	3	1	3	3	1	5	7	9	17	9	9	7	1	6	18	9	15	9	20	18	23	24	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	4	1	2	2	2	2	3	1	3
