step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
10000	-102.609040133932226	-109.464528084891597	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765241960576313	0	3	5	5	7	9	11	10	14	12	15	13	12	14	16	16	14	14	15	15	17	17	16	16	19	0	0	2	2	3	5	6	5	7	7	12	7	8	10	9	9	10	10	12	12	20	15	17	20	16	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-127.517915058356635	-134.373403009316007	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762249486648194	0	4	5	5	7	9	11	10	15	10	14	12	13	15	15	17	15	14	14	15	17	13	17	18	20	0	0	2	2	3	5	6	6	22	5	22	5	8	22	22	22	10	10	22	12	20	6	17	20	16	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	1	2	1	1	2
11000	-116.076243299291676	-122.931731250251048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.822495667457292	-1	4	6	6	7	9	11	11	13	12	14	12	12	14	16	17	16	14	15	16	15	16	17	18	20	0	0	2	2	3	5	6	6	6	6	12	6	8	10	18	15	9	10	11	12	12	9	17	21	16	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2
11500	-132.787781971541392	-139.643269922500764	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741517948975176	0	2	5	6	8	10	12	10	14	11	15	13	13	15	15	16	15	14	14	15	17	16	18	18	21	0	0	2	3	3	5	6	5	7	5	7	5	8	10	6	9	18	10	12	6	20	7	17	21	16	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	2	1	2	1	1	3
12000	-127.229100900378086	-134.084588851337458	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834403796600540	-1	4	6	7	8	10	12	11	15	10	16	12	12	14	16	16	15	13	14	15	17	17	17	16	18	0	0	2	2	3	5	8	6	7	5	7	6	8	7	7	9	5	10	7	12	20	15	17	20	16	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	2	1	1	1	1	1	1
12500	-135.791374861098973	-142.646862812058345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638143163789781	0	4	5	7	7	8	11	11	14	11	15	12	13	15	14	14	15	14	14	14	17	14	16	16	20	0	0	2	3	3	5	5	5	7	5	22	10	8	7	7	5	16	7	10	12	20	10	18	20	9	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	3	1	2	2	1	2	2	1	1	3
13000	-117.065549167568946	-123.921037118528318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738996001650739	1	5	6	6	7	10	11	12	14	11	12	12	12	13	17	16	14	13	14	16	17	16	18	17	20	0	0	2	2	3	5	5	7	6	6	6	7	7	6	22	9	6	10	11	12	12	9	17	20	16	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2
13500	-136.200169608161190	-143.055657559120561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552621145718491	1	4	5	6	8	10	11	12	14	11	15	12	13	14	17	16	16	14	14	15	18	15	16	16	20	0	0	2	2	3	5	6	5	5	6	19	5	8	10	7	7	18	10	8	12	24	7	18	20	16	1	1	1	1	2	1	1	3	2	1	1	2	1	2	3	2	2	2	2	2	1	2	2	1	2
14000	-129.000188726617836	-135.855676677577208	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.733155996842696	0	3	5	7	7	10	9	11	14	12	14	13	11	14	16	14	14	14	15	15	18	17	17	18	20	0	0	2	2	3	7	5	6	7	7	12	6	6	10	9	10	10	10	11	12	12	9	17	20	16	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	3	1	1	2	2
14500	-112.209888134891628	-119.065376085851000	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.857835552028750	0	4	5	6	7	9	12	11	14	11	14	13	12	15	15	16	15	13	15	15	17	16	17	17	20	0	0	2	2	3	4	5	6	10	5	7	10	8	10	10	9	18	10	11	12	12	7	17	20	16	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2
