step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
10000	-179.371418567189522	-178.001194756172453	-1.370223811017072	0.000086402697958	0.000041479651396	0.480073566868761	0.747984690156382	0	1	2	3	3	4	3	3	4	4	6	5	6	7	7	9	9	12	10	12	8	12	15	15	16	16	17	16	16	20	23	0	0	2	1	2	2	2	3	3	1	10	6	8	12	12	13	14	15	12	3	12	8	20	0	24	24	29	24	24	25	30	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	4	1	4	1	1	1	1	1	1	1	1	2
10500	-172.846217222056310	-171.211597528311046	-1.634619693745267	0.000083053273479	0.000018765182942	0.225941521096689	0.653229997333596	1	1	2	4	3	5	3	5	4	6	6	5	6	8	9	9	9	11	10	12	9	12	15	15	16	18	17	17	16	18	22	0	0	2	1	2	7	2	3	3	1	1	3	8	12	12	9	8	15	13	6	13	8	20	0	24	24	29	24	24	25	30	1	1	1	2	1	2	1	2	2	3	2	1	1	2	2	3	2	1	1	3	2	3	2	1	1	2	1	1	1	1	2
11000	-163.379300118796806	-161.654746843212223	-1.724553275584588	0.000099661280080	0.000019553402779	0.196198591505032	0.694489979679694	0	0	2	4	3	4	1	4	4	5	7	5	6	6	7	8	9	12	11	13	11	12	15	14	16	18	17	16	16	19	22	0	0	2	1	2	2	2	3	3	1	1	8	8	12	12	13	8	15	17	6	12	16	20	0	24	27	29	24	24	25	30	1	1	1	2	1	1	1	1	1	3	2	1	1	1	2	1	2	2	1	4	2	2	1	1	1	1	1	1	1	2	1
11500	-157.625882987723429	-156.095934915125554	-1.529948072597865	0.000067233601370	0.000018517231131	0.275416320914325	0.514063098528263	1	0	2	3	3	4	2	4	4	4	6	5	6	7	9	8	10	11	9	10	10	12	14	14	16	17	17	16	16	20	22	0	0	2	1	7	7	2	3	3	1	1	8	8	12	12	13	13	15	13	6	12	16	20	0	24	24	29	24	24	25	30	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	3	2	2	2	1	1	2	1	1	1	1	1
12000	-150.197626596399374	-148.713298401235335	-1.484328195164039	0.000089898730804	0.000027521153409	0.306135060674204	0.786036880303679	-1	1	2	2	3	5	3	3	3	5	6	6	6	8	9	9	8	11	10	14	9	13	15	15	17	18	17	16	19	19	22	0	0	2	1	2	7	2	3	3	4	4	8	8	12	13	17	12	15	21	21	12	16	20	0	24	24	24	24	27	25	30	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1
12500	-163.842516052387793	-162.364668793414324	-1.477847258973455	0.000060375263901	0.000018790866766	0.311234528052762	0.795824105712169	-1	1	2	3	3	4	4	4	4	5	6	6	5	7	8	9	9	11	11	12	10	11	15	14	16	16	17	16	19	20	23	0	0	2	1	2	2	2	3	3	4	10	3	3	13	13	8	13	15	16	6	12	16	20	0	24	24	24	24	27	25	30	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	2	2	1	1	3	2	1	1	1	1	1	2	2	1	1	1
13000	-164.967192239046767	-163.561287883497329	-1.405904355549425	0.000056589486990	0.000022154091943	0.391487767799239	0.627208315653044	-1	1	2	3	4	4	3	4	4	5	6	6	6	7	9	8	9	12	10	13	12	11	15	15	16	17	17	17	16	19	22	0	0	2	1	7	2	2	3	3	1	1	8	8	12	14	13	8	15	12	6	16	17	20	0	24	24	29	24	24	25	30	1	1	1	2	1	1	1	1	1	3	2	1	1	1	1	1	3	2	2	6	2	1	1	1	1	1	1	1	1	1	2
13500	-187.179235896264146	-185.608759157823840	-1.570476738440307	0.000078041838142	0.000019793194388	0.253622862546380	0.579106466797766	0	-1	2	4	3	5	3	4	3	4	6	6	6	8	9	8	9	11	10	13	10	11	14	12	17	16	17	17	19	17	21	0	0	2	1	2	7	2	5	3	1	10	5	8	12	14	13	13	15	13	21	12	21	21	0	24	24	24	24	28	26	30	1	1	2	2	2	1	2	1	1	2	1	2	2	2	1	1	2	1	2	2	2	1	2	1	2	2	3	2	1	1	2
14000	-174.387764395487949	-172.632095852592812	-1.755668542895140	0.000140591583259	0.000026378910193	0.187627947434263	0.649581427042110	0	1	2	4	4	4	2	4	4	5	6	5	6	7	8	7	9	11	10	12	8	10	14	15	16	17	16	16	18	19	22	0	0	2	1	2	7	2	3	3	1	1	6	8	12	12	3	6	15	17	5	14	13	17	0	24	24	24	24	27	26	30	1	1	1	3	2	1	1	1	1	2	3	1	2	1	2	3	2	1	1	5	1	2	2	1	1	1	1	1	1	1	1
14500	-157.642448756023811	-156.110694496470188	-1.531754259553624	0.000057156527467	0.000015681009442	0.274352031816464	0.797432248552617	1	1	2	3	3	5	3	5	4	4	6	6	6	7	8	8	10	10	9	12	10	12	15	15	17	17	17	16	19	18	20	0	0	2	1	2	7	2	7	3	1	4	8	8	8	14	8	13	15	13	6	12	17	20	0	24	24	24	24	27	25	25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	2	2	1	1	1	1	1	1	2	1	1
15000	-163.017105334183725	-161.578692262899295	-1.438413071284433	0.000104651957216	0.000036443298720	0.348233322044884	0.791382858939226	-1	0	2	1	4	4	2	5	4	5	6	6	6	8	8	7	9	12	9	12	10	13	15	15	17	18	17	16	17	18	22	0	0	2	1	7	7	2	7	3	4	4	3	8	12	12	8	13	15	16	6	14	16	20	0	24	28	24	24	24	25	30	1	1	2	1	1	1	1	1	1	2	3	2	1	1	1	1	1	2	1	4	1	3	1	1	1	1	1	1	1	1	2
