step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
10000	-170.408459102427912	-177.263947053387284	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.359795195130000	2	0	11	13	15	15	15	16	17	17	17	18	19	20	19	19	20	21	20	21	21	21	21	22	23	23	2	0	2	3	4	4	4	7	4	5	3	4	10	8	7	5	11	15	10	19	3	7	6	16	15	11	1	1	6	2	1	1	1	1	2	1	4	2	1	2	2	2	3	2	1	1	5	2	3	1	2	3
10500	-168.984992248292201	-175.840480199251573	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.543788375320549	3	1	10	12	15	13	15	16	15	17	16	19	18	20	19	19	19	21	20	22	21	22	23	22	23	24	2	0	2	3	3	3	3	7	3	5	6	11	5	15	8	13	11	15	7	19	7	7	9	13	18	23	1	1	3	1	2	2	3	1	3	1	1	1	1	1	1	1	1	1	2	1	2	4	3	2	1	1
11000	-167.456859091408091	-174.312347042367463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746785934915900	2	1	11	12	15	15	15	16	16	17	17	19	20	20	19	18	20	22	21	20	21	21	22	23	23	22	2	0	2	3	3	4	3	7	7	5	6	11	16	8	8	10	15	15	20	5	15	14	17	16	18	12	1	1	5	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	2	1	2
11500	-162.014764837964236	-168.870252788923608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535194215120967	3	1	11	12	14	14	15	16	15	17	18	18	20	20	20	19	20	21	22	19	22	22	22	22	23	25	2	0	2	3	3	3	4	7	4	5	6	3	10	8	8	10	12	12	20	10	7	7	11	13	18	11	1	1	6	1	2	2	2	1	1	2	3	4	2	2	2	1	1	2	1	1	3	4	2	1	1	3
12000	-177.131258338677213	-183.986746289636585	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590278165491841	3	2	11	13	14	14	15	16	16	16	17	17	20	20	20	18	19	20	22	21	21	22	21	22	23	23	2	0	2	3	3	3	3	7	5	5	3	9	16	8	8	10	4	8	10	3	3	14	11	13	18	11	1	1	3	1	2	1	2	1	2	1	3	1	2	2	2	1	3	3	2	5	4	1	2	1	2	4
12500	-185.022753548070142	-191.878241499029514	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.397674683293087	2	0	11	13	14	15	15	17	16	16	17	19	18	20	19	19	20	21	22	21	21	20	23	23	22	25	2	0	2	3	3	4	4	7	4	4	3	3	3	8	8	10	11	11	3	10	14	7	14	16	7	12	1	1	5	2	1	2	2	1	2	2	2	4	3	2	1	2	1	3	4	3	1	3	1	2	3	2
13000	-187.723526565802899	-194.579014516762271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.501992031354851	3	1	11	13	13	14	14	16	16	15	16	18	17	19	19	19	21	21	20	21	21	22	22	21	22	24	2	0	2	3	3	4	4	7	4	5	3	3	3	7	8	3	9	5	10	5	8	14	3	16	15	11	1	1	4	1	1	1	1	2	1	1	2	3	3	2	2	3	2	4	3	4	2	2	6	1	1	5
13500	-178.534108252585554	-185.389596203544926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486346860899655	2	1	10	13	15	13	15	16	15	17	17	18	20	20	20	19	19	21	21	21	21	21	23	23	24	24	2	0	2	3	3	3	4	7	4	5	6	9	5	7	8	5	11	14	5	10	15	7	22	13	15	11	1	1	7	1	3	2	1	1	1	1	2	1	1	2	2	2	1	1	3	3	1	3	1	1	2	3
14000	-174.731694095821325	-181.587182046780697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556334374537486	3	1	11	13	14	15	15	17	15	17	17	19	20	20	20	19	19	20	21	21	21	22	22	22	24	24	2	0	2	3	4	3	4	7	4	5	4	11	10	8	7	5	3	8	3	16	15	8	11	13	14	11	1	1	7	1	1	3	1	2	1	1	2	1	1	2	2	3	3	1	5	1	1	2	2	1	2	3
14500	-187.677395315263738	-194.532883266223109	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649981174033637	3	2	9	12	14	14	15	17	16	15	16	18	19	20	18	17	21	19	21	22	22	21	22	22	23	23	2	0	2	3	3	3	4	7	6	5	3	6	16	7	6	10	11	15	9	15	15	8	6	13	18	11	1	1	4	1	2	3	1	1	2	1	4	2	1	2	2	1	2	1	2	3	2	3	3	1	2	2
15000	-179.377511652894981	-186.232999603854353	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458666871936611	2	1	11	12	15	14	15	16	16	16	17	18	20	19	19	19	20	20	21	22	22	22	23	22	23	24	2	0	2	3	3	3	4	7	5	7	7	6	10	8	8	5	4	12	16	19	7	8	17	13	15	17	1	1	5	1	3	2	2	1	1	1	1	2	3	2	2	1	5	1	1	1	4	3	2	1	2	2
15500	-181.042489028338082	-187.897976979297454	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426719079958853	2	1	11	12	14	13	14	16	16	17	17	18	17	19	19	20	20	21	21	20	21	22	22	22	23	24	2	0	2	3	3	3	3	3	3	5	9	3	3	9	8	10	9	15	20	10	7	7	17	16	18	11	1	1	4	1	1	1	2	2	2	1	1	2	4	1	2	2	3	1	1	2	5	6	1	1	2	4
16000	-170.835049832035281	-177.690537782994653	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504318133291181	3	1	10	12	14	15	16	15	14	17	16	19	18	20	18	19	20	21	21	19	21	21	22	22	23	24	2	0	2	3	3	3	8	9	3	5	6	3	5	8	8	13	12	8	20	10	8	7	14	13	18	11	1	1	4	1	2	2	1	1	2	1	1	4	2	3	1	1	1	2	2	1	3	3	1	2	2	4
