step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
5000	-375.738333511814233	-373.698564723773359	-2.039768788040857	0.000014346050895	0.000035077942764	2.445128838739036	0.755689249897808	-1	1	4	3	6	9	10	8	8	10	9	12	10	9	12	11	12	12	13	13	13	13	13	14	15	14	15	16	17	16	17	16	14	20	18	18	17	21	20	22	22	23	22	23	22	22	23	25	27	25	26	29	27	30	31	32	0	1	4	2	3	5	14	5	5	8	0	7	9	5	10	11	7	13	7	9	14	9	17	21	20	21	23	19	20	21	23	33	13	35	23	32	33	35	36	34	35	43	31	35	34	36	37	47	47	47	47	50	50	52	53	54	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	3	2	2	1	2	1	2	1	2	2	1	2	2	1	2	2	1	1	2	1	1	1	2	2	1	1	2	1
5500	-363.499533216334157	-361.694829046653183	-1.804704169680972	0.000020645684323	0.000038197058692	1.850123158689305	0.545542456419447	-1	1	4	3	6	8	9	8	9	9	10	11	11	10	12	11	12	12	13	12	12	14	14	15	15	14	14	16	17	16	16	16	15	20	18	17	18	20	18	23	21	24	22	22	23	24	23	25	27	26	26	28	28	30	30	32	0	1	4	2	3	5	5	5	8	8	0	7	7	7	10	11	7	7	12	9	14	13	17	21	13	21	17	19	20	21	17	33	13	27	23	33	33	35	36	35	35	43	31	35	34	36	37	47	47	47	47	50	50	52	50	54	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2	2	2	3	1	2	4	2	1	2	1	1	1	2	1	3	2	2	3	2	1	2	2	3	1	1	1	2	1
6000	-339.134001024708652	-337.719969734394226	-1.414031290314417	0.000033785343540	0.000028941070262	0.856616130837449	0.711596854888789	-1	1	4	3	6	9	8	7	9	8	9	11	11	9	13	11	11	13	13	12	12	15	13	14	16	14	15	16	17	16	15	17	15	20	18	17	18	21	20	22	21	23	22	22	21	22	23	25	28	26	26	28	28	30	31	32	0	1	4	2	4	5	5	5	5	8	0	7	6	7	10	11	7	9	12	9	14	18	17	14	20	21	23	19	22	21	23	33	20	27	23	33	33	34	36	34	35	43	34	34	35	39	37	47	47	47	47	50	50	52	53	54	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	1	2	1	2	2	2	1	2	1	1	1	2	1	2	1	1	2	3	2	1	2	1	2	1	2	1	1	1	3	1	2	1	2	2	2	1	1	1	1	2
6500	-346.683195262631443	-345.249279903805188	-1.433915358826273	0.000112879313954	0.000039881898713	0.353314503040673	0.572909861338925	0	1	4	3	6	10	9	8	8	10	11	11	11	9	13	12	13	12	14	13	14	13	14	13	16	14	13	16	16	16	17	16	16	21	17	18	18	20	20	22	22	24	22	22	21	23	22	25	27	27	26	28	28	31	32	31	0	1	4	2	3	8	5	5	5	8	0	14	9	5	10	11	14	7	24	9	14	13	17	12	20	7	7	19	18	24	17	20	20	31	23	32	33	35	36	38	38	43	38	35	35	36	37	47	47	51	47	47	48	52	50	52	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	3	2	1	1	1	2	1	2	2	2	2	2	1	2	3	2	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	3	3	2	2	2	1
7000	-387.375582060467593	-385.930300980211939	-1.445281080255654	0.000146136770258	0.000049815588424	0.340883326874519	0.506676337055860	-1	0	2	3	6	7	9	9	8	11	10	12	11	11	11	11	11	12	14	13	14	13	12	15	13	15	15	17	18	16	17	15	16	19	19	17	19	21	20	22	21	21	23	23	22	22	24	26	27	26	26	30	28	30	31	30	0	1	2	3	3	4	6	6	4	5	0	7	8	7	8	11	8	8	17	14	17	13	17	7	13	14	12	19	5	26	19	25	13	28	7	13	32	29	32	34	34	31	31	45	27	32	37	37	37	37	47	49	48	47	49	49	1	1	1	1	2	1	1	1	2	3	1	2	1	1	2	1	1	2	2	1	1	1	1	3	1	2	1	2	4	1	1	1	3	1	5	3	2	1	2	2	1	2	4	1	3	4	2	3	3	3	1	2	1	2	1	2
7500	-379.365774632678949	-377.811718102938244	-1.554056529740711	0.000159090798206	0.000041675458413	0.261960206891798	0.577755058818901	-1	1	4	3	6	9	9	7	10	9	10	11	11	11	12	12	11	12	14	13	13	13	14	15	14	14	13	17	15	15	18	16	16	19	17	16	18	22	19	20	22	23	22	22	23	23	24	24	27	26	26	28	28	31	31	30	0	1	4	2	3	5	5	5	4	8	0	7	8	7	10	11	7	8	12	15	5	13	17	26	12	7	9	24	6	21	23	20	9	19	23	22	33	40	32	35	40	34	40	35	34	39	39	39	32	33	47	49	48	56	49	52	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	1	2	2	1	4	2	2	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	2	2	2	2	1	2	2	2	2	3	3	4	1	1	3	1	2	1
8000	-395.833200383502287	-394.221470495757671	-1.611729887744612	0.000156656716193	0.000036821714142	0.235047146630882	0.568701721114139	-1	1	3	2	6	9	10	9	9	11	10	10	12	11	12	11	13	13	14	12	12	15	14	13	15	14	15	15	16	16	17	16	17	20	18	18	19	22	19	21	20	23	22	23	22	21	25	25	24	25	25	29	28	29	30	30	0	1	4	2	3	3	6	5	3	6	0	3	8	7	6	11	6	20	6	5	7	10	7	14	19	21	10	9	5	19	19	20	22	35	31	22	33	31	32	35	35	34	34	40	34	39	33	37	36	33	49	48	50	48	48	54	1	1	1	1	1	3	1	2	3	1	1	3	1	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2	5	2	2	3	1	1	1	3	1	2	2	2	1	2	1	1	1	2	4	3	2	3	1	3	2	2	1	1
8500	-361.651372916338403	-360.037821374820396	-1.613551541518009	0.000150203350643	0.000035191768543	0.234294164496675	0.530248797202964	-1	1	4	2	7	9	10	8	10	10	11	11	11	11	12	12	12	12	13	13	13	13	13	15	14	14	13	16	16	17	17	17	15	19	17	17	19	21	19	22	21	23	21	22	22	22	24	25	28	25	27	27	29	30	31	29	0	1	4	2	4	3	5	5	8	8	0	5	9	5	10	11	6	9	14	13	12	7	14	21	6	12	12	19	17	14	24	12	9	7	23	7	36	35	32	35	35	17	31	34	38	29	32	37	47	47	48	50	47	56	47	48	1	1	1	1	3	2	2	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	1	1	2	1	1	2	2	3	1	3	2	4	2	4	1	2	1	2	2	4	2	2	1	3	4	3	2	1	1	1	3	1	2	2
9000	-372.302186324480658	-370.613627745456824	-1.688558579023815	0.000167580502690	0.000034707757078	0.207110949790025	0.599499993043694	0	2	4	4	6	9	10	9	8	11	9	11	11	11	12	11	12	12	13	13	13	13	14	15	15	13	14	16	18	16	17	16	16	19	19	17	15	19	19	23	20	21	19	22	22	24	24	24	27	27	26	29	28	29	31	31	0	1	2	2	3	5	9	5	5	6	0	7	9	5	10	11	14	8	14	14	14	9	22	19	18	12	17	19	25	14	19	37	37	17	23	20	13	31	36	43	17	34	23	34	35	36	37	33	47	51	47	49	50	50	52	54	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	2	4	1	1	1	3	2	2	2	1	1	3	4	1	2	2	1	4	4	5	2	1	1	1	1	1	1	2
9500	-369.063681479258832	-367.494420919348670	-1.569260559910169	0.000143603882615	0.000036506960562	0.254219871334948	0.489475195589496	0	1	3	4	6	9	9	8	10	11	10	11	10	11	12	11	13	12	13	13	14	14	13	14	15	14	15	17	17	15	17	16	17	20	18	17	18	21	19	22	22	24	23	21	21	22	25	23	27	26	25	30	28	30	31	31	0	1	2	3	3	5	5	4	4	6	0	8	6	8	9	11	12	6	14	13	7	4	9	12	13	14	23	25	25	14	6	20	20	23	23	20	33	35	36	23	25	34	17	35	23	39	33	33	48	47	48	53	50	50	47	47	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	2	1	2	3	3	2	1	3	2	2	1	1	2	5	1	3	4	3	2	1	2	1	3	3	2	5	1	4	2	3	2	2	1	1	1	1	2	4	3
10000	-362.588314174747097	-361.026902886317771	-1.561411288429308	0.000167439875479	0.000043224652611	0.258150291188463	0.605817287565284	0	1	3	4	6	10	10	8	9	9	11	11	11	10	12	12	12	13	14	13	13	14	14	15	15	14	14	16	17	16	17	16	17	21	19	18	19	22	19	21	19	23	23	22	22	23	23	25	27	26	25	29	28	31	31	32	0	1	2	3	4	3	5	5	3	8	0	14	10	9	10	11	7	6	6	13	14	20	17	14	7	14	7	24	13	7	23	13	20	35	31	13	26	40	25	31	17	34	31	23	27	39	37	47	50	47	47	53	50	48	50	53	1	1	1	1	1	3	2	1	3	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	1	4	2	1	2	2	1	1	3	3	1	2	2	3	1	3	3	4	3	2	2	1	2	1	1	1	3	3	2
10500	-406.590726714120763	-404.935316013430509	-1.655410700690255	0.000202335994555	0.000044166758028	0.218284236203248	0.479515648297708	0	1	3	2	6	9	8	9	10	11	10	12	11	11	12	11	13	10	13	14	12	14	12	14	16	15	15	16	17	15	18	15	16	21	17	18	19	21	18	23	21	23	22	22	22	23	22	26	27	27	26	30	28	31	30	31	0	1	4	2	3	3	5	5	8	6	0	18	7	9	7	11	23	5	7	5	7	9	7	14	7	7	19	24	23	19	12	13	6	25	20	7	21	31	25	35	5	23	37	35	35	39	25	42	48	48	47	50	50	52	53	50	1	1	1	1	2	3	2	2	1	1	1	1	1	1	1	1	1	2	2	4	2	2	2	2	4	2	1	2	3	1	3	3	3	3	2	4	5	2	1	2	7	5	3	2	3	3	2	2	1	1	2	1	1	1	1	2
11000	-395.435928555441706	-393.866590814374035	-1.569337741067678	0.000131205804689	0.000033350139479	0.254181890489489	0.453011031305466	-1	1	3	3	6	8	10	9	9	11	8	12	11	11	12	11	13	13	12	12	14	15	14	14	14	14	13	15	17	16	18	15	16	18	19	17	19	20	19	21	22	22	22	22	22	22	25	25	28	27	24	28	29	31	31	31	0	1	2	2	3	3	3	5	5	8	0	8	5	6	8	11	7	14	6	9	6	13	7	12	9	14	12	19	32	24	23	13	13	23	19	22	22	35	36	17	34	31	34	17	23	36	37	33	33	51	37	47	50	47	49	48	1	1	1	2	1	3	3	2	1	1	1	1	3	2	2	1	1	1	2	2	4	2	2	1	2	1	1	2	1	1	2	3	2	2	3	2	2	1	2	4	3	2	2	5	4	2	3	4	5	1	2	2	1	2	2	4
11500	-345.448341467390662	-343.943032867798593	-1.505308599592061	0.000146180302546	0.000042538579428	0.291000761982576	0.639164280201310	0	2	4	3	6	8	10	10	9	11	10	11	10	10	12	12	12	13	13	13	12	14	13	14	13	14	15	16	16	16	16	15	16	19	18	18	18	21	20	20	21	23	21	23	22	23	25	26	27	27	23	29	29	31	31	31	0	1	4	2	3	3	6	6	5	8	0	7	6	6	8	11	7	13	21	13	14	25	17	14	9	21	23	24	18	26	17	20	18	7	17	33	33	35	33	23	34	43	35	34	40	36	39	47	51	48	39	50	50	53	47	47	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	4	3	1	1	2	2	3	1	1	2	2	1	3	2	1	2	1	1	2	1	1	3	3
12000	-345.816647248663514	-344.332208281453688	-1.484438967209802	0.000143264818632	0.000043846168948	0.306049799014318	0.682390083156395	0	1	2	4	6	9	8	8	9	10	8	11	11	10	12	11	13	12	13	13	14	15	12	15	15	12	13	16	16	16	17	14	15	20	19	17	19	21	19	22	21	23	23	22	21	22	25	26	28	27	26	29	29	30	31	32	0	1	2	3	3	7	4	5	8	8	0	8	9	6	10	11	23	13	12	9	26	13	7	27	18	14	7	19	32	21	17	13	9	36	31	9	33	31	33	45	35	34	34	34	35	36	37	47	48	47	37	50	48	51	50	54	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	2	2	2	1	3	2	2	2	1	1	2	2	1	1	3	3	1	1	1	3	2	1	2	2	1
12500	-364.144307311493151	-362.716847929168409	-1.427459382324763	0.000179750309783	0.000064894835574	0.361027670283005	0.627760320994898	-2	1	3	3	6	8	10	10	10	8	10	11	11	8	13	12	12	12	12	14	12	14	14	14	15	14	14	16	17	16	17	15	16	18	19	17	18	21	20	22	21	24	23	23	22	22	23	24	27	26	26	28	29	27	31	31	0	1	2	2	4	5	14	5	6	5	0	8	9	5	8	11	6	9	8	13	14	13	7	21	12	17	12	8	27	21	9	17	22	27	28	9	33	35	31	28	31	40	27	34	31	39	37	39	47	48	48	50	54	47	52	53	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	2	2	1	3	1	1	2	2	3	1	1	2	3	2	1	4	2	3	1	3	2	2	1	1	2	1	2	2	1
13000	-347.385271200041018	-345.925765147518405	-1.459506052522639	0.000152755574455	0.000049950915745	0.326998971547570	0.592032174906773	-1	1	2	3	5	9	10	9	9	10	9	12	12	11	12	11	13	11	12	13	14	14	13	14	15	14	14	16	17	16	17	16	16	19	19	18	18	22	19	22	21	23	21	22	22	23	24	26	26	27	26	29	29	30	31	31	0	1	2	3	3	5	6	5	5	8	0	7	9	8	10	11	7	8	8	18	19	13	6	13	13	19	19	21	23	21	17	20	20	27	31	20	33	35	32	17	35	31	17	35	20	36	36	37	47	49	47	48	47	50	52	54	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	3	1	3	1	2	2	3	1	3	4	2	5	3	2	4	1	1	1	2	3	1	1	1
13500	-354.826539482112707	-353.322496695333882	-1.504042786778816	0.000130038840945	0.000037953198307	0.291860478229661	0.604925119719369	-1	1	3	4	6	10	8	8	9	10	10	12	10	10	12	11	13	12	14	11	13	15	14	15	16	14	14	16	17	17	17	14	17	21	18	17	19	21	20	21	21	23	21	23	21	23	24	24	26	27	27	29	26	30	31	32	0	1	2	3	3	8	5	5	5	8	0	7	9	7	8	11	12	9	6	8	14	10	14	14	32	7	12	23	15	26	17	9	25	22	27	32	33	35	36	35	23	43	31	40	23	39	32	37	48	49	48	50	48	52	50	54	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	2	2	1	3	1	1	2	2	2	2	1	2	2	1	1	2	2	2	4	2	2	1	3	3	5	2	1	1	2	1	1	1	2	1
14000	-350.564431330280172	-348.987524451603406	-1.576906878676744	0.000136059194126	0.000034085223891	0.250517608239269	0.528534198965424	-1	1	3	3	6	9	10	10	8	11	9	12	11	10	13	11	12	12	12	10	13	12	12	15	14	15	14	16	17	16	17	16	16	20	16	17	18	20	19	21	21	24	22	21	22	21	24	25	26	26	26	30	28	31	30	30	0	1	2	2	4	5	5	6	4	7	0	14	6	9	10	11	7	20	7	6	12	13	7	12	13	21	23	19	20	26	23	25	13	23	23	25	33	31	36	17	17	40	35	38	29	29	37	33	47	47	47	53	50	56	48	50	1	1	1	1	1	2	2	1	3	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	4	1	3	1	3	3	2	2	1	2	1	4	5	2	3	1	3	2	3	4	1	1	1	1	1	1	2	1
