step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
5000	-204.395986885017152	-202.577385950908990	-1.818600934108155	0.000011988690649	0.000022590070179	1.884281681754504	0.700758479807371	0	3	6	4	7	10	9	9	9	11	11	11	13	14	14	16	18	21	24	25	25	27	28	29	29	31	28	29	31	33	37	36	0	1	2	2	3	8	5	3	5	5	5	8	10	10	13	13	16	17	18	19	0	20	21	22	20	28	21	20	28	28	32	30	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	1	1	1	2	1	2	2	1	2	1	2	1	2
5500	-194.301119594611720	-192.717394695177461	-1.583724899434247	0.000012978843396	0.000017037390128	1.312704807982371	0.665113746191751	-1	1	5	3	7	9	9	11	10	11	13	11	13	16	15	17	19	21	24	25	26	26	30	30	28	30	29	30	32	32	37	36	0	1	2	2	3	5	5	6	7	3	10	6	10	13	10	15	16	17	18	19	0	20	21	22	22	20	21	20	26	28	32	26	1	1	2	1	1	1	1	1	1	3	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	3	2	3	1	1	1	2
6000	-197.329258033262050	-195.945118554078419	-1.384139479183619	0.000018417770581	0.000013745296884	0.746306227648112	0.618736202294062	-1	2	4	3	7	8	9	11	10	11	12	13	13	16	15	15	19	21	23	25	25	27	31	31	29	31	29	29	32	31	36	34	0	1	2	2	3	3	5	7	7	7	9	8	10	10	13	13	16	17	18	19	0	20	21	22	22	28	21	20	26	22	32	30	1	2	1	1	2	2	1	1	1	1	1	2	1	3	1	1	2	1	1	1	1	2	3	1	1	1	2	2	1	2	2	1
6500	-170.324566339451877	-168.857570484270383	-1.466995855181482	0.000055541450651	0.000017790096776	0.320303063161015	0.828034195742145	0	2	5	3	7	8	9	11	9	12	13	13	13	15	17	16	18	21	23	25	26	27	30	28	30	30	30	28	31	31	37	36	0	1	2	2	3	5	5	7	5	9	5	6	10	13	13	13	16	17	18	19	0	20	21	22	24	22	21	20	28	28	32	26	1	1	1	1	1	1	1	1	2	1	3	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2
7000	-207.276719881057517	-205.473793992508035	-1.802925888549474	0.000130495203490	0.000022952935557	0.175891028506068	0.566096450272498	0	3	7	4	8	9	10	11	10	11	13	13	13	15	16	16	18	20	25	24	25	27	31	29	30	31	29	30	30	32	37	34	0	1	2	2	2	3	3	6	3	3	9	8	10	11	10	13	13	7	20	17	0	20	21	20	22	25	21	20	22	26	30	30	1	1	2	1	3	1	1	1	2	2	2	1	1	1	2	2	2	4	1	3	1	2	4	3	1	1	2	2	2	1	4	1
7500	-182.103141137613960	-180.103101095748286	-2.000040041865664	0.000125022758991	0.000017333786832	0.138645051285525	0.615989928041767	0	2	6	4	7	10	9	11	8	11	13	12	14	15	14	17	18	19	22	25	25	27	30	30	29	29	28	30	30	32	36	37	0	1	2	2	2	7	9	6	5	7	10	7	12	13	10	15	13	17	18	19	0	19	21	20	22	22	21	26	26	28	22	31	1	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	3	2	3	1	1	1	1	1	1	4	1
8000	-172.958184178149992	-170.912515235790693	-2.045668942359308	0.000103089170300	0.000013601513775	0.131939307833229	0.487072825291334	0	2	4	3	7	8	10	9	9	11	12	12	13	16	16	15	18	20	24	25	23	27	30	30	30	30	29	31	31	33	35	38	0	1	2	2	2	3	6	5	6	7	6	7	10	10	13	13	16	16	18	18	0	20	21	22	22	22	21	26	26	29	30	31	1	1	1	1	2	2	1	1	1	1	3	1	1	2	2	1	2	3	2	2	1	1	4	2	2	2	3	1	1	1	1	2
8500	-181.046134834969990	-178.906059242341797	-2.140075592628205	0.000100367402949	0.000012011268665	0.119673004504755	0.762138008985525	0	2	6	4	7	9	8	10	9	11	13	13	13	16	15	17	18	20	24	25	24	27	29	29	29	30	29	31	31	32	34	37	0	1	2	2	3	3	5	7	7	7	7	6	8	13	10	13	16	17	18	18	0	19	21	22	20	24	21	22	26	22	26	30	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	1	1	2	3	1	1	2	1	2	1	3	2	1	2	1	2
9000	-190.161627683691250	-188.451744429382330	-1.709883254308912	0.000084130924562	0.000016868833139	0.200506926870725	0.571576176979006	-1	3	6	4	8	10	8	9	9	11	12	12	13	16	17	16	18	20	23	25	24	27	29	30	29	29	30	30	32	33	35	38	0	1	2	2	3	8	3	3	3	8	3	6	10	10	14	10	16	17	17	19	0	18	21	26	20	20	23	26	26	26	26	31	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	2	1	4	2	1	2	3	1	1	2	2	3	3
9500	-183.180322000302596	-181.333911267178394	-1.846410733124194	0.000133085073036	0.000022123649589	0.166236897080844	0.496249692655420	0	3	6	4	7	9	9	9	8	11	12	13	14	15	17	16	18	18	24	25	25	27	29	30	28	30	29	31	31	32	36	36	0	1	2	2	2	3	5	5	3	6	7	5	10	7	10	13	16	13	17	19	0	20	21	20	20	20	21	20	26	26	24	30	1	1	1	1	2	1	1	1	1	2	1	3	2	3	4	1	1	2	4	1	1	1	2	3	2	1	2	3	1	1	3	2
10000	-168.230631012593307	-165.860340660368536	-2.370290352224772	0.000100215155979	0.000009666943220	0.096461888675674	0.668517856687790	0	2	6	3	7	8	9	10	9	12	11	13	14	15	16	16	17	20	24	26	25	27	31	30	28	30	30	31	32	32	34	37	0	1	2	2	3	5	5	6	5	7	9	8	10	10	13	13	16	17	18	16	0	19	21	22	20	22	21	24	24	26	30	31	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	5	1	2	3	2	1	2	2	1	1	1	1	2
10500	-168.731193712097991	-166.681142948633038	-2.050050763464947	0.000120146294898	0.000015778120867	0.131324240008957	0.642147103817619	0	2	6	4	8	9	9	11	9	11	12	13	13	14	17	15	18	21	24	26	25	27	29	30	30	30	28	32	32	31	36	37	0	1	2	2	3	5	5	6	5	7	3	11	11	10	10	13	16	17	18	18	0	20	21	22	22	20	21	30	26	26	26	30	1	1	2	1	1	1	1	1	1	1	3	1	1	2	3	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	2	2
11000	-184.607637782809519	-182.258456633381712	-2.349181149427803	0.000101569641721	0.000009982224648	0.098279608741187	0.773999350132251	-1	2	7	4	7	10	9	9	10	11	11	13	12	14	16	16	18	20	24	25	25	28	30	30	30	30	30	32	32	33	35	37	0	1	2	2	2	8	5	5	3	8	7	5	10	13	14	10	14	17	18	17	0	19	21	19	20	22	21	26	26	25	29	31	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	3	1	3	2	2	2	1	2	1	1	2	2	1
11500	-177.286869182898187	-174.413520316213919	-2.873348866684277	0.000108257510045	0.000007014186834	0.064791688180814	0.710209382564728	-1	3	5	4	7	10	8	9	9	11	11	11	13	14	16	16	17	20	24	25	25	26	30	28	30	30	28	30	32	32	35	38	0	1	2	2	3	8	3	5	3	7	5	8	10	10	13	14	16	17	18	17	0	19	27	22	24	24	21	22	28	24	28	31	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	3	4	1	1	1	2	2	1	2	2	2	2	2	2
12000	-185.366006730152350	-183.860940251167818	-1.505066478984540	0.000119815998846	0.000034886191484	0.291164717732262	0.629136987930586	0	2	7	4	8	10	10	11	10	11	12	9	14	16	16	17	18	18	24	25	25	27	29	30	29	30	30	32	30	32	36	37	0	1	2	2	3	5	5	6	12	3	7	3	10	7	13	14	16	16	18	19	0	20	21	20	22	20	21	26	20	26	24	24	1	1	3	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	1	2	4	1	2	2	1	2	1	3	2
12500	-179.458162113162643	-177.892029584698179	-1.566132528464472	0.000077550173029	0.000019835004634	0.255769959750798	0.588028861059317	-2	2	5	4	7	9	8	10	9	11	11	11	13	16	17	17	19	20	25	25	26	27	31	31	29	30	29	31	32	32	36	38	0	1	2	2	3	5	3	6	5	5	7	7	10	10	10	13	16	13	16	17	0	20	21	25	20	22	21	26	26	26	30	31	1	2	1	1	1	1	1	1	1	3	1	2	2	2	3	2	2	4	3	3	1	1	2	1	2	2	2	1	1	1	2	1
13000	-187.238500612486490	-185.504453954318052	-1.734046658168442	0.000089758572036	0.000017368737484	0.193505055732860	0.602132899957900	-1	2	6	4	8	8	10	8	10	11	13	10	12	15	16	16	17	21	24	25	25	27	29	29	29	31	30	32	31	33	36	37	0	1	2	2	3	3	5	3	8	3	10	8	10	10	10	13	16	16	18	18	0	20	21	22	20	19	21	20	24	29	26	29	1	2	2	1	1	2	1	1	1	2	1	1	1	2	1	2	1	3	2	3	1	1	2	1	2	3	2	3	1	1	2	3
13500	-159.570133779113036	-157.457253778144349	-2.112880000968683	0.000090208126520	0.000011096166709	0.123006287092420	0.747008885133509	0	2	6	4	4	7	10	9	9	11	12	11	13	15	16	16	18	20	24	26	25	28	30	30	30	30	29	31	31	32	33	38	0	1	5	2	2	3	6	6	6	7	7	6	10	7	13	13	16	17	18	19	0	20	21	22	22	20	21	26	26	26	26	31	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	3
14000	-168.940726866368834	-167.284706720962021	-1.656020145406814	0.000075594088308	0.000016484637233	0.218067809294194	0.582756260656152	-1	2	6	4	7	10	9	11	9	12	12	12	13	16	16	17	18	21	25	24	25	26	29	29	29	31	30	32	31	32	34	37	0	1	2	2	3	3	5	6	5	3	7	8	10	10	13	13	16	17	17	18	0	19	21	22	22	24	23	26	24	26	30	31	1	2	2	1	1	2	2	1	1	2	2	1	1	3	1	2	1	2	3	2	1	1	2	2	1	1	1	1	1	1	1	2
14500	-185.464298156883586	-183.559866415564414	-1.904431741319168	0.000086112160500	0.000013326972779	0.154762959165172	0.713553318466291	-2	2	6	4	6	9	9	11	9	12	9	11	14	15	16	16	19	21	24	25	24	28	28	30	30	30	29	31	31	33	36	37	0	1	2	2	1	5	3	7	3	7	5	7	10	10	10	13	16	17	18	19	0	19	21	22	22	20	21	22	22	26	26	26	1	2	3	1	3	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	3	2	1	1	2	3	2
15000	-177.333932033232998	-175.063893914881248	-2.270038118351738	0.000095390805767	0.000010073173710	0.105599000124620	0.571441610031949	-1	2	6	4	7	9	8	11	10	11	12	12	13	14	15	16	18	20	23	25	26	27	30	30	29	30	29	31	32	32	36	36	0	1	2	2	3	5	3	6	5	7	7	3	10	10	10	10	15	17	18	19	0	20	21	20	19	22	21	25	28	28	24	28	1	2	2	1	1	1	1	1	2	2	2	4	1	2	2	3	2	1	2	1	1	2	1	4	3	2	1	1	1	1	3	3
15500	-179.168560972438627	-177.123096967092323	-2.045464005346302	0.000105511347134	0.000013924141831	0.131968193080201	0.530213796062970	-1	2	7	4	5	9	9	10	10	11	12	12	12	16	17	17	18	20	25	24	25	27	30	30	29	29	30	30	32	33	35	37	0	1	2	2	2	5	5	7	6	6	7	7	10	10	10	13	16	17	20	17	0	20	21	22	20	22	21	26	28	24	24	30	1	2	2	1	1	2	2	1	1	1	2	1	1	3	3	2	1	1	1	2	1	2	3	2	2	1	3	1	1	1	2	2
16000	-178.508520121946304	-176.390577129344479	-2.117942992601817	0.000091219029469	0.000011162858073	0.122374225395284	0.638969069621682	-1	1	5	3	7	9	10	10	8	10	11	10	12	14	16	17	19	21	25	26	26	28	31	31	30	30	28	30	31	32	36	38	0	1	2	2	3	3	5	6	3	5	6	3	10	13	7	13	16	17	18	19	0	20	21	25	22	20	21	22	22	26	30	31	1	1	2	2	1	3	2	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	2	1	1	2	1	1	2	1	2	1
16500	-169.651182297462270	-168.139631807184116	-1.511550490278161	0.000100366631600	0.000028790314532	0.286851457233895	0.744574157342347	0	2	6	3	8	10	9	11	10	11	12	12	13	16	16	16	18	20	24	24	26	27	28	30	28	28	29	31	31	33	36	34	0	1	2	2	3	5	5	6	5	7	7	8	10	10	10	13	16	17	18	18	0	20	21	20	19	22	21	26	26	28	32	29	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	3	2	1	2	2	2	1	1	2
17000	-166.116117081950534	-164.090301627900715	-2.025815454049829	0.000079315524567	0.000010690778857	0.134787973928468	0.611309968620543	-1	1	6	3	7	9	9	10	9	11	10	12	12	15	16	16	18	20	24	25	25	27	29	28	30	29	29	31	31	33	36	37	0	1	2	2	3	5	5	5	3	6	5	3	10	10	14	13	16	17	18	19	0	19	21	22	24	20	21	26	24	28	30	31	1	1	3	1	1	1	1	2	2	1	1	2	1	2	1	2	1	1	3	1	1	1	2	1	1	2	2	2	1	1	1	1
17500	-178.554058979569248	-176.591796141212313	-1.962262838356934	0.000089840008975	0.000012995360013	0.144650030222716	0.507064847752654	0	2	6	4	6	9	9	10	9	11	11	12	13	15	15	16	17	20	23	25	25	27	30	30	29	30	29	31	32	32	35	37	0	1	2	2	2	5	3	6	3	9	9	7	10	10	10	15	13	15	17	19	0	20	21	22	19	19	21	19	24	26	28	31	1	1	2	1	2	1	2	1	2	2	1	1	1	2	3	1	2	2	2	1	1	1	2	2	2	3	2	4	1	1	2	1
18000	-171.939688910281745	-169.991370416001331	-1.948318494280423	0.000088340347762	0.000012984351516	0.146980987114160	0.611495201653949	-1	3	6	4	6	8	9	10	8	11	12	12	14	15	17	16	18	21	23	23	26	27	31	30	28	31	29	31	30	33	36	38	0	1	2	2	2	3	9	6	5	7	7	6	10	10	14	13	16	13	17	18	0	20	21	22	22	22	21	18	22	26	26	31	1	2	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	3	2	1	1	2	2	2	1	2	2	5	1	1	2	1
18500	-187.186577021250343	-185.461511123743861	-1.725065897506490	0.000108894386529	0.000021348885670	0.196051296588432	0.683284893602501	-2	1	7	4	5	7	9	10	10	12	12	11	13	15	17	16	19	19	24	26	26	28	31	30	30	31	30	30	31	33	36	38	0	1	2	2	2	5	3	6	3	7	3	8	10	10	16	10	14	16	18	19	0	20	21	22	22	20	21	20	28	29	26	30	1	1	2	1	2	1	1	2	1	1	3	1	1	1	1	2	2	1	2	1	1	1	3	2	1	3	2	2	1	1	2	2
19000	-150.008538093863791	-147.651173609962427	-2.357364483901351	0.000135734417710	0.000013243420050	0.097568621678485	0.715293760913111	-1	2	5	3	7	8	9	11	9	11	12	13	14	15	17	16	19	20	24	25	26	27	30	29	29	30	29	31	31	32	36	38	0	1	2	2	3	3	5	3	5	7	7	11	10	10	14	13	16	17	17	19	0	20	21	22	22	20	21	24	24	28	28	31	1	2	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1
19500	-171.315032540018848	-169.613222130063178	-1.701810409955667	0.000078042662011	0.000015839349087	0.202957570630999	0.701059535800030	-1	1	6	3	7	8	10	10	10	12	12	13	12	15	14	16	17	20	24	25	26	27	30	30	29	30	29	30	31	31	36	36	0	1	2	2	3	3	5	6	5	9	7	8	9	13	10	13	16	16	18	18	0	20	21	25	22	22	21	20	26	20	30	28	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2
20000	-182.554341623799075	-180.765312091344271	-1.789029532454813	0.000120597547666	0.000021610706576	0.179196899059520	0.699242018336586	-1	2	7	3	6	9	9	10	8	12	12	13	13	14	14	15	18	20	25	24	25	28	29	30	29	29	30	31	32	32	35	37	0	1	2	2	2	3	2	3	5	7	9	8	10	10	13	13	16	16	18	18	0	20	21	19	22	22	23	26	22	26	30	31	1	2	2	1	2	2	4	2	1	1	2	2	1	1	1	1	2	2	3	2	1	2	2	3	1	1	1	1	2	1	2	1
20500	-170.703535978605913	-168.088059293659910	-2.615476684946004	0.000124500895522	0.000009793519552	0.078662241833329	0.800251572119815	0	3	6	4	8	10	9	11	10	11	11	11	13	15	16	16	18	20	24	26	26	27	30	31	29	29	29	31	31	32	36	37	0	1	2	2	2	3	5	6	5	7	7	6	10	10	14	13	10	17	17	19	0	20	21	22	22	22	21	26	26	28	30	26	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	3	1	3	1	1	1	2	2	1	1	1	1	1	1	3	3
21000	-176.039260070878470	-174.078275419853924	-1.960984651024537	0.000124639829606	0.000018055452928	0.144861020630345	0.622080742324367	-2	2	5	3	8	10	8	10	6	10	11	12	14	14	16	16	18	20	24	26	26	26	30	31	30	31	29	31	30	33	35	36	0	1	2	2	9	7	9	5	3	7	8	9	10	6	14	13	16	17	18	19	0	19	21	20	20	29	21	20	22	25	30	24	1	2	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	1	1	1	2	3	2	1	2	3	3	1	1	3
21500	-182.252242312196813	-180.199001812351895	-2.053240499844926	0.000120827078074	0.000015813791030	0.130879528682372	0.497100743298314	-1	3	7	4	7	9	9	10	9	11	13	12	13	15	17	16	19	20	25	26	26	27	30	30	29	30	29	29	32	32	36	36	0	1	1	2	2	5	5	6	5	7	6	8	10	10	13	13	15	17	17	19	0	19	21	20	20	20	21	19	19	24	19	29	1	2	2	1	3	1	1	1	1	1	2	1	1	2	2	2	1	1	3	1	1	1	2	2	1	3	2	2	4	1	5	2
22000	-165.839685381369804	-164.327198055424645	-1.512487325945155	0.000083336197149	0.000023854254979	0.286241222837649	0.804917178309779	0	2	4	3	7	9	9	11	9	12	11	12	13	15	16	16	19	21	23	26	26	28	31	29	30	31	28	30	31	31	35	38	0	1	2	2	3	5	5	6	5	7	5	8	10	10	13	10	16	16	18	19	0	20	21	22	22	28	21	22	28	28	30	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	2	1
22500	-184.070772585353723	-182.462541482334188	-1.608231103019524	0.000126657105151	0.000029955410219	0.236507933632909	0.623628902300383	-1	3	5	3	7	9	9	11	9	11	12	11	14	14	17	16	19	20	24	25	25	26	30	30	29	29	29	31	31	32	36	37	0	1	2	1	3	5	5	6	5	7	3	6	10	12	14	14	13	17	18	18	0	19	21	22	22	22	21	26	20	29	28	30	1	2	1	2	2	1	1	1	1	1	3	1	2	2	1	1	3	1	2	4	1	1	2	2	2	1	1	1	3	1	3	2
23000	-176.408803107421477	-174.854066810410217	-1.554736297011259	0.000061392860028	0.000016060538088	0.261602702337317	0.746864084492040	-1	3	7	4	6	9	8	10	9	11	12	13	13	14	17	16	18	20	23	25	25	27	29	28	29	28	30	31	32	32	35	37	0	1	5	2	2	3	2	6	5	7	3	8	10	13	16	13	16	17	16	19	0	20	21	22	22	20	21	20	26	26	28	31	1	1	1	1	1	1	3	1	1	2	2	2	2	1	1	2	1	1	2	1	1	1	2	1	1	2	2	3	1	2	2	1
23500	-174.080755991420460	-172.110430304855640	-1.970325686564817	0.000084436437578	0.000012102379838	0.143331246380745	0.627439712383632	-1	3	6	4	7	8	9	10	10	12	11	12	14	16	16	16	18	20	24	26	25	27	29	31	30	29	30	31	30	33	36	37	0	1	2	2	2	5	5	6	5	3	6	6	10	13	13	10	16	17	17	18	0	19	21	25	26	19	23	20	26	28	30	28	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	4	2	1	2	3	1	1	2	1	2	1	1	2	3
24000	-165.764883909942967	-163.525320553495220	-2.239563356447742	0.000081935231076	0.000008902325466	0.108650764137371	0.751811860062358	-1	3	6	4	7	8	10	10	9	11	13	12	12	14	17	16	18	20	24	25	24	27	30	31	30	29	29	31	31	33	35	37	0	1	2	2	2	3	6	6	3	5	3	8	10	10	14	13	16	17	18	19	0	20	21	20	22	20	21	26	26	24	30	31	1	2	2	1	2	1	1	1	1	2	3	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	2
24500	-188.890928470455890	-186.947207488647308	-1.943720981808575	0.000141397055009	0.000020893373400	0.147763851223194	0.612353725605476	-1	3	6	4	7	8	9	10	9	11	12	13	14	15	16	14	19	20	25	25	25	27	30	30	29	30	29	31	31	32	36	37	0	1	2	2	4	3	6	6	6	7	3	6	3	7	11	5	15	17	17	17	0	20	27	22	22	19	21	22	24	24	28	30	1	2	2	1	2	1	1	1	1	1	3	1	4	3	3	3	2	1	3	3	1	1	1	2	1	2	2	2	1	1	3	2
