step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
5000	-300.001664527207367	-298.525122940568792	-1.476541586638581	0.000011739101105	0.000012203839426	1.039588918781135	0.620273945115926	0	2	1	2	2	5	3	3	5	5	5	4	5	8	6	6	7	8	8	7	8	7	8	8	8	7	10	9	9	10	10	10	12	11	13	12	13	13	14	14	14	15	16	15	17	16	17	18	20	20	23	20	21	23	25	0	1	1	3	3	4	4	4	4	12	7	7	12	11	10	13	9	11	26	6	15	16	15	17	26	13	23	23	23	17	23	28	30	30	34	34	36	36	37	36	36	36	40	41	38	40	43	41	42	48	45	48	48	0	0	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	2	1	1	1	1	1	2	3	1	1	2	2	1	2	3	2	2	2	2	1	1
5500	-271.271531417153312	-269.600592289900817	-1.670939127252496	0.000015089310450	0.000023009506946	1.524887901423546	0.720106393430845	0	2	1	2	2	4	3	3	5	5	5	4	5	9	6	6	7	8	7	7	8	7	8	8	8	8	9	9	10	9	10	11	12	11	12	12	13	14	14	15	16	17	16	14	16	17	17	17	20	20	23	21	21	23	25	0	1	1	3	3	4	4	4	4	12	7	7	12	4	10	13	9	11	13	9	15	16	15	17	19	16	23	23	23	24	27	28	30	30	34	34	36	37	36	38	37	37	40	36	39	40	43	43	42	48	45	50	48	0	0	1	2	1	1	1	2	1	1	2	1	2	1	1	5	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	3	1	2	2	2	1	1	1	2	4	1	3	1	1
6000	-262.377150536102590	-261.005205792890877	-1.371944743211690	0.000026255762770	0.000018024599677	0.686500705938122	0.584852527324052	0	2	1	2	2	4	3	3	5	5	5	4	5	9	6	6	5	8	8	7	8	7	8	7	8	8	10	9	10	9	10	11	12	12	13	11	13	14	14	15	16	17	16	15	17	17	17	18	19	19	22	20	21	23	24	0	1	1	3	3	4	4	4	4	12	7	7	12	9	10	13	6	11	16	9	15	13	10	17	22	16	23	23	23	24	23	23	30	30	34	30	36	36	36	37	37	39	40	36	41	40	43	43	42	48	45	50	48	0	0	1	1	1	1	1	2	1	1	2	1	2	1	1	3	1	1	1	2	2	2	2	2	3	2	1	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1
6500	-250.592373197589097	-249.193500314299769	-1.398872883289329	0.000077657106860	0.000031343813455	0.403618093978844	0.745562607917316	0	1	1	2	2	5	3	3	5	7	5	4	5	9	6	6	7	8	8	7	7	7	8	8	7	8	9	9	10	10	10	9	12	11	13	11	13	14	14	15	15	16	16	16	17	17	17	17	20	20	21	21	21	23	23	0	1	1	3	3	4	4	4	7	16	7	7	12	17	13	13	9	20	16	9	15	16	21	17	16	22	23	23	23	24	27	23	30	17	34	30	36	36	36	39	36	41	40	40	41	39	40	39	42	48	45	50	48	0	0	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2	1	3	1	1
7000	-286.902224932315562	-285.430950369390018	-1.471274562925536	0.000095884127671	0.000030361047774	0.316643103627426	0.674798822696914	0	1	1	2	2	4	3	3	5	7	5	5	5	9	6	6	7	8	7	6	8	4	8	8	8	7	9	9	10	9	10	11	12	10	13	11	13	13	14	15	15	16	15	15	17	16	17	17	20	19	23	21	21	23	25	0	1	1	3	3	4	4	4	3	13	7	22	6	18	12	22	6	7	22	11	15	7	10	17	16	12	23	23	23	17	27	28	24	30	34	30	36	36	38	37	37	38	36	39	43	43	40	41	38	42	53	47	40	0	0	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	2	3	1	2	1	1	1	2	2	1	1	1	2	1	2	3	1	1	2	2	1	1	1	2	3	3	1	2	1	1	2	5	2	1	3	4	1	1
7500	-295.129573390588178	-293.399581780358005	-1.729991610230182	0.000134144751196	0.000026110845778	0.194646794196063	0.650445510344998	0	2	1	2	2	5	3	3	4	7	5	5	4	8	6	6	7	7	8	7	8	5	8	6	8	7	10	9	10	10	10	11	12	10	13	12	13	14	14	15	16	17	16	16	17	17	17	18	20	20	23	21	19	23	25	0	1	1	3	3	9	4	4	4	16	9	13	7	9	13	13	9	11	13	6	15	13	15	9	10	22	15	23	23	14	23	23	34	14	30	34	24	34	36	36	38	44	40	36	39	43	39	38	42	43	47	53	43	0	0	1	2	1	1	1	1	1	1	2	1	1	1	1	3	1	2	2	2	1	2	2	1	1	2	1	1	4	1	2	1	1	2	2	2	2	2	4	3	2	1	2	1	1	2	2	1	1	3	2	4	3	1	2	1	1
8000	-288.463366576205942	-286.801899701936406	-1.661466874269513	0.000134171565501	0.000029001560468	0.216152806743509	0.647489040584030	0	2	1	2	2	4	3	3	5	6	5	5	4	6	6	6	7	8	8	7	8	7	7	8	8	8	7	9	9	9	9	10	12	11	12	12	13	14	14	14	15	17	16	16	16	17	17	18	18	19	23	20	21	20	24	0	3	1	3	3	4	4	4	4	9	4	13	7	1	11	13	4	9	11	11	15	10	15	17	10	22	11	23	27	17	19	28	24	24	24	34	36	36	36	34	34	44	41	37	39	38	43	45	41	48	45	50	52	0	0	1	1	1	1	1	2	1	1	2	1	3	1	1	3	1	2	2	3	3	2	2	1	1	1	2	1	2	2	2	1	1	1	3	3	2	1	1	2	2	2	3	1	1	2	1	2	1	2	1	1	4	1	1	1	1
8500	-288.172863853606145	-286.356776033542701	-1.816087820063450	0.000119585439549	0.000020671832646	0.172862454861610	0.674035906802695	0	2	1	2	2	4	3	3	4	7	5	5	4	9	6	6	7	8	8	6	8	7	7	7	8	8	9	9	8	10	10	9	12	11	12	12	13	14	14	15	14	17	15	15	17	17	15	18	20	20	23	21	21	22	25	0	1	1	3	3	4	4	4	7	15	7	13	7	20	13	13	6	11	10	9	15	16	15	11	12	16	24	21	15	4	23	23	34	17	17	34	36	36	36	41	37	44	37	37	43	43	34	44	42	48	45	48	48	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	2	2	1	1	2	1	2	1	1	1	5	3	2	1	4	3	1	1	2	2	1	1	1	2	2	2	2	3	1	2	2	3	2	2	1	1
9000	-280.725105104107399	-279.313633366609849	-1.411471737497539	0.000095800061282	0.000036669971397	0.382776074528123	0.633970781828994	0	2	1	2	2	5	3	3	5	7	5	5	4	9	6	6	7	8	8	7	7	7	8	8	8	7	10	9	10	10	9	11	12	12	13	11	13	14	14	15	16	17	16	16	16	17	17	18	20	19	22	21	20	22	25	0	1	1	3	3	7	4	4	7	16	7	13	7	16	6	13	6	22	26	9	15	13	21	9	16	13	22	23	31	17	23	23	30	30	34	24	36	36	36	38	36	41	39	39	39	40	40	38	42	45	50	53	43	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	3	1	3	2	2	1	1	1	3	1	3	2	2	1	1	2	3	2	1	3	1	2	2	1	1	1	2	1	2	2	1	3	1	1
9500	-286.324881625803528	-284.327354645294179	-1.997526980509322	0.000123462246037	0.000017165099646	0.139031162944183	0.559656107847206	0	2	1	2	2	3	3	3	5	7	5	5	4	8	6	6	7	7	8	6	7	7	8	8	8	8	10	9	10	10	10	11	12	12	13	12	13	14	14	15	16	17	16	13	16	16	17	18	20	20	23	20	21	22	23	0	1	1	3	3	4	4	4	4	16	7	13	7	11	13	13	8	7	16	7	15	15	21	9	9	10	23	23	23	14	23	23	30	8	14	30	30	36	36	39	44	39	40	34	36	40	45	43	41	48	48	48	48	0	0	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	4	1	2	3	1	1	1	2	2	1	2	1	1	2	1	3	1	6	3	1	3	2	2	1	3	3	1	1	3	1	1	2	3	2	2	1	2	1	1
10000	-268.263825748092017	-266.833992794100311	-1.429832953991723	0.000094108319745	0.000033703077052	0.358130685393896	0.683797079224585	0	2	1	2	2	5	3	3	5	6	5	5	4	9	6	6	7	8	8	7	5	7	8	8	8	8	9	7	10	10	10	11	12	11	13	12	13	14	14	15	16	17	16	14	16	17	17	18	20	20	22	21	21	22	25	0	3	1	3	3	4	4	4	4	21	7	13	7	20	21	13	4	11	16	6	13	13	28	20	12	13	23	21	27	14	27	23	30	30	33	34	36	36	36	38	39	39	38	36	37	39	39	42	42	42	45	43	48	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	4	2	2	2	1	2	1	1	3	2	1	2	1	1	1	3	2	1	1	1	1	2	2	1	1	2	1	1	2	2	2	1	2	3	3	3	2	1	1
10500	-299.965523461519069	-298.441062522013624	-1.524460939505473	0.000084673698228	0.000023599475557	0.278710816358011	0.631329873014736	0	2	1	2	2	5	3	3	5	6	5	5	4	9	6	6	7	8	8	7	8	7	7	8	8	8	9	9	8	9	9	11	10	10	13	11	13	14	13	14	16	17	16	14	17	17	17	18	20	17	23	21	21	23	25	0	1	1	3	3	4	4	4	8	13	7	13	7	24	13	13	9	6	15	6	12	13	10	20	11	13	23	23	23	6	21	28	30	30	30	17	34	39	36	36	37	44	40	36	44	43	44	50	42	41	45	40	48	0	0	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	2	3	3	1	1	3	2	1	1	1	3	1	2	1	1	3	3	2	1	2	2	2	3	2	1	3	1	2	1	1	1	2	3	2	1	1
11000	-306.477746930633543	-304.731641333510197	-1.746105597123336	0.000133270720037	0.000025346038572	0.190184599928859	0.624086863381173	-1	2	1	2	2	4	3	3	4	6	5	4	5	9	6	6	5	8	7	6	8	6	8	8	8	8	9	9	10	9	8	10	12	11	13	12	13	14	14	14	15	17	16	16	16	17	17	17	20	20	23	19	21	22	25	0	3	1	3	3	4	4	4	8	12	7	7	12	10	11	13	4	20	10	9	13	13	10	9	16	12	21	10	26	11	20	28	30	21	30	34	36	36	36	37	37	41	41	40	39	40	45	38	42	45	39	48	43	0	0	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	3	2	1	2	3	1	2	2	2	3	1	3	2	2	1	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	1	2	2	2	6	2	4	1	1
11500	-284.353732790337972	-282.697962183071070	-1.655770607266928	0.000127343466267	0.000027780788682	0.218156372657682	0.653568062303393	0	2	1	2	2	5	3	3	4	6	4	5	4	9	6	6	7	8	7	7	8	7	8	8	7	7	10	9	9	10	10	11	12	9	13	12	13	14	14	15	16	17	16	16	17	17	17	18	19	20	23	20	20	23	25	0	3	1	3	3	9	4	4	8	13	7	13	7	6	12	13	9	17	13	8	15	13	22	22	13	10	21	21	23	24	23	27	30	26	14	30	36	36	37	36	36	44	39	40	38	14	43	38	42	48	50	48	48	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	2	2	3	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	2	3	1	1	1	2	5	1	2	2	2	3	2	2	1	1
12000	-277.225860856609074	-275.692712651656848	-1.533148204952235	0.000127245668452	0.000034806434999	0.273537287534470	0.644864230695734	0	2	1	2	2	5	3	3	4	5	4	5	4	9	6	6	7	8	8	7	7	7	8	8	7	8	8	9	10	10	9	9	12	10	12	12	13	14	14	15	16	17	16	15	17	17	17	17	19	20	23	21	21	22	25	0	1	1	3	3	4	4	4	8	13	7	13	7	24	9	13	9	20	13	6	15	16	22	9	16	21	16	27	22	17	27	27	30	6	34	34	36	37	37	38	39	41	37	39	39	43	44	40	42	41	42	50	50	0	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	3	2	1	1	1	1	1	1	2	1	3	3	1	1	2	2	2	2	1	1	1	1	2	1	3	1	2	1	1	2	2	2	2	1	1	1	1
12500	-281.566742022409130	-279.784960849829758	-1.781781172579394	0.000180619336150	0.000032686236369	0.180967536842422	0.699212207200371	0	2	1	2	2	5	3	3	5	7	5	5	4	9	6	5	7	8	7	7	8	7	8	8	8	7	9	9	10	10	10	11	12	11	13	12	13	14	14	15	16	17	16	16	17	17	17	18	20	20	23	20	20	23	25	0	1	1	3	3	8	4	4	7	16	7	13	7	10	12	13	9	26	13	9	15	13	22	11	16	13	21	23	10	20	27	27	14	14	34	24	34	35	37	38	39	39	40	35	44	41	33	43	41	48	41	43	40	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	3	2	2	1	1	3	2	2	1	1	1	2	1	2	2	1	2	2	2	1	1	1	2	3	1	1	1	1	2	1	2	1	6	2	3	1	1
13000	-285.381255716169335	-283.920212322559223	-1.461043393610113	0.000082301395044	0.000026796753676	0.325592946048897	0.602739675844649	0	2	1	2	2	3	3	3	5	7	5	5	4	6	6	6	6	6	8	7	8	7	8	8	7	8	10	9	10	10	10	11	11	11	13	11	12	14	14	15	16	16	16	16	17	17	17	18	18	19	21	21	21	23	22	0	1	1	3	3	4	4	4	6	16	7	13	7	6	9	13	9	9	22	14	22	13	15	9	16	22	23	23	21	18	22	28	30	24	30	30	36	36	36	38	38	36	38	39	39	38	44	47	42	48	45	45	48	0	0	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	2	3	1	1	2	1	2	3	2	2	1	3	2	1	1	2	3	1	2	2	1	2	2	2	1	1	2	1	4	3	3	1	1
13500	-268.639795716612923	-267.009509792691517	-1.630285923921422	0.000112473857866	0.000025599982680	0.227608291965718	0.719792936015352	-1	2	1	2	2	5	3	3	4	7	5	5	5	9	6	6	7	7	8	6	7	7	8	8	8	8	9	9	10	10	10	10	12	12	13	12	13	14	14	15	16	17	16	16	17	17	17	18	20	20	22	21	20	23	24	0	3	1	3	3	4	4	4	1	15	9	9	7	6	12	12	6	11	22	8	15	13	18	18	16	16	23	23	23	24	27	21	30	30	34	30	36	37	37	39	37	41	36	38	41	37	44	44	41	48	49	50	44	0	0	1	1	2	1	1	1	1	1	4	1	1	1	2	2	1	1	1	2	1	3	1	2	1	1	1	2	1	1	2	2	1	3	2	1	1	2	1	1	1	1	2	1	2	2	1	2	1	1	3	2	2	1	4	1	1
14000	-293.936740730220208	-291.986377635030692	-1.950363095189498	0.000183900995232	0.000026966349230	0.146635145699616	0.609372760625827	0	2	1	2	2	4	3	3	5	6	4	4	5	9	6	6	7	7	8	7	8	7	8	8	8	8	10	9	10	10	10	11	11	10	12	12	13	14	14	14	16	16	16	16	17	17	16	18	20	19	20	21	20	23	23	0	3	1	3	3	4	4	2	6	12	7	7	12	26	12	13	9	9	18	4	18	16	15	20	22	10	28	21	10	14	18	28	17	24	30	30	36	36	36	36	36	39	38	37	42	47	39	41	45	44	44	53	39	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	4	1	1	2	1	1	2	1	1	1	1	1	2	3	1	2	1	1	2	2	2	3	1	1	2	1	1	1	2	2	3	2	1	4	1	1
14500	-270.385082514050964	-268.522816394884728	-1.862266119166220	0.000119119294542	0.000019410889174	0.162953359058897	0.660389556016404	0	2	1	2	2	5	3	3	3	6	5	4	5	9	6	6	7	8	7	5	8	7	8	8	8	8	10	9	10	10	9	11	11	12	13	11	13	14	14	15	16	14	16	15	17	17	17	18	20	20	23	21	21	23	24	0	3	1	3	3	9	4	4	4	20	7	7	12	24	20	13	6	6	13	9	15	10	15	20	19	22	21	23	23	24	21	28	24	30	30	30	36	36	36	39	36	36	37	38	38	37	39	41	38	48	49	48	48	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	2	2	3	1	2	2	1	1	1	2	2	2	4	2	2	2	2	1	1
