step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47
5500	-113.770888722630431	-112.308806638111548	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.967884839710143	2	3	5	7	8	10	10	9	11	8	10	11	10	12	11	12	11	13	10	11	12	12	11	13	12	12	12	14	13	13	15	14	18	16	17	16	16	15	16	19	15	18	18	20	21	21	21	0	1	2	2	3	8	10	4	7	4	5	10	10	7	13	13	7	20	10	11	8	15	19	27	7	19	19	18	12	22	28	20	34	26	32	28	30	18	41	33	27	39	34	33	44	40	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-130.311785037696239	-128.849702953177371	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.927153139117786	1	2	5	6	7	10	9	8	10	9	9	11	11	12	10	11	11	12	10	11	12	11	13	13	13	13	13	15	13	13	15	14	16	16	17	16	16	15	18	17	17	18	17	19	19	22	20	0	1	2	2	3	7	5	4	7	5	5	11	15	19	7	19	7	8	8	11	7	19	19	6	9	6	9	26	13	15	6	21	38	14	33	21	30	18	35	31	37	32	34	43	40	47	40	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-138.736748031991368	-137.274665947472499	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.865509787262684	1	4	6	8	9	10	8	6	10	10	8	10	9	10	10	12	9	13	11	11	11	12	12	13	13	11	13	16	13	14	15	14	17	17	15	17	15	15	18	18	16	18	18	18	19	20	21	0	1	2	3	7	17	3	2	17	4	1	17	3	5	7	6	4	21	5	8	14	13	21	10	19	17	23	29	22	21	10	23	35	38	27	30	30	25	28	24	30	41	28	32	28	34	45	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1
7000	-118.934851080058394	-117.472768995539511	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.863456055789489	1	3	6	8	9	9	10	8	11	10	9	11	10	11	10	11	12	14	11	11	11	13	13	13	13	12	13	15	13	12	15	15	17	16	17	16	16	15	19	18	15	18	18	20	19	20	21	0	1	2	3	8	8	4	3	5	11	8	5	11	8	3	7	21	30	13	11	5	9	30	16	20	14	12	25	9	21	27	25	37	12	32	21	26	29	42	24	24	33	37	43	40	42	44	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	1	1	1	1
7500	-110.378034839740536	-108.915952755221653	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.912628899388062	1	3	5	7	7	10	9	9	11	8	10	10	11	12	9	10	11	13	10	12	11	12	13	13	13	12	12	15	13	14	15	14	18	16	18	16	15	16	17	18	17	18	16	19	20	21	21	0	1	2	3	3	4	5	4	11	5	15	7	11	19	4	7	11	14	8	15	19	9	22	9	21	11	12	23	17	26	24	27	34	30	34	27	29	31	31	36	28	34	25	35	39	40	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
8000	-128.891523425354507	-127.429441340835623	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.917003904508973	2	3	5	7	8	10	9	8	9	9	10	11	11	11	11	10	11	14	10	11	12	12	12	13	13	12	14	14	13	14	16	15	17	16	17	17	17	15	18	19	17	18	18	20	18	21	20	0	1	2	3	4	5	8	4	4	4	10	16	10	5	7	8	5	23	10	16	6	5	15	23	26	7	17	23	13	21	18	25	28	25	34	34	30	6	34	36	25	35	31	40	27	34	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
8500	-120.776555859073838	-119.314473774554955	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.924419607399436	1	3	6	8	8	9	9	8	9	10	9	10	9	11	10	11	11	13	10	11	12	11	12	13	13	12	13	14	14	13	16	15	18	17	16	16	15	17	16	17	16	18	18	20	20	20	18	0	1	2	3	3	4	8	3	8	3	4	4	8	15	6	9	10	23	7	8	12	6	20	17	16	11	22	30	21	26	18	25	36	37	30	27	27	30	25	36	32	36	35	47	32	42	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
9000	-119.619667410367825	-118.157585325848942	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.966453213326349	2	4	6	7	8	10	10	8	11	9	10	9	11	11	10	11	11	13	10	11	10	12	13	13	13	12	13	12	14	14	15	16	18	17	17	16	17	16	19	16	16	18	17	20	20	19	21	0	1	2	2	4	8	12	3	21	5	10	8	21	12	5	7	5	16	8	21	5	7	16	22	17	5	28	15	23	20	25	22	40	40	29	30	38	20	32	30	24	34	36	38	33	37	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
9500	-112.855073033016993	-111.392990948498110	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.936305536027926	2	4	6	8	8	10	9	9	11	9	9	10	10	10	11	11	10	14	11	12	12	13	12	13	13	12	13	15	13	13	16	14	18	17	18	16	17	16	18	16	15	17	19	19	19	20	21	0	1	2	3	3	4	4	5	7	3	4	5	8	8	12	8	5	24	14	17	16	12	14	16	7	6	14	25	19	6	18	23	31	31	41	32	24	32	37	18	27	28	35	34	34	39	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
10000	-128.549190128469974	-127.087108043951105	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.699551490493218	1	3	6	8	6	10	9	8	11	9	8	11	10	11	9	12	11	14	10	10	11	12	12	14	13	12	13	16	14	13	15	15	18	17	16	16	16	16	18	19	17	18	18	18	20	22	20	0	1	2	3	2	8	11	3	8	8	5	7	4	15	4	20	10	25	15	10	19	10	19	26	21	21	13	25	16	19	9	23	24	37	32	18	24	24	35	37	31	37	37	29	42	31	42	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1
10500	-131.812447832552238	-130.350365748033369	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.975044982468113	1	3	5	8	9	9	9	5	10	9	7	11	11	11	10	10	12	13	8	9	12	11	11	13	13	12	13	16	12	13	15	15	18	16	17	17	16	17	18	18	16	18	18	19	19	20	19	0	1	2	3	4	19	19	2	11	4	3	7	5	15	10	19	7	13	8	19	20	11	5	21	13	4	13	32	16	17	30	24	34	30	32	32	32	17	31	37	32	37	37	35	41	43	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-113.674152872456006	-112.212070787937122	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.986456333654000	1	3	5	8	7	11	10	8	9	9	7	10	11	11	11	11	11	13	9	11	10	12	12	14	13	11	14	14	12	14	16	14	17	16	17	17	17	15	18	18	16	19	19	18	20	21	21	0	1	2	5	3	10	8	3	5	11	3	4	7	9	12	4	21	7	5	12	9	7	15	6	15	7	20	20	14	18	28	25	41	24	31	31	41	24	41	30	38	40	44	31	44	39	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-151.254080300689395	-149.791998216170526	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.712270566380848	1	2	5	7	8	11	10	8	9	9	8	9	10	11	10	11	12	13	11	11	12	13	10	12	13	13	12	14	12	14	15	15	19	16	15	16	15	16	17	18	16	18	18	18	20	22	21	0	1	2	2	2	10	10	3	8	4	4	2	11	13	8	7	6	27	9	9	19	7	11	7	23	16	15	15	10	24	30	22	42	16	20	18	25	17	41	32	14	34	37	20	42	14	45	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	2	1	1	3	1	5	1
12000	-111.377576376477506	-109.915494291958623	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.998768495679169	0	4	6	8	8	10	8	8	11	10	9	11	10	12	10	11	12	13	10	10	12	12	11	13	13	12	14	15	12	13	15	16	17	14	18	15	16	16	16	17	16	18	18	19	20	22	21	0	1	2	3	3	4	3	3	11	11	5	4	7	13	4	11	16	13	11	4	16	19	8	21	21	19	24	30	12	13	24	21	32	22	37	18	28	18	36	37	28	41	39	41	43	47	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-131.006615889761093	-129.544533805242224	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.904885404738062	1	3	5	7	9	10	9	8	11	9	9	11	11	11	11	12	12	14	10	12	11	13	13	13	13	13	14	15	13	13	15	16	17	15	17	14	15	16	15	18	16	19	17	19	20	21	19	0	1	2	3	3	7	4	1	10	4	8	4	7	10	10	14	11	16	3	21	10	12	5	14	14	14	11	25	9	17	36	23	27	22	37	25	30	31	22	37	23	38	38	35	44	40	43	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-112.231289770470923	-110.769207685952040	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.994490490141328	1	3	4	7	8	10	9	6	11	8	10	10	9	12	10	12	11	14	9	12	11	12	12	14	13	12	11	15	13	14	15	16	18	17	18	15	17	16	19	18	16	18	18	19	20	21	21	0	1	2	3	4	19	10	3	5	3	10	4	5	19	5	6	13	26	4	6	5	21	13	23	23	19	12	16	9	23	29	28	37	32	34	26	38	18	37	38	24	18	34	35	35	35	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13500	-108.314524050790368	-106.852441966271485	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.981692278141525	1	4	5	7	8	11	9	8	11	9	9	10	11	11	10	12	12	14	11	10	12	11	12	13	14	13	13	14	13	13	15	15	18	16	18	17	16	16	19	19	16	18	19	18	19	21	21	0	1	2	2	4	11	4	4	15	4	8	8	10	10	10	5	9	23	15	8	22	15	13	13	17	17	15	23	14	13	21	26	34	29	36	37	31	25	36	44	9	18	36	34	36	45	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-114.647619221471430	-113.185537136952547	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.829397862632462	2	4	5	7	8	10	10	8	10	10	9	11	11	12	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	17	16	18	16	15	16	18	18	15	18	19	19	19	21	20	0	1	1	2	3	5	4	4	11	4	4	15	10	9	11	5	10	14	11	11	15	10	19	17	26	20	12	16	12	23	22	30	36	27	36	41	10	18	36	38	29	32	35	35	35	45	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
14500	-137.169560026254771	-135.707477941735903	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.837479663125404	0	2	5	6	8	10	8	8	10	9	9	10	11	12	11	11	12	12	10	10	11	13	12	14	13	11	13	15	13	13	15	16	16	16	17	16	15	15	18	18	17	18	18	20	19	21	22	0	1	1	2	4	10	4	4	7	4	7	7	8	10	6	7	19	6	11	10	11	16	11	27	11	8	20	14	13	18	30	28	28	29	27	28	14	29	33	31	36	36	32	40	40	29	44	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	3	1
15000	-135.480757157525346	-134.018675073006477	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.893523175979879	2	3	5	7	8	10	9	8	9	9	8	10	10	12	10	10	10	13	11	11	11	12	13	12	13	12	13	15	14	13	14	16	18	16	17	16	16	15	19	18	16	18	18	18	21	21	20	0	1	2	3	3	3	1	3	4	8	4	5	5	5	10	11	8	19	6	17	17	16	19	16	5	15	12	14	26	15	24	22	37	27	25	18	30	25	43	36	27	36	34	31	40	43	42	1	1	2	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
15500	-148.926416653244644	-147.464334568725775	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.688938578081923	0	3	5	7	8	11	9	8	10	10	9	10	9	11	9	12	11	13	10	10	12	11	12	13	13	12	12	16	13	12	15	16	18	15	17	16	17	16	18	18	16	18	19	19	19	21	22	0	1	2	3	4	12	2	3	11	3	4	8	5	20	4	6	11	17	4	3	6	19	7	23	14	13	9	17	6	22	9	18	5	18	31	31	36	21	38	41	23	16	39	35	28	43	43	1	1	1	1	1	1	2	2	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	4	1	5	1	1	1	1	1	1	1	1	2	1	1	2	1	1
16000	-121.429821408794268	-119.967739324275385	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.971767837749019	1	3	5	7	9	8	8	8	10	8	10	10	10	11	11	11	11	14	10	12	12	12	13	13	14	11	13	14	13	13	15	13	15	16	16	17	16	15	18	17	16	18	17	19	19	21	21	0	1	2	3	6	4	4	4	8	3	7	8	8	5	10	7	8	24	5	15	19	9	8	16	26	9	11	16	12	16	32	9	24	27	28	25	25	27	33	18	25	37	35	40	43	39	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
16500	-124.905856800154126	-123.443774715635243	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.833192064029638	1	3	6	7	8	10	10	8	10	9	10	11	9	11	11	12	11	14	9	12	11	12	12	13	13	11	13	15	13	13	14	15	18	16	17	16	16	17	18	18	16	16	18	19	17	20	21	0	1	2	3	3	19	13	3	5	4	4	19	4	10	19	7	13	20	4	3	10	26	7	9	6	9	26	29	15	12	14	27	32	24	42	30	28	32	41	34	18	18	42	43	25	33	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2
17000	-124.563014812463948	-123.100932727945064	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.925061603852860	1	4	6	7	8	10	9	8	10	10	9	9	9	12	10	11	12	14	10	11	11	13	12	13	13	11	13	16	11	13	15	15	19	17	18	15	17	16	19	17	17	18	18	19	21	20	21	0	1	2	3	3	11	2	3	2	5	4	4	4	10	8	5	19	17	12	8	8	26	29	29	26	8	14	36	19	6	23	18	34	25	34	27	18	36	41	32	29	38	27	41	44	39	33	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1
