step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
5000	-218.129461489546401	-216.658033559492708	-1.471427930053687	0.000011891146106	0.000012196900445	1.025712772881529	0.582745198108397	0	3	4	5	6	8	7	9	9	9	10	10	13	12	10	12	14	15	16	18	17	18	19	18	21	20	21	19	20	18	21	22	23	24	22	22	28	0	1	1	2	3	7	4	7	7	5	10	6	4	9	4	9	14	17	18	18	18	21	19	14	20	22	15	19	22	11	23	26	28	29	26	28	36	1	1	1	1	2	1	1	1	1	1	1	1	4	2	2	1	1	1	1	1	1	1	2	2	2	1	4	1	1	3	1	1	2	2	1	1	2
5500	-187.305627610201071	-185.853042630339843	-1.452584979861236	0.000013742891240	0.000013376392348	0.973331747604798	0.908197103799844	0	2	4	7	6	7	5	9	9	11	10	11	13	11	9	15	13	15	17	17	16	18	19	19	19	19	22	20	20	21	21	23	23	24	23	24	26	0	1	2	7	7	7	3	4	4	9	7	15	15	15	6	17	10	17	18	18	18	21	20	20	19	22	23	19	26	26	23	30	27	30	24	35	36	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1
6000	-199.013380780762844	-197.649513844562279	-1.363866936200577	0.000017923728771	0.000011257232837	0.628063110107987	0.853191575442177	0	2	4	7	6	8	6	9	8	11	10	11	13	12	11	14	12	14	17	17	16	18	19	18	21	19	21	19	21	20	21	23	22	25	23	23	27	0	1	2	5	3	7	2	9	4	8	6	9	12	11	6	10	9	17	18	18	18	21	19	16	30	22	28	20	22	22	23	26	28	32	25	28	36	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2
6500	-152.898520388213427	-151.349822644874678	-1.548697743338736	0.000042789707747	0.000011331495051	0.264818238968358	0.968670249785511	0	2	4	7	5	8	7	8	9	10	10	11	13	13	11	14	14	14	16	18	16	18	19	20	21	19	20	20	20	22	21	22	22	25	23	23	28	0	1	2	5	2	4	5	3	7	8	6	9	15	15	9	14	15	13	18	19	18	21	19	20	24	22	22	19	22	27	23	26	24	29	31	28	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
7000	-157.240353211686312	-155.719345000255885	-1.521008211430420	0.000088554693759	0.000024869061140	0.280832783494582	0.845218431724846	-1	3	5	6	5	7	7	9	10	10	10	11	13	12	10	14	14	15	16	18	17	19	20	19	20	18	22	20	20	21	20	21	22	23	23	23	26	0	1	2	3	2	5	5	4	8	8	7	6	12	10	4	11	15	17	18	19	19	26	24	16	19	21	23	20	22	20	20	22	28	29	33	28	33	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2
7500	-174.565367892335502	-173.145151071459821	-1.420216820875681	0.000099422149720	0.000036821727182	0.370357382997005	0.883223400937096	-1	1	4	5	7	8	6	10	8	9	10	9	12	11	11	15	14	15	17	14	16	19	19	20	21	18	22	19	20	22	21	23	23	23	24	23	28	0	1	2	3	7	4	3	10	7	6	7	7	10	11	6	13	13	11	21	13	18	26	19	26	24	21	29	19	22	29	23	24	30	30	33	28	36	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
8000	-147.453042379369634	-145.428979588223200	-2.024062791146433	0.000091721930816	0.000012386537245	0.135044445045365	0.923787709696244	0	2	3	5	5	8	7	8	10	11	10	11	13	13	11	14	14	15	16	17	16	19	19	19	20	18	21	19	21	21	22	22	23	23	23	23	27	0	1	2	3	3	7	5	4	8	11	7	7	10	15	6	13	13	17	18	18	18	26	20	26	26	21	21	19	22	24	27	26	28	29	25	27	35	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
8500	-186.050352033313516	-184.468288560733157	-1.582063472580367	0.000084492866346	0.000020961630870	0.248087581545215	0.774364565765435	0	3	5	6	6	5	8	10	10	9	10	10	12	13	9	12	13	15	15	17	16	18	18	20	22	20	21	20	20	19	21	20	23	23	24	22	27	0	1	2	6	6	2	6	7	5	3	6	10	11	9	4	4	15	17	17	18	19	21	19	22	24	22	30	30	30	21	23	22	28	26	25	28	28	1	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3
9000	-156.586205887607576	-154.770586954510094	-1.815618933097475	0.000123078800797	0.000021288779339	0.172968693238651	0.903794412942692	-1	3	5	6	7	8	7	8	8	10	10	11	12	12	11	15	14	15	16	17	16	19	19	18	21	19	21	20	20	21	21	22	23	23	24	24	26	0	1	2	3	4	7	3	3	7	8	7	10	10	10	11	13	13	17	18	18	18	24	19	21	19	24	22	20	24	26	23	29	25	25	22	33	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1
9500	-181.734596868154483	-180.357162780271409	-1.377434087883063	0.000115977952249	0.000052621539049	0.453720194471533	0.860602553417843	0	2	4	4	6	8	7	9	10	11	10	10	12	12	11	14	14	16	17	17	15	18	18	18	20	19	19	20	20	21	22	22	23	24	23	23	27	0	1	2	2	3	7	5	7	5	11	6	6	15	11	8	14	14	10	21	21	14	18	20	21	19	24	21	19	26	26	29	22	28	31	29	20	28	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	2
10000	-170.130179970583924	-168.433539764041143	-1.696640206542769	0.000101622329136	0.000020787686893	0.204558260662523	0.807304645689428	0	2	4	7	5	7	8	8	9	10	10	11	12	11	11	15	13	16	16	17	15	18	19	20	22	19	21	20	21	21	22	22	22	23	23	23	27	0	1	2	5	3	5	6	6	4	4	7	6	15	11	9	14	14	14	21	21	17	18	20	21	28	22	20	20	22	16	23	26	28	27	24	33	36	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	4	1	1	1	1	1	1	2
10500	-183.645078457815202	-181.933975917806322	-1.711102540008886	0.000090754227567	0.000018163716976	0.200141827688300	0.724725028363350	0	1	4	7	6	8	7	9	9	9	9	10	13	13	11	14	13	15	17	16	17	18	18	18	21	19	21	19	19	22	22	21	22	24	24	23	27	0	1	2	5	3	4	3	4	4	7	7	6	12	8	12	11	10	14	17	18	18	21	18	21	28	22	28	18	22	29	24	22	28	29	25	27	36	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	3	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	2	1	2
11000	-150.312280647803306	-148.883626268897586	-1.428654378905726	0.000081803157078	0.000029413135172	0.359559902362971	0.935584626529954	0	2	4	6	5	8	8	10	7	10	10	11	13	12	12	14	14	15	16	17	16	17	18	20	22	19	21	19	21	22	20	23	24	24	23	24	26	0	1	2	3	3	4	4	6	3	7	7	11	14	11	12	14	14	17	18	18	18	21	18	22	24	22	28	20	26	26	23	29	30	20	24	28	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1
11500	-156.439896789447772	-154.436758615084443	-2.003138174363336	0.000145407668547	0.000020091204657	0.138171561773723	0.838333629066190	-1	2	5	4	7	6	7	9	8	10	11	12	13	12	11	15	13	14	16	17	16	16	19	18	21	19	20	20	20	22	21	21	23	24	23	24	27	0	1	2	2	3	4	3	6	7	7	9	11	15	10	8	13	11	17	18	18	18	18	20	22	23	22	22	24	26	29	23	29	25	29	28	28	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
12000	-172.908449045906877	-170.973286901994356	-1.935162143912512	0.000113213435643	0.000016896057614	0.149240746190316	0.814503874650009	0	2	4	7	5	6	8	9	9	11	10	12	14	11	12	14	14	15	16	17	16	18	19	19	21	19	22	20	21	21	21	22	24	23	23	24	28	0	1	2	5	2	5	4	7	4	7	6	7	7	8	10	11	10	17	18	18	18	21	19	20	19	22	25	24	26	24	21	23	27	27	27	28	27	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	3	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	2	3
12500	-142.446981121786308	-140.535773696921495	-1.911207424864802	0.000095200559834	0.000014614694530	0.153514796089031	0.971177083266439	0	2	5	6	7	8	7	9	9	10	10	12	13	12	12	14	13	15	16	18	16	18	19	20	20	19	21	20	21	20	22	21	23	24	22	24	27	0	1	2	3	3	3	3	7	5	6	7	11	15	10	11	14	11	17	18	18	18	21	20	20	20	22	26	19	22	23	24	22	35	29	25	35	36	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-159.532987342793206	-157.633519302386816	-1.899468040406395	0.000108945509812	0.000016961591579	0.155688762283041	0.814765986762328	0	3	2	6	6	7	7	8	9	10	10	12	13	13	11	14	14	15	17	17	16	18	19	19	22	19	21	19	20	22	21	22	24	24	23	23	26	0	1	1	1	2	2	5	4	6	8	4	15	10	12	10	14	13	17	18	18	18	17	20	19	20	21	19	20	26	24	23	24	30	30	30	28	33	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1
13500	-186.390146068205468	-184.668879556313783	-1.721266511891691	0.000129547780316	0.000025540101437	0.197148120749866	0.762011611771518	-1	3	4	5	6	7	7	9	9	11	9	11	12	13	11	14	14	16	17	17	16	17	19	18	20	20	20	19	21	21	19	23	22	24	24	24	26	0	1	2	1	3	5	5	6	3	11	5	3	11	12	9	13	12	13	18	21	15	21	20	21	24	22	23	18	22	28	20	27	25	26	33	33	36	1	1	1	3	1	1	1	1	2	1	3	4	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	1	3	1	1	1
14000	-140.799116364480398	-139.246169351915597	-1.552947012564803	0.000082022689030	0.000021534739880	0.262546133695669	0.983347337827375	0	2	4	6	6	8	7	9	9	10	10	10	13	11	11	15	14	15	17	18	16	18	20	20	21	19	19	19	17	20	22	22	21	22	24	23	26	0	1	2	3	2	7	5	4	7	6	6	9	15	6	12	13	13	17	18	19	18	29	20	19	24	29	29	19	21	20	23	27	28	27	36	33	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-186.914083045034744	-184.524635289161296	-2.389447755873457	0.000091015721050	0.000008633506850	0.094857314213463	0.763130510743640	-2	1	4	7	7	8	6	9	10	11	9	11	11	11	12	15	13	15	16	15	17	18	19	19	19	20	21	19	20	21	22	22	24	24	21	24	27	0	1	2	1	2	7	3	4	4	11	6	11	6	11	6	15	3	17	18	17	19	17	19	21	22	22	29	20	22	28	30	29	21	29	22	30	33	1	1	2	4	3	1	1	1	1	1	1	1	1	1	2	2	4	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1
15000	-139.593517766181265	-137.539114070816396	-2.054403695364871	0.000099430698417	0.000012997380623	0.130717985792153	0.928114095916943	0	2	4	7	5	7	8	9	9	11	10	10	13	12	11	14	14	15	17	18	16	18	18	19	22	19	21	19	20	21	21	22	23	23	23	23	26	0	1	2	3	2	5	6	4	7	9	7	7	12	12	11	14	14	17	18	18	18	21	19	22	24	22	28	19	22	24	24	26	27	24	31	30	33	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
15500	-158.394612694123225	-156.646135242692026	-1.748477451431202	0.000155661961337	0.000029504839477	0.189544312708652	0.710753735648651	0	2	4	6	5	8	7	9	9	10	9	11	13	12	12	15	14	15	17	17	17	18	19	20	21	20	22	20	19	21	20	22	23	24	23	24	27	0	1	2	2	3	2	5	6	7	7	7	11	14	9	9	14	15	17	18	18	18	21	20	20	24	22	23	18	22	31	20	26	25	26	30	28	35	1	1	1	2	1	3	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	2
16000	-150.551930860935926	-149.027520345791885	-1.524410515144036	0.000125189654436	0.000034895555688	0.278741528965519	0.854787840109522	0	2	4	6	5	7	8	9	10	11	9	11	13	12	12	14	14	15	16	17	16	18	19	20	21	20	22	19	19	21	21	23	24	23	23	23	27	0	1	2	3	2	5	6	7	8	7	7	11	10	11	11	15	13	13	18	19	18	21	20	22	24	29	24	19	22	28	24	27	25	30	30	30	30	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3
16500	-186.768105552796641	-184.810644377097219	-1.957461175699428	0.000150944126984	0.000021954130034	0.145445407333485	0.666174655510916	0	2	3	6	6	8	7	9	9	11	10	11	13	13	11	15	15	15	17	17	16	17	19	20	20	19	22	19	20	21	22	22	23	25	23	23	28	0	1	1	1	3	5	1	7	4	6	6	11	15	9	8	11	14	14	18	18	17	17	22	20	18	22	29	19	22	21	17	23	17	26	25	17	33	1	1	1	3	2	1	3	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	3	3	1	3	2
17000	-173.251383697136902	-171.750368201373306	-1.501015495763587	0.000066127237881	0.000019437608628	0.293942545475088	0.616663178730300	-1	3	4	7	7	8	7	9	9	11	10	11	13	12	10	15	14	15	16	17	17	18	19	19	20	19	20	18	20	21	21	21	21	24	24	23	27	0	1	1	2	3	5	3	4	6	11	6	6	5	10	9	13	9	17	18	18	18	20	20	20	24	22	16	19	22	23	24	29	24	27	29	28	36	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	2	3
17500	-182.704343879235296	-180.971970447443681	-1.732373431791619	0.000087750962626	0.000017021457890	0.193974600174766	0.743710571686724	-1	2	5	6	6	5	7	9	9	10	10	12	14	12	12	14	14	15	16	17	16	18	19	20	21	19	21	19	19	22	20	21	23	25	23	23	26	0	1	2	2	3	2	6	4	6	9	4	5	10	5	10	12	15	14	18	19	17	21	18	23	31	22	23	21	22	32	23	29	28	35	32	31	36	1	1	2	2	1	1	1	2	1	1	2	2	2	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
18000	-159.067805020425823	-157.030222638611036	-2.037582381814775	0.000098531703443	0.000013113310761	0.133087222717763	0.763041307250209	0	1	4	5	6	7	7	9	9	10	10	11	13	12	11	14	14	15	17	17	16	18	17	19	22	19	21	19	20	20	21	22	22	24	22	23	27	0	1	2	3	4	5	2	7	6	8	9	11	11	8	11	13	13	17	18	18	18	21	18	18	19	22	28	19	22	24	30	29	28	35	28	33	27	1	1	2	1	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	2
18500	-162.501198634191184	-160.431581846714437	-2.069616787476737	0.000083881689475	0.000010790172873	0.128635616903703	0.924458760776186	0	2	4	4	6	8	6	10	8	10	10	10	13	11	11	14	12	15	16	17	16	18	20	19	21	20	20	18	19	22	20	22	20	23	21	24	27	0	1	1	1	4	7	3	6	5	9	5	9	14	5	11	13	10	17	18	18	18	21	20	20	24	22	28	18	22	25	24	29	28	26	23	33	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
19000	-155.690499432871775	-154.080184272429250	-1.610315160442512	0.000062107099377	0.000014634636787	0.235635489893502	0.910709003748943	-1	3	5	7	6	8	7	9	9	9	9	11	11	12	12	14	13	15	17	18	17	18	20	18	21	20	22	20	20	22	21	21	23	23	24	24	26	0	1	2	3	2	7	5	4	7	5	7	11	9	12	12	9	9	17	18	18	18	19	20	19	20	22	28	19	22	25	23	26	28	26	30	27	27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
19500	-140.944336804177851	-139.401627972404640	-1.542708831773204	0.000101509480531	0.000027214568784	0.268098788816590	0.981622945986833	0	2	5	6	7	5	7	9	9	7	10	11	11	11	11	15	13	15	17	17	16	18	18	18	21	20	21	19	20	20	21	22	22	24	24	24	26	0	1	1	3	6	2	6	10	10	6	7	9	11	8	8	17	13	17	18	18	18	21	18	21	24	22	26	20	22	22	23	29	28	26	33	33	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-166.339503675211574	-164.130062089858541	-2.209441585353042	0.000118767002304	0.000013279169899	0.111808580176356	0.701555441868101	-1	2	4	7	6	8	7	9	9	10	10	11	14	12	11	14	14	16	17	16	17	18	19	18	21	20	21	19	21	21	22	22	23	23	22	23	27	0	1	2	5	1	7	5	4	6	6	7	9	12	10	8	14	11	17	18	4	17	18	18	21	18	22	24	21	26	24	24	26	28	22	27	30	36	1	1	1	1	4	1	1	1	1	1	2	1	1	1	1	1	2	1	1	4	2	1	1	1	2	1	1	1	1	1	3	1	2	2	1	1	1
20500	-140.309924973491832	-138.567614982788911	-1.742309990702917	0.000142407316207	0.000027230824973	0.191217879100401	0.986965537012897	0	2	4	6	6	7	8	8	9	10	10	11	14	12	11	14	14	15	17	17	17	18	19	20	20	19	21	19	19	20	22	22	23	23	24	22	26	0	1	2	3	3	5	4	4	7	7	6	11	14	11	10	14	14	17	18	18	18	21	19	22	20	20	26	18	22	22	27	24	30	26	32	25	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-155.268156120927955	-153.313212067910342	-1.954944053017610	0.000132467265989	0.000019322389530	0.145865390864550	0.776864415239121	-1	2	4	6	6	7	7	9	9	11	9	11	13	13	11	14	15	14	16	18	17	19	20	20	20	20	22	19	20	22	21	21	22	23	23	24	26	0	1	2	3	2	5	5	4	6	8	7	6	15	10	6	11	18	9	18	19	18	21	20	20	20	21	24	20	22	23	24	22	20	29	31	33	36	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
21500	-172.208152148878725	-170.726014537197756	-1.482137611680965	0.000097250332755	0.000029936960659	0.307834017741274	0.823013042256793	-1	3	4	6	6	7	8	9	9	10	9	11	14	13	11	14	15	15	16	16	16	19	19	20	22	18	21	20	21	21	20	22	23	23	22	23	25	0	1	2	3	2	5	3	2	6	7	6	9	15	11	8	10	9	13	18	18	18	26	19	19	24	21	22	20	26	31	23	24	24	29	30	28	36	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1
