step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
5000	-709.830962148449430	-717.981816300568198	8.150854152118816	0.000014605957916	0.000030530962459	2.090308806404018	0.996831745467438	-3	4	7	8	11	6	5	14	9	14	12	21	10	14	16	14	12	16	17	17	18	14	20	23	27	19	19	25	22	18	25	22	24	22	22	24	28	23	24	26	28	32	30	27	29	33	28	31	33	39	37	37	33	34	37	40	36	41	32	41	35	37	47	50	41	50	55	52	49	49	58	55	61	57	68	0	1	7	1	3	1	1	13	1	2	7	18	6	5	8	2	6	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	39	36	41	46	41	37	45	47	49	40	62	28	49	41	61	58	59	62	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-674.844597266471851	-682.251479020883380	7.406881754411529	0.000023150014507	0.000042055113400	1.816634429602862	0.993906456291346	-5	6	8	6	13	-1	6	11	16	13	14	21	8	14	17	16	4	15	13	19	17	14	19	14	29	17	24	24	23	25	27	25	21	25	22	28	32	29	27	31	26	32	35	29	29	34	29	35	32	37	36	30	37	37	37	41	42	42	36	39	32	38	42	46	47	47	57	54	48	49	56	53	60	57	66	0	6	7	6	3	1	6	13	2	2	7	18	6	5	8	6	1	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	39	36	41	46	41	37	45	47	49	40	62	28	49	41	61	62	59	58	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-604.902113707017406	-609.558666420014902	4.656552712997496	0.000054178273518	0.000050530760770	0.932675729376159	0.954024056826385	-3	7	8	7	12	2	1	13	13	14	12	21	9	15	16	12	15	14	20	19	14	12	21	17	31	24	19	23	20	23	20	25	25	25	21	25	32	20	29	30	28	33	29	30	27	34	29	27	29	32	37	38	38	34	39	38	41	43	33	44	33	39	47	45	43	50	56	50	54	50	57	54	63	60	69	0	6	7	6	3	1	1	13	2	2	7	18	6	5	8	2	2	4	13	13	3	6	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	28	56	41	61	58	59	62	63	63	52	58	62	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-579.492473976008228	-579.257306375940630	-0.235167600067655	0.000103397173583	0.000040069878030	0.387533591509021	0.978728659919485	-3	3	9	6	14	9	2	14	17	6	12	21	6	16	17	13	15	13	14	19	17	8	21	19	27	19	19	24	18	26	22	23	25	25	21	29	27	30	27	30	30	28	31	33	32	34	30	28	33	38	37	37	34	39	35	42	43	44	39	39	37	42	46	46	51	50	52	49	48	46	50	53	53	56	55	0	1	7	1	3	2	1	13	2	2	7	18	2	5	8	6	6	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	58	63	63	52	62	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-580.039469250983529	-577.917474296506612	-2.121994954476952	0.000122460210037	0.000051890032901	0.423729739521964	0.990857923382477	-2	3	8	11	11	5	3	8	11	8	13	20	6	16	15	12	11	17	17	13	17	13	19	19	28	14	21	23	20	23	21	24	23	23	20	27	27	20	23	26	27	29	35	28	24	31	31	29	32	36	36	33	37	31	38	41	35	43	41	42	31	36	42	45	46	50	52	39	50	53	54	56	58	43	64	0	1	7	6	3	1	1	13	6	6	7	18	2	5	8	6	6	4	13	13	3	1	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	39	36	41	46	41	37	45	47	49	40	62	28	49	41	61	62	59	58	63	63	52	58	58	58	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-576.397538941593780	-573.446345215179008	-2.951193726414748	0.000130715488351	0.000054357968674	0.415849486236789	0.968577795041695	-1	4	7	11	13	6	5	13	6	13	10	20	9	15	18	16	10	14	16	18	15	17	21	14	30	22	17	23	19	18	26	20	25	25	21	28	25	30	28	30	30	24	33	28	34	37	29	30	33	37	39	37	33	39	41	40	42	45	37	40	34	41	44	43	50	49	56	47	49	52	54	53	52	58	58	0	1	7	6	3	2	1	13	1	6	7	18	6	5	8	6	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	39	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	62	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-578.142174777578816	-574.094388963713413	-4.047785813865358	0.000140751211169	0.000042952676858	0.305167369442815	0.995187277879920	-4	7	7	5	14	3	3	13	11	14	8	13	11	15	16	11	8	9	16	19	15	14	21	11	29	21	19	25	25	26	27	23	23	26	20	26	25	20	27	28	29	31	37	30	29	34	28	31	32	36	36	39	31	36	37	43	43	44	34	42	35	40	48	46	50	49	56	56	51	55	51	56	61	52	66	0	6	7	6	3	1	1	13	6	6	7	18	6	5	8	2	6	4	13	13	3	6	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	39	36	41	46	41	37	45	47	49	40	62	28	49	41	61	58	59	58	63	63	52	58	62	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-570.842794411070145	-567.746812945356965	-3.095981465713157	0.000131846502399	0.000048131635885	0.365058116894312	0.993090797323744	-4	6	6	6	11	4	3	12	13	10	12	22	8	16	17	15	17	11	15	17	18	17	20	22	26	18	21	25	25	23	22	23	22	24	21	27	27	28	27	29	27	28	33	26	32	33	30	24	33	32	37	37	33	39	40	41	41	45	39	37	37	39	44	46	44	50	55	47	54	49	50	56	64	50	69	0	6	7	1	3	1	1	13	6	2	7	18	2	5	8	2	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	62	63	63	52	62	58	62	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-573.119437821652809	-569.477290433012058	-3.642147388640788	0.000136069728884	0.000036077733710	0.265141512416444	0.967773403016485	-9	10	7	10	9	5	0	15	16	16	10	23	11	12	17	15	13	14	15	20	18	18	19	17	28	21	17	23	23	25	26	23	23	23	19	26	20	26	25	28	28	27	32	28	27	30	26	31	32	35	35	37	33	33	38	41	34	46	34	40	37	42	46	44	46	51	54	55	54	55	53	54	58	61	67	0	6	7	6	3	1	1	13	2	2	7	18	6	5	8	6	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	62	63	63	52	58	62	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-573.595273615195083	-570.787241303815563	-2.808032311379545	0.000128226591286	0.000037934960210	0.295843161935240	0.997062689887551	-2	5	6	4	8	6	3	13	9	12	13	22	10	11	17	14	15	17	14	16	16	14	20	15	30	19	23	21	22	21	21	22	24	25	24	24	25	28	21	30	27	29	29	29	33	32	28	24	30	36	34	35	29	38	39	42	38	46	34	41	34	39	45	44	51	49	53	52	54	48	50	54	57	52	60	0	1	7	1	3	1	1	13	2	2	7	18	6	5	8	6	2	4	13	13	3	1	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	39	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	58	63	63	52	58	62	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-574.846121996207785	-570.724656030420988	-4.121465965786816	0.000141288184334	0.000041089709954	0.290821983078257	0.999572594523575	-2	5	10	8	12	4	5	9	15	12	13	19	6	14	18	15	8	13	17	11	19	17	20	14	30	18	24	19	22	27	28	26	25	24	22	27	25	27	23	29	26	30	30	32	30	32	29	26	33	33	35	36	34	35	39	37	34	44	36	38	31	39	46	39	48	49	56	49	52	48	53	52	54	51	67	0	1	7	6	3	1	1	13	2	6	7	18	1	5	8	6	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	39	36	41	46	41	37	45	47	49	40	62	28	49	41	61	62	59	58	63	63	52	58	62	62	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
