step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
19000	-148.888794362867742	-147.485077511405876	-1.403716851461876	0.000202859476038	0.000080152658851	0.395114196371277	0.573470855657585	0	6	5	7	8	7	10	10	10	10	13	13	12	11	14	13	12	13	15	17	19	0	1	0	2	1	3	2	4	2	3	5	7	4	3	18	3	4	7	5	18	10	1	2	1	1	3	1	2	1	2	2	2	2	2	3	1	4	3	2	3	3	4
19500	-147.922484027123119	-146.537238303041249	-1.385245724081858	0.000119944241239	0.000051847970106	0.432267273280415	0.488856223153486	1	7	6	7	6	8	8	11	11	11	13	14	12	11	14	14	13	12	15	16	20	0	1	0	5	1	3	5	4	2	3	2	5	4	3	11	10	8	7	13	18	10	1	3	1	1	3	1	2	2	1	4	4	4	2	2	1	1	1	2	1	2	4
20000	-147.368180074568443	-145.927975909146312	-1.440204165422128	0.000214290038906	0.000074202402783	0.346270891366850	0.557856987839615	1	6	6	8	8	7	10	11	11	10	11	12	12	11	13	10	12	13	13	17	20	0	1	0	2	2	3	5	4	2	3	2	7	8	10	7	6	4	7	8	18	14	1	1	1	1	1	1	1	2	1	2	3	1	1	1	2	1	3	2	1	2	4
20500	-144.984584087628463	-143.581389327599453	-1.403194760029022	0.000171123515038	0.000067764629008	0.395998346532773	0.419628746538212	0	4	5	7	7	7	10	10	12	10	13	13	13	13	13	13	12	11	16	16	20	0	1	0	2	1	3	2	4	1	6	9	18	8	10	9	6	8	5	4	18	14	1	2	1	1	3	1	3	1	6	2	1	1	1	2	1	3	1	2	4	3	3
21000	-158.822419023229514	-157.422834819609392	-1.399584203620122	0.000140584960509	0.000056560859604	0.402325109305815	0.614016572541755	0	6	5	7	8	8	9	10	11	10	14	11	11	12	14	11	13	12	15	16	18	0	1	0	1	1	3	4	4	5	3	9	5	4	6	7	10	8	5	2	15	14	1	2	1	3	3	2	1	1	2	3	2	1	2	2	1	1	1	2	4	1	2
21500	-147.646434275706213	-146.283891150199622	-1.362543125506583	0.000159550010360	0.000084498536342	0.529605332842518	0.446856218678217	0	6	5	8	6	7	10	10	10	12	10	12	12	13	13	14	13	12	16	17	20	0	1	0	5	1	3	5	4	2	3	2	7	9	3	7	10	8	7	13	18	10	1	2	1	2	2	1	2	1	3	2	2	1	1	3	1	1	2	1	2	2	3
22000	-150.430759390286596	-148.998379682827590	-1.432379707458992	0.000176487576538	0.000062671157436	0.355102374145059	0.343162917125973	-1	5	5	7	7	7	9	11	12	10	12	12	12	12	14	12	12	13	15	17	20	0	1	0	2	2	3	5	4	1	3	2	2	4	10	11	6	8	5	13	11	6	1	3	1	1	1	1	1	2	7	2	4	3	3	1	1	3	1	3	2	2	5
22500	-149.239214914555475	-147.699984466478242	-1.539230448077243	0.000214730336403	0.000057987483757	0.270047934207796	0.648701090223918	0	6	6	8	8	8	9	11	11	9	12	13	13	12	14	13	12	11	16	17	20	0	1	0	2	2	3	5	4	2	3	2	7	8	6	9	3	8	7	13	9	14	1	2	1	1	1	2	1	1	2	2	3	1	1	2	1	3	1	1	2	4	3
23000	-143.096579698506162	-141.640725478066628	-1.455854220439542	0.000154265894287	0.000050970745806	0.330408390278868	0.475241568701734	0	5	4	8	7	7	9	9	11	11	14	13	11	13	14	14	12	12	15	16	19	0	1	0	2	2	3	5	4	2	3	13	5	4	10	18	6	8	9	2	15	10	1	3	1	2	1	1	1	1	3	3	2	2	2	1	1	3	1	1	4	1	4
23500	-145.680831961787902	-144.089045061793286	-1.591786899994606	0.000240578258962	0.000058615329862	0.243643503425982	0.524069558473817	1	5	6	7	8	8	9	10	11	11	12	14	12	12	13	14	12	13	15	16	19	0	1	0	2	1	3	2	5	5	3	2	15	8	6	5	6	2	7	17	5	14	1	2	1	1	3	1	2	1	2	2	3	1	1	2	3	3	3	2	2	4	4
