step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
5000	-416.728861091422971	-415.313311822487435	-1.415549268935544	0.000021569581029	0.000018583885981	0.861578440299442	0.398019455721482	0	10	14	12	16	15	17	18	17	19	20	19	20	22	21	24	24	23	25	27	29	35	44	50	52	55	57	56	58	60	62	0	1	2	2	3	2	2	2	4	7	2	9	9	11	9	13	2	8	18	4	18	19	22	23	24	24	25	26	24	27	29	1	6	2	2	1	2	3	4	2	1	5	1	2	1	2	2	8	3	1	7	3	5	4	3	1	3	2	1	4	2	2
5500	-412.140786569295358	-410.769555873262732	-1.371230696032607	0.000035688120992	0.000016980274707	0.475796265944306	0.351280299850846	-1	11	15	13	15	17	17	18	17	19	21	18	20	22	22	24	25	24	25	25	29	33	45	50	52	55	53	56	59	61	63	0	1	2	2	2	2	2	2	4	7	2	9	4	11	9	13	2	8	18	2	18	19	22	23	24	25	24	26	24	26	29	1	4	2	1	2	3	2	4	2	1	3	1	3	1	2	2	5	3	1	6	2	3	4	2	1	2	1	1	4	3	3
6000	-308.332408052796779	-306.881023484571983	-1.451384568224818	0.000070928072584	0.000023741176252	0.334721858166647	0.434389868180162	-1	12	15	14	15	16	17	18	16	18	20	19	21	22	20	25	25	23	24	26	29	36	44	50	52	54	57	57	59	60	64	0	1	2	2	2	2	2	3	4	7	6	9	12	11	9	13	2	8	18	17	18	19	22	23	24	25	26	26	27	27	29	1	6	2	1	2	2	3	2	1	1	3	1	1	1	2	2	8	2	1	1	4	8	4	4	1	1	1	1	1	2	3
6500	-283.164078060342376	-281.205288433291003	-1.958789627051392	0.000188379717848	0.000027357368832	0.145224598191897	0.421997903637779	0	11	14	13	15	16	18	18	17	19	19	19	20	22	22	22	25	25	24	26	28	32	45	50	52	54	56	57	59	59	63	0	1	2	2	3	2	6	3	4	7	6	9	12	6	9	9	6	8	8	16	18	19	22	23	24	25	26	26	28	27	30	1	5	1	1	1	2	1	1	2	1	2	1	1	3	3	3	4	3	2	2	2	3	6	3	1	1	1	2	1	2	1
7000	-302.440361726480717	-300.675517874260947	-1.764843852219761	0.000184264803226	0.000034132405951	0.185235624781470	0.379461909286323	0	11	13	13	15	16	15	19	17	18	20	19	20	22	21	25	25	26	24	25	30	36	43	49	53	55	56	56	59	60	63	0	1	2	2	3	3	3	5	4	3	6	9	9	11	9	12	19	8	2	2	18	21	18	22	24	25	24	25	25	26	30	1	5	2	1	1	2	1	2	1	3	2	2	2	1	2	3	1	4	6	5	3	4	11	3	2	1	4	2	3	3	2
7500	-286.109509993381096	-283.933432542242599	-2.176077451138480	0.000291897938772	0.000033709201283	0.115482834255156	0.435713626716134	-1	11	15	14	14	15	16	19	18	18	19	18	20	22	22	24	25	25	22	26	30	35	44	49	52	54	56	56	58	61	63	0	1	5	2	2	5	5	3	4	5	6	4	4	11	9	13	5	8	8	12	19	21	21	22	24	25	25	25	25	27	30	1	5	1	1	2	1	1	2	2	2	2	3	2	1	2	2	5	3	2	4	3	2	7	4	1	1	2	2	3	3	1
8000	-283.910461122857441	-281.515739327179006	-2.394721795678419	0.000281277832835	0.000026559061198	0.094422873392853	0.399448286805379	0	11	15	13	14	17	19	19	17	18	21	20	21	23	19	23	25	25	25	27	30	36	43	49	52	54	56	56	58	61	64	0	1	5	2	2	3	6	10	4	3	6	15	15	11	9	13	11	8	8	2	18	21	19	23	22	25	26	26	27	28	29	1	5	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	3	3	7	3	3	10	4	5	1	1	1	1	3	3
8500	-292.116142939844508	-290.141791335985772	-1.974351603858746	0.000179422677006	0.000025600116930	0.142680498123624	0.342605733576056	0	12	15	14	14	17	17	17	17	18	20	19	20	22	23	25	26	25	23	27	29	35	42	49	53	55	56	57	57	58	62	0	1	5	2	2	3	3	3	4	2	10	9	9	11	12	13	10	8	8	2	19	18	19	22	22	24	26	26	26	27	29	1	7	1	1	1	2	1	1	1	4	1	1	2	1	3	3	4	3	4	8	2	5	8	6	8	2	1	1	1	2	3
9000	-312.824377272280799	-310.498144192170798	-2.326233080109991	0.000179525543986	0.000018009533188	0.100317385415228	0.338092192092940	-1	10	15	13	16	17	19	18	17	19	19	18	19	22	22	25	25	26	24	24	30	35	44	51	51	55	55	56	57	58	63	0	1	2	2	3	3	3	5	4	3	3	4	4	11	9	13	3	8	8	2	18	18	18	23	18	24	24	27	24	28	29	1	5	3	1	1	1	2	1	3	3	2	3	3	2	3	4	5	4	3	7	1	5	10	3	10	2	2	1	3	1	4
9500	-321.482822911578978	-318.786984151207150	-2.695838760371817	0.000237994874037	0.000017588181997	0.073901516021861	0.320338120907413	-1	11	13	13	16	16	18	18	16	19	20	20	19	22	21	24	25	25	25	25	31	34	44	50	52	54	54	56	59	60	64	0	1	2	2	3	3	5	5	4	7	5	4	9	6	9	13	6	8	8	2	18	21	22	22	22	23	23	27	28	28	27	1	4	1	1	2	2	1	1	2	1	2	3	3	3	3	3	5	3	4	6	3	1	4	9	8	6	5	1	1	2	6
10000	-306.734677364514027	-304.612682513263564	-2.121994851250435	0.000185063342281	0.000022554084865	0.121872244321609	0.280809226194734	-1	11	14	12	15	17	18	19	17	17	20	19	20	22	22	24	25	25	22	26	29	36	42	50	51	54	56	57	58	60	63	0	1	2	2	3	3	10	10	4	2	6	9	12	11	12	13	19	2	2	2	18	21	22	22	22	23	23	26	28	29	30	1	6	1	1	1	2	1	1	3	3	2	1	1	2	2	2	2	6	5	7	2	3	3	8	9	5	6	2	1	1	2
10500	-278.966460445964742	-277.115164674362290	-1.851295771602476	0.000261462087870	0.000043196828212	0.165212588043443	0.299486203415008	-1	11	15	13	14	16	18	19	17	18	20	19	20	22	23	25	25	25	23	26	30	36	44	51	52	56	56	56	58	60	63	0	1	5	2	2	3	3	3	4	5	6	9	9	6	4	12	3	3	8	2	19	21	22	22	22	23	23	23	28	29	29	1	8	1	1	1	1	2	2	2	2	2	1	2	2	4	3	5	5	2	8	3	3	4	7	9	5	7	5	1	1	2
11000	-295.126830753521347	-293.255287158639135	-1.871543594882238	0.000239487195058	0.000038577974872	0.161085751840388	0.278892645764391	-1	11	15	13	13	17	17	19	18	19	19	19	20	23	22	25	26	26	24	26	31	35	44	51	51	55	56	56	58	60	63	0	1	5	2	2	3	3	3	4	7	6	4	4	6	9	4	11	19	8	2	19	19	21	23	23	23	23	23	26	29	29	1	5	1	1	1	1	1	3	2	2	1	4	3	4	3	6	4	1	2	7	4	6	4	4	3	5	6	6	2	1	4
11500	-312.316773190528920	-310.144914454741183	-2.171858735787737	0.000191919230697	0.000022255215929	0.115961364831045	0.340861089552540	-1	11	16	12	14	16	17	19	18	18	19	20	20	23	22	23	25	26	23	26	30	35	44	51	52	56	57	57	58	60	64	0	1	5	2	2	5	5	7	4	7	6	4	4	11	9	4	3	19	8	2	8	18	21	23	23	25	23	23	25	26	23	1	6	1	1	1	1	2	2	3	1	1	4	4	3	3	6	4	2	2	7	5	5	5	5	4	2	7	5	4	2	9
12000	-300.080710832694876	-298.166061886709770	-1.914648945985100	0.000282182464452	0.000043142201031	0.152887604532587	0.390462600304041	-1	12	16	13	15	16	18	18	17	18	20	19	21	21	21	25	25	25	23	24	29	35	43	49	53	53	56	56	58	60	63	0	1	5	2	2	5	3	3	4	6	6	4	12	5	9	15	3	8	8	2	18	21	22	23	23	23	24	24	28	28	24	1	5	1	1	1	1	1	1	2	1	2	2	1	3	2	2	5	3	3	7	3	2	3	3	5	4	5	3	1	2	9
12500	-289.343127048466556	-286.874546626566882	-2.468580421899648	0.000261588136841	0.000023189583646	0.088649217529710	0.377381570326192	-1	11	15	13	14	17	18	17	17	18	20	20	20	23	22	24	26	25	24	25	30	36	45	48	52	56	56	55	56	61	63	0	1	5	2	2	3	3	3	4	3	6	9	9	11	12	13	7	3	8	2	18	21	21	23	24	24	24	25	25	28	28	1	6	1	1	2	1	2	1	1	2	1	2	2	2	1	2	4	4	4	5	3	3	8	1	3	3	3	2	3	4	4
13000	-289.558436799694391	-287.711520630059738	-1.846916169634679	0.000279736180755	0.000046472678841	0.166130382977152	0.419951190977724	-1	11	16	13	15	17	19	18	18	18	20	19	20	22	22	24	25	24	24	26	31	35	44	51	53	56	56	55	58	61	63	0	1	5	2	2	5	5	3	4	5	6	4	9	5	9	13	11	8	8	2	3	21	18	22	24	25	25	25	26	26	27	1	6	1	1	2	1	3	1	3	2	2	3	1	3	3	1	2	3	3	7	6	2	10	7	1	2	2	1	1	2	4
13500	-323.399917006513419	-321.338814112579200	-2.061102893934202	0.000209796280801	0.000027230317204	0.129794089294436	0.338583807031396	-1	11	15	13	13	16	18	17	17	19	20	19	19	23	23	25	24	24	24	25	30	34	43	49	52	55	57	56	59	60	64	0	1	5	2	2	3	2	2	4	3	6	9	4	7	9	15	7	10	10	2	8	21	19	22	22	24	26	24	27	27	27	1	5	1	1	1	1	4	3	2	3	2	1	4	3	2	1	2	3	2	7	5	3	9	7	7	2	1	4	2	3	2
14000	-331.779750600770569	-329.982402722107906	-1.797347878662645	0.000187034480116	0.000033143313537	0.177204296859316	0.248354836085987	-2	10	15	13	13	17	17	18	18	18	20	19	21	23	22	24	25	25	23	27	30	36	43	51	51	55	56	56	58	60	63	0	1	5	2	2	3	3	3	4	3	6	4	9	11	9	9	5	3	8	2	19	19	19	22	21	22	25	25	28	28	27	1	6	1	2	2	1	1	1	3	1	2	3	3	2	2	3	6	5	1	7	4	6	8	8	8	10	3	3	1	2	4
14500	-303.968131954632383	-301.915418889765931	-2.052713064866440	0.000189921165552	0.000024870725238	0.130952888612853	0.312171825131418	-1	12	15	14	14	17	18	17	17	18	21	20	20	22	22	24	25	26	22	26	31	35	44	51	53	55	56	54	59	61	62	0	1	5	2	2	3	3	3	4	3	6	4	4	11	9	13	7	8	8	2	19	19	18	22	18	22	28	23	27	27	27	1	7	1	1	1	1	2	1	2	2	2	4	3	1	3	2	4	5	3	7	5	7	10	6	13	9	1	5	2	3	3
15000	-328.270885512311622	-325.852742749339200	-2.418142762972433	0.000276716264687	0.000025604687802	0.092530476409970	0.250617002624134	-1	11	16	14	14	17	17	19	17	18	19	19	20	22	22	24	25	25	24	25	28	33	44	51	53	55	57	55	59	61	63	0	1	5	2	2	5	3	3	4	7	6	4	12	5	12	13	14	5	8	2	19	2	21	21	21	23	28	23	27	27	27	1	8	1	2	2	2	1	1	2	1	1	2	1	3	1	3	3	5	3	7	2	9	8	10	14	6	1	6	2	1	3
15500	-310.578261166035816	-308.706076227704841	-1.872184938330973	0.000271836941445	0.000043754348060	0.160958064888197	0.300450651103783	-1	11	15	14	13	16	19	18	18	17	19	19	20	22	23	25	25	26	24	26	30	35	44	51	51	54	57	55	58	60	64	0	1	5	2	2	3	10	3	4	3	6	4	4	11	9	15	11	14	3	2	18	21	18	22	21	22	28	22	27	27	29	1	7	2	2	1	1	1	1	4	1	2	3	3	2	2	1	3	2	4	7	2	2	10	9	10	10	1	8	1	2	4
16000	-309.602615651008023	-307.608981447636950	-1.993634203371090	0.000252071800715	0.000035197515758	0.139632896889537	0.269432684064896	-1	12	15	13	14	17	19	18	17	18	20	19	19	22	23	25	26	25	24	25	30	36	45	50	53	55	56	55	59	60	63	0	1	5	2	2	3	8	5	4	3	10	9	4	8	12	12	6	8	11	2	18	18	18	19	22	22	28	22	27	27	30	1	6	1	1	1	1	1	2	2	3	1	1	3	2	3	2	4	3	2	6	2	5	9	11	8	9	1	8	2	2	2
16500	-338.845667380368070	-337.175657089636502	-1.670010290731591	0.000228396066743	0.000048697891680	0.213216857779558	0.266821025651617	-1	11	16	13	12	17	18	19	17	19	21	19	20	21	22	24	26	25	24	26	31	35	43	50	52	54	54	56	59	61	64	0	1	5	2	2	5	6	3	4	7	3	4	4	6	4	4	14	11	8	2	19	18	18	18	22	22	23	22	25	29	30	1	4	1	1	1	3	1	2	2	1	3	3	3	2	5	7	2	2	2	7	3	3	7	14	7	8	6	10	4	1	2
17000	-327.709953054990592	-325.786084634039810	-1.923868420950786	0.000202831580366	0.000030674105777	0.151229437356778	0.343048751853377	0	11	16	14	16	14	18	18	17	18	19	19	19	20	20	24	25	25	25	27	30	36	45	51	52	56	55	55	58	61	64	0	1	6	2	2	2	6	6	4	5	6	4	4	11	13	13	14	5	8	2	8	21	22	18	23	22	23	19	23	25	30	1	6	1	2	2	2	2	1	2	1	2	3	2	1	1	2	3	4	3	8	5	3	6	12	3	9	5	16	7	4	1
17500	-314.620421729859174	-312.500349529275468	-2.120072200583680	0.000267638148499	0.000032681298468	0.122110015525621	0.211312976172667	-1	12	15	13	14	17	17	18	18	18	20	20	20	22	22	24	25	25	25	26	30	35	44	50	52	55	56	57	59	61	62	0	1	5	2	2	3	3	3	4	7	6	4	4	8	4	4	14	8	8	2	5	19	19	22	22	22	25	22	22	27	27	1	7	1	1	1	1	1	2	2	1	2	3	5	3	3	5	2	4	3	6	7	4	9	7	4	10	1	11	12	4	2
18000	-315.370755412796598	-313.449105410422874	-1.921650002373722	0.000166391099251	0.000025229139584	0.151625535847231	0.260170174223600	0	11	15	13	13	17	19	19	17	19	20	20	21	22	22	23	25	25	24	26	31	35	44	51	52	55	56	56	57	59	64	0	1	5	2	2	3	2	5	4	3	7	4	9	7	9	13	8	7	8	2	8	19	18	22	23	22	25	22	22	27	25	1	6	1	1	1	1	6	3	2	2	1	4	2	2	3	1	3	3	2	8	5	6	11	6	4	12	2	9	10	1	6
18500	-303.668807030483094	-302.015670606440835	-1.653136424042281	0.000173683686740	0.000038053361146	0.219095770361867	0.269317621431464	-1	11	15	13	12	16	17	18	18	19	20	18	20	21	22	24	25	25	24	26	30	36	44	51	52	55	56	56	58	61	64	0	1	5	2	2	3	3	5	4	7	6	4	12	8	13	15	8	19	8	2	18	19	19	22	22	22	25	22	22	27	30	1	7	2	1	1	1	2	3	3	1	3	2	2	2	1	1	4	1	3	7	2	5	12	8	7	9	2	10	9	2	3
19000	-316.237649381709218	-314.199303709688365	-2.038345672020828	0.000269704806372	0.000035864846856	0.132978152441715	0.271828308551528	-2	12	16	13	14	17	19	19	17	18	20	20	18	23	23	24	25	24	24	26	30	36	45	51	53	56	57	57	58	61	63	0	1	5	2	2	3	10	3	4	3	6	9	4	6	9	12	3	8	8	2	17	21	18	22	21	22	24	22	22	27	30	1	6	2	1	1	1	1	1	2	1	2	2	4	2	4	2	5	2	3	9	3	3	9	7	10	12	3	8	11	2	1
19500	-309.159673648493367	-306.792436989517228	-2.367236658976132	0.000238610635048	0.000023078795815	0.096721572406547	0.319646084080874	-1	11	15	13	14	16	19	18	16	18	19	19	20	21	22	23	26	25	24	25	30	35	44	52	53	55	56	55	59	59	64	0	1	5	2	2	3	8	5	4	2	6	9	4	11	12	15	10	8	8	2	19	18	21	22	23	21	23	22	23	27	27	1	5	1	1	1	1	1	2	1	4	1	2	4	1	2	1	4	4	4	7	4	4	5	8	5	11	5	9	7	1	4
20000	-359.398059193922279	-357.197953012802714	-2.200106181119547	0.000220366403356	0.000024861157999	0.112817369707428	0.278608659405853	-1	11	15	13	14	16	19	19	16	17	20	19	20	22	22	25	25	25	24	24	29	36	45	52	50	55	56	56	57	61	62	0	1	5	2	2	5	6	6	4	5	6	4	4	6	12	13	7	11	8	2	19	19	22	18	23	22	23	23	25	29	25	1	3	1	2	1	2	1	2	1	1	2	2	3	3	2	2	4	2	2	6	2	5	5	12	3	10	6	8	4	3	5
20500	-345.769507078101071	-343.789649091902731	-1.979857986198359	0.000159183092496	0.000022571947216	0.141798647468205	0.261082900328870	-1	11	15	14	14	16	18	18	16	19	19	19	20	23	21	25	25	25	24	25	30	36	44	51	51	55	56	55	58	59	62	0	1	5	2	2	2	2	3	4	3	6	4	12	11	12	13	7	8	2	2	18	18	19	19	22	22	23	22	27	25	27	1	5	1	1	1	2	5	2	1	3	2	3	1	2	1	2	4	4	7	6	2	7	8	13	8	15	5	11	1	5	4
21000	-315.773049175900667	-313.539021626818339	-2.234027549082302	0.000257776938362	0.000028154468118	0.109220275081304	0.190688799955118	-1	12	15	14	13	17	18	19	17	18	20	19	19	22	22	25	26	25	23	27	29	35	44	51	52	56	56	56	58	61	62	0	1	5	2	2	3	3	10	4	3	6	4	4	11	9	12	11	8	8	2	8	19	19	19	21	18	23	22	27	29	30	1	7	1	1	1	1	2	1	2	3	2	3	2	1	3	3	3	4	2	6	5	6	10	14	10	14	6	11	1	3	1
21500	-301.354594858115831	-299.231361426776857	-2.123233431338969	0.000218040745486	0.000026539805062	0.121719474967081	0.247932903934121	-2	10	15	13	14	16	18	18	17	17	20	19	19	22	21	24	25	26	25	27	30	34	44	51	52	53	56	56	58	60	64	0	1	5	2	2	5	6	3	4	5	6	4	9	11	9	13	6	19	8	2	18	19	21	19	22	19	22	22	23	29	29	1	6	1	2	2	2	1	2	2	2	2	3	1	1	2	3	5	1	3	7	2	5	7	13	9	14	11	12	4	1	3
22000	-329.765575441249041	-327.937003121147541	-1.828572320101510	0.000241000064542	0.000040988609403	0.170077171891677	0.220669930688174	0	11	15	13	13	17	19	17	18	18	20	17	19	23	22	23	23	26	24	25	31	35	44	50	53	54	57	57	58	59	62	0	1	5	2	2	5	3	3	4	3	6	4	4	11	12	13	7	8	8	2	8	2	19	21	21	19	18	18	23	29	30	1	6	1	1	1	2	2	1	2	2	1	2	2	1	2	2	2	4	3	7	6	10	9	8	9	16	15	15	6	1	1
22500	-333.558966754561823	-331.843230309580974	-1.715736444980853	0.000228621755973	0.000045442240696	0.198766038265482	0.179729216487899	0	11	15	13	14	15	18	19	18	18	20	19	19	22	22	24	25	25	25	26	30	34	45	51	51	55	55	56	57	61	63	0	1	5	2	2	5	2	5	4	5	7	4	4	11	9	15	5	7	8	2	19	2	18	21	18	18	18	19	23	29	30	1	5	1	1	2	1	5	2	3	2	1	3	3	1	3	1	6	4	4	7	3	10	9	11	14	16	16	14	7	2	2
23000	-335.947019454274653	-334.001784781883032	-1.945234672391626	0.000207882087407	0.000030663709800	0.147505300638322	0.242552043774111	-1	12	15	13	13	17	19	18	16	17	21	18	20	22	22	24	25	25	23	24	30	34	44	50	52	54	56	55	58	60	63	0	1	5	2	2	3	10	3	4	3	6	9	9	2	9	9	14	10	8	2	14	18	19	19	18	22	18	22	23	29	30	1	5	1	1	1	1	1	1	2	2	2	1	2	5	3	5	3	5	2	6	3	5	8	12	14	11	15	11	7	1	1
23500	-315.609061874437486	-313.426721353244488	-2.182340521193024	0.000250825783652	0.000028789359651	0.114778310394435	0.237247145543860	-2	11	15	13	14	17	18	18	18	18	20	19	20	22	21	23	25	25	24	24	29	35	45	50	52	54	56	56	58	59	63	0	1	5	2	2	3	3	5	4	3	6	4	9	11	9	9	8	8	8	2	8	21	19	18	18	21	22	22	18	23	30	1	7	1	1	1	1	2	2	2	2	1	3	1	1	1	2	5	3	2	6	5	3	10	11	11	12	13	11	16	4	2
24000	-324.249915412129383	-322.321263865649371	-1.928651546480014	0.000210345969213	0.000031632154112	0.150381555825704	0.207428654398696	-1	12	15	14	14	17	19	17	17	18	21	19	20	23	22	24	25	22	24	27	30	35	45	51	52	55	57	56	57	59	62	0	1	5	2	2	3	10	3	4	3	6	4	9	11	13	13	3	8	8	2	18	19	18	19	22	22	22	22	22	22	25	1	6	1	1	1	1	1	1	2	2	4	2	2	2	1	2	7	2	3	8	4	5	13	14	9	12	12	11	13	11	5
24500	-337.260565957792494	-335.318554872152106	-1.942011085640395	0.000196254152173	0.000029056774662	0.148056865755729	0.174611352930367	0	11	16	14	14	17	18	18	17	18	20	20	21	22	21	24	26	24	25	27	31	34	44	51	52	56	56	56	58	60	64	0	1	5	2	2	3	2	3	4	2	6	4	4	11	9	15	11	6	2	2	8	18	2	19	21	19	18	21	22	22	25	1	6	1	2	1	1	3	1	2	4	2	3	3	1	2	1	3	3	7	7	5	6	17	13	10	14	17	13	13	13	7
25000	-338.184902068562963	-336.257910242905496	-1.926991825657453	0.000187131894234	0.000028196064646	0.150674820886277	0.150797698463764	0	12	14	13	15	16	16	17	17	18	20	19	19	22	23	23	26	25	24	26	30	36	44	52	51	55	56	56	58	58	62	0	1	2	2	3	3	2	3	4	7	6	9	9	2	12	13	11	8	2	2	2	18	2	19	19	19	18	22	22	19	22	1	5	1	1	1	1	1	1	3	2	2	1	1	4	2	2	3	6	5	6	8	7	14	15	13	19	15	11	10	16	10
