step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
5000	-414.151104800742019	-412.431414860597613	-1.719689940144388	0.000012437169413	0.000020433297893	1.642921891208005	0.723827092417046	-1	1	2	3	5	4	6	5	6	7	7	9	8	7	9	9	8	9	9	8	7	9	9	9	8	9	11	9	11	14	10	12	12	12	11	11	10	12	13	13	14	13	13	15	12	12	15	14	16	15	15	14	14	16	16	16	17	19	18	19	18	19	18	18	19	20	21	20	21	23	0	1	1	2	2	3	5	2	4	5	6	25	21	8	14	14	9	11	11	6	0	13	13	14	11	8	15	20	28	40	13	18	22	13	13	31	0	19	29	22	29	25	33	35	13	37	39	38	40	43	34	46	46	48	52	50	53	52	38	55	52	55	56	53	64	64	64	61	64	68	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	2	2	3	1	1	1	2	1	2	1	2	1	2	3	1	1	2	2	1	2	1	2	1	2	1	1	2	3	1	2	2	1	3	1	1	1	1	1	1
5500	-426.067059644133167	-424.552331306997701	-1.514728337135488	0.000017390316268	0.000019824164981	1.139954252420704	0.602963372290513	-3	1	3	3	5	4	5	5	5	6	7	10	8	6	9	8	8	9	8	8	7	9	9	8	8	10	11	10	11	12	11	12	10	12	11	11	9	10	12	14	14	12	12	15	13	12	14	13	15	13	14	14	14	16	17	16	18	19	16	18	20	19	18	18	18	20	24	22	22	23	0	1	1	2	2	3	2	4	4	5	6	25	21	8	14	8	9	11	6	6	0	13	13	8	11	16	15	20	20	22	23	11	22	13	13	13	0	11	25	30	20	25	33	35	36	37	39	38	30	33	34	46	46	38	52	50	53	55	38	55	55	55	56	53	53	57	64	61	64	68	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	1	3	1	1	1	2	2	1	3	2	2	2	1	2	1	2	1	1	1	1	1	3	2	2	2	1	2	1	2	1	1	2	2	2	3	1	2	1
6000	-395.976529918601045	-394.615617060131456	-1.360912858469600	0.000027603584202	0.000015480140429	0.560801826153736	0.644134920575653	0	1	3	4	4	5	5	5	5	6	7	10	8	7	10	7	7	10	9	8	7	9	10	9	9	9	11	9	10	10	9	12	10	12	11	10	10	11	12	13	14	12	11	15	14	12	13	14	15	14	15	14	14	16	16	17	18	19	19	18	18	18	20	18	19	21	24	22	22	23	0	1	1	2	2	3	5	4	4	5	6	25	21	8	16	8	9	11	6	6	0	13	13	14	20	16	15	20	28	22	13	18	22	31	36	13	0	19	29	30	29	12	33	35	23	37	39	38	40	43	34	46	46	38	52	50	53	55	48	52	55	55	56	53	64	57	69	61	64	55	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	2	1	1	2	2	1	2	2	1	2	2	1	1	2	2	1	2	1	2	4	3
6500	-392.551204829724554	-391.163885424890395	-1.387319404834158	0.000054208173763	0.000023164685638	0.427328279661559	0.736133155284630	0	1	3	3	5	5	6	5	6	7	7	9	7	7	9	7	8	9	8	8	5	9	9	8	10	8	11	10	10	13	11	13	11	13	10	12	10	11	12	11	14	11	12	15	13	12	15	14	14	14	14	13	15	16	17	16	17	19	19	18	19	18	18	19	19	20	24	21	23	23	0	1	1	2	4	3	5	4	4	5	3	11	21	8	14	4	9	11	6	11	0	13	13	8	19	8	15	11	20	40	13	28	22	13	13	13	0	28	25	23	28	12	33	35	31	37	39	38	40	43	36	46	46	48	52	50	53	55	48	52	55	52	56	57	53	64	69	61	64	61	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	3	1	1	3	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	3	2	2	2	1	1	2	1	1	2	3	2
7000	-408.906806647047461	-407.424269313482171	-1.482537333565297	0.000104911598913	0.000032262641859	0.307522163356955	0.563959233240280	0	1	2	3	5	4	5	5	6	6	8	8	8	7	9	8	7	9	6	9	7	9	9	9	8	8	9	10	11	13	11	12	11	12	10	11	10	12	13	11	14	12	13	15	13	12	12	14	17	15	15	14	15	17	17	17	17	17	18	18	19	20	20	20	19	21	23	20	21	23	0	1	1	2	2	3	2	4	2	5	6	6	21	8	5	8	5	11	6	25	0	13	13	8	3	7	16	20	20	22	13	18	22	13	13	13	0	19	29	22	12	29	36	35	21	37	12	32	30	43	45	46	46	48	52	43	53	53	48	52	52	52	56	61	57	64	64	58	53	68	1	1	1	1	2	1	2	1	3	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	3	2	2	2	2	1	2	1	3	1	1	3	1	2	2	3	2	2	1	1	2	1	1	2	2	2	2	2	1	2	2	3	3	2	1	1	1	2	2	2	2
7500	-380.695515337965674	-378.987276219896728	-1.708239118068973	0.000097707630681	0.000019639361896	0.201001311356905	0.563163153093063	0	1	4	3	6	5	5	5	6	7	7	10	8	8	10	8	8	9	8	9	6	9	10	9	9	9	11	10	11	13	11	12	11	12	10	10	10	12	13	13	14	12	13	15	13	12	14	11	17	15	16	14	15	15	17	16	17	18	19	19	19	18	19	19	18	19	23	20	24	24	0	1	1	2	7	3	2	4	4	7	6	25	21	8	8	8	9	6	6	3	0	13	13	16	11	16	15	20	11	22	13	11	22	23	13	13	0	19	11	22	28	25	33	35	13	37	12	19	30	40	45	46	46	19	46	43	53	52	54	55	52	52	50	57	57	55	64	52	67	55	1	1	2	1	1	1	2	1	1	1	1	1	1	1	3	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	2	2	2	3	1	3	1	2	1	1	1	2	3	2	1	2	2	2	1	2	2	2	1	1	1	2	3	1	3
8000	-373.243198710086801	-371.606440057236341	-1.636758652850448	0.000091285214738	0.000020550876760	0.225128207442520	0.720479048283912	-1	1	3	3	6	5	4	4	7	6	7	9	7	6	9	9	9	9	8	9	6	9	10	7	10	9	11	8	11	13	9	12	11	12	10	11	9	12	11	11	14	13	12	14	13	12	14	10	17	13	16	14	14	16	17	16	17	18	17	18	19	18	19	19	19	21	23	21	23	21	0	1	1	2	7	3	4	4	4	7	6	28	21	8	14	14	9	11	11	28	0	13	31	8	12	24	16	6	20	40	13	18	22	23	31	31	0	48	20	22	20	29	33	35	36	37	39	19	30	22	44	46	46	38	46	50	53	52	19	52	55	55	56	53	57	46	66	58	66	61	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	2	1	1	2	1	2	2	1	2	2	4	3	1	1	2	2	1	5	1	2	1	1
8500	-402.904947847934523	-401.214874911509355	-1.690072936425193	0.000105726982155	0.000021846135955	0.206627821108391	0.620842779675380	-1	1	4	2	6	5	4	4	6	5	8	10	8	8	9	6	8	9	8	8	7	10	9	8	8	9	10	10	9	13	10	11	11	12	11	12	10	12	12	13	15	13	12	13	14	13	14	13	17	14	15	15	15	16	16	16	17	19	18	17	18	20	18	19	18	19	24	21	24	23	0	1	1	2	2	3	2	4	3	2	6	25	21	8	16	4	4	19	6	3	0	13	13	4	6	8	15	29	11	31	23	18	22	31	23	23	0	11	28	22	25	12	33	35	34	37	20	32	40	43	35	46	46	38	37	50	53	61	38	46	52	60	56	52	57	46	64	61	57	68	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	3	1	2	2	1	1	1	2	1	3	1	1	1	2	1	1	1	1	1	2	1	2	1	1	4	2	1	2	1	2	3	1	2	1	3	2	1	2	3	1	1	1	3	2	2	1	1	2	1	2	2	1	4	1
9000	-383.898039499285915	-382.416744136807097	-1.481295362478825	0.000099155489095	0.000030588858466	0.308493848855502	0.578622201584415	0	1	4	3	4	5	5	6	5	6	7	10	8	7	10	9	8	9	6	9	6	10	9	9	8	10	10	9	11	14	11	10	11	12	10	12	10	9	12	13	13	12	12	14	13	13	15	14	16	14	15	14	14	16	17	16	18	18	18	19	19	20	19	18	19	20	23	20	24	23	0	1	1	2	2	3	2	4	4	5	6	25	21	8	14	14	7	11	3	25	0	23	13	14	19	24	16	19	20	40	21	18	22	23	13	23	0	19	29	22	29	12	33	35	23	37	28	38	40	43	45	37	46	48	37	50	53	46	48	55	52	55	56	53	57	53	64	52	57	57	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	1	2	1	1	1	2	2	2	4	2	2	1	1	2	1	1	3	1	2	3	2	2	2	1	1	2	1	3	2	2	4	2
9500	-411.929905311829884	-409.979130914777841	-1.950774397052049	0.000071374083671	0.000010460995769	0.146565745308748	0.697858424002447	0	1	3	3	3	4	5	6	7	6	7	9	8	8	8	8	9	8	8	8	5	10	9	9	10	10	10	9	11	12	10	13	12	13	11	12	10	11	12	13	15	11	13	14	14	12	13	13	16	14	16	14	14	17	16	17	17	18	17	18	17	18	18	19	18	21	22	21	23	23	0	1	1	2	2	3	5	4	4	5	6	20	21	8	4	8	9	6	3	6	0	23	21	8	12	16	8	20	28	22	13	6	22	13	13	21	0	11	20	22	39	25	33	35	34	37	20	19	40	43	35	46	46	38	52	50	55	46	19	55	52	52	56	57	57	64	58	61	67	61	1	1	2	1	1	1	1	2	2	1	2	1	2	2	2	1	1	1	3	2	1	1	2	2	1	1	1	1	1	1	2	3	1	2	2	3	1	2	2	3	2	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	3	4	2	2	1	1	1	1	1	2	2	1	2
10000	-373.240171553474909	-371.786102872865911	-1.454068680609011	0.000070345641812	0.000023362660863	0.332112413234741	0.633332476114807	-1	1	3	3	4	5	5	6	5	6	7	8	9	7	9	9	7	9	9	8	7	9	10	8	10	9	8	10	9	14	8	11	11	11	11	12	11	11	12	12	14	12	13	16	14	12	14	14	16	14	15	14	14	16	16	16	17	17	17	18	19	18	20	18	18	20	22	21	23	23	0	1	1	2	2	3	2	4	4	5	6	11	31	8	24	8	9	6	11	6	0	31	31	8	12	24	8	20	20	40	21	18	22	31	31	13	0	19	28	22	20	25	33	45	13	37	25	38	40	43	45	46	37	38	52	50	53	37	48	55	58	52	56	53	53	64	57	61	67	61	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	3	1	2	1	2	1	1	2	1	2	2	1	2	3	1	1	1	3	1	2	2	1	2	2	1	2
10500	-359.249154623279026	-357.546047217401110	-1.703107405877939	0.000072765130012	0.000014739296543	0.202559887416013	0.702560149421145	0	2	2	3	4	5	5	5	6	6	7	9	9	7	10	8	8	8	7	9	6	9	10	8	10	9	11	10	11	11	8	10	11	12	11	11	10	11	11	13	15	12	12	14	13	13	15	13	16	14	16	15	14	15	16	16	17	17	19	18	18	18	19	18	18	21	22	22	23	24	0	1	1	2	2	3	5	4	8	5	6	11	31	8	24	8	9	6	6	18	0	31	31	8	12	14	15	20	20	22	21	18	22	13	13	31	0	11	20	30	39	25	33	35	23	37	28	38	40	43	35	37	46	48	52	50	53	55	54	55	52	52	56	53	57	57	64	61	67	61	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	2	3	1	1	1	3	2	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	1	2
11000	-391.715189057336886	-389.956390886471809	-1.758798170865089	0.000098869033104	0.000018469268542	0.186805392573069	0.716755321583153	-2	1	4	3	3	4	5	5	6	6	7	9	9	7	9	7	8	10	8	9	5	9	10	10	10	9	10	9	10	14	7	12	11	13	11	11	9	11	12	11	14	12	12	15	13	13	15	14	14	15	14	14	14	16	16	17	18	18	18	18	19	19	19	18	18	19	22	22	23	23	0	1	1	2	2	1	5	4	4	5	6	11	31	8	14	8	9	11	3	11	0	31	31	16	12	14	15	11	28	40	21	19	22	23	13	31	0	19	28	22	29	12	33	35	31	37	32	38	40	43	35	37	37	48	52	50	53	52	54	55	52	52	56	53	52	64	64	61	67	55	1	1	3	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	2	2	2	1	2	1	2	2	2	1	1	1	2	3	2	1	1	2	1	2	2	1	2	2	1	2
