step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
16000	-54.438386922399687	-61.293874873359059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.919179796681149	-1	2	1	3	5	3	5	3	4	5	7	8	7	10	9	0	3	1	3	8	3	4	2	8	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
16500	-63.540256756885526	-70.395744707844898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.902348792326797	-1	2	1	3	3	3	5	4	5	5	6	9	6	9	8	0	3	1	3	2	3	4	5	8	6	6	8	5	8	8	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
17000	-66.341837228288341	-73.197325179247713	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.870961419109686	0	2	1	2	5	4	4	3	5	6	6	7	6	7	7	0	3	1	3	8	3	4	2	8	6	6	5	8	5	5	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1
17500	-54.230476467786268	-61.085964418745640	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.905127022932989	-1	3	1	3	4	3	5	3	5	5	6	7	8	10	9	0	3	1	3	8	3	4	3	8	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18000	-69.480682563217556	-76.336170514176928	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660765586005079	-1	0	2	1	4	3	4	2	5	5	6	9	6	9	10	0	1	2	2	8	2	4	2	5	6	6	9	9	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
18500	-86.889652751954657	-93.745140702914028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780029005189636	-1	0	2	1	3	2	4	2	4	4	5	9	6	9	10	0	1	2	2	2	2	3	2	8	6	8	11	9	11	9	1	1	1	1	2	1	1	2	1	1	1	2	1	2	3
19000	-56.306647833207769	-63.162135784167141	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.979822737176022	0	1	2	2	5	3	5	3	5	5	6	9	7	9	9	0	1	2	2	8	3	4	2	8	6	6	5	9	13	5	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
19500	-58.075823672434183	-64.931311623393555	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.912316158892870	-1	0	2	2	5	3	4	3	5	4	6	8	7	9	10	0	1	2	2	8	3	4	2	8	6	6	5	9	5	14	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
20000	-61.736946529658411	-68.592434480617783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.784433529137405	-1	1	2	2	5	4	4	3	4	5	7	9	8	7	9	0	1	2	2	8	3	4	3	8	6	6	5	9	8	13	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1
20500	-66.396441902139799	-73.251929853099170	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686030223581164	0	1	2	2	5	3	4	3	5	6	7	9	7	9	8	0	1	2	2	8	3	4	2	8	6	10	8	9	13	8	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2
21000	-65.755948817855440	-72.611436768814812	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710049866605434	-2	1	2	2	4	3	4	3	5	5	5	8	7	9	10	0	1	2	2	3	3	4	2	8	6	6	2	8	12	12	1	1	1	1	1	1	1	2	1	1	1	3	2	1	1
21500	-58.630853825264751	-65.486341776224123	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666125190193045	0	1	3	3	4	3	4	3	5	5	6	8	7	9	8	0	1	2	2	8	2	4	2	5	6	6	13	9	15	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
22000	-64.729915415656748	-71.585403366616120	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640001034159161	-1	2	1	2	5	3	4	3	5	5	6	8	7	10	10	0	3	1	3	8	2	4	2	8	6	6	8	9	13	9	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2
22500	-62.964536651616314	-69.820024602575685	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.987573019889938	-1	3	0	3	3	3	5	4	5	5	6	7	7	8	10	0	3	1	3	3	3	4	5	5	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23000	-62.759209790938314	-69.614697741897686	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.803225258393214	0	2	1	3	5	3	5	3	5	5	5	9	7	10	7	0	3	1	3	8	3	4	3	8	6	6	5	9	8	5	1	1	1	1	1	1	1	1	1	1	1	2	1	4	2
23500	-67.660945121690773	-74.516433072650145	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.844829391384608	-2	2	0	3	5	3	4	3	4	5	6	6	7	8	8	0	3	1	2	8	3	4	2	8	6	6	8	5	5	5	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
24000	-53.964857386493058	-60.820345337452430	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.963155053506967	0	1	2	2	4	3	5	3	5	5	5	7	7	9	9	0	1	2	2	8	2	4	3	8	6	6	5	9	12	12	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
24500	-65.481883905711783	-72.337371856671155	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.761160683667417	-1	1	2	3	5	4	5	3	4	6	6	10	8	10	9	0	1	2	2	8	3	4	3	8	6	3	9	9	5	5	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2
25000	-58.081516945244488	-64.937004896203860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731123596250682	0	2	3	2	5	4	4	4	5	6	6	9	7	10	8	0	1	2	1	8	2	4	2	8	6	6	9	9	12	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
25500	-70.092367579234661	-76.947855530194033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.969838715791143	0	2	3	1	4	3	5	3	5	6	6	8	7	9	9	0	4	2	1	8	2	2	2	5	6	6	9	9	13	5	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2
26000	-66.388482583011211	-73.243970533970582	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.840659657491936	-2	1	2	3	5	4	5	2	4	5	6	7	6	7	8	0	1	2	2	8	3	4	2	8	6	6	5	9	5	8	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
26500	-58.115674141739888	-64.971162092699259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.861370745660830	0	1	2	2	5	3	4	3	4	5	5	9	6	9	9	0	1	2	2	8	2	4	2	8	6	6	5	9	5	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2
27000	-65.357237415834717	-72.212725366794089	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.961918643198927	-1	3	1	2	5	4	3	3	4	6	7	9	7	7	6	0	3	1	3	8	2	4	3	8	6	6	5	9	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
27500	-69.775483912775613	-76.630971863734985	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.888672437882778	-1	2	1	2	4	3	4	3	4	5	5	9	6	8	9	0	3	1	3	8	2	4	2	8	6	6	9	5	8	8	1	1	1	1	1	1	2	1	1	1	1	3	1	3	2
28000	-56.723862273461890	-63.579350224421262	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824208768909317	0	2	1	3	3	3	5	4	4	5	5	8	8	9	9	0	3	1	3	3	2	4	5	5	6	6	8	9	12	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
28500	-62.829130758585123	-69.684618709544495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.766423260531048	-1	2	1	3	4	3	5	3	5	6	6	7	8	10	9	0	3	1	2	8	2	4	2	5	6	6	5	9	13	12	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
29000	-62.432946939197933	-69.288434890157305	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.875171490467445	-1	2	1	2	5	4	4	3	4	5	7	8	7	9	10	0	3	1	3	8	3	4	3	8	6	6	5	9	12	13	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1
29500	-73.560738222866107	-80.416226173825478	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758900630241959	-1	2	1	2	4	3	5	3	4	6	6	8	7	9	9	0	3	1	3	2	3	4	3	2	6	6	8	5	13	13	1	1	1	1	1	2	1	1	2	2	2	3	2	1	1
30000	-59.435584283501356	-66.291072234460728	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.807016847591661	0	3	1	2	3	3	5	2	5	5	7	7	7	10	9	0	3	1	3	8	3	4	3	5	6	6	9	9	12	12	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1
30500	-59.029746391319605	-65.885234342278977	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.866783861213092	0	2	1	3	5	3	4	3	4	5	6	8	7	7	10	0	3	1	3	8	2	4	2	8	6	6	5	9	5	12	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
31000	-53.695823115784833	-60.551311066744205	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.815018963687598	0	3	1	2	5	4	4	3	4	5	6	9	7	10	9	0	3	1	3	8	2	4	3	8	6	6	13	9	12	13	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
31500	-70.592828394817531	-77.448316345776902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723121899023210	-1	1	0	2	5	2	4	3	4	5	7	10	7	10	9	0	3	1	2	8	3	4	3	8	6	10	2	9	8	5	1	1	1	1	1	1	1	1	1	2	1	4	1	3	2
32000	-80.472818394437127	-87.328306345396499	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.889170209863292	-3	2	0	2	5	4	5	2	4	3	5	9	7	8	9	0	1	1	3	8	10	3	3	8	2	6	14	9	5	7	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2
32500	-59.402528480314047	-66.258016431273418	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.814685106634492	0	2	3	1	5	3	4	3	5	5	6	9	7	10	8	0	4	2	1	8	2	4	2	8	6	6	13	9	12	8	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
33000	-66.562880714566319	-73.418368665525691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727797670716547	-1	2	3	0	5	3	4	3	5	5	5	9	7	10	8	0	4	2	1	8	2	4	2	8	6	6	2	9	12	5	1	1	1	1	1	1	2	1	1	1	1	4	1	1	2
33500	-79.843901629991905	-86.699389580951276	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520842576602247	-2	1	2	0	4	3	5	4	5	5	7	8	7	9	9	0	4	2	1	2	2	4	2	3	6	6	5	9	8	8	1	1	1	1	2	1	2	1	2	1	2	3	1	3	3
34000	-64.744555455592305	-71.600043406551677	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.816547333108426	-1	2	3	0	5	4	4	3	5	6	6	10	7	10	8	0	4	2	1	8	3	4	2	8	6	6	15	9	15	5	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2
34500	-69.411625724452534	-76.267113675411906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743258940565813	-1	2	3	1	4	4	5	3	5	5	6	9	7	8	7	0	4	2	1	8	2	4	2	5	6	6	15	9	8	5	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2
35000	-63.577438725285319	-70.432926676244691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.871331702712878	0	2	3	1	5	4	3	4	5	6	6	9	7	8	9	0	4	2	1	8	2	4	2	8	6	6	5	9	5	8	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2
35500	-77.001902903957571	-83.857390854916943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.903558891583152	0	2	3	1	5	4	4	3	5	6	7	6	6	9	8	0	4	2	1	8	2	4	2	8	6	6	5	5	5	13	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1
36000	-70.504849115035341	-77.360337065994713	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.942831170574855	-1	2	3	1	5	3	4	3	4	5	7	8	8	9	10	0	4	2	1	8	2	4	2	8	6	6	8	9	12	12	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1
36500	-50.770670355600728	-57.626158306560100	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.975005648774012	-1	1	2	2	5	3	4	3	4	5	5	7	6	9	10	0	1	2	2	8	2	4	2	8	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37000	-56.576885622983113	-63.432373573942485	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.827785956295775	-1	1	3	3	5	3	4	3	5	5	7	8	7	9	9	0	1	2	2	8	2	4	2	8	6	6	5	5	12	13	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
37500	-66.682486308572734	-73.537974259532106	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.794128303797994	-1	1	2	2	5	3	5	4	5	6	7	8	7	7	10	0	1	2	2	8	2	4	6	8	6	6	8	9	9	12	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
38000	-70.600527772477903	-77.456015723437275	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698071122162043	0	1	2	2	5	3	3	3	5	6	6	8	7	9	9	0	1	2	2	8	3	4	3	8	6	6	5	5	8	8	1	1	1	1	2	1	1	1	1	2	1	2	1	4	3
38500	-60.914592326731523	-67.770080277690894	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.862485702614326	-2	1	2	3	5	3	5	2	4	6	6	8	7	9	10	0	1	2	2	8	2	4	2	8	6	6	5	9	12	12	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
39000	-60.553643709101635	-67.409131660061007	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741639680347235	0	1	2	2	4	3	5	3	5	5	6	9	7	8	9	0	1	2	2	8	2	4	2	8	6	6	8	9	5	5	1	1	1	1	1	1	2	1	1	1	2	3	1	2	2
39500	-57.134717927413035	-63.990205878372407	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.932053424155973	0	1	3	3	5	3	5	3	4	5	6	9	6	9	8	0	1	2	2	8	2	4	2	8	6	6	8	9	5	5	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
40000	-62.520015282600284	-69.375503233559655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.936228230297620	0	1	3	2	3	4	4	3	4	6	6	8	6	7	10	0	1	2	2	2	3	4	2	5	6	6	5	9	13	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
40500	-69.118861198932692	-75.974349149892063	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702045291910061	0	2	3	3	4	3	5	3	5	5	7	10	8	7	9	0	1	2	2	8	2	4	2	8	6	6	14	11	5	11	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
41000	-62.525511368785203	-69.380999319744575	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.872378354467755	0	1	3	3	4	3	5	3	4	5	6	10	7	9	9	0	1	2	2	8	2	4	2	8	6	6	14	9	5	5	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2
41500	-55.173876404428349	-62.029364355387720	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832868578133617	-1	1	2	2	5	4	4	3	5	6	6	9	7	9	10	0	1	2	2	8	3	4	3	8	6	6	5	9	8	12	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
42000	-58.485019831073700	-65.340507782033072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886878800095386	-1	1	3	3	4	3	5	3	4	5	4	9	8	10	10	0	1	2	2	8	2	4	2	8	11	6	5	9	13	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
42500	-69.540835211627567	-76.396323162586938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745255482222935	-2	3	0	2	3	4	4	2	4	6	6	9	6	10	8	0	3	1	3	8	3	4	3	8	6	6	5	9	12	5	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2
43000	-65.219281657085489	-72.074769608044861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694608922510606	0	2	1	3	4	3	4	2	4	6	5	9	6	10	7	0	3	1	2	8	2	4	3	8	6	6	15	9	12	5	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2
43500	-62.133282252314345	-68.988770203273717	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823442485579659	-1	2	1	2	4	3	4	3	5	4	7	8	7	9	9	0	3	1	3	2	2	4	2	8	6	6	9	9	5	5	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3
