step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
10000	-194.082028354018263	-191.384245003831779	-2.697783350186490	0.000182898423261	0.000013496386134	0.073791703030994	0.523288768139635	2	3	7	9	7	6	8	9	9	8	9	10	11	10	13	11	9	12	12	11	15	16	13	15	14	17	18	18	18	18	21	26	0	1	1	5	2	1	6	5	3	6	6	10	3	11	19	11	5	6	5	9	10	23	13	18	13	3	24	20	19	25	28	28	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	3	3	1	3	2	1	2	2	3	1	3	3	2	1	3
10500	-258.071748909032806	-255.530884944592316	-2.540863964440512	0.000308000084981	0.000025720483094	0.083508038953379	0.440007268317794	2	3	6	9	9	6	8	9	9	7	8	9	12	11	11	10	9	11	10	13	14	16	13	13	14	17	18	19	18	19	21	25	0	1	1	10	1	1	6	7	10	1	2	10	17	3	8	9	6	7	7	9	20	20	11	5	16	6	24	1	7	12	11	31	1	1	2	1	4	2	2	1	1	2	3	1	1	2	1	1	1	2	1	2	1	2	2	2	2	4	2	9	4	6	6	2
11000	-209.172598920776949	-207.447022806385434	-1.725576114391525	0.000242892997250	0.000047583929625	0.195904905301988	0.581890237296261	2	4	7	8	8	6	8	8	9	7	9	10	11	9	11	8	10	10	11	13	14	16	13	15	15	15	19	19	18	19	21	25	0	1	6	10	2	2	3	2	5	6	16	1	8	16	8	10	5	10	7	9	11	26	12	18	2	13	21	20	25	23	28	31	1	1	1	1	2	1	1	2	1	1	1	4	2	1	2	1	1	2	1	2	3	1	1	2	6	2	2	3	2	2	1	2
11500	-194.530630588633784	-192.271785031592856	-2.258845557040936	0.000199171649033	0.000021252358722	0.106703734319391	0.598591487173406	2	4	6	8	8	6	8	10	9	8	8	10	9	10	12	10	10	11	10	12	15	16	13	14	14	17	19	18	17	19	21	26	0	1	2	3	6	2	3	10	3	6	3	10	6	3	10	11	3	19	6	9	20	25	13	18	23	25	24	20	21	26	20	31	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	1	2	3	4	1	1	4	2
12000	-207.256883663907729	-203.907957415156744	-3.348926248750978	0.000240295155682	0.000011322820898	0.047120470929688	0.566906358437889	3	4	5	8	8	7	7	9	9	8	10	10	11	11	11	10	11	12	10	12	13	16	14	14	14	16	18	19	18	19	20	26	0	1	1	1	2	2	3	7	6	2	4	10	5	9	19	5	6	4	10	19	10	23	13	18	13	23	18	6	20	26	28	28	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	2	1	2	2	2	1	3	5	3	1	1	3
12500	-201.388780692299378	-198.652876658687859	-2.735904033611524	0.000227712872829	0.000016324071192	0.071687081142682	0.560829871639181	2	4	6	8	7	7	8	9	10	8	10	8	12	9	12	10	10	12	12	12	14	15	14	14	13	16	19	18	17	19	21	26	0	1	1	6	2	1	6	10	12	6	7	3	6	10	7	7	6	6	16	6	19	13	13	18	19	23	24	20	5	29	28	28	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	3	1	2	1	1	1	1	2	2	5	2	1	3
13000	-226.621802857599874	-223.865930006746936	-2.755872850852938	0.000260691387513	0.000018410021090	0.070619981987401	0.617737820060037	3	4	6	7	7	5	6	9	7	8	8	9	10	11	10	9	9	11	11	11	12	14	12	14	14	15	19	17	18	19	21	26	0	1	1	3	2	1	1	11	1	2	5	5	9	16	4	11	9	7	7	10	14	14	13	18	13	18	28	20	21	23	28	31	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	3	2	1	1	2	1	2	3	2	2	3	3	3	1	3
13500	-194.002801083396520	-190.342218250068527	-3.660582833328003	0.000250005222946	0.000009758861628	0.039034631008323	0.715976786638603	2	3	5	7	9	6	8	8	9	6	9	9	10	10	11	10	11	11	10	12	13	15	13	14	14	16	19	16	18	18	20	27	0	1	1	6	6	1	3	6	10	1	7	10	6	7	8	11	19	6	10	9	14	23	13	18	23	25	24	20	28	26	28	31	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	2	1	1	2	4
14000	-217.137585984149297	-214.612265451258764	-2.525320532890524	0.000181110039525	0.000015317279438	0.084574435951769	0.466683929940049	2	3	7	8	8	6	8	10	9	8	7	10	12	9	12	9	10	12	11	12	14	15	13	14	14	16	17	19	18	19	19	26	0	1	2	3	2	2	6	5	1	2	1	1	10	10	10	11	10	10	6	6	3	23	10	18	13	13	18	21	16	26	12	3	1	1	3	1	2	1	1	1	3	2	2	3	2	1	2	2	1	2	2	2	4	1	2	1	1	2	4	2	4	2	4	10
14500	-201.524036788882171	-198.623668161614319	-2.900368627267843	0.000209415328495	0.000013308574474	0.063551099960547	0.467967679241259	2	3	7	9	8	6	9	8	9	8	10	10	11	11	12	8	10	10	12	10	14	16	14	15	14	17	19	17	19	19	22	26	0	1	1	3	2	1	6	6	16	1	16	5	5	11	5	1	16	10	16	10	14	23	13	18	13	23	24	20	19	25	28	28	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	4	2	2	3	4
