step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68
5000	-394.914728336623853	-401.770216287583253	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.433813323847076	0	1	1	3	2	5	4	5	6	7	10	8	9	11	10	8	10	11	10	11	11	10	8	12	12	12	11	13	13	14	12	14	13	14	14	14	16	16	16	16	16	16	18	17	17	17	18	18	16	20	20	18	19	18	21	21	21	23	21	23	21	23	22	24	24	25	30	31	0	1	1	2	1	1	1	4	5	7	9	9	7	1	10	1	1	22	1	22	12	1	0	10	21	15	3	17	24	19	19	17	22	31	1	4	30	17	28	34	22	15	26	36	25	30	17	45	19	47	41	39	42	1	30	37	43	17	13	46	17	51	26	54	63	0	0	0	1	1	1	1	1	2	1	1	2	2	3	1	2	4	2	4	6	1	6	1	1	6	1	2	1	1	5	2	1	2	1	2	1	1	7	6	1	3	2	2	3	2	4	2	2	2	3	1	2	1	4	1	1	8	3	3	2	5	4	4	4	2	5	4	1	1	1	1
5500	-437.743366735631639	-444.598854686591039	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.455987750267480	0	1	2	3	4	6	5	7	7	6	9	8	9	11	10	6	10	11	8	10	10	8	11	12	13	12	12	12	12	12	13	13	13	13	14	15	14	13	14	16	16	14	18	17	15	17	17	18	19	20	18	19	20	21	19	21	19	19	19	22	22	23	23	24	25	24	31	31	0	1	1	3	4	1	1	5	5	1	4	16	7	1	1	4	6	15	6	1	7	6	0	11	22	22	15	17	21	17	12	1	12	15	30	15	28	1	30	23	21	33	12	31	21	26	36	36	12	44	4	31	38	52	40	41	20	39	1	48	14	51	41	43	61	0	0	0	1	1	2	1	1	4	3	1	1	4	2	1	2	7	6	1	2	1	1	5	2	1	1	2	2	2	1	1	1	1	2	4	3	2	1	3	1	5	1	3	4	1	5	3	3	3	1	2	7	2	4	2	2	1	1	2	3	2	7	2	6	3	3	3	2	1	1	1
6000	-405.217085394503499	-412.072573345462899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.393518241929820	-1	0	1	3	5	7	4	5	6	7	10	8	9	10	9	9	10	10	10	12	12	11	11	12	12	12	12	12	11	13	14	13	13	14	14	14	15	16	15	16	16	16	17	16	18	18	17	18	18	21	18	19	20	18	21	22	20	23	21	21	24	23	23	23	24	23	29	31	0	1	1	3	2	1	1	4	2	1	15	5	12	12	9	6	12	7	16	17	7	17	0	1	18	11	1	9	10	12	28	9	13	27	27	24	9	16	25	25	10	30	38	33	40	44	14	42	33	43	1	42	42	22	49	46	48	41	44	26	41	41	17	54	34	0	0	0	1	1	1	1	2	4	2	1	4	4	1	1	1	1	2	1	1	3	1	1	4	1	1	5	1	1	5	4	2	2	1	2	3	1	1	1	4	5	2	3	5	1	1	2	2	1	4	1	1	2	7	3	2	2	2	3	1	4	3	4	4	4	7	3	5	1	1	1
6500	-380.549970499014591	-387.405458449973992	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.455588552854954	-1	0	1	2	4	7	2	6	7	7	10	8	8	11	11	9	9	8	10	11	11	10	12	12	10	12	13	12	12	14	13	13	13	12	13	15	16	14	15	16	16	15	17	17	18	18	18	17	18	20	20	19	21	21	20	22	19	20	20	22	24	24	22	23	23	23	31	31	0	1	1	2	1	1	1	5	1	7	8	7	9	13	7	12	10	1	13	1	8	18	0	12	18	20	25	1	13	24	19	25	1	20	8	16	20	28	32	14	1	27	38	38	30	28	35	14	33	38	24	41	46	50	42	57	27	12	33	55	41	57	1	54	41	0	0	0	1	1	1	1	2	3	2	1	3	2	2	3	1	1	4	1	2	4	1	6	2	1	1	2	1	1	1	5	2	1	1	2	8	1	2	2	2	1	1	3	9	1	2	1	2	3	3	3	3	2	5	1	1	1	2	1	3	4	3	1	5	3	11	1	5	1	1	1
7000	-393.678853778545999	-400.534341729505400	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497974031645753	0	1	2	3	3	8	5	7	6	6	10	8	9	11	8	9	11	10	9	12	11	10	11	13	9	11	12	12	12	13	13	12	14	13	14	15	15	16	15	17	17	15	18	18	17	16	18	17	19	21	18	20	20	21	19	21	20	22	21	22	23	23	20	25	24	24	29	30	0	1	1	2	1	8	1	5	7	3	1	5	9	15	1	1	8	9	12	8	25	13	0	13	15	18	21	22	11	23	19	12	1	22	11	8	34	31	31	37	1	33	42	39	38	31	37	6	42	47	11	17	44	43	40	44	33	35	37	57	55	63	37	52	62	0	0	0	1	1	1	1	1	1	2	2	1	2	5	2	2	1	3	5	3	2	1	3	1	1	1	2	1	1	1	1	1	1	3	3	6	2	3	4	1	2	1	1	9	1	1	1	1	1	1	4	1	2	3	3	1	1	1	2	3	6	3	1	3	2	2	4	1	1	1	1
7500	-343.017166206530476	-349.872654157489876	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.364514248311514	0	1	1	2	4	7	6	5	6	7	9	8	7	11	10	9	10	10	10	10	10	10	11	12	12	13	13	12	12	13	13	13	14	13	12	14	14	16	15	17	16	17	18	16	17	18	17	17	18	20	19	20	21	21	22	22	20	22	22	22	23	22	24	24	25	23	29	31	0	1	1	2	2	1	1	1	4	1	1	8	5	7	12	8	12	8	1	8	12	12	0	18	15	20	21	22	6	10	19	17	22	22	12	12	6	19	7	38	1	26	39	37	39	31	25	16	22	44	30	34	34	1	48	53	40	1	19	53	62	51	60	1	62	0	0	0	1	1	1	1	2	4	2	3	3	4	6	2	2	2	2	2	1	3	4	2	1	1	1	1	1	1	2	1	3	3	2	2	2	2	1	3	4	4	3	1	8	2	1	1	1	3	2	4	2	3	2	4	5	11	2	1	1	9	6	1	1	1	1	10	2	1	1	1
8000	-405.576760025732597	-412.432247976691997	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385027696965473	-1	1	1	3	5	7	4	6	7	6	9	8	7	11	10	10	9	11	10	12	10	10	12	11	13	12	13	12	12	13	11	12	12	14	14	14	16	17	15	17	16	15	18	17	15	18	19	18	17	19	19	20	18	21	22	20	19	22	21	22	24	24	23	22	24	25	30	31	0	1	1	1	3	1	4	3	4	4	9	6	5	22	12	4	13	1	1	12	11	10	0	21	21	14	9	19	4	15	1	9	16	31	30	16	32	19	29	23	5	12	1	16	6	31	41	38	12	44	4	46	41	45	51	36	46	41	42	49	41	9	35	1	9	0	0	0	1	1	1	2	2	4	1	3	2	1	1	1	2	1	1	2	1	6	7	2	1	2	1	1	2	1	2	1	5	1	4	3	1	2	1	2	1	4	1	3	6	3	8	4	5	3	1	1	5	1	9	1	1	3	1	3	1	4	3	2	6	5	4	10	5	1	1	1
8500	-417.830380543344518	-424.685868494303918	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384590787906320	-1	0	1	3	3	7	5	6	6	8	9	8	8	11	11	9	11	10	11	12	10	9	11	12	11	12	11	11	12	13	13	14	14	12	14	14	15	16	14	17	17	16	18	18	14	19	18	18	17	21	20	17	19	19	21	21	19	19	21	22	24	23	23	25	24	24	30	31	0	1	1	3	1	1	1	7	2	1	12	9	8	1	1	12	6	10	16	4	8	6	0	13	4	8	12	6	1	20	25	25	22	10	26	1	11	33	20	29	34	32	5	38	6	16	26	52	1	57	24	37	33	38	41	25	28	7	54	17	8	41	47	1	41	0	0	0	1	1	1	1	2	4	3	1	3	4	1	1	1	5	8	1	2	1	1	5	2	1	1	2	4	2	2	2	6	1	1	2	3	2	1	7	3	1	1	3	2	1	6	1	4	5	2	1	5	1	4	1	2	1	2	6	4	7	1	7	10	2	3	11	5	1	1	1
9000	-532.977176908139427	-539.832664859098827	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.347097960911159	-1	1	0	3	4	8	6	5	6	8	6	8	8	8	10	8	10	8	9	11	12	10	11	11	13	11	11	13	12	13	13	12	14	13	11	14	15	15	15	15	16	16	18	18	17	19	17	18	19	20	19	19	20	22	22	21	21	23	21	21	23	24	24	24	25	24	28	31	0	1	1	3	1	1	1	2	5	1	1	7	5	4	4	1	18	4	16	10	27	4	0	14	15	6	10	19	1	23	22	10	26	18	22	31	32	5	19	33	4	36	42	19	22	31	31	42	16	46	22	12	48	50	52	32	24	60	40	30	29	30	22	1	22	0	0	0	1	1	1	2	2	5	3	2	1	5	2	1	2	3	4	5	1	2	1	1	1	4	1	1	2	1	1	3	6	1	1	2	2	3	1	1	1	5	4	1	7	1	1	5	4	4	3	2	7	1	5	5	1	2	2	4	5	1	4	4	6	5	8	12	8	1	1	1
9500	-393.245472514425842	-400.100960465385242	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.319198058010982	0	1	2	2	4	7	5	5	6	7	6	9	8	10	11	8	11	11	11	11	11	10	11	12	12	12	12	13	11	13	14	14	12	13	13	14	16	16	16	17	16	17	15	15	18	18	19	17	18	21	18	18	19	22	21	22	20	21	21	21	23	23	23	23	25	25	30	30	0	1	1	1	1	1	4	4	7	7	4	6	1	4	8	1	13	13	1	4	1	4	0	5	4	11	8	22	8	15	24	1	1	23	24	1	23	19	26	37	1	31	17	33	26	24	37	28	44	44	32	43	28	57	47	34	37	17	38	48	17	51	45	4	62	0	0	0	1	1	1	1	2	4	2	2	1	1	2	1	4	4	3	3	2	2	5	5	6	5	1	3	5	3	3	2	3	1	1	6	5	1	1	7	2	2	3	1	9	2	2	1	3	5	1	2	1	2	1	2	3	1	1	6	2	4	2	1	6	2	4	12	1	1	1	1
10000	-394.934086178929078	-401.789574129888479	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426602726651953	-1	1	1	3	3	7	3	6	5	6	10	9	8	11	10	9	11	11	9	9	10	10	12	12	11	13	12	12	13	13	13	13	14	13	14	13	15	16	14	14	15	16	18	17	18	19	18	17	19	19	17	19	20	19	19	21	21	21	21	22	22	23	24	25	25	24	30	31	0	1	1	1	1	5	1	3	5	1	1	8	10	12	1	4	16	4	9	8	7	13	0	15	10	17	7	17	21	22	16	11	22	13	27	19	39	1	16	27	1	29	36	17	40	19	36	23	44	44	30	30	8	17	14	30	42	12	54	34	40	58	1	26	62	0	0	0	1	1	2	2	2	2	2	3	1	3	5	1	2	1	5	3	1	3	2	2	4	1	1	1	2	1	4	1	2	2	3	2	3	2	1	3	1	7	3	1	8	2	2	3	3	5	2	2	2	1	2	2	6	4	3	5	2	5	1	4	5	1	11	7	1	1	1	1
10500	-441.067519585772459	-447.923007536731859	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.372446783565453	-1	0	2	2	4	6	4	6	7	5	9	8	8	11	11	8	10	10	11	12	11	10	10	12	10	13	12	12	11	13	13	13	14	13	14	14	15	16	16	15	17	17	16	16	18	16	18	17	18	20	19	20	20	21	21	19	20	22	22	22	23	23	23	23	25	24	30	31	0	1	1	1	4	4	1	5	8	1	4	8	4	1	13	8	12	12	16	13	4	16	0	9	4	14	10	16	10	24	22	21	12	15	13	13	14	1	19	28	1	14	40	19	30	16	43	30	4	48	42	46	37	37	50	14	6	9	33	26	56	37	53	30	59	0	0	0	1	1	2	1	1	3	3	1	1	3	2	1	3	5	1	1	2	1	3	2	7	1	1	3	3	2	5	2	2	1	1	1	3	1	3	2	2	8	3	1	9	2	1	3	2	2	1	1	4	2	1	3	3	4	1	4	7	6	6	5	2	4	1	5	2	1	1	1
11000	-422.900940366872021	-429.756428317831421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418073453089077	0	1	2	2	4	8	5	6	7	8	9	9	8	10	10	9	11	9	11	12	11	11	11	10	13	12	13	13	12	12	13	13	13	13	13	14	15	16	14	17	16	15	19	17	18	17	19	18	19	21	19	20	19	21	21	22	20	23	22	21	23	23	24	24	24	23	30	32	0	1	1	2	4	8	1	4	7	1	4	5	8	18	9	1	16	4	4	10	15	16	0	16	18	15	10	13	4	23	19	29	1	21	4	13	20	1	19	39	8	20	33	13	6	31	22	20	26	24	41	47	40	43	38	44	41	41	54	44	60	51	62	16	60	0	0	0	1	1	1	1	1	1	2	2	1	3	4	2	1	1	2	4	1	4	5	2	1	1	1	1	1	2	2	3	6	1	1	1	4	1	6	4	1	9	2	2	2	2	3	4	4	1	4	3	4	6	2	1	1	1	3	3	2	4	1	2	1	2	1	6	1	1	1	1
11500	-401.769136739033570	-408.624624689992970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.456406022601913	0	1	1	3	1	6	3	7	6	7	10	9	9	11	10	9	9	11	10	11	12	9	11	12	12	13	13	11	12	13	13	13	13	13	14	15	16	16	16	16	17	16	17	14	18	16	19	18	17	19	19	20	20	20	22	20	19	22	21	22	23	21	23	24	25	21	31	32	0	1	1	1	1	1	1	7	5	1	22	4	5	13	12	1	4	8	22	12	3	1	0	23	17	22	1	1	1	10	4	12	16	14	4	31	25	1	35	11	13	19	16	22	40	22	40	14	26	46	41	34	37	12	46	12	43	12	34	66	51	48	51	38	47	0	0	0	1	1	1	2	1	2	1	2	2	2	1	3	3	2	1	3	4	3	1	1	6	4	1	1	2	2	7	5	6	2	6	3	3	1	4	1	2	8	1	2	5	3	4	2	1	4	1	3	2	2	1	2	2	6	4	5	1	6	3	1	1	1	3	4	3	1	1	1
