step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68
5000	-544.985383978187429	-542.496026039376716	-2.489357938810663	0.000016778317950	0.000062522304683	3.726375007883988	0.620357228436359	-1	0	1	1	4	7	6	6	5	8	9	8	9	11	8	10	11	10	11	11	10	10	12	13	12	13	12	10	13	13	12	13	12	14	12	14	15	17	15	17	15	16	17	16	17	16	16	19	18	20	18	17	20	21	21	20	19	21	20	22	23	22	23	24	24	25	29	31	0	1	1	1	3	5	5	1	3	8	4	4	3	11	6	3	6	8	6	11	7	11	28	7	13	22	7	5	19	8	16	21	16	12	28	16	32	19	32	27	8	36	26	19	20	34	33	45	5	51	26	30	47	51	57	15	0	41	26	56	58	59	55	62	51	0	19	67	1	1	1	1	1	1	1	4	2	1	2	3	2	1	1	3	2	2	2	1	1	1	1	2	1	2	3	3	1	3	1	2	2	2	1	1	1	3	1	3	3	1	2	2	2	1	1	1	5	1	1	2	2	1	1	5	1	3	3	1	1	1	1	1	3	1	8	1
5500	-528.184974702944032	-525.530121073736836	-2.654853629207213	0.000022351566219	0.000095137279051	4.256403247851902	0.590127916278484	-1	0	1	2	4	8	6	6	6	7	9	7	9	11	11	9	11	11	11	10	11	9	11	13	11	13	12	13	12	13	14	13	13	14	14	13	15	16	16	16	16	16	17	17	17	16	15	17	17	21	19	19	19	20	20	20	21	22	20	21	22	23	23	24	24	24	29	32	0	1	1	3	3	5	3	4	5	5	9	1	7	16	7	9	13	5	6	11	13	10	6	18	5	22	21	3	12	29	21	14	9	26	22	15	31	34	36	26	29	35	5	31	26	26	15	47	30	40	41	28	41	52	31	38	0	41	9	56	57	41	38	61	54	0	23	67	1	1	1	1	1	2	2	2	1	2	2	3	1	1	2	2	1	5	2	1	1	1	1	1	3	2	1	3	2	1	1	1	4	1	1	1	1	1	1	2	3	1	4	1	2	1	2	1	2	2	2	3	1	1	2	3	1	3	8	1	1	3	3	1	2	1	6	1
6000	-418.485729834930055	-416.878541991247516	-1.607187843682530	0.000059036578486	0.000080888760578	1.370146486347275	0.588668397610252	-1	1	0	1	3	7	4	4	6	8	8	8	8	11	11	9	11	10	10	11	10	10	11	12	12	12	13	11	12	13	12	14	13	14	13	14	14	16	14	16	16	16	16	16	18	17	18	17	17	20	18	20	21	21	22	20	20	22	20	21	23	22	23	24	24	25	29	30	0	3	1	1	2	5	2	2	7	7	9	8	5	21	22	5	16	5	12	11	7	6	22	28	21	13	21	12	18	14	23	9	22	29	14	19	15	31	23	19	26	22	34	24	44	8	42	44	22	42	41	47	46	39	45	17	0	41	15	56	53	50	56	55	59	0	61	67	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	4	1	5	1	1	2	1	1	1	1	1	2	2	1	1	1	5	2	1	1	2	2	2	2	4	2	3	1	1	1	5	1	1	3	2	1	1	3	4	2	2	1	4	3	1	1	1	2	1	2	1	3	1
6500	-429.354941923048159	-427.963085023281053	-1.391856899767125	0.000114103464773	0.000088763689389	0.777922822631549	0.533133298408406	-1	1	1	3	4	7	5	7	5	8	10	8	8	12	11	9	10	10	11	11	11	10	11	13	11	12	13	11	12	13	14	13	14	12	13	13	15	17	15	15	17	16	19	17	17	19	16	17	19	20	19	20	21	21	21	20	19	20	19	22	22	23	24	24	22	24	31	31	0	1	1	2	2	4	4	2	2	7	9	3	6	10	17	9	8	7	17	7	8	10	10	22	13	28	7	12	25	16	24	7	8	28	20	8	36	11	15	9	15	33	23	39	27	40	29	35	31	49	41	17	33	45	52	39	0	41	31	56	51	52	50	61	50	0	44	64	1	1	1	1	2	2	2	2	3	1	2	4	1	3	1	2	1	3	1	3	2	1	2	2	2	1	4	2	1	1	1	4	4	1	1	3	1	3	2	5	4	1	3	1	2	2	4	2	2	1	1	5	3	2	1	3	1	1	2	1	2	2	2	1	1	1	8	2
7000	-396.438437610507833	-394.827616006880760	-1.610821603627081	0.000139344018724	0.000032804997999	0.235424514806333	0.491726252165768	-1	1	1	3	4	8	4	6	7	8	9	8	7	12	11	9	11	10	11	12	11	9	11	13	13	11	11	12	10	12	13	14	12	14	12	14	15	16	14	15	16	17	18	18	18	18	17	18	19	18	19	20	18	20	22	20	20	20	21	22	23	23	21	24	24	24	30	32	0	1	1	2	1	4	2	2	5	13	13	8	7	19	13	12	18	13	22	15	13	7	16	19	27	29	13	29	12	8	17	9	12	29	23	33	30	16	33	9	40	30	34	41	16	31	33	47	37	41	40	25	38	46	63	5	0	31	4	45	52	24	40	63	59	0	56	56	1	1	1	1	3	2	1	2	2	1	1	1	1	1	2	1	1	2	1	1	3	2	1	1	1	1	2	1	1	3	2	3	2	2	1	1	2	4	1	4	1	2	1	1	5	3	2	1	3	1	3	4	1	1	1	9	1	3	8	2	2	6	3	2	2	1	4	7
7500	-404.183569314871420	-402.803682550110523	-1.379886764760906	0.000114127352771	0.000082999550391	0.727253794780942	0.458216896995373	-1	0	2	2	3	7	5	5	7	7	7	9	8	12	10	10	10	9	11	11	10	10	12	12	12	13	11	12	12	14	12	14	14	13	14	15	15	16	13	16	15	16	19	17	17	18	18	18	16	20	20	20	21	20	21	21	20	21	21	22	22	24	23	24	25	24	30	31	0	1	2	2	3	7	3	3	8	7	7	2	7	19	10	9	8	9	16	11	10	5	22	6	17	20	10	16	16	34	22	25	16	16	19	33	15	3	28	41	23	34	34	12	13	4	33	39	29	46	46	48	43	36	46	48	0	41	4	56	50	58	54	43	52	0	44	23	1	1	2	1	1	1	1	1	1	1	1	5	2	1	1	2	2	1	1	2	2	4	1	3	1	1	3	1	1	1	1	1	2	2	2	1	2	5	1	1	2	3	2	5	4	8	2	2	3	1	1	1	1	2	2	1	1	4	8	1	1	1	1	2	2	1	5	6
8000	-451.833813786570374	-450.455963387438317	-1.377850399132041	0.000139166450799	0.000099861421376	0.717568212759115	0.442988377927949	-1	1	2	0	5	7	5	6	6	7	9	9	8	11	10	10	10	10	11	11	12	9	12	12	9	12	13	11	12	10	14	12	12	14	12	14	15	15	13	16	17	17	18	18	15	19	18	19	18	18	19	20	20	21	21	20	21	21	21	22	23	23	23	25	24	24	29	31	0	4	4	1	4	2	2	1	4	3	6	6	2	25	13	7	11	4	5	11	18	10	22	18	6	19	23	8	10	12	17	25	12	35	18	17	20	11	25	38	45	26	12	40	23	23	15	36	23	13	41	49	46	41	48	50	0	9	50	56	46	49	59	63	50	0	63	63	1	1	1	1	3	3	2	4	3	2	1	1	4	1	1	2	1	4	3	1	1	1	1	1	1	1	1	3	2	1	1	2	2	1	1	2	2	3	3	1	1	4	5	1	1	3	5	3	3	6	1	1	1	3	1	1	1	6	2	1	2	2	1	2	3	1	3	4
8500	-458.075346491969640	-456.710771057383852	-1.364575434585786	0.000130618007931	0.000082924805791	0.634865032050098	0.537138241834797	-1	1	1	2	4	7	4	6	6	4	8	8	7	12	11	9	10	10	9	11	11	11	11	13	12	13	13	12	10	11	12	14	13	14	13	15	16	16	14	16	16	16	19	17	17	19	17	18	18	20	19	21	19	21	20	20	19	22	22	23	22	23	24	24	24	23	30	31	0	1	1	1	4	1	3	1	7	2	4	10	2	6	17	6	9	11	9	11	19	12	1	6	29	9	21	29	12	16	20	14	19	22	30	35	35	34	25	15	23	33	38	16	30	34	37	16	4	16	19	34	47	57	36	23	0	15	53	54	50	53	45	55	66	0	65	63	1	1	1	1	1	3	1	4	1	2	2	2	2	2	1	1	1	1	2	2	1	1	5	2	1	3	1	2	1	1	1	1	2	2	1	2	1	1	2	2	3	1	2	5	4	2	1	6	8	4	4	3	1	1	2	3	1	5	2	1	1	1	4	2	1	1	2	3
9000	-455.961492775092097	-454.597688317856182	-1.363804457235917	0.000145398551804	0.000091227494286	0.627430556589046	0.411781731614410	-2	0	1	2	4	7	4	7	6	8	8	8	8	12	9	9	11	10	10	11	9	11	12	11	12	13	13	12	13	14	13	12	14	14	13	14	16	17	15	16	16	17	18	16	17	18	18	18	19	20	18	18	18	22	20	21	20	22	20	21	23	24	23	24	25	25	31	30	0	1	1	1	4	5	1	1	7	7	5	6	6	7	11	12	21	13	6	21	6	9	6	10	10	19	24	16	23	2	32	21	15	19	17	22	35	28	26	8	8	26	16	30	27	4	29	25	24	48	30	41	26	50	39	39	0	44	25	52	51	43	38	60	42	0	48	50	1	2	1	2	1	1	3	4	1	2	3	1	1	4	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	7	1	1	3	2	1	2	2	1	2	4	5	2	4	1	1	8	4	3	4	2	1	2	3	1	3	3	1	5	4	1	1	3	3	3	4	1	7	5
9500	-383.106316623785403	-381.742511431585854	-1.363805192199528	0.000164673770153	0.000085206415677	0.517425547483880	0.765880596451386	-1	1	1	2	3	7	5	7	6	7	9	8	9	11	11	10	11	10	11	11	10	10	10	12	10	12	12	13	12	11	14	14	13	14	13	14	15	15	14	17	16	15	19	17	17	18	18	19	18	21	19	20	21	21	22	20	20	20	22	19	22	22	23	24	24	24	31	30	0	1	1	2	3	2	3	9	7	7	7	9	10	11	16	12	6	11	16	13	5	13	11	25	10	14	13	30	15	12	26	30	12	30	24	26	20	33	21	35	15	36	33	33	37	8	29	44	38	43	40	51	58	46	56	19	0	31	43	45	58	52	62	55	52	0	64	54	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	3	1	2	2	1	5	2	1	1	1	1	1	1	2	1	4	1	2	1	1	1	1	1	1	2	1	4	3
10000	-425.023451481422285	-423.659117451600423	-1.364334029821836	0.000148657624985	0.000094043496674	0.632618048912332	0.535072283271904	-1	0	2	2	4	8	6	6	7	7	9	9	9	12	11	9	10	10	10	12	11	10	12	11	11	11	11	12	12	12	12	14	14	13	11	14	14	17	15	15	16	17	19	17	16	18	17	18	17	20	19	21	20	21	20	21	18	22	21	22	21	24	23	24	23	24	31	30	0	1	1	2	3	1	5	1	3	3	6	10	10	25	10	9	6	3	7	11	17	9	19	16	11	13	13	22	27	18	18	31	24	12	22	30	26	39	23	6	8	39	33	30	19	9	35	45	31	33	45	46	18	46	43	45	0	51	55	53	48	58	54	58	52	0	55	54	1	1	1	1	1	4	1	4	1	2	1	1	2	1	2	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	2	2	1	3	5	1	2	3	2	5	2	1	3	3	2	2	5	1	1	4	1	2	1	1	2	1	1	1	1	1	4	7
10500	-460.067703847720509	-458.706784106326097	-1.360919741394383	0.000139353506349	0.000080726320796	0.579291636866813	0.480633021010053	-1	1	2	3	5	7	4	7	6	7	10	8	8	10	10	10	10	10	11	12	12	11	11	13	13	11	13	12	12	14	13	14	14	11	14	14	16	16	14	16	16	16	18	18	17	17	18	17	19	20	19	21	17	21	21	21	19	23	21	22	24	23	24	24	23	25	31	30	0	1	2	2	1	4	2	4	1	7	9	1	5	6	4	6	9	10	16	19	19	17	8	23	16	13	10	14	16	25	13	15	31	4	29	17	39	36	8	34	8	11	41	40	29	36	13	25	14	57	53	49	30	44	49	23	0	55	50	47	54	60	42	62	55	0	56	56	1	1	1	1	3	3	1	2	4	1	3	6	2	2	3	2	3	2	1	1	1	1	2	1	2	1	4	1	1	1	3	3	1	3	1	3	1	1	3	3	6	3	1	1	2	1	5	2	5	1	1	1	1	1	1	5	1	1	1	2	1	1	3	1	1	1	6	3
11000	-448.333118836892083	-446.954351767289836	-1.378767069602276	0.000150600986128	0.000108730895069	0.721979967493151	0.537095147976383	0	1	2	3	5	5	5	6	7	7	9	8	7	11	9	9	10	10	11	10	11	10	11	12	13	12	13	12	11	13	12	12	13	14	13	13	14	16	15	16	16	15	16	15	18	17	19	19	17	20	18	20	21	20	21	20	20	22	22	23	22	22	23	24	23	23	30	31	0	1	1	2	2	2	2	3	6	3	10	6	6	10	7	3	8	10	22	6	18	10	20	8	19	20	31	15	11	12	20	16	29	33	10	17	9	26	33	31	24	12	34	32	29	26	30	18	42	38	40	36	52	51	46	26	0	52	55	37	51	46	52	56	59	0	52	45	1	1	1	1	2	2	2	1	1	2	1	2	1	1	2	4	2	1	1	1	1	1	1	2	1	1	1	2	1	4	1	2	1	1	2	2	2	2	1	1	2	3	1	1	3	2	3	4	2	2	1	5	1	1	2	5	1	1	1	2	2	3	1	2	1	1	4	8
11500	-446.337372456622745	-444.957147096399126	-1.380225360223646	0.000147691563917	0.000107641347151	0.728825291684146	0.467333021235336	-1	0	1	3	3	8	5	6	5	7	8	8	8	12	10	10	10	10	9	10	12	10	11	13	12	12	11	12	11	13	13	12	14	14	13	14	16	16	16	16	13	16	18	17	18	18	19	18	18	21	18	21	20	20	21	21	20	22	22	22	22	22	23	25	23	24	29	31	0	1	1	2	3	2	1	2	5	7	1	7	4	8	11	11	13	6	11	8	1	6	20	28	13	11	22	19	19	11	14	20	12	30	13	29	13	34	16	8	19	36	19	33	39	22	26	44	16	42	35	25	33	43	48	19	0	51	54	49	52	47	58	56	43	0	60	64	1	1	1	1	2	4	4	3	1	1	3	2	1	2	1	1	1	1	1	2	6	1	1	1	2	2	1	1	2	2	1	2	3	1	3	2	4	1	3	5	2	1	3	1	1	4	2	1	5	3	2	3	3	1	1	4	1	1	1	2	1	1	1	1	2	1	4	3
