step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
5000	-229.681484476338369	-228.232783425351215	-1.448701050987160	0.000012176177457	0.000011716466322	0.962245036535372	0.794329020701016	0	4	2	2	2	6	5	7	7	8	8	8	9	10	10	11	9	11	13	12	13	13	14	14	14	15	16	15	17	16	16	17	18	17	19	19	18	20	21	20	22	0	3	1	1	1	2	5	7	0	8	8	9	9	12	12	11	0	14	14	8	11	14	19	20	21	20	21	20	24	25	25	23	30	21	25	29	31	33	32	32	36	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	2	3	1	1	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	3	2	2
5500	-230.809177063926171	-229.404945400134352	-1.404231663791813	0.000014698136157	0.000012103466573	0.823469482376550	0.666817330067326	0	2	1	3	3	7	4	8	6	8	7	8	10	8	9	11	10	12	12	12	12	13	13	14	13	15	16	15	16	15	17	18	18	17	19	18	18	19	22	20	21	0	3	1	3	3	2	5	11	0	11	7	9	9	9	12	10	0	14	14	11	8	14	19	20	10	20	21	20	24	25	25	23	30	21	30	29	31	30	32	32	36	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	2	2	3	2	2	1	1	2	1	2	1	1	2	3	2	2	2	2	2	1	3	2	1	1
6000	-240.044547823170291	-238.398326512316032	-1.646221310854255	0.000021370338982	0.000031308118623	1.465026766760160	0.623805529706340	0	3	4	2	3	5	4	7	6	5	7	8	9	8	9	12	9	11	11	12	14	12	12	15	14	15	15	14	17	15	16	17	18	16	19	18	18	19	21	19	20	0	1	1	1	1	3	5	10	0	7	10	9	12	9	12	8	0	14	14	11	16	14	19	20	11	20	21	10	24	25	25	18	30	21	33	24	30	25	32	32	36	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	1	1	3	1	1	3	1	1	1	2	2	2	1	2	2	2	2	1	1
6500	-224.077421143811534	-222.697661503137340	-1.379759640674198	0.000038739556301	0.000028150527218	0.726661064443412	0.761815017109329	1	3	2	2	4	6	5	8	7	6	7	8	10	9	10	11	11	11	12	13	14	14	14	15	13	15	16	16	14	15	15	18	15	17	20	17	18	18	21	20	21	0	1	1	1	2	3	5	10	0	7	10	9	9	9	12	11	0	14	18	16	8	18	18	20	16	20	25	29	10	25	21	23	21	25	27	29	31	30	32	32	29	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	4	1	1	3	1	2	2	2	2	2	2	1	3
7000	-233.023491646414527	-231.657684388405784	-1.365807258008754	0.000049517624944	0.000024906763254	0.502987840846588	0.612813242846755	1	3	4	2	2	6	4	8	6	7	8	8	9	9	10	11	11	11	13	12	14	14	13	14	13	15	17	16	17	15	16	17	17	16	19	19	19	20	22	20	21	0	1	2	1	1	2	5	10	0	7	10	9	9	12	12	8	0	14	14	16	16	18	18	16	11	20	34	16	16	25	21	19	21	21	30	29	31	34	40	18	24	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	2	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	2	2	1	2	3	1	5	4
7500	-201.808896236663941	-200.447727186527175	-1.361169050136769	0.000057947300315	0.000031963152350	0.551590016724846	0.783995588436949	1	3	3	2	3	5	4	6	6	8	7	9	8	9	8	10	9	12	13	12	13	13	13	15	13	15	16	16	17	15	16	18	17	17	19	19	17	20	21	20	21	0	1	4	1	1	1	5	7	0	8	8	15	9	9	9	8	0	14	18	16	16	18	18	20	8	25	21	25	24	21	25	23	30	21	27	29	30	33	32	32	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	4	1	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1
8000	-236.267172293037675	-234.843155753304984	-1.424016539732680	0.000076939629881	0.000028111142366	0.365366228165874	0.720693544012583	0	3	3	2	2	6	4	8	6	7	7	7	8	9	9	11	11	11	11	12	14	13	13	13	12	15	16	16	17	12	15	18	17	18	19	19	17	19	21	21	21	0	1	1	1	1	2	5	11	0	7	7	9	9	13	12	11	0	14	14	16	30	18	18	25	10	24	21	20	20	16	25	23	30	21	31	29	27	37	32	32	36	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	3	2	2	1	2	1	1	1	1	2
8500	-208.249173679851253	-206.887606345117945	-1.361567334733309	0.000049337049633	0.000026795700135	0.543115170748900	0.757483539387639	0	4	3	2	1	7	3	7	7	5	8	9	9	9	8	12	10	11	12	12	14	14	13	14	13	15	16	15	18	15	16	16	17	18	19	18	18	19	21	18	20	0	1	1	1	1	3	5	10	0	7	8	15	9	9	9	10	0	14	14	8	11	19	18	16	16	24	16	16	24	25	21	23	21	27	34	24	31	33	40	19	29	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	3	3	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	1	3	1
9000	-215.842513674682806	-214.455451446728773	-1.387062227954033	0.000104415585103	0.000044682249190	0.427927010568085	0.740792028569434	0	3	3	2	3	7	5	8	7	8	6	8	10	9	10	11	11	12	13	11	14	14	14	13	12	15	16	16	15	16	16	17	17	17	19	17	19	20	20	20	20	0	1	1	1	1	3	5	11	0	11	7	9	9	9	12	8	0	14	14	10	16	18	18	20	8	24	25	20	24	21	21	19	21	27	30	29	31	34	23	32	36	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	3	1	2	2	1	1	1	2	2	1	1	1	2	2	2	2	2
9500	-206.250882488652564	-204.889466757451316	-1.361415731201234	0.000059127149646	0.000032281138418	0.545961349583300	0.649401415731869	1	3	3	3	3	5	5	8	6	6	7	8	10	10	9	12	11	12	13	12	14	14	14	14	12	16	15	16	16	16	16	17	17	17	18	17	18	19	20	19	21	0	1	1	1	1	3	5	10	0	7	10	9	12	9	12	11	0	14	14	8	25	18	14	20	8	24	21	20	24	21	25	18	21	27	30	29	21	27	32	32	36	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	1	1	1	2	2	1	1	3
10000	-212.321337540845661	-210.748034578009936	-1.573302962835722	0.000064263583659	0.000016210329456	0.252247517693062	0.683315347832272	0	4	3	2	2	7	4	8	5	7	5	8	10	9	8	12	10	11	12	13	15	13	13	14	14	16	16	16	17	16	16	16	17	17	18	18	18	19	21	20	21	0	5	1	1	1	2	5	11	0	11	7	9	12	15	9	8	0	14	14	8	16	19	19	20	16	20	21	20	20	25	25	23	27	27	25	29	31	30	23	32	29	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	4	2	2
10500	-202.668111469685186	-201.223942611141865	-1.444168858543333	0.000085939286451	0.000029394870242	0.342042288871373	0.768639593423238	0	2	3	1	2	6	4	8	7	7	8	8	9	9	9	11	10	12	13	12	14	13	12	14	13	14	15	14	18	13	16	17	17	17	19	18	18	20	22	20	21	0	1	2	1	1	2	5	7	0	7	7	9	9	9	12	11	0	14	18	8	16	14	14	20	16	20	21	20	24	11	25	18	27	27	34	24	31	33	32	32	29	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1
11000	-236.612687905356353	-235.231373290232938	-1.381314615123425	0.000097268960887	0.000043033638127	0.442419017685408	0.680738767611485	0	1	2	2	3	6	5	7	6	8	8	9	8	10	8	12	11	12	11	11	14	14	13	14	14	15	15	16	18	15	15	17	17	18	20	19	18	19	18	20	22	0	1	2	2	3	1	5	7	0	8	8	15	9	9	9	11	0	19	14	11	20	19	19	16	16	20	25	30	30	11	25	19	21	27	37	29	31	25	22	22	36	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	3	1	3	2	2	1	1	2	3	2	3	1
11500	-225.221547589239378	-223.854809383928341	-1.366738205311027	0.000066528327229	0.000033091374502	0.497402773836903	0.689847452774581	0	3	1	2	2	5	3	8	5	7	7	9	9	9	8	11	10	12	11	12	14	14	13	14	13	15	17	15	17	16	16	17	18	16	18	19	18	18	22	18	22	0	3	1	1	1	2	5	11	0	7	7	9	9	9	9	11	0	19	14	8	25	18	18	20	16	20	21	16	24	25	21	19	30	24	34	26	31	30	40	23	36	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	3	2	2	1	2	1	1	2	2	1
12000	-223.148192972367212	-221.737889901786332	-1.410303070580870	0.000071558717027	0.000027517723668	0.384547471109801	0.764755791188708	-1	1	2	3	3	5	5	8	6	7	7	8	10	9	10	11	10	10	12	12	14	12	13	13	13	15	15	16	18	15	17	18	16	16	19	18	19	20	21	21	20	0	1	1	3	2	3	5	11	0	7	7	9	9	9	12	11	0	14	18	10	16	18	19	16	8	20	25	26	26	25	34	23	25	16	30	24	25	33	32	32	29	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	3	2	1	1	1	3	2	1	1	2	1	1	2	2	2	2	2	3	2	2	2	1
12500	-228.168733751566833	-226.805371553921645	-1.363362197645200	0.000053999158980	0.000033628958507	0.622768190141909	0.587438792773841	-1	3	4	3	1	5	4	8	6	7	6	7	9	9	9	10	10	12	11	12	13	13	14	14	13	15	16	15	16	16	16	17	18	18	18	18	19	20	22	21	19	0	1	4	1	1	1	5	11	0	11	7	9	12	9	12	11	0	19	14	16	16	19	19	20	16	20	16	24	24	25	25	23	25	27	31	16	33	30	23	32	29	1	2	1	2	1	3	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	3	1	1	1	3	2	2	1	1	4	1	2	3	2	2
13000	-252.425081942537048	-251.049944534472274	-1.375137408064773	0.000078054663041	0.000035998449319	0.461195371511865	0.657047379972913	-1	4	3	2	3	4	5	6	5	7	8	8	9	9	10	11	10	10	11	11	11	12	13	14	13	16	16	15	18	16	14	18	17	17	17	18	19	20	21	20	21	0	5	1	1	4	3	2	5	0	8	10	9	9	12	12	7	0	14	18	8	11	19	19	20	21	24	16	24	8	25	21	23	25	24	25	24	30	31	40	22	36	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	3	1	1	1	2	1	1	1	3	1	1	3	1	4	2	2	3	2	2	2	2	1	3	1	4	1
13500	-226.394735193994222	-225.019320729045944	-1.375414464948266	0.000048910142888	0.000022511215005	0.460256578201501	0.594701464933397	1	3	4	3	3	6	4	7	6	5	8	9	8	9	10	11	10	11	12	12	14	14	13	13	13	15	15	15	18	15	17	17	16	18	19	19	19	20	20	19	22	0	1	1	1	1	2	5	10	0	7	10	9	9	9	12	8	0	14	14	16	16	19	9	11	16	20	8	24	24	25	25	23	27	20	34	29	31	33	32	32	29	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	4	3	1	2	4	1	2	1	1	2	1	4	1	1	1	2	2	1	3
14000	-224.036214723968413	-222.661327115176192	-1.374887608792215	0.000073327041024	0.000033880854043	0.462051291987748	0.727044889064110	1	4	4	3	3	6	4	7	6	7	5	8	10	9	9	11	11	12	11	11	15	14	14	15	12	15	16	14	17	16	15	17	17	18	19	18	18	20	20	19	20	0	1	1	1	1	1	5	11	0	11	7	9	9	9	12	11	0	19	14	8	11	18	18	20	16	16	16	20	24	25	25	18	30	27	33	29	30	33	40	23	16	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	3	1	1	1	2	5	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	5
14500	-219.632073334458937	-218.270381204209713	-1.361692130249214	0.000055233745047	0.000033145818553	0.600100871749048	0.656230219335176	0	2	4	3	4	6	5	6	5	8	8	8	10	8	9	11	10	11	13	12	12	13	13	14	13	15	15	16	17	16	17	18	17	17	19	18	18	18	22	21	22	0	1	4	2	4	2	5	7	0	8	8	9	9	9	9	10	0	14	14	16	10	18	18	20	16	11	16	24	24	25	27	23	27	30	33	29	31	30	32	23	36	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	1	2	1	1	1	1	3	1	1	2	2	1	2	1	1	1	1	1	1	2	4	2
15000	-220.433352066290098	-218.957669939049651	-1.475682127240438	0.000090928625789	0.000028459638970	0.312988772485245	0.728594378838304	-1	1	3	2	2	6	4	7	7	5	8	8	9	10	9	11	10	12	12	13	14	14	13	14	12	15	17	15	18	15	16	18	18	15	19	18	18	16	21	20	21	0	1	1	1	2	3	5	10	0	7	10	9	9	9	12	11	0	14	14	11	16	19	14	20	16	20	34	20	20	8	21	19	38	25	31	21	31	21	32	32	36	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	3	4	1	3	1	1	1	1	1	1	1	1	2
15500	-225.064536954663595	-223.650064699619264	-1.414472255044325	0.000071197508908	0.000026937971141	0.378355528920033	0.582266726687658	0	2	4	2	3	6	5	8	6	7	6	8	9	8	10	12	10	11	12	10	14	13	13	15	13	16	16	16	15	14	16	17	18	18	19	18	18	19	21	20	21	0	1	2	1	1	2	5	10	0	11	7	9	9	9	12	11	0	14	14	10	25	18	19	16	10	20	21	24	8	16	30	14	25	21	34	24	31	21	40	32	29	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	3	1	2	2	1	1	1	1	1	2	3	1	1	4	1	1	4	3	2	1	2	2	3	1	2	2
16000	-222.468849869826556	-221.100602121658028	-1.368247748168517	0.000084560550305	0.000041377527863	0.489324250063470	0.621932447989755	0	3	2	2	3	6	5	7	6	8	7	7	9	8	8	11	11	11	12	13	14	14	13	12	13	15	16	16	17	15	16	16	17	17	18	19	18	18	21	19	21	0	1	1	1	1	3	5	7	0	11	7	9	12	9	12	11	0	14	14	10	10	19	18	16	16	8	16	24	26	25	30	23	30	27	33	29	30	21	32	23	36	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	2	2	3	3	1	1	1	1	3	2	2	1	2	1	2	1	1	1	1	2	3	2	2	1
16500	-217.574909225038027	-216.167241358269081	-1.407667866768942	0.000087538225962	0.000034021848905	0.388651340958176	0.798368230726454	0	2	2	2	3	5	4	7	3	7	5	8	10	10	8	11	9	11	11	12	14	13	14	13	13	15	17	13	17	15	16	17	17	17	19	18	18	20	21	20	21	0	1	1	1	1	1	5	11	0	11	7	9	15	15	9	10	0	14	14	8	25	14	18	20	20	24	21	20	24	25	30	23	25	21	21	26	31	33	32	32	36	1	1	1	1	2	2	1	1	1	1	1	3	1	1	2	3	1	1	1	3	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	1	2	2	2	1	2
17000	-232.091658335801867	-230.654712646954977	-1.436945688846900	0.000075122154569	0.000026282720256	0.349866432970307	0.541500654102844	0	2	3	2	4	7	2	7	6	6	7	8	9	8	10	11	9	11	12	11	15	13	13	15	14	16	17	16	16	16	16	16	17	18	19	17	18	19	22	20	21	0	1	1	1	3	2	1	7	0	7	7	9	12	9	12	10	0	14	14	7	25	18	18	8	16	20	21	11	24	25	25	23	21	21	21	29	31	27	32	19	36	1	1	1	1	1	3	1	2	1	2	2	1	1	1	1	2	1	2	2	3	1	1	1	2	2	2	1	4	1	1	2	1	1	2	2	1	1	1	3	4	2
17500	-223.905232514320090	-222.543636690691812	-1.361595823628279	0.000067568262066	0.000036663608512	0.542615828664113	0.692539745335675	1	3	3	3	3	6	4	6	7	8	7	9	9	9	8	11	11	10	12	10	14	13	13	14	14	14	17	16	16	16	17	17	17	18	19	18	19	19	21	21	21	0	1	1	1	1	2	2	7	0	8	8	15	9	9	9	11	0	14	14	11	16	19	18	10	20	16	21	24	26	21	21	23	30	33	30	29	31	30	32	32	29	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	1	2	3	2	2	2	1	1	1	1	2	1	1	2	2	1	2	2	2	3
18000	-219.370741788972168	-218.007435260569366	-1.363306528402788	0.000056151838568	0.000034935197282	0.622155893244014	0.541356086958918	0	2	3	2	3	6	4	8	5	7	7	8	10	8	9	11	11	12	12	12	14	13	13	14	13	16	16	15	17	15	15	17	17	18	18	19	19	19	22	18	20	0	1	2	1	4	2	5	10	0	7	7	9	15	9	9	10	0	14	14	10	20	18	19	16	16	24	21	20	24	25	25	23	30	27	33	29	31	33	32	19	29	1	1	1	2	1	2	1	1	1	2	2	2	1	2	2	2	1	2	2	3	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	1	2	2	2	3	2
18500	-214.681978549557215	-213.318395634680428	-1.363582914876798	0.000046668758478	0.000029174394771	0.625137580739241	0.670987922200622	1	3	3	3	2	6	5	7	6	7	8	7	10	8	9	12	10	11	13	12	14	12	13	14	13	16	17	15	17	15	15	17	16	17	19	19	18	20	21	20	21	0	1	1	1	1	3	5	7	0	7	7	9	9	9	12	7	0	14	18	10	25	14	18	16	8	20	21	16	16	20	25	23	30	21	34	29	31	34	32	23	29	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	4	1	2	1	2	1	2	1	1	3	2	2	2	2	2	1	2	1	1	1	1	2	2	2	3	2
19000	-205.198837848892737	-203.835799607271980	-1.363038241620758	0.000057757756280	0.000030287227298	0.524383723478135	0.798668365474402	0	2	3	2	3	6	4	6	6	7	8	8	9	8	10	11	9	10	12	11	14	13	14	13	13	15	15	15	17	15	15	17	16	16	19	19	18	18	22	20	21	0	1	1	1	2	2	5	7	0	8	8	9	9	9	9	8	0	14	14	10	25	18	19	20	16	20	21	24	24	25	25	23	25	27	31	29	30	33	32	32	29	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2
19500	-230.894522430758315	-229.519666554861487	-1.374855875896825	0.000048389485433	0.000022363717473	0.462160679593059	0.653632902332124	1	3	3	3	3	6	4	6	6	7	5	8	10	9	10	12	11	11	13	12	13	13	13	14	14	14	15	16	16	16	16	17	18	17	17	18	18	19	21	19	22	0	1	1	1	1	2	5	11	0	11	7	9	9	9	12	8	0	15	18	10	7	14	14	20	20	20	21	21	24	25	25	23	21	27	30	29	31	34	40	23	24	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	3	1	1	1	2	5	4	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	3	5
