step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
5000	-92.378122756722675	-99.233610707682047	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765745311522834	2	3	4	5	7	7	7	8	5	6	10	10	8	10	10	11	12	14	12	16	0	1	2	3	4	4	9	6	3	9	8	13	7	10	7	6	16	16	0	16	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3
5500	-85.486556771822862	-92.342044722782234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868744646162812	0	2	4	5	6	8	7	6	9	8	7	8	9	10	9	11	12	15	12	16	0	1	2	3	3	8	5	4	7	7	8	7	7	10	12	6	8	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	2
6000	-86.927416498419362	-93.782904449378734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.801415313262500	1	2	4	5	5	8	6	7	9	8	8	10	8	11	11	11	11	14	13	15	0	1	2	3	3	8	5	4	7	7	8	13	7	10	12	8	8	6	0	18	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	3	1	1
6500	-76.031466501703946	-82.886954452663318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.895735304883180	1	3	4	5	6	8	7	6	9	9	8	9	10	11	11	12	13	15	10	14	0	1	2	3	3	8	5	4	7	7	8	7	9	10	12	11	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-73.407462784751203	-80.262950735710575	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.889171822127659	1	2	4	5	6	8	7	7	8	8	9	9	9	10	10	11	12	15	12	16	0	1	2	3	3	8	3	4	5	7	8	9	7	10	12	11	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3
7500	-70.382167963337324	-77.237655914296695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.853946235361927	2	3	4	5	6	8	8	7	7	8	9	9	9	10	11	11	12	14	12	14	0	1	2	3	3	8	9	4	3	9	8	9	7	10	12	11	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
8000	-75.311819320630818	-82.167307271590190	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.861306786403920	1	2	3	6	5	7	6	8	8	8	10	8	8	10	10	10	12	14	13	16	0	1	2	5	3	4	5	6	7	7	8	7	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
8500	-75.283846854655252	-82.139334805614624	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.883408846680796	1	2	4	5	6	7	7	8	9	8	10	9	9	10	11	10	11	14	12	14	0	1	2	3	3	4	5	6	7	7	8	7	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2
9000	-88.697447946093178	-95.552935897052549	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659109971906832	2	3	4	5	6	7	7	7	8	8	9	10	10	10	10	11	12	12	12	16	0	1	2	2	3	4	5	4	7	7	8	5	9	10	7	8	8	16	0	17	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2
9500	-67.538603771269820	-74.394091722229192	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.941269851092947	1	2	4	5	6	7	6	8	8	9	9	8	9	11	10	11	12	14	12	15	0	1	2	3	3	4	3	6	7	9	8	7	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000	-78.140541359943043	-84.996029310902415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779201192528360	1	2	5	5	4	7	7	8	9	8	10	10	10	11	11	11	13	13	12	15	0	1	5	5	2	4	3	6	7	7	8	9	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
10500	-74.277600144935320	-81.133088095894692	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.857799877713801	1	2	4	5	6	7	6	8	8	8	9	10	9	12	11	11	13	14	13	15	0	1	2	3	3	4	3	6	7	7	8	13	9	10	12	8	8	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1
11000	-73.535563010455846	-80.391050961415218	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.933272254518429	1	3	4	5	7	6	6	7	8	7	9	10	10	11	11	11	13	14	12	15	0	1	2	3	3	4	3	6	7	7	8	9	9	5	12	11	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
11500	-70.991919815286565	-77.847407766245937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.915577878977047	0	2	4	5	6	7	8	8	7	9	10	8	10	11	10	11	12	13	12	15	0	1	2	3	3	4	9	6	3	9	8	9	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
12000	-63.722091374008343	-70.577579324967715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.995942307569247	2	3	4	5	6	7	6	8	8	8	10	9	9	11	10	11	13	14	12	15	0	1	2	3	3	4	3	6	7	7	8	9	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-69.336979409068277	-76.192467360027649	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.953834803007980	1	3	4	6	5	7	6	8	8	8	9	9	10	10	11	11	13	13	12	16	0	1	2	3	3	4	5	6	7	7	8	9	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-83.731881169206574	-90.587369120165945	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.911686904367840	2	3	5	6	4	7	8	8	7	9	9	8	10	12	10	10	13	14	12	16	0	1	5	3	2	4	9	6	3	7	8	9	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
13500	-94.728195055925895	-101.583683006885266	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718313652438025	0	3	5	5	7	6	7	8	6	8	10	9	10	10	10	11	12	13	12	14	0	1	2	2	4	4	9	6	3	9	6	7	7	9	10	8	16	11	0	17	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	1	1	1	1
14000	-74.351363603233835	-81.206851554193207	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780490116773152	2	3	4	5	7	7	7	8	9	8	9	9	9	10	11	10	13	13	12	15	0	1	2	3	3	4	3	6	7	7	8	7	7	10	12	8	16	8	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
14500	-77.442678888926224	-84.298166839885596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.906590629246076	1	3	4	6	6	7	6	8	8	9	9	9	9	12	11	11	13	14	13	14	0	1	2	3	3	4	3	6	7	7	8	9	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
15000	-86.699477359683385	-93.554965310642757	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683446993765673	0	3	4	5	6	7	8	8	6	8	10	9	9	12	10	10	12	13	12	15	0	1	2	2	3	4	9	6	3	2	8	10	7	10	9	8	11	16	0	17	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2
15500	-82.640172724724351	-89.495660675683723	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.939835218520350	1	2	4	5	6	7	6	8	8	8	10	8	10	10	10	12	10	13	10	13	0	1	2	3	3	4	3	6	7	7	8	7	9	7	12	11	8	16	0	17	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
16000	-95.902058520406996	-102.757546471366368	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.928057427546439	0	2	4	5	6	8	6	7	7	8	10	8	9	12	10	12	12	14	10	16	0	1	2	3	3	8	3	4	7	4	8	9	7	7	7	11	11	17	0	18	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	1
16500	-86.398355440260488	-93.253843391219860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834139246009346	0	1	4	6	5	7	7	8	8	9	10	9	9	12	10	11	12	13	12	14	0	1	2	5	3	4	5	6	7	7	8	7	9	10	12	8	8	6	0	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2
17000	-87.753973474154463	-94.609461425113835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.770247778616302	1	3	5	6	4	7	6	8	7	9	9	9	9	12	10	10	12	14	12	16	0	1	5	5	2	4	3	6	7	9	8	7	9	10	12	6	16	16	0	18	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1
17500	-86.651908595181311	-93.507396546140683	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868075233480790	0	2	5	5	4	7	6	8	8	8	10	8	9	10	11	11	13	14	13	15	0	1	5	5	2	4	3	6	7	7	8	7	9	12	13	8	16	17	0	17	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1
18000	-85.369276571162558	-92.224764522121930	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737711362161707	2	3	4	5	6	6	8	7	7	9	8	9	10	11	10	10	12	14	13	14	0	1	2	3	3	4	5	6	3	9	8	9	7	10	12	8	16	8	0	17	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2
18500	-79.392028059615257	-86.247516010574628	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864250473402205	1	3	5	6	7	7	6	8	8	8	10	8	9	10	11	11	12	14	12	16	0	1	2	3	3	4	3	6	7	7	8	7	9	10	12	11	11	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2
19000	-75.935253377029952	-82.790741327989323	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.885869950998337	1	2	4	5	6	7	7	8	8	9	9	9	10	11	10	11	12	15	13	13	0	1	2	3	3	4	5	6	5	9	8	7	9	10	12	8	8	20	0	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
19500	-89.462322778104607	-96.317810729063979	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762454434543801	2	3	4	5	7	6	8	7	6	8	10	10	9	10	11	11	13	14	11	16	0	1	2	3	3	4	9	6	3	9	8	13	9	10	12	8	8	11	0	17	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	3	1	1	2
20000	-86.909407386898152	-93.764895337857524	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.732782616199934	2	3	3	5	6	6	6	8	7	7	9	9	10	10	10	10	11	14	12	15	0	1	1	3	3	4	3	6	7	7	8	7	9	10	12	8	8	16	0	17	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2
20500	-74.335529952527907	-81.191017903487278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.954762580173405	1	2	4	6	5	7	7	8	9	8	10	9	10	11	11	10	12	14	13	15	0	1	2	3	3	4	5	6	7	7	8	7	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
21000	-85.507338214154501	-92.362826165113873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.571967548130603	2	3	4	5	5	7	7	7	9	8	9	9	10	11	10	11	12	14	11	15	0	1	2	3	3	4	5	4	7	3	8	7	7	10	12	8	16	8	0	17	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	1	2	1	2
21500	-86.686510812469635	-93.541998763429007	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.927407880301921	1	2	4	5	7	7	6	8	8	8	10	9	8	11	11	9	13	11	12	16	0	1	2	3	3	4	3	6	7	7	8	13	7	10	12	8	16	8	0	17	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2
22000	-76.997933281667713	-83.853421232627085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.861345862066866	0	2	4	5	5	7	6	8	7	9	10	10	9	11	11	11	12	14	13	14	0	1	2	3	3	4	3	6	5	9	8	13	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
22500	-79.848697844043926	-86.704185795003298	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.882732516650069	2	3	4	5	6	7	6	8	7	9	10	8	9	11	9	9	11	14	12	14	0	1	2	3	3	4	3	6	7	9	8	9	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2
23000	-81.887894732241762	-88.743382683201133	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.815988041913403	1	3	5	6	6	8	7	7	7	7	10	8	9	12	10	11	12	14	10	16	0	1	2	3	3	8	3	4	5	3	8	9	7	10	12	11	16	16	0	18	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
23500	-83.625176212409087	-90.480664163368459	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.890336088090928	1	3	4	5	5	8	7	6	8	7	9	9	6	10	8	11	13	13	12	15	0	1	2	3	3	8	13	4	13	13	8	15	5	10	7	11	16	16	0	17	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1
24000	-74.906849880328039	-81.762337831287411	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.940532596889009	1	2	4	5	6	8	7	6	8	9	9	9	10	11	11	11	11	14	12	16	0	1	2	3	3	8	5	4	7	7	8	7	9	10	12	11	11	16	0	17	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2
24500	-85.793645415232106	-92.649133366191478	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778695791710691	2	3	4	5	6	8	6	7	9	9	10	8	9	11	10	8	11	14	12	14	0	1	2	3	3	8	3	4	7	7	16	7	7	10	12	8	16	11	0	17	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2
25000	-83.220177729321293	-90.075665680280665	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.819025609843671	1	2	4	5	6	8	8	6	7	9	9	10	9	11	8	11	13	12	13	14	0	1	2	3	3	8	9	4	3	9	8	15	9	10	9	8	16	8	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
25500	-86.127562496705053	-92.983050447664425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.835201842035188	2	3	5	5	6	8	7	7	8	8	9	9	9	10	11	11	11	13	11	15	0	1	2	2	2	8	5	5	3	3	8	7	7	10	12	8	8	16	0	17	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2
26000	-86.466290205352607	-93.321778156311979	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575067771089248	1	3	4	5	6	8	6	7	7	8	9	9	9	11	11	12	11	15	12	14	0	1	2	3	3	8	3	4	7	9	8	9	9	10	12	8	8	16	0	16	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	1
26500	-88.768234487062657	-95.623722438022028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670785038471173	0	2	3	5	5	8	8	7	7	8	9	9	10	11	11	11	12	12	12	15	0	1	2	3	3	8	9	4	5	3	8	7	9	10	12	6	8	16	0	17	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	1	2	1	1	2
27000	-67.910364587017597	-74.765852537976969	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.959900056406841	1	2	4	6	6	7	7	8	9	9	9	9	10	10	11	10	12	13	12	14	0	1	2	3	3	4	5	6	7	7	8	7	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27500	-91.095599655106795	-97.951087606066167	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.924078144324754	0	2	4	5	7	7	7	8	8	9	9	9	9	11	11	11	12	11	11	15	0	1	2	3	3	4	3	6	7	9	8	7	7	10	12	8	8	8	0	16	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1
28000	-72.906662782420810	-79.762150733380182	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.919102908150604	2	3	4	5	6	7	7	8	8	8	9	10	8	11	9	11	12	14	12	14	0	1	2	3	3	4	5	6	7	7	8	15	7	10	9	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
28500	-79.049080851987995	-85.904568802947367	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812658562704743	1	2	4	5	7	7	6	8	8	9	10	9	8	10	11	11	12	13	12	15	0	1	2	3	3	4	3	6	7	13	8	13	7	10	12	11	8	8	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2
29000	-77.699836602087814	-84.555324553047186	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.916928174805483	1	2	4	6	6	7	7	8	9	8	10	9	10	10	9	12	12	14	13	14	0	1	2	3	3	4	3	6	7	7	8	7	9	10	7	8	11	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
29500	-72.919972344158907	-79.775460295118279	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886354036794632	1	3	4	5	6	7	7	8	8	9	9	9	9	11	10	11	12	14	13	14	0	1	2	3	3	4	3	6	7	9	8	9	7	10	12	11	8	8	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1
30000	-76.481211282208491	-83.336699233167863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832944447533999	1	3	4	5	6	7	7	8	9	9	10	9	9	11	10	11	10	14	13	15	0	1	2	3	3	4	5	6	7	7	8	7	7	10	12	8	8	16	0	17	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
30500	-76.233225641930559	-83.088713592889931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.902096533286113	2	3	4	5	6	8	8	7	7	9	8	9	10	11	10	10	12	12	12	16	0	1	2	3	3	8	9	4	5	9	8	9	9	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2
31000	-67.986322354260906	-74.841810305220278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.926562610886925	1	2	4	5	6	6	7	7	8	9	9	9	9	11	11	11	13	14	12	16	0	1	2	3	3	4	3	6	7	7	8	9	7	10	12	11	16	16	0	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31500	-71.808720422075695	-78.664208373035066	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.933650899227512	1	2	4	5	5	7	7	8	9	9	9	9	10	11	11	10	13	14	13	15	0	1	2	3	3	4	5	6	7	7	8	7	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
32000	-86.972398203672725	-93.827886154632097	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.889569477555447	0	2	4	5	6	7	7	8	8	8	10	9	9	10	11	11	12	13	12	14	0	1	2	3	2	4	3	6	7	7	8	9	9	10	12	8	8	8	0	11	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2
32500	-80.704824414900258	-87.560312365859630	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757896051140406	1	3	4	5	6	7	6	8	9	7	9	9	8	11	11	12	13	15	13	16	0	1	2	3	3	4	3	6	7	3	8	13	7	10	12	8	16	17	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2
33000	-81.033721996258990	-87.889209947218362	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.814594262862476	1	2	5	6	6	7	7	8	8	8	10	9	9	12	10	12	13	11	12	15	0	1	2	3	3	3	3	6	7	7	8	3	7	10	12	11	16	8	0	17	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
33500	-88.746803837078346	-95.602291788037718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765454083949103	2	3	4	5	5	6	7	8	7	9	9	9	10	11	10	11	13	14	10	15	0	1	2	3	3	4	5	6	5	9	6	7	9	10	7	8	8	16	0	17	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	1	1
34000	-96.805234292131829	-103.660722243091200	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677505424213832	1	2	4	6	7	7	6	8	7	9	9	9	10	10	10	11	12	14	12	15	0	1	2	3	3	4	2	6	3	3	8	9	5	7	9	8	8	16	0	16	1	1	1	2	2	1	2	1	2	2	1	2	1	2	1	1	2	2	1	2
34500	-86.322332386212125	-93.177820337171497	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810310308187603	1	2	5	6	7	8	7	7	9	9	10	9	8	10	11	12	13	15	13	16	0	1	2	3	3	8	3	4	13	7	8	7	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2
35000	-85.669120154466128	-92.524608105425500	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715255315548694	2	3	4	5	6	7	7	8	6	8	10	9	8	12	10	10	12	14	12	14	0	1	2	3	3	4	9	6	3	9	8	13	9	10	12	8	16	6	0	16	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	3	1	2
35500	-77.704114935310244	-84.559602886269616	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.888379335466815	0	2	4	5	7	7	7	8	6	8	10	8	10	11	10	11	12	13	12	15	0	1	2	3	3	4	9	6	3	7	8	9	7	10	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2
