step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
19500	-228.161811391059587	-226.497655338657268	-1.664156052402315	0.000326100015774	0.000070183205252	0.215219876899177	0.153379902499466	1	13	14	13	15	15	18	15	16	15	17	17	22	21	21	21	28	31	29	30	35	43	44	0	1	1	1	1	2	11	1	1	3	10	6	7	7	9	8	14	14	8	3	4	4	4	1	5	6	6	8	1	1	5	8	1	1	1	2	2	3	4	4	8	6	7	12	18	15
20000	-239.630335006533500	-238.085975954584029	-1.544359051949460	0.000273029345490	0.000072949475040	0.267185473813130	0.181636141444669	1	13	13	13	12	15	17	15	16	16	17	19	22	20	21	21	25	30	30	31	36	42	46	0	1	1	1	1	5	4	1	1	8	4	6	4	10	3	8	4	14	8	2	8	5	13	1	6	6	5	6	2	2	7	9	1	2	2	4	2	3	3	6	7	8	7	11	19	11
20500	-234.676825751552826	-232.926776115591963	-1.750049635960851	0.000178230775120	0.000033707389402	0.189122161304682	0.163286808078048	-1	13	13	13	15	15	17	17	16	16	18	19	21	21	22	20	28	30	29	30	34	42	46	0	1	1	1	1	2	4	1	1	4	7	6	10	10	6	9	5	4	10	8	8	9	17	1	9	7	7	8	1	3	9	9	2	1	3	3	3	5	2	5	9	7	6	6	13	11
21000	-248.577979655719361	-246.586084261626468	-1.991895394092894	0.000348151083161	0.000048707422072	0.139903118007263	0.232604281162079	0	12	13	13	16	15	16	16	15	15	18	20	21	20	20	22	26	31	28	30	33	42	46	0	1	1	1	1	4	4	1	1	4	7	3	10	10	8	9	7	14	2	14	14	4	14	1	4	7	6	7	1	1	8	6	1	1	5	3	2	3	4	4	7	10	5	6	14	14
21500	-242.374329348167123	-240.693902150198653	-1.680427197968478	0.000219872205065	0.000046116893073	0.209744078654447	0.175265040279007	-1	12	12	10	15	15	17	15	16	16	18	20	22	20	21	21	27	30	30	30	33	43	42	0	1	1	1	1	3	9	1	4	2	4	8	7	7	3	3	5	11	5	3	8	8	17	1	5	7	6	7	2	1	10	3	2	5	2	4	1	5	4	6	6	7	8	8	13	8
22000	-222.571333079558229	-220.765145963636058	-1.806187115922174	0.000270875108596	0.000047438773345	0.175131534200109	0.152737158858997	1	13	13	13	16	14	17	16	16	17	18	19	22	20	22	22	26	30	30	30	36	42	44	0	1	1	1	1	3	9	1	2	2	9	4	9	11	6	8	3	2	8	5	2	8	4	1	5	6	6	6	1	1	8	2	2	2	4	3	1	6	3	6	9	7	7	12	13	16
22500	-239.257413601516788	-237.586288749052812	-1.671124852463975	0.000278362311130	0.000059246570617	0.212839771219828	0.162977138142836	1	12	13	13	15	15	18	14	14	15	17	19	22	21	21	21	27	31	28	30	36	42	46	0	1	1	1	1	2	11	1	2	8	10	5	10	10	2	4	14	2	13	3	5	18	4	1	5	5	6	7	2	1	7	1	1	1	1	3	3	4	5	4	8	3	8	9	5	18
23000	-253.928151762681239	-252.384945066799133	-1.543206695882096	0.000216229100858	0.000057911014513	0.267822482187888	0.158833565696643	1	13	13	14	14	16	15	15	17	17	17	20	22	20	22	21	27	30	30	30	34	43	45	0	1	1	1	1	2	2	1	2	7	7	4	7	10	4	4	13	3	2	3	4	3	4	1	5	7	6	9	2	2	5	2	1	1	3	3	1	5	3	3	11	10	7	5	13	14
23500	-240.580681456039116	-238.911589981177144	-1.669091474861966	0.000247778092768	0.000052907742247	0.213528733133090	0.215174014681988	0	13	12	13	15	15	16	15	17	17	17	20	22	20	21	22	26	31	28	31	34	42	46	0	1	1	1	1	4	5	1	7	8	7	4	11	10	4	4	14	8	8	5	3	3	4	1	7	5	8	8	1	1	6	1	2	1	2	2	2	3	3	4	7	8	8	8	14	15
24000	-238.916440873370334	-237.201116478372313	-1.715324394998010	0.000248192732309	0.000049362463359	0.198887626160088	0.189374547646098	1	12	13	12	14	16	18	17	17	16	16	20	20	20	21	19	27	28	29	31	35	43	45	0	1	1	1	1	5	11	1	11	3	5	8	11	10	8	4	4	4	8	2	8	3	5	1	6	6	6	6	1	1	7	1	1	2	1	1	2	2	3	8	5	7	9	10	16	16
