step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
5000	-192.673674101302737	-191.308485721290566	-1.365188380012172	0.000014543480563	0.000009312144403	0.640296823212939	0.660317043734265	5	9	7	9	11	10	12	11	13	12	12	14	14	14	14	17	17	15	18	20	20	22	25	0	3	1	3	2	1	1	2	6	5	6	7	10	11	7	7	12	9	10	18	17	17	20	1	1	1	1	2	3	3	1	1	1	2	1	1	1	1	2	2	1	3	2	2	3	2
5500	-177.195582078934251	-175.782124301469253	-1.413457777465005	0.000021252144166	0.000018164854706	0.854730448084704	0.598982784408725	4	8	6	10	10	10	12	11	13	12	12	15	13	16	15	17	17	17	18	20	21	19	26	0	3	1	3	2	1	1	2	6	4	6	7	10	6	7	12	12	9	10	18	22	17	20	1	1	1	1	1	3	3	2	2	1	1	2	1	2	1	1	1	2	3	2	1	1	3
6000	-188.203414749304926	-186.820094605236250	-1.383320144068667	0.000024082731702	0.000017887277941	0.742742898207174	0.709653233154911	3	8	7	9	10	8	12	9	13	10	12	15	12	15	15	16	18	17	18	20	20	19	26	0	3	1	3	2	1	1	3	6	8	6	7	10	11	7	12	16	9	10	18	22	15	20	1	1	2	1	1	2	3	2	2	1	2	2	1	1	2	1	1	2	3	1	1	2	2
6500	-148.364438439461651	-146.972568782501469	-1.391869656960178	0.000064138076603	0.000026765189804	0.417305775621370	0.685784808098278	5	8	7	9	10	10	12	11	12	13	12	13	14	15	15	16	17	15	17	20	20	19	26	0	3	1	3	2	1	1	2	6	8	6	7	10	11	7	7	16	9	10	18	22	17	20	1	1	1	1	1	3	2	1	2	1	1	1	1	2	1	2	1	2	2	3	1	1	2
7000	-162.989491084953841	-160.737983923603849	-2.251507161350004	0.000191292763381	0.000020552131735	0.107438103625206	0.498487380258003	5	8	7	9	10	9	11	12	13	12	13	14	15	16	16	15	16	18	17	20	19	20	25	0	1	1	3	4	3	3	3	6	4	6	7	10	9	12	7	12	9	10	9	12	17	9	1	2	2	1	1	1	2	2	2	1	3	2	1	2	2	2	1	3	3	3	3	3	5
7500	-163.464593249462325	-161.962947313067588	-1.501645936394729	0.000209028326860	0.000061351044228	0.293505885777995	0.467796537666828	4	9	6	9	11	10	11	10	11	13	13	14	14	16	15	16	17	18	15	20	20	21	25	0	3	1	3	3	1	4	3	4	4	9	4	10	11	7	7	15	9	10	11	12	16	11	1	2	1	2	2	3	1	1	1	1	1	3	1	1	2	2	1	3	1	2	3	2	5
8000	-181.568893881042385	-178.948000079523098	-2.620893801519279	0.000380903410239	0.000029835046104	0.078327064820736	0.498304388670342	5	9	7	8	9	9	11	11	13	11	13	15	13	15	15	16	17	17	16	20	21	21	25	0	1	1	3	3	1	1	2	8	5	7	2	2	13	11	8	2	9	8	11	12	15	9	1	2	1	1	1	2	3	1	1	1	1	3	2	1	1	3	3	2	2	4	2	2	5
8500	-172.427571228623776	-170.797917664771632	-1.629653563852137	0.000231812188655	0.000052819252522	0.227853646645292	0.500078711560705	4	8	6	10	10	9	11	11	12	12	12	13	14	15	15	17	18	17	18	21	20	20	26	0	3	1	3	2	1	6	2	1	8	1	7	2	9	7	7	12	4	13	14	12	7	6	1	1	1	2	2	3	1	1	4	1	4	1	2	2	3	3	3	2	2	2	3	5	8
9000	-196.631079720917256	-194.327293020652604	-2.303786700264646	0.000526602633722	0.000053911354690	0.102375778694464	0.376158074330800	4	9	7	10	11	10	12	11	12	13	13	15	15	13	15	16	17	17	17	20	20	20	27	0	3	1	3	6	3	2	2	4	8	7	14	2	6	7	6	6	2	2	9	19	5	17	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	4	4	4	3	4	1	3	5
9500	-154.090266980316528	-151.977268790551733	-2.112998189764792	0.000285270321561	0.000035085816491	0.122991471034780	0.686582882901826	5	8	7	9	10	10	12	10	12	11	12	14	15	15	16	16	17	18	18	20	21	21	25	0	1	1	3	2	1	1	2	6	2	2	7	8	7	12	12	16	9	4	14	17	15	9	1	1	1	1	1	2	3	1	1	2	2	1	2	1	1	1	1	3	5	3	2	2	4
10000	-201.253976735153884	-198.558730241760770	-2.695246493393126	0.000324754385980	0.000024010718875	0.073935010308951	0.436442196893391	4	8	6	10	8	10	11	9	12	12	12	14	14	15	15	15	17	18	18	19	20	20	27	0	1	1	3	1	1	3	3	2	6	1	10	2	8	7	4	15	4	11	13	11	15	13	1	2	1	2	2	3	3	2	1	1	3	1	3	4	1	2	1	3	2	2	3	3	6
10500	-153.187871656490472	-150.903912402770459	-2.283959253720023	0.000154053144093	0.000016060066651	0.104250171234175	0.657512797826680	4	9	7	10	10	10	12	11	12	12	13	14	15	15	16	16	16	17	17	21	20	18	26	0	1	1	2	3	1	2	2	6	8	9	7	10	11	7	7	12	6	8	11	22	17	20	1	3	1	1	1	3	1	1	1	1	1	1	3	1	2	2	1	4	3	3	1	1	2
11000	-162.162416084477286	-160.293632951594105	-1.868783132883177	0.000216015969357	0.000034916263643	0.161637418504410	0.383919079722245	5	8	6	8	10	10	11	11	12	13	11	14	14	14	15	16	18	14	16	19	20	21	26	0	3	1	3	1	1	1	5	5	2	5	7	10	11	12	12	16	9	13	14	15	16	18	1	2	1	1	3	3	2	1	1	2	1	2	1	2	1	1	1	1	1	2	2	4	4
11500	-144.925197246359204	-142.202138557297332	-2.723058689061876	0.000230556435387	0.000016689102344	0.072386191763721	0.593060998984091	5	8	6	10	10	10	12	12	12	13	11	13	14	14	15	14	17	18	19	20	20	21	27	0	1	1	3	2	1	11	2	6	8	1	7	10	6	7	7	12	9	13	9	17	17	18	1	1	1	2	1	2	1	2	1	1	3	1	1	2	2	2	1	2	3	4	1	2	4
12000	-164.359959637650888	-162.661119438140275	-1.698840199510607	0.000174543558798	0.000035584912940	0.203874111337115	0.560266955584189	5	8	7	9	10	9	8	11	12	11	10	14	14	14	14	16	17	17	19	19	20	20	26	0	1	1	3	2	1	1	2	11	2	6	7	10	11	7	12	7	11	8	9	12	17	14	1	2	1	1	1	2	1	2	1	1	1	2	1	2	4	1	3	3	5	3	2	1	6
12500	-186.167480212009195	-183.998135218496316	-2.169344993512866	0.000345367819787	0.000040148330902	0.116248036447093	0.375157335719274	5	8	7	7	11	10	11	10	11	12	12	15	14	15	13	14	17	15	18	20	19	21	27	0	1	1	1	6	3	1	2	1	8	1	6	5	3	6	1	1	6	10	19	11	14	19	1	1	1	1	1	2	3	1	3	1	4	2	1	5	2	5	6	2	4	1	4	3	5
13000	-164.061598288099248	-161.548149225814257	-2.513449062285002	0.000270778363587	0.000023125271512	0.085402951718934	0.386202159905290	5	8	6	9	10	10	11	11	13	12	10	13	14	15	15	16	18	17	18	20	20	21	27	0	1	1	3	2	4	11	5	5	4	1	7	2	8	7	15	7	9	13	6	16	16	14	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	3	2	2	5	2	3	5
13500	-144.154568905553219	-141.283722215284286	-2.870846690268934	0.000110354858143	0.000007162952463	0.064908356402791	0.579521123142032	4	7	8	9	9	10	11	11	13	11	12	14	15	16	15	16	16	17	18	19	19	21	27	0	1	2	3	2	1	1	5	6	5	6	7	8	11	12	12	7	9	13	18	17	21	20	1	1	1	1	1	2	3	1	2	1	1	2	2	2	1	1	3	2	1	1	1	1	4
14000	-158.994128732447507	-156.170030310882197	-2.824098421565311	0.000180956466972	0.000012150466182	0.067145796917238	0.595230634079785	5	9	6	9	10	10	12	10	12	13	12	13	14	14	15	15	16	16	18	18	20	21	25	0	3	1	3	2	1	6	4	6	8	6	7	10	11	7	7	16	9	13	11	12	17	9	1	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	2	1	2	3	3	5
14500	-158.302054494418911	-155.974130525806657	-2.327923968612249	0.000296585324938	0.000029707461916	0.100164975871171	0.666451822342973	4	8	7	10	10	11	12	9	12	12	13	15	15	14	13	16	18	16	17	20	19	21	27	0	1	1	3	2	4	4	3	1	8	6	15	9	6	9	7	9	14	13	18	12	16	14	1	1	1	2	1	1	1	1	5	1	1	1	1	1	1	2	3	1	1	1	2	2	5
15000	-153.083806066753169	-151.228635249617668	-1.855170817135493	0.000213170238346	0.000035046922876	0.164408142278990	0.600811355963079	4	8	7	10	10	11	12	11	12	10	13	14	15	16	16	16	18	18	17	20	20	20	25	0	1	1	2	2	1	6	2	6	2	9	7	8	11	12	7	12	14	13	6	17	16	18	1	2	2	1	1	4	1	1	1	1	1	2	1	1	1	2	2	1	1	4	1	2	2
15500	-155.380564626033021	-153.718619913536571	-1.661944712496456	0.000142256826199	0.000030725544857	0.215986435788684	0.721434874407785	5	9	7	9	10	10	9	10	11	12	12	14	15	16	15	15	17	16	17	20	17	21	25	0	3	1	3	2	1	1	2	6	2	6	7	10	11	12	12	16	11	13	18	7	17	20	1	1	1	1	1	2	2	1	1	3	1	2	2	2	1	1	1	2	1	2	5	2	3
16000	-155.868098684865373	-154.355654433504611	-1.512444251360760	0.000110235530825	0.000031557038414	0.286269210823771	0.564470500824623	3	7	8	10	10	11	11	10	13	9	12	14	14	15	15	16	17	18	18	20	20	22	24	0	1	2	3	2	1	1	2	6	2	6	7	10	11	12	12	16	9	13	14	17	21	20	1	1	1	1	1	4	3	1	1	1	1	1	3	2	1	1	1	2	2	3	2	1	2
16500	-140.290295855027637	-137.714612232987321	-2.575683622040307	0.000213778347121	0.000017357099411	0.081192036728268	0.775248286513481	5	8	7	9	10	9	12	11	13	12	11	14	14	15	16	15	17	18	18	20	19	21	24	0	3	1	3	2	1	2	2	11	8	6	7	10	11	7	7	12	9	10	18	17	17	20	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2
17000	-161.274085398090278	-159.279766707242345	-1.994318690847920	0.000162287375419	0.000022643433051	0.139526768440349	0.478674804480640	4	9	7	9	10	10	11	11	13	13	12	13	15	16	15	16	17	15	18	21	20	21	26	0	3	1	3	2	3	6	3	6	2	6	7	10	9	7	12	15	6	10	11	17	16	20	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	2	3	2	4	2	3	3
17500	-148.326794179960501	-146.724400152173047	-1.602394027787446	0.000174797458718	0.000041774621028	0.238988720627585	0.667143316987147	5	9	8	9	10	10	12	12	12	12	13	14	14	15	16	17	18	17	18	19	21	20	26	0	1	1	3	2	2	2	5	6	3	6	7	10	9	12	12	12	9	13	9	22	15	14	1	3	1	1	1	1	2	1	1	2	2	1	1	2	2	2	2	3	2	2	1	1	5
18000	-193.384550624768224	-191.176121895299616	-2.208428729468602	0.000406385284958	0.000045481553607	0.111917324003565	0.325192179303385	5	9	7	9	7	10	11	11	10	12	13	14	12	16	14	17	16	18	19	21	19	22	26	0	5	1	3	1	1	1	1	5	2	7	9	9	11	9	11	6	1	3	14	15	12	17	1	1	1	1	1	3	4	2	2	1	1	2	1	1	2	2	4	7	6	3	2	4	5
18500	-163.419356928297020	-160.950413235840870	-2.468943692456137	0.000309596628607	0.000027437127941	0.088622179332712	0.536553443047091	4	8	6	9	11	10	12	10	12	10	11	14	12	15	13	16	17	15	15	19	19	21	27	0	1	1	2	2	1	6	3	2	2	2	15	4	11	7	12	16	9	10	9	17	21	18	1	1	1	1	2	3	1	2	2	1	1	1	1	2	1	1	1	2	2	4	1	1	5
19000	-163.605702101919377	-161.346678302241202	-2.259023799678170	0.000247872880710	0.000026444565416	0.106685997033763	0.493477080400840	5	9	8	7	10	10	11	12	13	13	12	14	14	16	14	16	18	17	17	19	20	22	26	0	4	4	1	2	1	6	2	6	11	1	7	8	9	7	8	15	14	4	9	15	16	14	1	1	1	1	1	3	1	2	1	1	3	1	1	2	2	2	2	1	6	3	3	3	6
19500	-182.289004758652908	-180.259967655584887	-2.029037103068008	0.000246190510288	0.000033067986533	0.134318688782525	0.379548887538298	5	9	8	9	10	10	12	11	13	13	13	15	14	16	14	16	18	16	18	20	20	21	26	0	1	1	3	4	1	2	5	1	8	1	7	10	9	7	11	12	11	6	14	7	6	9	1	2	1	1	1	2	2	1	2	1	4	2	1	1	2	2	1	2	4	2	4	7	7
20000	-194.227333123864241	-191.298308543922701	-2.929024579941529	0.000442292005717	0.000027542770201	0.062272819416700	0.279554249604882	5	8	7	8	10	10	8	9	12	11	12	13	15	15	15	14	18	18	19	20	20	22	27	0	1	1	3	8	1	1	2	10	1	10	10	8	11	1	6	13	15	15	1	16	16	11	1	1	1	1	1	2	2	1	1	3	1	2	5	1	3	2	2	2	3	8	4	5	7
20500	-169.712452526736996	-167.847671325449909	-1.864781201287085	0.000343099265947	0.000055734153252	0.162443230817850	0.631666027522279	5	9	8	7	11	10	12	11	12	13	13	13	14	15	15	16	18	17	18	19	20	22	25	0	4	4	1	1	1	1	3	2	8	6	5	8	5	8	12	16	6	10	14	17	21	14	1	1	1	1	2	2	4	2	2	1	2	1	1	2	2	1	1	5	3	2	1	1	5
21000	-168.823926766312781	-165.878717897469159	-2.945208868843622	0.000309986304559	0.000019085024594	0.061567315435782	0.564833077764214	4	8	8	6	10	9	11	11	13	12	13	15	15	13	14	16	17	16	18	19	20	20	27	0	4	4	1	2	1	6	2	8	5	6	15	5	5	7	15	7	11	13	9	16	12	11	1	1	1	1	2	2	1	2	1	1	2	1	3	2	1	2	3	1	2	4	3	3	7
21500	-162.417578579209817	-160.531454083331710	-1.886124495878100	0.000168461913347	0.000026655198287	0.158226852334684	0.620838164432962	5	9	7	9	10	11	11	11	10	12	12	14	14	15	15	17	16	17	18	20	21	19	27	0	3	1	3	2	1	1	2	1	2	3	7	10	9	7	15	12	6	10	14	22	15	20	1	1	1	1	1	2	3	1	3	2	2	2	1	3	2	1	1	2	3	1	1	2	3
22000	-156.159874001226797	-153.777716666681584	-2.382157334545202	0.000150772171553	0.000014393163593	0.095462998540478	0.596580007611926	4	8	7	10	10	10	12	11	13	13	9	15	14	15	14	17	17	17	18	21	19	21	27	0	3	1	3	2	11	1	2	6	8	1	15	10	6	7	7	15	9	13	9	16	21	18	1	1	2	2	1	1	3	1	2	1	3	1	1	2	1	2	1	3	2	4	1	1	5
22500	-160.881551785754965	-157.182104421550122	-3.699447364204849	0.000191697072232	0.000007315922579	0.038163976601176	0.561977458335325	5	8	8	6	10	9	12	10	13	11	12	14	13	16	16	16	18	17	19	20	20	21	27	0	4	4	1	2	1	6	2	6	2	6	7	10	11	6	12	16	11	13	14	15	17	18	1	1	1	1	1	3	2	1	2	1	2	1	1	3	3	1	1	2	3	2	2	1	6
23000	-159.497511523359520	-156.918569753783544	-2.578941769575985	0.000378860646615	0.000030680255536	0.080980317724122	0.550119091649058	5	8	7	9	11	10	10	11	13	12	12	13	15	15	14	17	16	17	19	20	20	20	26	0	1	1	1	7	1	1	2	7	8	6	4	8	9	12	15	15	14	10	14	15	15	11	1	1	1	2	1	2	3	1	2	1	1	2	2	1	1	2	1	1	3	3	4	3	7
23500	-159.252988637399682	-156.984728472877947	-2.268260164521744	0.000176639649806	0.000018683752833	0.105773266951201	0.579945297328155	5	9	7	9	10	9	12	11	11	12	11	13	13	15	14	15	17	17	19	19	21	19	26	0	3	1	3	2	1	11	2	1	2	1	7	10	11	7	7	16	9	13	11	17	7	18	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	3	3	3	1	4	4
24000	-171.118684992858988	-168.310800828911226	-2.807884163947759	0.000143784970878	0.000009769942485	0.067948287122488	0.399652746145401	4	8	6	10	11	8	12	11	12	11	12	15	14	14	15	16	18	18	17	20	21	20	26	0	3	1	3	2	1	3	2	6	2	6	7	8	11	7	15	12	11	13	9	22	15	18	1	1	1	2	2	1	4	2	3	2	2	1	2	1	2	1	2	2	2	4	1	3	3
24500	-150.999765028615144	-149.252556962882437	-1.747208065732713	0.000094251484968	0.000017897082066	0.189886473106646	0.589543013589483	4	7	8	10	10	10	12	11	13	11	12	15	13	15	15	16	18	16	17	21	19	20	26	0	1	2	3	3	1	1	2	11	2	6	7	10	6	7	12	16	9	13	18	17	17	20	1	1	1	1	1	3	4	3	1	1	1	2	1	2	2	1	1	1	2	2	1	1	3
25000	-157.438814006378408	-155.413191767910320	-2.025622238468087	0.000128679668132	0.000017348104791	0.134816207118152	0.501737377009086	4	8	8	10	10	10	11	12	13	12	13	14	15	13	15	17	18	16	18	20	21	20	26	0	1	1	3	2	1	1	2	6	2	6	7	10	6	7	12	12	9	13	9	22	15	20	1	3	1	1	1	3	3	2	1	2	1	1	2	1	2	1	3	2	1	3	1	2	3
25500	-154.706649257001828	-152.198179340386190	-2.508469916615648	0.000127353291074	0.000010921072097	0.085754141137404	0.445939004233318	4	8	6	9	10	10	11	12	13	13	13	13	14	15	15	14	18	18	17	20	19	20	25	0	3	1	3	2	1	1	2	6	8	6	7	8	11	7	7	12	9	10	9	7	17	20	1	1	1	1	1	3	3	2	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2
26000	-159.241214441346841	-157.003845049142171	-2.237369392204674	0.000169861173967	0.000018493788677	0.108875902865577	0.514110466219338	4	8	7	10	10	10	12	11	13	13	13	14	14	14	15	16	18	16	18	20	20	21	24	0	3	1	3	2	1	1	2	6	8	6	7	5	6	12	12	12	14	10	9	16	21	18	1	1	2	1	1	3	4	2	2	1	2	1	2	3	1	2	2	1	2	4	2	1	4
26500	-156.972253647516965	-153.868039248858850	-3.104214398658128	0.000150982431909	0.000008335749496	0.055210062462619	0.427449388966985	4	6	8	9	9	9	10	11	11	13	13	12	14	16	15	16	17	16	18	20	20	22	26	0	1	2	3	2	1	1	5	6	2	1	7	10	6	12	12	12	9	13	9	17	21	11	1	1	1	1	2	2	3	1	1	3	4	1	1	3	2	2	2	2	2	5	2	1	5
27000	-142.084413068815451	-139.280698704435991	-2.803714364379455	0.000158683553885	0.000010815385569	0.068156940677085	0.522912835559968	4	8	6	8	10	10	12	11	12	12	12	14	15	14	15	16	17	17	18	20	19	21	26	0	1	1	3	4	2	2	5	6	2	6	7	8	11	7	12	12	9	13	9	17	21	18	1	3	1	1	1	2	3	1	1	2	2	1	2	1	2	1	1	2	2	3	1	1	6
27500	-152.496153395799894	-150.598521097235221	-1.897632298564671	0.000158887368460	0.000024791774724	0.156033641721362	0.546988367985043	5	8	7	8	11	9	11	11	13	11	13	14	14	15	15	14	17	17	18	21	20	22	26	0	3	1	3	2	1	6	2	6	2	6	7	10	11	7	7	16	9	10	6	15	21	11	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	1	2	2	3	5	3	1	6
28000	-170.106392786227360	-167.869725970996313	-2.236666815231059	0.000320727434003	0.000034942663043	0.108948157650791	0.510706553210199	4	8	7	10	10	10	11	12	12	12	12	13	15	16	15	16	17	17	18	20	20	19	25	0	1	1	1	1	2	2	6	2	3	6	7	9	4	2	12	2	5	8	19	16	12	14	1	3	2	3	3	1	2	1	2	2	1	1	1	2	2	1	5	5	3	1	2	3	4
28500	-198.989976700612345	-196.465382105812324	-2.524594594800019	0.000434289492343	0.000036751638394	0.084624746953062	0.341655102912412	4	9	8	8	9	11	11	10	11	12	10	14	14	14	15	16	18	17	18	20	19	22	26	0	1	1	1	1	2	1	1	4	7	5	6	4	6	8	6	14	2	8	2	4	18	19	1	2	2	2	2	1	3	2	3	1	1	2	2	1	2	3	2	4	5	4	7	3	4
29000	-175.978749958046762	-173.812172480060070	-2.166577477986687	0.000265052726515	0.000030895867469	0.116564986428078	0.525087339134040	4	8	7	8	8	8	11	11	12	11	12	13	13	14	15	16	17	18	19	20	17	21	26	0	1	1	1	1	3	4	2	5	5	6	4	2	2	12	15	12	14	8	11	16	21	11	1	1	2	2	3	1	2	2	3	2	2	2	2	2	1	1	2	2	3	3	1	2	6
29500	-171.669956101281485	-169.550865429727935	-2.119090671553559	0.000384377871574	0.000046983158685	0.122231694796406	0.455364836026162	5	9	6	10	10	8	12	11	12	12	12	15	13	15	16	16	17	17	17	21	20	21	26	0	1	1	1	1	1	5	6	1	5	4	2	5	2	9	2	2	11	8	17	19	16	20	1	2	1	2	2	2	1	2	4	1	1	2	1	4	2	2	3	2	3	2	2	2	3
30000	-202.324421329803528	-200.050584326806131	-2.273837002997400	0.000491696916528	0.000051740371684	0.105228180093885	0.629106045291504	5	8	7	9	10	10	11	12	11	13	11	14	14	15	14	16	14	16	17	20	19	21	25	0	1	1	3	2	1	6	6	1	9	4	5	6	11	9	17	7	14	13	17	14	19	12	1	1	1	1	1	3	1	2	3	1	1	1	2	3	1	2	2	1	2	2	2	3	6
30500	-155.574403861556050	-152.512470524300994	-3.061933337255048	0.000172074583871	0.000009774680978	0.056804908419751	0.517487874515375	5	9	7	10	10	10	11	11	12	12	12	13	15	15	13	17	18	17	18	19	21	21	25	0	3	1	3	2	1	1	2	6	8	1	7	8	6	7	7	16	9	10	9	16	17	9	1	1	1	2	1	2	3	1	1	1	3	1	2	2	1	2	1	3	4	4	2	1	6
31000	-138.120807574636729	-136.088088104072170	-2.032719470564547	0.000139609334058	0.000018677728129	0.133785668808898	0.669278468436589	5	8	7	10	10	10	11	10	12	12	13	15	14	14	14	16	17	17	19	21	19	21	26	0	3	1	3	2	1	1	2	6	8	6	7	10	11	7	15	16	9	13	18	17	21	20	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	3	4	2	1	1	3
31500	-158.934689331614408	-157.332938009621074	-1.601751321993331	0.000154990991641	0.000037083965217	0.239265294223211	0.612804002316169	4	9	7	9	10	10	11	10	12	12	13	14	14	15	16	16	17	17	19	20	19	22	27	0	3	1	3	2	1	1	2	6	8	6	7	5	9	12	7	15	6	13	11	16	21	18	1	1	2	1	1	2	2	1	2	1	2	2	2	1	1	2	1	3	2	3	1	2	5
32000	-153.662428800525134	-151.702707193211069	-1.959721607314058	0.000115470554581	0.000016751317381	0.145070034884849	0.571967169999729	4	6	7	9	10	10	10	11	12	12	12	13	15	15	15	16	17	17	18	21	18	22	27	0	1	2	3	2	1	1	2	6	5	6	7	10	11	12	12	15	9	10	6	16	17	20	1	1	1	1	2	2	3	2	1	1	1	2	3	1	1	2	2	3	2	4	1	2	2
