step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
19500	-61.806371098508322	-68.661859049467694	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.948504520032792	0	1	3	4	6	8	12	9	10	10	11	12	11	12	14	15	13	15	17	18	0	1	2	3	4	5	13	6	8	5	9	9	10	9	17	15	9	7	15	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-63.718984077086049	-70.574472028045420	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.958066187378554	-1	1	4	6	5	7	13	10	10	9	11	12	12	11	13	15	15	15	17	19	0	1	1	3	2	5	9	10	4	6	10	11	9	10	8	12	7	15	16	19	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
20500	-57.309864258800431	-64.165352209759803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.955206605231388	-2	2	4	5	6	8	12	10	9	10	10	12	12	13	14	16	17	13	17	19	0	1	2	3	3	4	8	6	5	6	9	11	10	8	7	18	15	10	15	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-76.273312328006639	-83.128800278966011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643557210932949	-1	1	4	6	6	8	12	8	9	11	8	12	11	14	13	16	17	15	17	18	0	1	2	2	3	4	9	4	6	8	5	8	8	10	10	7	10	15	18	16	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	2	3	1	1	1
21500	-70.070341454982909	-76.925829405942281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677937394551184	0	2	4	5	6	9	12	10	9	11	9	10	12	12	14	16	16	15	16	20	0	1	2	1	3	5	12	9	4	12	1	4	9	12	11	14	13	7	11	17	1	1	1	2	1	1	1	1	2	1	4	2	1	1	2	2	2	1	4	2
22000	-56.654581573150253	-63.510069524109625	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.985537427296271	0	1	3	5	7	8	12	9	10	10	10	9	11	14	13	15	16	14	16	19	0	1	1	3	4	4	10	6	6	12	8	4	9	7	9	18	14	15	15	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-69.222868002721569	-76.078355953680941	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576851995032333	-2	1	4	4	6	8	12	11	10	10	9	11	12	13	12	15	16	15	17	20	0	1	1	2	4	1	12	9	11	11	6	9	12	8	6	10	10	14	18	19	1	2	2	1	1	5	1	1	1	1	1	1	1	1	2	2	2	1	2	2
23000	-62.825927011285728	-69.681414962245100	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823158355787009	0	2	4	6	6	8	12	10	11	11	10	12	11	13	12	14	17	16	18	19	0	1	2	3	2	5	9	5	6	11	6	11	11	10	10	7	14	10	18	17	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1
23500	-72.044233496645845	-78.899721447605216	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.962069730228842	0	1	5	6	6	7	12	11	9	9	10	12	11	14	12	16	16	14	15	19	0	1	1	2	3	3	9	11	6	4	4	10	10	15	9	14	19	8	13	16	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-68.079399514761946	-74.934887465721317	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666812306490072	-1	1	4	5	6	8	13	11	10	10	8	12	11	14	12	16	16	16	14	18	0	1	1	3	3	5	8	11	11	6	3	11	9	15	10	19	14	19	13	10	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	4
24500	-78.892751685042711	-85.748239636002083	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600149780214993	-1	2	5	6	7	8	13	10	9	11	11	12	10	12	13	14	16	15	14	20	0	1	1	2	3	3	11	5	5	6	5	10	9	8	14	10	19	8	8	17	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2
25000	-59.692643852011557	-66.548131802970929	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.829887222221694	-1	2	4	3	6	7	12	9	11	10	8	11	11	14	13	16	16	16	17	19	0	1	2	1	3	5	9	11	8	8	6	10	8	15	12	14	14	14	14	18	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
25500	-77.215991835171323	-84.071479786130695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724259105440289	-2	1	4	4	6	8	12	10	11	9	8	11	10	13	13	14	16	15	18	18	0	1	2	2	4	3	8	6	13	6	5	10	11	7	5	13	16	12	18	9	1	1	3	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	2	4
26000	-83.485942111469100	-90.341430062428472	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457332787348165	-2	1	2	4	6	9	13	11	11	11	10	11	12	14	13	15	16	16	17	19	0	1	1	2	4	4	8	5	2	11	2	4	11	8	12	7	7	14	16	15	1	1	2	1	1	3	1	2	4	1	3	3	1	2	1	1	1	1	1	4
26500	-74.230750828261961	-81.086238779221333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740265771263823	0	1	3	5	7	9	13	8	10	10	10	11	12	12	13	14	16	15	17	20	0	1	1	3	4	5	13	5	6	4	6	5	6	1	6	9	16	7	18	19	1	1	2	1	1	1	1	1	1	3	1	1	1	6	2	2	2	1	1	1
27000	-64.310186635790544	-71.165674586749915	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.917399280170644	-1	2	4	3	6	8	13	9	9	10	10	12	12	14	13	16	17	15	17	20	0	1	1	2	4	5	10	4	6	6	6	8	10	12	10	18	14	15	18	17	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1
27500	-85.529929607144624	-92.385417558103995	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652891429918239	-1	2	3	3	5	8	12	10	9	11	10	11	10	12	13	14	15	16	17	19	0	1	1	2	2	5	13	6	4	13	1	11	5	6	7	9	10	10	17	18	1	1	1	1	1	2	1	1	3	1	6	1	2	2	1	2	1	3	1	2
28000	-58.032262379709877	-64.887750330669249	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891924584271926	-1	1	4	5	7	9	13	11	10	11	9	11	12	12	13	15	17	16	17	19	0	1	2	3	4	5	14	9	5	6	5	6	9	9	14	15	16	16	15	19	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28500	-64.859350500155088	-71.714838451114460	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.817221261765359	0	2	4	6	5	8	12	10	11	10	9	11	10	14	13	14	16	16	17	18	0	1	1	5	3	5	9	11	11	6	5	13	11	10	9	13	15	7	18	17	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
29000	-76.845025930641810	-83.700513881601182	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609052162763472	-2	1	3	6	5	8	13	11	10	11	11	12	11	14	14	16	16	14	17	20	0	1	2	5	2	3	8	6	6	6	9	13	9	1	10	18	15	10	16	17	1	1	2	1	2	2	1	1	1	1	1	1	1	6	2	1	1	2	1	2
29500	-77.159870335948256	-84.015358286907627	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741556917750095	0	2	5	5	7	9	12	10	10	11	10	10	9	12	14	15	16	15	17	18	0	1	2	1	4	5	9	2	13	9	6	5	1	6	7	13	16	14	7	17	1	2	1	2	1	1	1	6	1	1	1	1	3	1	1	2	1	1	2	1
30000	-61.867413505372141	-68.722901456331513	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.880222855952070	-1	2	4	3	6	8	13	11	11	10	9	11	11	13	13	15	17	14	17	20	0	1	2	2	4	5	13	11	11	6	5	11	10	9	12	11	16	7	16	19	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
30500	-63.857150997595056	-70.712638948554428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708507466951307	0	2	4	6	7	8	13	11	9	10	10	11	9	14	13	15	16	15	16	19	0	1	1	3	4	4	12	6	5	6	13	9	4	7	10	7	18	15	12	19	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2
31000	-79.172811404397393	-86.028299355356765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.719091316357283	0	2	4	5	6	8	10	10	10	9	10	12	12	13	12	14	16	14	17	19	0	1	1	2	2	5	6	5	6	5	6	8	11	9	7	13	16	9	14	3	1	1	3	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	6
31500	-77.187092740843411	-84.042580691802783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.949454590190606	0	2	4	6	6	9	12	10	8	11	9	10	11	13	13	15	17	13	15	18	0	1	2	3	2	3	10	6	5	6	9	11	11	12	10	7	19	6	18	19	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	2	1	2	1	1
32000	-60.214776916457993	-67.070264867417364	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613696760414308	0	2	4	6	6	8	12	11	10	11	10	12	11	13	13	15	17	15	17	19	0	1	1	3	2	5	11	11	6	9	5	11	11	6	7	7	16	14	18	15	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	3
