step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
5000	-299.617575313725297	-306.473063264684697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677820086804045	0	1	2	3	4	5	3	6	7	5	9	8	9	8	11	11	11	13	12	12	14	16	18	19	21	21	22	22	22	22	21	20	24	24	25	24	26	26	25	25	26	24	26	23	25	26	27	26	28	28	28	30	31	30	30	33	0	1	1	3	4	3	0	4	7	3	12	8	8	6	12	13	13	13	14	13	18	21	22	23	23	23	32	32	24	24	32	22	30	24	44	27	26	29	32	27	39	26	44	31	44	36	42	45	31	46	42	25	51	37	49	53	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	1	3	1	1	2	2	3	2	1	2	2	1	1	1	2	1	4	1	2	5	2	2	1	1
5500	-307.848078688583882	-314.703566639543283	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630837597948119	0	1	2	4	4	3	4	4	6	7	7	8	9	10	11	10	11	13	13	13	14	16	19	17	21	21	21	22	23	21	22	20	23	24	25	24	25	24	25	25	27	26	26	24	27	28	28	27	29	26	29	30	30	30	30	34	0	1	1	3	3	3	0	6	7	4	8	8	12	12	13	13	13	13	14	16	8	18	24	21	22	23	32	23	24	23	27	23	27	30	34	27	26	30	44	25	35	37	39	28	44	33	42	39	48	33	42	42	42	42	49	53	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	6	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	2	2	2	2	3	1	2
6000	-304.790915320911381	-311.646403271870781	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685533702059993	0	2	1	3	5	4	4	6	7	8	8	5	7	9	10	11	11	12	12	13	12	16	19	20	21	21	22	22	22	21	22	21	24	24	24	24	27	26	26	25	26	25	26	24	26	28	28	25	28	29	29	29	31	31	30	33	0	1	1	3	6	4	0	4	7	4	8	3	6	12	8	13	15	13	14	21	17	21	21	23	22	22	32	23	30	24	32	23	27	24	31	27	28	29	44	36	35	26	31	31	44	33	42	44	43	33	42	42	47	47	49	53	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	2	1	1	2	3	1	2	3	1	1	1	1	1	1	1	2	1	1	2	3	1	1	1	2	3	1	1	3	1	1	1	3	2	2	2	2	1	2
6500	-303.834692307995567	-310.690180258954967	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659557349157055	-1	1	2	1	4	4	2	6	6	7	9	8	9	9	11	11	12	12	13	13	14	16	19	18	21	21	19	21	22	22	21	22	21	23	23	22	26	23	26	25	26	25	26	24	26	27	27	27	29	28	30	30	30	30	28	33	0	1	4	1	3	1	0	3	7	6	8	8	12	12	13	13	15	13	14	16	16	20	24	22	23	23	24	23	25	25	23	27	27	30	31	27	32	29	44	31	35	26	31	32	44	27	37	45	45	46	47	47	42	42	43	53	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	3	2	1	3	1	1	1	1	1	2	2	2	1	1
7000	-284.307815418198913	-291.163303369158314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.732663182034830	0	1	3	4	5	4	4	5	5	8	8	7	9	9	11	10	11	12	11	11	13	16	18	19	21	21	20	23	21	21	21	21	23	24	24	25	26	25	25	25	25	25	27	23	25	27	28	27	28	29	26	29	30	29	29	32	0	1	1	1	6	1	0	4	7	3	8	4	12	12	12	13	13	16	14	16	20	20	22	23	23	23	23	25	24	24	27	27	32	30	31	32	26	29	44	27	35	26	44	31	44	36	37	44	44	46	26	42	47	42	43	53	1	1	2	2	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	1	3	1	2	2	1	1	2	2	2	3	1	2	2	1	2	1	1
7500	-287.552691691278028	-294.408179642237428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.681155487174179	-1	0	2	3	5	3	4	6	7	7	5	8	9	10	12	10	11	12	12	12	13	15	18	19	22	20	20	23	23	21	21	21	23	24	24	23	26	25	25	26	26	25	24	23	26	28	26	27	28	28	30	28	31	31	30	33	0	1	1	3	6	3	0	11	7	5	6	8	8	12	13	13	13	13	14	17	20	21	22	23	24	23	23	32	23	24	23	23	27	30	31	27	26	29	44	31	35	23	44	31	44	40	23	44	45	31	37	37	37	52	49	54	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	3	2	2	2	1	2	1	1	2	1	1	2	1	3	1	1	1	1	5	2	1	3	3	1	2	2	1	1
8000	-284.752631427508391	-291.608119378467791	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721979041423543	0	2	2	3	4	5	3	7	7	6	9	8	10	10	11	11	11	12	11	12	13	16	17	19	19	21	22	22	22	22	22	22	24	25	24	24	26	25	25	24	26	26	26	24	26	29	27	27	28	29	29	30	31	30	30	34	0	1	1	3	4	1	0	4	7	6	8	8	12	6	13	13	13	13	14	16	20	20	22	23	23	25	23	24	24	24	25	24	27	24	31	32	26	29	44	32	35	26	44	31	39	36	37	44	48	27	47	42	47	47	49	53	1	2	1	1	1	3	1	2	3	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	4	2	1	2	1	1	1	1	2	1	1	1	2	1	2	1	4	2	2	2	2	1	2
8500	-273.237145763858621	-280.092633714818021	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.859628640246772	0	2	3	2	4	5	4	5	7	7	8	9	10	8	12	10	12	12	12	12	13	16	18	20	21	20	20	23	21	21	21	21	24	22	23	24	26	25	25	23	25	25	26	24	26	28	27	28	29	28	28	28	31	31	30	32	0	1	4	1	4	3	0	4	7	6	8	8	12	8	13	12	12	13	14	16	20	21	22	23	23	23	23	25	24	24	27	27	32	24	31	32	24	29	44	32	35	40	44	31	44	36	42	44	45	36	42	42	47	52	48	53	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	1
9000	-268.169641710897622	-275.025129661857022	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724567387804143	-1	2	1	4	5	4	5	6	7	8	8	8	9	8	11	10	11	12	13	11	13	16	18	20	21	20	20	22	22	21	22	22	23	24	24	24	24	25	26	24	26	25	24	26	27	27	26	27	28	28	29	29	30	29	29	33	0	1	1	3	4	3	0	5	7	6	8	8	12	4	14	13	16	17	12	16	20	21	22	23	23	23	23	24	24	24	27	27	32	30	31	27	26	34	43	32	35	37	31	43	44	32	42	44	45	32	47	42	47	42	49	47	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	1	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	2	3	1	3
9500	-269.191531978794444	-276.047019929753844	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717410838492485	0	1	2	3	4	4	4	5	7	6	8	7	9	9	12	10	12	10	13	12	13	17	16	20	21	19	20	22	23	22	22	21	24	24	24	24	24	25	25	26	26	26	24	26	27	29	27	28	26	28	29	29	30	30	31	33	0	1	1	3	4	3	0	6	7	6	8	8	12	12	13	13	18	13	14	16	20	21	21	23	24	23	26	25	30	25	27	27	27	30	27	32	25	29	43	36	35	37	31	43	49	50	26	44	39	33	42	42	42	42	50	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	2	2	2	2	1	2
10000	-280.196599636567157	-287.052087587526557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736247153838495	-1	1	1	2	5	4	3	6	5	6	8	8	10	10	11	11	12	13	13	13	14	17	18	19	21	20	20	20	22	20	21	22	23	25	24	24	25	25	23	25	27	25	27	25	25	28	26	28	29	29	29	30	30	30	30	33	0	1	1	3	4	1	0	6	7	3	8	8	12	6	13	13	13	13	12	16	20	21	21	22	28	23	23	23	24	24	27	27	32	30	31	32	25	29	31	27	35	26	44	39	39	37	37	44	45	34	42	47	47	47	49	51	1	1	1	1	2	3	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	2	2	2	2	2	1	2
10500	-271.651663107668526	-278.507151058627926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710382363715034	0	2	3	2	4	5	4	5	7	7	7	8	10	10	10	11	12	9	12	12	14	16	18	20	20	21	20	22	23	22	22	21	22	25	24	24	26	25	24	24	26	25	27	25	25	27	27	26	28	28	30	28	31	28	31	33	0	1	4	1	4	3	0	3	7	6	8	8	12	18	18	13	13	8	14	16	20	21	22	23	23	25	23	25	30	23	27	27	32	24	31	27	26	24	32	27	35	36	44	39	39	33	42	39	48	46	52	42	54	47	49	53	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	3	1	2	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1
11000	-299.950156190487462	-306.805644141446862	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648238040451827	0	2	3	1	4	5	4	6	7	8	9	8	10	9	12	10	11	13	12	12	14	16	18	20	21	20	20	22	22	21	22	22	23	23	24	23	26	25	24	26	26	25	27	24	26	26	28	26	28	28	29	30	30	31	31	34	0	1	4	1	1	3	0	4	7	6	4	8	12	8	13	11	11	12	8	16	20	21	21	23	26	23	23	25	24	24	27	27	32	30	36	27	26	34	32	32	35	26	45	36	44	44	37	39	45	33	42	37	47	47	39	54	1	1	1	1	2	2	1	2	1	2	2	1	1	1	2	1	1	3	5	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	3	1	1	1	1	1	1	1	3	2	2	2	2	2	2
11500	-313.281484142260751	-320.136972093220152	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679615350391310	-1	2	3	2	5	4	3	6	6	7	6	9	9	9	11	10	10	12	13	12	13	15	18	20	19	21	22	23	22	21	21	22	24	24	24	24	26	25	25	23	26	25	26	25	27	27	27	27	28	25	28	29	31	30	30	32	0	1	1	1	3	3	0	4	7	8	4	8	8	10	8	13	13	13	14	16	20	21	22	23	23	23	23	23	24	23	23	23	27	24	31	27	23	32	32	27	35	26	27	36	39	30	26	44	45	30	47	47	42	47	49	54	1	1	2	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	3	2	3	1	2	1	1	4	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	3	2	1	1
12000	-298.528941116147564	-305.384429067106964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626600538430262	0	1	2	4	3	3	4	6	7	7	9	8	10	8	11	10	9	10	11	11	13	17	18	19	22	20	20	22	22	20	22	21	22	24	25	23	26	26	26	26	26	25	27	25	26	27	27	26	29	28	29	29	30	30	29	33	0	1	1	3	3	3	0	3	7	4	8	8	17	8	18	12	12	12	14	11	20	21	22	23	23	23	23	26	24	24	27	27	32	30	31	32	42	34	32	25	35	26	31	31	31	36	26	31	45	36	42	47	37	51	45	42	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	3	2	1	3	2	2	3	2	4	3	1	2	2	1	2	1	1	3
12500	-299.748598525594048	-306.604086476553448	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613152246725982	0	2	2	4	4	4	5	6	6	7	7	8	10	10	11	11	12	13	12	12	14	17	18	18	20	20	20	21	21	21	21	22	24	22	24	25	25	25	25	25	26	23	27	23	26	29	28	27	28	27	30	29	31	28	30	33	0	1	1	3	3	3	0	6	7	4	6	8	12	10	13	11	13	13	14	16	20	21	21	22	23	23	23	23	24	24	27	27	27	23	31	32	25	30	44	33	31	26	44	31	33	50	42	45	39	32	42	42	42	37	45	54	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	1	2	2	2	1	3	2	2	1	2	1	2	1	1	1	3	1	2	2	2	3	4	2	2	2
13000	-307.238871591692487	-314.094359542651887	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692378980922444	0	1	2	3	4	5	1	7	6	7	7	8	9	10	11	10	12	12	12	10	13	16	17	19	22	21	20	22	22	21	21	22	24	24	23	23	26	26	24	24	27	25	26	25	26	29	27	27	29	29	29	28	30	30	30	34	0	1	1	3	3	4	0	6	7	3	3	8	12	12	11	13	16	16	11	13	20	21	21	23	23	23	23	23	24	24	27	27	32	30	31	32	34	29	25	36	35	26	39	39	39	25	30	39	45	27	52	42	26	37	45	52	1	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2	1	1	1	2	2	1	1	1	2	1	1	3	2	1	1	1	3	2	2	2	4	1	2	5	2	1	3
13500	-273.237133358731853	-280.092621309691253	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617907261009510	0	1	1	3	5	5	4	6	7	7	7	8	10	8	10	11	11	12	12	12	13	16	18	20	19	20	22	22	21	21	21	21	22	24	24	24	25	26	24	25	26	25	25	26	26	27	27	27	28	28	30	28	31	31	31	33	0	1	1	3	4	4	0	3	7	6	6	8	12	8	8	13	13	13	14	16	20	21	22	23	22	25	32	23	24	24	22	25	32	29	31	27	23	34	27	32	35	26	31	27	39	43	42	39	45	27	42	42	47	47	49	53	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	2	1	4	1	1	2	1	2	3	2	1	1	1	2	1	4	2	2	2	2	2	1
14000	-295.882357018896130	-302.737844969855530	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749561236971518	-2	-1	1	3	4	3	4	6	6	7	9	8	9	9	11	10	11	12	12	13	11	16	18	19	22	20	22	22	23	21	22	20	24	24	25	25	26	26	26	26	26	24	27	24	27	27	27	27	28	28	30	28	30	30	30	33	0	1	1	3	3	3	0	6	7	3	12	8	12	12	16	13	13	12	14	21	16	21	22	23	23	23	32	30	30	24	32	23	31	30	31	31	26	34	44	31	35	23	27	31	39	36	42	44	45	33	52	47	34	52	49	53	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	2	1	2	2	1	2	2	1	3	2	1	1	1	2	2	1	2	2	1	2	2	1	1
