step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47
10500	-217.225998404976309	-224.081486355935681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728694837043072	0	4	2	4	4	4	3	5	7	4	7	5	5	5	5	5	7	5	6	6	6	6	6	9	7	7	9	8	7	8	6	9	8	9	11	12	10	11	13	14	13	14	16	17	16	17	15	0	1	1	3	1	1	3	2	14	3	2	3	5	5	7	6	8	3	6	15	6	18	7	12	20	16	26	17	8	22	12	21	18	26	32	24	18	37	37	36	35	39	36	40	36	41	40	1	3	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	2	2	2	1
11000	-219.328874390071803	-226.184362341031175	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.802041051912726	1	4	2	4	2	3	3	4	6	5	6	5	5	6	3	6	6	5	6	5	7	8	8	8	6	7	8	8	7	8	8	10	8	10	11	11	10	11	13	14	14	13	16	16	15	17	17	0	5	1	3	1	5	3	1	18	4	12	8	4	5	3	6	8	4	2	15	8	9	18	25	20	16	26	17	17	17	19	21	10	27	21	24	33	37	37	36	32	37	40	40	40	41	45	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	2	1	1	1	1	1	1	1
11500	-221.458933433071934	-228.314421384031306	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834273809933713	0	2	2	4	2	3	3	5	6	4	7	4	4	5	5	5	6	6	5	7	7	6	4	9	8	9	9	9	8	8	7	9	7	10	12	10	10	11	14	14	13	13	15	16	15	17	18	0	1	1	7	1	5	3	4	4	3	4	7	3	1	3	6	8	12	5	15	8	4	3	15	20	16	16	29	8	22	5	21	4	27	32	30	33	37	37	36	35	37	36	43	40	41	45	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	1	2	1	2	1	2	2	1	2	2	1	1	2	1
12000	-209.504831172648267	-216.360319123607638	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.754996689066985	0	2	3	4	4	2	2	4	6	4	5	4	3	4	4	5	6	5	6	5	6	7	6	8	7	8	7	9	8	8	6	9	9	9	11	12	11	12	12	14	13	14	15	17	17	17	16	0	1	7	3	2	1	1	1	3	3	3	3	7	2	7	6	8	3	5	15	5	9	18	15	20	16	16	17	8	12	5	21	4	26	32	24	33	37	37	36	32	39	40	40	47	41	40	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1
12500	-208.658867663140711	-215.514355614100083	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.815809964729804	1	3	3	5	4	3	2	6	7	4	6	4	4	5	4	5	8	5	7	5	5	7	7	8	7	9	8	9	8	8	8	8	9	10	10	11	11	12	13	14	13	15	15	17	16	17	18	0	1	7	3	7	1	1	21	18	3	12	3	7	2	3	6	8	10	5	6	2	4	10	22	20	27	16	8	8	18	19	21	9	27	32	24	22	37	37	36	35	39	36	43	40	41	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2
13000	-217.306709970680146	-224.162197921639518	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.813809706087909	0	2	3	5	4	3	2	5	6	5	7	5	4	5	5	5	8	4	6	6	7	7	8	8	7	9	8	9	6	8	7	10	8	9	12	11	11	12	13	14	13	15	15	17	14	17	16	0	1	7	3	2	2	1	2	6	18	18	18	7	5	3	6	8	3	5	15	8	4	9	15	20	16	16	17	8	2	5	17	10	16	32	30	33	37	37	36	32	39	40	36	36	41	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	2	1	2	2	1	1	2	2	1	1	2	2	2	2
13500	-218.817080277607545	-225.672568228566917	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.676006111151195	0	3	3	4	4	2	1	5	6	3	5	4	3	5	5	5	7	5	7	6	6	7	5	7	7	8	8	8	7	9	8	9	9	10	11	12	11	12	13	14	13	15	16	16	16	16	17	0	1	7	3	1	1	1	10	5	7	7	3	7	2	3	6	8	10	5	15	8	11	7	15	20	16	16	8	8	22	5	21	18	27	32	24	22	37	37	36	32	39	36	40	36	41	40	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	3	1	2	1	1
14000	-223.377630796387450	-230.233118747346822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743539636155650	0	2	3	4	4	2	2	4	6	4	6	5	4	3	4	5	7	6	5	5	6	7	8	8	6	7	8	9	7	9	6	9	7	8	11	11	10	12	13	14	13	15	15	16	15	17	18	0	1	7	7	1	1	1	2	14	7	4	3	7	1	7	5	8	12	14	15	5	7	9	15	20	16	16	29	8	33	5	29	3	26	29	24	3	37	37	24	32	39	40	40	40	41	45	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	1	4	1	2	2	2	1	1	1	1	1	1
14500	-209.118981777889985	-215.974469728849357	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.789688518174250	0	4	3	4	3	3	2	5	6	3	7	4	4	5	6	5	6	6	6	7	7	8	8	8	8	7	8	8	8	7	8	9	8	10	11	12	11	10	12	15	14	15	15	17	16	18	18	0	1	7	7	1	7	1	2	12	7	5	3	10	5	4	5	8	12	2	15	8	18	9	15	20	16	16	17	8	10	19	21	30	27	32	24	33	33	38	36	32	39	36	36	40	41	45	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	2	1
15000	-246.852106588107205	-253.707594539066577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648120937323683	1	4	2	3	4	3	4	6	6	5	7	4	5	5	5	5	7	5	7	6	7	7	8	8	8	8	8	8	7	8	5	9	9	10	11	11	8	12	14	13	13	14	16	17	16	18	16	0	1	1	1	3	1	3	2	1	12	5	3	12	5	3	5	8	4	31	12	8	7	10	22	20	16	16	22	8	18	5	21	22	26	17	24	5	37	37	24	21	37	24	47	40	41	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	2	3	2	3	3	4	1	1	2	2
