step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43
12000	-237.932088979334708	-246.982932359786048	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975419100623752	1	-11	5	12	11	19	23	25	28	20	25	21	28	33	40	37	31	43	43	33	58	50	55	48	52	50	50	63	72	58	52	62	67	52	61	68	70	61	51	89	72	76	89	2	0	1	3	3	4	12	5	8	3	5	5	10	13	17	20	10	17	15	4	22	15	22	18	19	16	19	31	33	39	19	39	27	24	27	38	38	23	15	42	32	33	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-227.679971004843480	-236.730814385294821	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995376352170278	4	-1	4	12	17	23	16	26	27	18	28	27	21	29	40	36	31	42	43	48	53	52	46	55	51	51	60	65	64	56	61	61	70	61	72	66	71	56	73	92	69	70	81	2	0	2	2	2	4	4	5	10	4	5	13	3	13	14	17	8	16	16	19	23	20	19	25	19	15	19	26	31	26	19	22	34	30	29	27	38	20	31	43	31	34	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-224.658647494197879	-233.709490874649219	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989159897546276	4	-1	0	16	11	17	16	26	25	30	32	25	26	34	46	38	32	38	47	45	63	57	57	45	54	48	60	67	68	58	49	62	67	61	72	62	71	68	73	94	75	66	79	2	0	2	5	1	5	5	7	5	12	13	6	4	10	17	10	6	17	11	16	22	26	19	18	26	24	31	23	21	15	24	22	21	22	33	23	22	27	33	43	29	36	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13500	-222.332006151201739	-231.382849531653079	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993313176856599	1	-8	7	14	13	20	18	21	29	28	30	29	22	23	36	39	35	36	44	44	61	56	59	47	43	52	60	65	75	55	46	53	59	64	74	63	71	59	74	77	69	73	84	2	0	1	3	3	7	5	4	8	14	14	14	5	4	10	12	12	13	18	15	32	32	22	19	18	24	26	32	41	26	18	25	30	38	41	33	28	25	28	39	38	30	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-224.616675905696553	-233.667519286147893	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970890367840969	4	-2	4	11	17	14	23	19	30	31	28	25	28	28	38	39	33	41	46	44	49	50	58	45	44	54	59	57	77	52	58	63	67	56	75	63	73	59	68	89	69	73	82	2	0	2	1	4	4	8	3	7	11	8	7	4	7	9	17	14	10	10	16	16	25	18	16	16	19	28	22	35	19	30	31	38	24	39	27	38	26	27	42	36	36	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-221.537677167625446	-230.588520548076787	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998395133609286	2	-2	9	17	17	20	22	25	31	24	31	25	29	24	40	34	31	40	38	46	56	41	61	52	50	54	59	59	71	58	58	55	69	56	76	68	78	64	73	89	54	63	80	2	0	1	3	3	5	6	5	4	5	14	4	6	5	9	11	8	12	11	22	25	16	21	20	19	25	26	32	33	24	24	25	38	20	36	28	29	34	28	43	20	32	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-227.348936919176680	-236.399780299628020	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978285614739616	3	-3	8	14	11	20	20	19	27	29	30	24	28	34	44	34	32	44	40	41	52	53	48	55	45	48	57	61	79	55	54	60	66	59	69	65	65	58	70	91	61	73	85	2	0	1	1	1	4	4	4	12	7	8	8	4	9	16	9	13	19	17	6	23	26	20	15	13	25	22	22	39	15	20	26	21	23	32	41	27	21	32	39	38	33	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15500	-238.134499439928675	-247.185342820380015	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.898079734731231	4	0	7	17	12	16	23	24	27	31	29	26	27	21	26	31	26	36	40	32	46	45	56	55	44	57	60	67	72	62	52	60	66	60	74	67	67	65	73	89	75	70	79	2	0	1	5	1	2	3	4	4	15	14	2	14	5	7	17	6	10	20	9	19	10	21	10	19	22	23	34	37	23	21	23	23	26	23	32	27	34	37	43	42	36	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16000	-222.055575245868908	-231.106418626320249	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.946490493244787	3	-4	7	17	11	21	23	29	31	31	32	25	21	35	27	35	37	40	41	45	59	53	49	47	55	50	55	65	76	61	57	55	64	58	70	68	69	59	73	85	69	78	85	2	0	1	3	1	5	5	15	12	12	13	13	5	9	6	11	8	11	16	19	22	18	17	18	23	20	24	32	37	22	18	26	27	32	38	22	28	27	41	29	30	35	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16500	-237.653978441218669	-246.704821821670009	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975544046538818	6	1	4	18	16	5	22	16	28	25	27	21	29	35	37	35	28	38	48	46	38	55	52	50	48	49	52	67	79	58	61	62	58	62	76	67	72	62	77	85	75	78	79	2	0	2	8	3	2	3	6	12	8	4	5	7	10	11	9	5	13	21	18	13	26	19	20	13	21	24	38	41	22	25	22	23	30	34	38	36	23	34	43	34	28	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
