step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43
37500	-239.647319893051787	-248.698163273503127	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.950998926202137	6	0	9	16	13	15	22	30	29	24	34	24	29	30	39	35	37	42	41	40	59	47	59	49	51	49	58	61	66	55	48	60	63	51	69	70	67	68	74	85	77	68	74	2	0	2	3	3	1	4	7	12	5	13	4	10	12	6	14	7	13	17	9	24	18	25	18	31	22	25	31	22	26	20	30	31	18	28	28	21	28	38	39	42	28	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38000	-219.748285271486083	-228.799128651937423	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969238695429026	2	-4	9	8	17	20	18	25	31	32	27	28	26	34	36	39	33	42	43	41	61	58	56	51	46	51	61	67	69	62	53	56	65	61	74	63	74	70	73	92	70	75	83	2	0	1	2	3	5	4	7	5	12	8	8	6	9	9	15	12	9	15	13	26	25	24	25	16	20	32	32	34	31	25	26	22	26	41	32	38	28	21	43	34	22	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38500	-214.959720252135327	-224.010563632586667	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990845957921827	1	-1	9	21	16	23	20	23	32	24	28	29	24	33	41	31	35	35	43	42	58	50	57	47	50	55	59	65	76	52	60	60	65	63	74	68	73	66	68	91	71	66	87	2	0	1	5	3	2	3	5	10	4	4	4	5	10	18	6	16	6	16	17	24	19	22	15	15	22	30	21	36	9	26	30	23	21	36	23	28	32	26	43	38	31	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39000	-219.337267011278954	-228.388110391730294	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991785474820348	5	1	4	15	14	18	16	26	23	31	26	21	22	30	39	38	27	31	41	45	49	51	57	53	52	54	62	63	77	63	58	59	68	65	76	65	72	70	75	87	67	74	85	2	0	2	1	1	5	2	13	7	11	13	7	4	6	14	10	6	8	4	15	19	15	26	19	20	19	23	26	42	31	26	25	27	32	36	24	30	33	33	29	28	38	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39500	-232.682071297058826	-241.732914677510166	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984366012524248	3	-1	3	15	16	6	15	24	27	22	27	21	26	28	35	30	26	34	39	42	52	51	61	56	52	53	55	61	73	56	60	47	62	64	75	60	75	67	72	81	72	74	81	2	0	2	3	1	3	1	5	4	4	8	7	5	10	12	10	4	16	18	18	32	15	26	21	20	22	22	21	33	21	24	15	25	28	27	30	41	33	36	29	36	39	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40000	-222.501762323290336	-231.552605703741676	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.918453718768032	3	-2	5	17	9	21	16	26	26	27	29	29	22	31	33	35	34	39	44	40	54	52	56	47	49	54	56	60	76	59	61	50	64	60	72	61	70	58	75	90	76	78	80	2	0	2	5	1	4	3	6	7	6	9	4	4	9	10	9	14	10	18	14	19	24	25	16	11	25	20	25	28	26	23	24	36	27	28	38	31	21	37	35	37	33	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40500	-230.843710881648008	-239.894554262099348	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997503056374561	2	-3	6	22	10	20	19	12	30	24	26	22	28	34	46	36	35	42	46	45	52	46	57	46	51	55	56	67	70	62	52	55	53	64	70	67	75	61	71	83	75	73	87	2	0	1	7	3	7	3	2	6	7	12	5	12	10	14	9	13	14	16	16	19	18	19	18	19	31	21	33	36	32	24	24	18	27	28	26	39	27	23	29	36	36	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
41000	-234.217670655495482	-243.268514035946822	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974600293623408	7	-1	9	19	11	15	9	27	24	26	12	21	27	30	39	36	29	34	47	46	57	56	54	52	53	56	54	63	68	61	62	53	64	61	75	66	67	58	67	86	68	73	73	2	0	2	5	1	5	2	12	4	11	2	7	9	8	18	10	12	8	15	15	23	20	19	19	20	19	19	22	30	19	25	19	30	21	23	22	22	24	38	29	30	31	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
41500	-217.659996911272458	-226.710840291723798	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996221250488023	6	-1	7	14	12	20	20	17	31	30	29	24	20	27	44	36	35	34	44	44	61	54	59	53	51	49	48	62	75	62	59	58	63	60	64	68	75	65	74	91	74	77	84	2	0	2	3	3	8	4	3	11	12	13	6	5	13	16	10	9	13	16	11	24	20	27	25	20	15	15	15	22	25	24	25	31	25	21	21	21	34	35	43	38	38	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42000	-228.093023424452866	-237.143866804904206	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995822885151291	3	-1	7	6	13	21	21	24	33	24	16	29	24	31	35	38	34	40	40	46	57	54	59	51	43	53	60	66	63	58	55	62	66	64	76	69	67	63	73	85	74	77	86	2	0	1	2	1	3	5	11	12	6	1	6	7	7	13	15	10	15	9	16	22	9	21	25	17	20	31	30	27	20	25	19	30	24	36	22	27	23	36	35	33	41	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42500	-225.920974151838891	-234.971817532290231	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977942894823711	3	0	3	15	9	18	20	25	26	30	24	28	20	35	45	34	30	42	40	46	58	53	57	43	48	53	54	65	66	60	59	61	64	61	72	65	73	62	73	78	73	77	84	2	0	2	5	2	4	4	6	6	9	4	11	2	12	12	17	9	17	14	17	26	25	26	11	18	20	25	26	21	23	18	22	31	20	36	27	38	30	32	36	36	29	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
43000	-234.396974218261221	-243.447817598712561	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982371355264854	4	-1	8	8	14	18	18	25	20	23	24	21	17	30	44	38	31	42	47	46	55	54	53	50	49	51	56	66	68	62	61	58	67	62	74	56	69	68	76	89	69	62	79	2	0	1	1	4	5	5	6	3	9	4	3	5	12	14	11	8	9	18	16	25	15	19	15	20	18	26	36	24	23	21	21	34	31	30	24	28	27	41	39	31	23	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
43500	-220.846826330078017	-229.897669710529357	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998684880489522	1	-9	6	18	0	18	22	26	31	30	30	26	16	32	39	33	31	41	46	44	60	58	60	46	51	53	54	54	75	59	57	58	66	63	75	62	76	66	70	82	58	77	84	2	0	5	1	2	5	13	7	12	4	8	7	3	8	17	10	12	17	16	14	41	26	25	15	19	18	20	24	39	25	24	25	21	28	39	22	39	36	30	42	25	39	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44000	-234.265215181407626	-243.316058561858966	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979084281722684	2	-5	7	22	15	18	22	20	22	30	31	25	26	26	40	35	36	37	44	46	54	43	62	56	51	52	48	67	77	63	53	62	69	65	70	62	72	62	71	82	64	68	66	2	0	1	5	3	5	8	5	6	13	9	5	5	6	11	10	10	13	18	16	27	10	26	27	22	20	15	36	34	23	19	21	34	38	34	31	28	24	23	37	36	30	25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44500	-222.483243519306171	-231.534086899757511	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992848183599333	5	0	8	17	12	17	19	25	28	27	22	26	26	26	32	33	29	40	43	47	62	51	53	53	51	53	60	67	71	56	58	60	60	55	71	62	73	63	74	93	74	78	83	2	0	1	1	2	5	5	11	7	7	6	4	5	4	8	8	12	12	15	18	25	8	25	20	20	18	26	33	27	25	23	24	24	23	31	24	28	30	36	42	35	33	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45000	-224.034531692106640	-233.085375072557980	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983468766512469	0	-3	6	9	10	15	17	20	23	26	14	26	22	33	43	32	32	38	39	42	59	50	58	46	51	56	61	56	73	55	56	60	67	54	76	64	74	62	70	81	64	73	79	2	0	1	1	3	5	2	6	7	8	4	13	7	13	14	9	12	14	14	17	25	15	25	19	24	22	34	15	39	22	34	25	32	15	36	27	41	25	26	42	26	33	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45500	-221.695252543451460	-230.746095923902800	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991661325356996	6	1	4	9	10	16	17	22	30	27	26	24	27	32	40	37	37	42	42	48	61	52	57	47	47	48	59	64	64	64	59	60	63	55	71	67	70	62	68	87	72	77	85	3	0	2	3	1	4	1	6	8	7	6	6	12	8	16	14	10	16	12	19	31	25	25	18	15	17	24	34	32	31	25	15	24	26	28	38	32	31	33	42	33	37	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46000	-220.780810881732435	-229.831654262183775	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978488367747688	5	-1	9	19	9	13	18	26	32	29	33	28	31	32	42	36	24	42	41	47	60	53	57	49	48	55	53	61	68	52	58	60	67	64	75	68	73	66	73	83	75	74	81	2	0	1	6	2	5	6	6	10	8	13	7	17	17	9	8	4	12	9	18	25	18	30	16	19	20	20	30	28	18	22	26	34	26	38	24	29	24	32	41	33	36	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46500	-223.033254097879819	-232.084097478331159	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992028932622112	5	-3	9	19	16	15	15	24	32	20	26	22	28	24	41	37	29	40	44	40	53	57	60	51	55	51	57	65	70	63	60	58	59	64	70	63	66	63	73	90	69	78	86	2	0	2	6	3	1	3	10	14	5	4	6	8	4	9	8	4	9	9	13	18	26	22	15	20	16	26	23	36	33	21	21	21	26	23	24	21	27	38	43	38	30	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47000	-239.806697161092586	-248.857540541543926	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961538935650503	3	-3	5	5	15	21	22	26	30	21	30	23	29	33	43	40	32	44	37	42	58	54	51	54	47	54	48	66	69	65	61	60	62	51	56	65	75	65	71	87	73	76	84	2	0	2	2	3	5	1	5	8	4	10	10	12	10	19	6	12	16	8	11	24	17	18	27	18	23	19	31	35	32	22	26	22	25	18	33	36	34	27	41	30	29	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47500	-215.151051702157133	-224.201895082608473	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988710075051265	4	0	4	15	13	18	17	23	27	26	28	29	22	30	34	32	33	37	45	43	56	48	55	49	55	55	60	67	68	65	59	61	68	59	74	68	72	67	63	93	77	76	84	2	0	2	3	1	3	3	5	13	7	13	10	5	10	10	13	9	12	18	15	24	19	22	20	9	24	23	23	25	21	25	21	39	23	30	32	30	32	26	43	29	33	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
48000	-216.914182700657392	-225.965026081108732	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994954803448783	3	-8	10	15	12	21	20	24	32	29	30	29	27	35	41	34	31	40	34	42	61	48	48	49	49	52	55	66	77	59	59	58	66	54	74	65	74	65	70	84	71	78	77	2	0	1	3	1	3	4	6	13	7	7	4	6	10	16	13	8	9	10	9	31	10	18	20	20	18	22	32	37	27	25	23	21	24	30	30	39	27	38	42	33	39	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
48500	-228.479247375743881	-237.530090756195222	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.927471278121182	4	-1	5	14	8	18	22	27	20	22	28	26	26	31	40	34	28	43	35	47	59	52	58	55	56	50	62	64	71	54	60	62	66	55	75	65	75	69	67	78	76	76	86	2	0	2	5	1	3	6	10	5	6	9	9	6	10	11	17	7	14	17	16	30	18	34	20	34	15	25	21	38	20	25	30	23	26	36	23	28	31	34	38	33	25	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49000	-233.587532069563935	-242.638375450015275	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990424645589615	6	-4	3	10	11	18	21	11	30	18	28	17	25	25	39	29	32	39	44	45	59	54	56	47	53	51	58	66	77	56	58	50	61	62	70	60	66	68	71	75	73	74	81	2	0	2	3	3	4	6	3	13	3	14	8	4	10	17	7	13	7	11	18	24	32	26	20	32	20	25	33	41	24	25	20	30	22	30	27	21	33	21	42	28	31	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49500	-225.999764139646857	-235.050607520098197	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987167964987776	7	4	6	20	10	23	20	23	27	29	26	27	27	35	33	29	34	41	45	46	62	51	57	53	51	41	54	62	74	55	53	62	62	61	72	65	73	65	66	95	73	71	89	2	0	2	1	1	4	1	5	4	6	4	8	7	11	9	6	9	9	17	26	22	19	31	20	19	14	25	23	38	20	19	27	20	19	39	30	33	28	30	43	39	24	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50000	-231.666358585330869	-240.717201965782209	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.940337474920084	5	-2	6	10	13	20	21	28	21	27	31	23	31	30	38	25	37	39	46	44	61	44	58	57	50	51	60	63	75	60	55	63	68	65	69	70	78	69	75	91	70	71	74	2	0	2	1	4	3	6	7	5	7	8	6	16	12	13	6	13	11	15	15	25	15	25	25	22	18	19	31	27	23	20	27	28	31	23	34	35	34	42	29	27	28	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50500	-218.198340804834828	-227.249184185286168	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983421581347639	0	-3	7	21	11	18	16	24	28	24	33	24	23	31	37	38	36	42	45	47	54	57	58	52	50	43	52	64	79	57	53	63	65	48	65	65	77	65	73	87	71	71	75	2	0	1	6	3	7	5	4	8	7	9	6	6	13	11	11	9	17	16	14	34	34	25	26	18	16	20	31	41	19	34	30	23	18	27	30	42	32	36	29	32	35	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
51000	-223.471838073217128	-232.522681453668469	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981729554369637	1	-2	5	18	14	13	22	24	25	23	30	20	30	30	45	34	26	41	39	42	59	51	52	47	47	49	57	68	61	56	57	61	67	56	72	62	70	65	72	87	68	76	84	2	0	2	5	3	2	5	4	5	6	7	6	8	17	19	17	7	11	14	11	30	25	15	17	19	13	24	38	31	15	23	26	32	23	36	31	32	27	28	39	32	28	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
51500	-237.174914898276825	-246.225758278728165	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973440233139586	4	-2	6	20	10	18	20	20	29	28	12	26	25	32	39	37	26	28	45	47	47	48	41	48	52	54	50	60	64	50	58	60	66	62	63	63	67	66	62	82	73	76	85	2	0	2	11	2	5	5	5	7	12	5	7	7	12	16	18	5	7	15	23	16	16	16	23	20	19	19	27	31	16	26	25	25	25	26	25	39	26	31	37	29	41	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
52000	-227.723615076723206	-236.774458457174546	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988199793060643	7	1	7	16	14	16	22	23	34	23	30	28	24	28	42	39	36	31	45	46	61	50	62	51	52	54	59	63	70	60	56	57	67	55	69	67	74	65	70	82	70	76	88	2	0	2	1	2	2	6	4	18	4	5	6	4	8	9	18	18	8	16	15	19	15	27	16	16	22	34	31	30	31	25	22	22	24	27	28	36	32	38	35	30	32	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
52500	-229.768310080702975	-238.819153461154315	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973277856510434	4	-8	-2	19	14	23	16	20	30	28	31	29	24	29	43	40	33	36	45	36	61	55	54	53	45	51	50	65	74	61	54	61	66	62	71	62	71	65	73	95	73	79	84	2	0	2	3	3	7	1	5	10	13	13	4	5	8	16	10	6	11	15	14	31	27	15	27	17	16	18	32	37	24	17	24	36	31	21	23	24	36	38	43	33	37	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
53000	-231.388483940447912	-240.439327320899253	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986382228416352	5	3	8	17	14	18	24	23	21	25	25	28	19	26	42	33	33	36	40	47	55	51	52	56	55	56	58	67	73	60	51	60	67	63	77	61	70	69	63	85	62	72	78	2	0	2	2	1	4	13	5	4	13	5	6	4	13	17	6	7	16	16	19	20	20	20	31	23	31	23	32	37	21	15	26	39	23	28	31	25	30	20	29	23	39	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
53500	-225.533343421573733	-234.584186802025073	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.899874760892681	4	-3	8	17	10	15	22	27	32	29	27	20	25	32	42	36	35	39	36	47	60	57	51	52	51	55	61	58	73	60	58	58	57	64	76	57	71	65	73	95	77	79	83	2	0	1	5	1	5	4	7	11	8	12	4	7	12	18	14	10	8	11	18	26	23	19	19	18	20	24	23	21	26	18	25	25	28	28	24	31	26	34	42	21	29	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54000	-218.707059882062794	-227.757903262514134	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991844192494248	3	-1	5	15	13	6	15	22	26	27	32	26	21	32	39	34	31	42	43	42	58	50	56	48	45	52	63	61	78	61	55	56	66	61	76	54	73	67	69	81	74	80	78	2	0	2	3	3	2	1	5	7	8	10	8	7	12	11	10	9	16	8	14	36	25	25	18	16	24	21	36	38	32	24	25	32	36	27	19	39	27	38	35	33	35	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54500	-233.734603198883320	-242.785446579334661	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999283526716150	1	-5	4	14	8	10	13	24	21	31	29	29	24	27	35	30	36	35	39	41	48	46	59	47	50	52	61	67	76	63	62	61	67	54	74	65	73	49	73	72	66	76	78	2	0	2	3	3	3	6	7	7	6	9	9	7	8	12	9	10	8	16	12	20	19	21	20	20	38	34	36	28	23	34	22	31	25	41	30	33	19	28	31	32	39	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55000	-227.602701098071634	-236.653544478522974	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981518584699686	6	-5	2	19	15	15	20	24	30	26	32	30	27	32	37	36	30	41	46	39	59	49	57	53	49	51	62	61	79	53	55	57	62	57	65	62	73	64	66	73	77	66	85	2	0	2	6	3	3	1	4	13	7	13	7	7	4	9	14	8	11	15	15	30	18	25	19	20	22	25	24	42	19	25	19	23	26	28	21	39	25	24	27	35	36	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55500	-227.600700715638936	-236.651544096090277	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.936572437890813	4	0	7	12	12	7	22	19	27	32	30	14	18	27	39	38	32	43	40	43	57	50	52	53	49	44	59	64	78	64	53	63	63	52	72	66	74	63	75	90	75	73	82	2	0	2	6	2	2	13	5	13	9	6	6	1	13	11	17	7	16	17	16	25	26	20	22	26	16	31	21	39	34	15	27	23	26	32	27	27	27	30	43	37	36	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56000	-223.697465668684686	-232.748309049136026	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995949532820621	2	-1	5	17	10	19	15	27	21	25	33	21	26	29	41	33	36	35	44	45	57	56	57	55	52	51	60	68	77	56	62	61	63	49	76	66	71	64	77	91	75	64	76	2	0	1	5	3	5	2	6	5	3	8	7	12	9	18	13	16	14	17	15	15	34	25	26	19	17	25	33	37	34	21	25	34	20	28	23	33	23	32	41	36	24	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56500	-226.932661189813984	-235.983504570265325	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958816497632299	4	-3	3	17	10	20	13	26	22	30	33	28	29	32	39	37	22	37	44	46	57	55	60	56	42	52	60	64	73	54	62	49	67	58	75	63	72	67	74	90	75	71	82	2	0	2	7	3	4	5	9	4	4	10	9	4	8	14	8	7	13	16	10	32	26	11	19	8	25	22	21	33	20	22	15	22	30	33	27	38	36	24	39	37	36	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
57000	-218.268398013802909	-227.319241394254249	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986883340088672	6	1	8	8	14	18	9	28	28	27	31	25	20	30	42	33	34	41	36	47	61	50	56	56	47	54	64	61	76	55	60	58	64	63	71	68	77	66	71	84	67	72	89	2	0	2	2	1	1	2	12	13	13	10	5	4	13	11	10	9	16	14	15	30	15	25	22	18	22	32	23	38	25	26	24	24	26	32	27	36	24	27	36	28	33	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
57500	-217.862900599283165	-226.913743979734505	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998903591317807	5	2	8	17	14	18	24	22	26	20	24	23	22	32	40	31	32	40	36	44	61	56	54	44	46	56	54	54	74	64	61	61	60	62	70	68	73	66	76	91	73	68	87	2	0	2	5	3	5	5	4	11	5	8	5	5	10	16	9	7	17	7	19	28	25	15	18	19	24	25	25	36	31	26	28	24	26	36	30	38	33	42	43	35	32	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
