step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
5000	-82.145556021624131	-80.721707867424925	-1.423848154199202	0.000009534517403	0.000008467041819	0.888040942280483	0.618929348682385	0	4	2	2	5	6	9	10	7	12	11	12	15	16	19	23	0	3	1	1	1	2	9	7	5	7	8	7	12	13	14	0	1	1	1	1	2	1	2	1	1	2	1	2	2	1	2	1
5500	-83.010852094330289	-81.036930607241942	-1.973921487088341	0.000011144717516	0.000025346169115	2.274276497190869	0.812286568144436	-1	4	1	2	4	5	9	10	8	12	11	11	14	15	19	22	0	1	1	3	3	5	9	7	5	11	8	9	12	12	13	0	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2	1
6000	-84.893746125130392	-82.580869824195034	-2.312876300935354	0.000010149358881	0.000032452238537	3.197466846697401	0.757107646147086	-1	3	2	3	5	6	10	10	8	12	11	12	13	14	19	22	0	3	1	3	1	2	9	9	6	11	8	9	12	11	14	0	1	1	1	1	3	2	1	1	1	1	1	2	1	1	3	1
6500	-84.336329022803127	-82.380851897617347	-1.955477125185777	0.000014585117747	0.000032481928603	2.227059744564164	0.657763317922376	0	2	3	2	6	5	9	9	8	11	11	12	15	16	19	22	0	1	1	1	2	3	9	9	2	8	8	9	12	7	14	0	1	1	1	1	2	1	1	1	2	1	1	3	2	2	1	1
7000	-83.990508487642174	-82.574378582444012	-1.416129905198161	0.000014943479743	0.000012903184023	0.863465822230893	0.712306887414779	0	1	1	2	5	4	9	10	8	11	11	12	15	16	20	23	0	1	1	2	6	1	9	7	5	8	8	9	12	12	13	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1
7500	-83.000813012384924	-81.617645629483036	-1.383167382901886	0.000036750562780	0.000027271611410	0.742073300299642	0.697069655739154	0	3	2	2	5	4	9	10	6	11	9	12	14	16	19	22	0	1	1	1	3	3	9	7	3	11	9	11	12	13	14	0	1	1	1	1	2	2	2	1	1	1	2	2	1	2	2	1
8000	-86.820193737310930	-85.116919180228706	-1.703274557082219	0.000035302919404	0.000056595974478	1.603152810954973	0.777856617036763	-1	4	3	2	5	4	9	11	6	12	8	13	15	16	19	23	0	3	1	1	2	3	9	7	3	11	9	8	12	12	13	0	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1
8500	-66.166203960605060	-64.802465754653696	-1.363738205951370	0.000056960994890	0.000029505277618	0.517990910698013	0.927062335900827	0	3	2	2	6	4	10	11	8	12	11	12	14	15	20	22	0	3	1	1	6	3	9	9	5	8	9	7	12	13	14	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
9000	-87.380223876077423	-86.004628192593117	-1.375595683484301	0.000037996946095	0.000017465234283	0.459648368571724	0.662161723797876	0	2	2	2	5	6	8	11	7	11	11	12	15	14	20	23	0	1	1	1	1	2	6	9	1	9	9	8	14	12	14	0	1	1	1	1	2	2	1	2	4	2	3	1	1	1	2	1
9500	-76.088461992788467	-74.327442016027305	-1.761019976761158	0.000030553454510	0.000053264725511	1.743329072463533	0.747988291414138	-2	3	1	2	5	5	9	9	8	10	11	12	14	16	19	23	0	3	1	3	4	2	9	9	5	8	8	7	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1
10000	-86.263194800230139	-84.811894807133811	-1.451299993096324	0.000055373868384	0.000053694720407	0.969676166284712	0.823407625103775	-2	4	2	1	6	5	10	11	8	12	12	13	15	16	18	22	0	4	4	1	2	4	9	7	2	8	7	7	7	11	12	0	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	1
10500	-70.290998438300704	-68.866955759007354	-1.424042679293355	0.000057037055715	0.000050685918294	0.888648925840688	0.961494278192654	-1	1	3	2	6	5	10	11	9	12	10	12	14	16	18	22	0	1	2	1	3	3	9	11	5	8	9	9	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
11000	-72.878633255044761	-71.217609747776606	-1.661023507268157	0.000022325039825	0.000033507309365	1.500884640234569	0.797308491301828	-1	2	2	3	6	4	10	12	8	12	11	12	14	17	20	20	0	1	1	3	3	2	9	11	5	11	7	7	12	13	14	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1
11500	-78.922972558028420	-77.505371665005981	-1.417600893022446	0.000041908181868	0.000036385592006	0.868221678543343	0.768574409072392	-1	3	1	3	5	4	9	11	8	11	12	12	15	16	19	23	0	3	1	3	6	3	9	9	5	9	7	8	12	13	12	0	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1
12000	-70.682806478736836	-68.932726737957665	-1.750079740779169	0.000029299923048	0.000050299224374	1.716701586303068	0.780253491771858	0	4	2	2	5	5	10	11	8	12	12	12	15	16	20	23	0	3	1	1	3	1	9	7	6	8	8	7	12	13	14	0	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1
12500	-77.145140551451249	-75.707929676099269	-1.437210875351983	0.000027664097281	0.000025692217517	0.928720617762209	0.624940194004111	-1	3	2	2	5	5	8	10	7	12	11	13	14	17	19	22	0	3	1	1	3	3	9	7	5	8	8	9	12	12	14	0	1	1	1	2	1	2	1	1	1	1	1	2	1	3	1	1
13000	-77.557395571032941	-75.699281660722463	-1.858113910310476	0.000040752194757	0.000080770140516	1.981982590074547	0.859603683117547	0	3	2	2	4	5	10	10	8	11	12	12	14	16	18	22	0	4	1	1	3	3	9	9	5	8	8	7	12	11	12	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	4	1
13500	-79.660454717583846	-78.057201828914444	-1.603252888669408	0.000031447825148	0.000042786042326	1.360540581884369	0.899680713247196	0	4	2	2	6	5	10	11	8	12	12	11	14	17	19	21	0	3	1	1	2	3	9	9	5	7	8	9	12	7	13	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1
14000	-73.721103575223736	-72.223791341071362	-1.497312234152369	0.000028536938602	0.000031242188348	1.094798176624071	0.836371272244445	-2	4	2	0	6	6	9	11	8	11	12	11	14	16	19	22	0	3	1	1	2	2	9	7	6	7	8	7	12	12	13	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1
14500	-79.278958501958499	-77.793325148376681	-1.485633353581822	0.000033011393343	0.000035122983956	1.063965510052947	0.720470848403713	0	2	3	2	6	5	8	10	9	12	12	11	14	16	19	22	0	1	2	1	3	3	3	7	7	7	8	9	12	12	13	0	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1
15000	-82.595299299400736	-81.214357267243358	-1.380942032157373	0.000044225499151	0.000032378277730	0.732117858512016	0.806586422541592	-1	1	1	3	5	5	8	11	9	11	10	9	13	16	18	21	0	1	1	3	3	4	5	11	7	11	7	7	12	13	13	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1
15500	-95.056523416441422	-93.257987630300292	-1.798535786141129	0.000021118837834	0.000038752897995	1.834991977260225	0.668433680682042	-2	2	2	2	5	5	9	8	7	12	11	11	15	17	19	22	0	1	1	1	2	2	9	9	3	8	8	7	12	12	12	0	1	2	2	2	2	1	1	1	2	2	2	2	2	4	3	1
16000	-68.336758253147451	-66.974476320266376	-1.362281932881078	0.000064765578578	0.000039471753216	0.609455733777223	0.821322604588407	0	3	1	2	5	5	10	10	7	12	11	12	15	17	20	22	0	3	1	1	2	2	9	9	6	8	7	8	12	13	14	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
16500	-66.831611686923580	-65.401648174964407	-1.429963511959178	0.000045214042833	0.000041005415336	0.906917691194845	0.963182620818988	-2	3	1	3	5	4	10	11	8	11	9	12	14	16	18	21	0	3	1	3	2	2	9	11	5	11	9	7	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
17000	-76.653886523644886	-75.264868436921986	-1.389018086722900	0.000062059129342	0.000026279857291	0.423464807998850	0.763372716589397	-1	3	2	1	4	5	9	10	8	12	11	13	14	16	19	21	0	3	1	1	3	5	9	7	6	11	8	9	12	13	13	0	1	1	2	1	1	1	1	1	1	1	1	2	1	1	3	1
17500	-86.318494485923850	-84.940889225485265	-1.377605260438586	0.000068795036124	0.000031177160859	0.453189105134690	0.622587753132060	0	2	3	3	4	4	8	11	8	12	10	12	14	16	19	22	0	1	1	2	2	2	5	11	3	9	9	11	12	8	13	0	1	1	2	1	1	2	3	1	2	2	1	1	1	3	2	1
18000	-75.923016651369707	-74.337127804737307	-1.585888846632395	0.000046670245677	0.000061512356844	1.318020849298194	0.835967015126863	0	4	2	1	6	6	10	11	8	12	9	12	15	16	18	22	0	1	4	1	3	2	9	11	5	11	9	7	12	12	13	0	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1
18500	-65.837386178060541	-64.407196676863066	-1.430189501197478	0.000047313630705	0.000042942153105	0.907606380340380	0.752264219104960	-1	4	1	2	5	6	10	10	8	11	12	12	14	16	19	22	0	3	1	1	2	2	9	9	6	8	8	7	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
19000	-89.143560459313790	-87.668043080979942	-1.475517378333848	0.000033535188069	0.000034769946122	1.036819774200159	0.660265045610025	0	4	2	3	3	5	9	10	7	10	10	12	14	13	19	21	0	3	1	3	1	3	9	9	2	9	7	7	14	8	13	0	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	1
19500	-82.497916841860032	-81.047786219745191	-1.450130622114848	0.000023047632085	0.000022271823834	0.966338917244133	0.753723868115995	-1	4	1	3	3	4	10	10	8	11	12	12	14	15	19	20	0	1	1	3	3	3	9	9	6	9	8	7	12	12	13	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	3	1
20000	-84.978826350438950	-83.162612836344152	-1.816213514094797	0.000035848457505	0.000067337968493	1.878406301978873	0.626886597060179	0	4	2	2	4	6	9	11	8	12	10	12	14	16	20	21	0	3	1	1	3	2	3	11	6	7	9	7	8	9	14	0	1	1	1	1	1	1	4	1	1	1	1	2	2	3	2	1
20500	-81.566817513238760	-80.196643594095860	-1.370173919142906	0.000052589507334	0.000025258338671	0.480292361563052	0.720406325129645	0	4	2	3	5	5	10	11	7	12	9	12	14	16	19	21	0	3	1	3	1	2	9	11	2	8	9	9	12	12	14	0	1	2	1	1	2	1	2	1	2	1	1	2	1	2	2	1
21000	-77.120003768482249	-75.723810007529238	-1.396193760953015	0.000049611286367	0.000039414810167	0.794472650339530	0.793938180908296	-1	3	2	3	5	6	10	11	9	10	12	13	14	15	19	23	0	3	1	3	2	5	9	7	6	9	8	7	12	13	12	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1
21500	-76.789586278898582	-75.153412149122545	-1.636174129776041	0.000024877476310	0.000035839978102	1.440659721916544	0.671953589535048	0	2	2	2	5	5	9	10	7	12	12	12	14	17	19	21	0	1	1	1	1	2	9	7	6	8	8	7	12	13	14	0	1	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1
22000	-67.534759722324608	-66.171479857233294	-1.363279865091320	0.000048290646767	0.000025210927584	0.522066471908797	0.709487500230153	0	4	2	2	6	6	10	10	8	11	11	12	14	16	19	23	0	3	1	1	2	3	9	9	5	8	7	7	12	13	14	0	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1
22500	-73.780886168610053	-72.394756857297068	-1.386129311312986	0.000023317868145	0.000017599756662	0.754775546038917	0.938437071564221	-1	3	2	2	4	6	10	11	7	11	10	12	15	16	19	23	0	1	1	1	2	5	9	11	6	11	9	7	12	12	14	0	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
23000	-88.608039372020372	-87.242044609041031	-1.365994762979342	0.000094064354689	0.000047203213272	0.501818286299959	0.565816435168242	0	4	2	2	5	5	8	12	8	12	10	10	13	17	17	22	0	3	1	1	1	3	6	11	6	7	9	7	12	12	13	0	1	1	1	1	3	1	1	1	2	2	1	1	2	3	2	1
23500	-77.569111445956281	-76.153280093381937	-1.415831352574341	0.000052700585493	0.000045454049091	0.862496093092646	0.556741567581734	0	3	2	2	4	6	9	12	7	11	11	11	14	16	19	22	0	3	1	1	3	2	9	11	3	9	7	7	12	8	12	0	1	1	1	1	1	1	1	1	2	2	1	1	2	2	3	1
24000	-70.439116085902896	-69.077859269188565	-1.361256816714333	0.000064408610919	0.000035385968397	0.549398098976481	0.986377705538054	-1	1	3	1	5	4	10	9	8	11	11	13	14	16	19	21	0	1	1	1	6	2	9	9	5	8	8	7	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-88.350796796569412	-86.941593947696418	-1.409202848872992	0.000036479750766	0.000030662750721	0.840541672507965	0.799676048805285	0	3	2	2	5	3	9	12	8	12	10	11	14	16	18	23	0	1	1	1	3	1	9	9	5	7	9	7	12	13	13	0	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1
25000	-67.892680406466440	-66.479957833721286	-1.412722572745148	0.000036116940340	0.000030782618722	0.852304166183048	0.919530500214477	-1	3	2	3	6	5	9	12	8	11	10	11	14	17	19	22	0	3	1	3	3	2	9	11	5	11	7	9	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
25500	-79.242231792089086	-77.794296304296935	-1.447935487792145	0.000026117709813	0.000025074207607	0.960046182713652	0.768619995265836	-1	2	0	3	5	6	9	12	8	12	11	13	14	17	19	22	0	3	1	3	2	1	9	11	6	9	9	7	12	13	14	0	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1
26000	-80.819253592385550	-78.865305495259605	-1.953948097125952	0.000022577145921	0.000050192551762	2.223157521195055	0.583894107475718	-2	3	1	2	5	6	10	11	8	12	12	12	15	16	19	23	0	3	1	3	2	2	9	9	4	8	8	7	12	13	13	0	1	1	2	1	1	1	1	2	3	1	1	1	2	1	2	1
26500	-82.140687810217244	-80.779636820785242	-1.361050989432002	0.000039948888931	0.000022174566485	0.555073422040676	0.689541962060724	-1	4	2	3	3	5	8	12	7	11	10	12	14	17	19	22	0	3	1	3	1	2	9	11	5	7	7	7	12	12	12	0	1	1	2	1	2	1	1	1	2	2	1	2	1	2	3	1
27000	-78.624300445245922	-77.236540146081921	-1.387760299163994	0.000024152278099	0.000018392924583	0.761539946962810	0.731275969975618	0	3	2	3	4	6	9	10	7	12	11	12	14	17	19	23	0	1	1	1	2	5	9	7	3	11	8	8	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
27500	-73.973766860476957	-72.571690038146727	-1.402076822330231	0.000031495532160	0.000025696581398	0.815880210168558	0.806994121402271	0	2	3	2	4	6	10	10	8	10	11	13	15	16	19	23	0	1	1	1	2	5	9	9	6	9	8	7	12	13	13	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
28000	-75.667977975008853	-74.059835667318737	-1.608142307690112	0.000070358166673	0.000016642890765	0.236545259087617	0.885851466265930	0	3	2	2	5	5	9	11	8	11	10	13	15	16	19	22	0	1	1	1	3	2	9	11	5	7	9	8	12	13	14	0	1	3	1	1	2	1	1	1	1	1	1	1	1	1	2	1
28500	-88.097389971241597	-86.730732239331289	-1.366657731910315	0.000045210935485	0.000029481573690	0.652089441926345	0.647473183227396	0	3	2	3	5	5	7	9	9	11	11	12	14	15	19	22	0	3	1	3	1	2	5	7	2	8	8	8	11	9	13	0	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1
29000	-77.397585500545802	-76.033248315042897	-1.364337185502911	0.000073042632231	0.000046210265018	0.632647860660738	0.692700163274946	-1	4	2	2	6	5	9	12	7	12	11	11	14	16	19	22	0	1	1	1	3	3	9	11	5	11	7	7	12	13	14	0	1	3	2	1	2	1	1	1	1	1	1	1	2	1	1	1
29500	-70.464766903934532	-68.891245712874650	-1.573521191059881	0.000045436789509	0.000058503403602	1.287577846793587	0.897981345877283	-2	3	0	1	6	5	9	10	8	11	11	12	14	16	19	23	0	3	1	1	2	2	9	7	5	8	8	7	12	13	14	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1
30000	-75.967690445114954	-74.601400984770478	-1.366289460344480	0.000028867191360	0.000018742577628	0.649269178763116	0.895627807644235	0	3	2	3	5	6	10	12	8	11	10	12	14	16	18	22	0	3	1	1	3	2	9	9	5	11	9	7	8	13	14	0	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1
30500	-72.448701214283119	-71.074966591991767	-1.373734622291354	0.000047661573064	0.000033195852901	0.696490920621205	0.728630743627859	0	4	2	2	6	5	10	10	8	11	11	11	15	16	20	21	0	3	1	1	2	2	9	9	5	7	8	7	12	13	14	0	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1
31000	-81.509016811236791	-80.141284943994620	-1.367731867242166	0.000028229011139	0.000018628443861	0.659904230073290	0.815674643311310	0	2	3	3	5	5	9	12	8	10	11	13	14	16	19	21	0	1	1	2	3	2	9	11	2	9	7	8	7	13	12	0	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1
31500	-86.451961510996995	-84.879047186734226	-1.572914324262766	0.000050740748725	0.000012808774224	0.252435656659605	0.574693534307680	-1	4	3	3	5	5	8	11	9	11	12	12	13	15	19	21	0	1	1	1	3	3	2	7	7	7	8	7	7	12	14	0	1	2	1	2	1	1	2	2	1	2	1	2	3	2	2	1
32000	-74.346780577495068	-72.643977831200957	-1.702802746294115	0.000031175268126	0.000049943102407	1.602010356574045	0.581199799197506	0	3	1	2	5	5	7	11	9	12	11	12	15	17	20	22	0	3	1	1	2	3	6	7	7	8	9	8	12	13	12	0	1	1	1	1	1	2	1	2	1	1	1	1	1	1	4	1
32500	-78.665950216062853	-77.083867891006591	-1.582082325056259	0.000023522369226	0.000030782942475	1.308666749491210	0.722873287608177	0	3	2	3	5	5	9	11	7	11	10	12	14	17	19	22	0	1	1	3	2	2	9	11	1	11	7	9	12	13	12	0	1	2	1	1	1	1	1	1	3	1	1	2	1	2	4	1
33000	-71.425862509834914	-69.777826301920712	-1.648036207914196	0.000033046022846	0.000048558671495	1.469425586313963	0.781534677253865	0	3	2	1	5	5	9	11	8	11	10	12	14	17	17	22	0	1	1	1	2	2	9	11	5	11	9	7	12	13	13	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
33500	-72.169588125508014	-70.571026723622722	-1.598561401885290	0.000055386037144	0.000013328554217	0.240648273538958	0.935376159521807	0	2	2	2	6	4	8	11	7	11	9	12	14	17	19	22	0	1	1	1	3	3	9	11	6	11	9	9	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
34000	-82.743544548435594	-80.668479433595422	-2.075065114840171	0.000017747383041	0.000045047556064	2.538264709820553	0.592877970363152	0	4	2	3	5	6	10	11	7	12	10	12	15	17	19	23	0	1	1	1	3	5	9	11	5	11	9	9	12	12	13	0	1	2	1	1	1	1	2	1	1	1	2	2	2	3	2	1
34500	-76.664218887667516	-75.179788324884328	-1.484430562783185	0.000052955042458	0.000056172629403	1.060760728263935	0.876969775930656	0	4	2	2	5	6	9	11	7	12	12	13	14	15	20	23	0	3	1	1	2	2	9	7	5	9	8	7	10	13	13	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1
35000	-65.821954236158746	-64.346881588240109	-1.475072647918637	0.000041038178714	0.000042499787025	1.035615818178780	0.971207532508359	-1	4	2	1	5	4	9	12	7	11	10	12	15	17	18	22	0	3	1	1	2	3	9	11	6	11	7	7	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35500	-85.800598514182042	-84.215757805598287	-1.584840708583749	0.000048946673755	0.000064386729421	1.315446474324685	0.738197901559719	-1	3	2	3	6	5	9	12	8	11	12	12	14	16	18	20	0	3	1	3	6	2	9	9	6	7	10	9	7	12	14	0	1	1	1	1	1	1	1	2	1	2	1	2	2	3	1	1
36000	-82.179964321216318	-80.631560513081624	-1.548403808134692	0.000045234317600	0.000055421520419	1.225209605437421	0.438613041852650	0	3	3	2	6	5	9	11	8	12	12	11	15	17	20	22	0	1	1	1	6	3	9	9	5	8	8	7	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1
36500	-78.487347689845592	-77.002711784878159	-1.484635904967436	0.000018384012522	0.000019511104494	1.061308268271417	0.726042731922156	0	3	1	2	5	4	9	10	8	12	11	12	14	17	19	22	0	4	1	3	3	2	9	9	2	8	8	9	12	12	14	0	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1
37000	-74.532127716312132	-72.747173742326908	-1.784953973985222	0.000038606493361	0.000069558795262	1.801738236391248	0.921770048260947	0	4	2	2	5	4	9	10	8	11	11	13	14	17	19	22	0	4	1	1	6	3	9	9	2	8	8	7	12	13	14	0	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1
37500	-64.922587555482906	-63.337682877833274	-1.584904677649639	0.000025741789106	0.000033865990918	1.315603619399509	0.833612923684996	0	2	2	2	6	4	10	10	8	11	12	12	14	16	18	21	0	1	1	1	6	2	9	9	5	8	8	7	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38000	-77.492044319695196	-76.130091114621877	-1.361953205073315	0.000068740500961	0.000041555460998	0.604526595200804	0.665850529382865	-1	4	2	2	6	4	10	10	8	12	11	12	14	17	20	23	0	1	1	1	2	3	9	9	6	8	8	7	12	13	12	0	1	2	1	1	1	1	1	1	2	1	1	1	1	1	4	1
38500	-85.041287959283295	-83.576535811273303	-1.464752148009996	0.000043532879097	0.000043854839335	1.007395794734979	0.808693745398659	0	4	3	2	6	5	6	12	9	11	10	13	12	15	19	22	0	1	1	1	2	3	6	11	7	11	9	13	9	12	14	0	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1
39000	-93.797488443114759	-92.209049900904702	-1.588438542210059	0.000052952430300	0.000070123805011	1.324279256201079	0.719301311564068	0	3	2	2	6	5	9	10	9	11	10	12	14	16	17	22	0	1	1	1	4	2	4	9	6	11	9	9	9	11	12	0	1	1	1	1	3	1	3	1	2	1	1	2	2	3	3	1
39500	-81.657290575866327	-80.120221677179515	-1.537068898686819	0.000037488920848	0.000044865272927	1.196760853908282	0.596517122197998	0	3	1	2	5	6	10	11	7	10	9	12	14	15	18	22	0	1	1	1	2	3	11	11	2	9	9	7	12	8	14	0	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1
40000	-73.805480352007820	-72.357799021006812	-1.447681331001008	0.000070735972641	0.000023938543548	0.338421069990071	0.882628699316052	-1	4	2	3	4	6	10	11	8	12	10	12	14	16	18	21	0	3	1	3	3	4	9	11	6	8	9	7	12	13	13	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1
40500	-77.618236822777959	-76.257097483898519	-1.361139338879446	0.000030853999227	0.000018133353631	0.587714853356870	0.613302103400913	0	4	2	2	3	6	9	12	8	11	10	13	15	17	20	23	0	3	1	1	3	2	9	11	2	9	9	9	12	12	14	0	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1
41000	-68.995580852841513	-67.549052836399383	-1.446528016442131	0.000055345303175	0.000018795134685	0.339597646164387	0.896466412281650	-1	4	2	1	6	5	9	11	7	11	9	12	14	16	19	21	0	3	1	1	2	2	9	11	6	11	9	7	12	13	14	0	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
41500	-81.350106751153419	-79.866481592209325	-1.483625158944099	0.000038910834035	0.000041191455243	1.058611470670010	0.955479184093420	0	4	2	3	5	4	9	10	6	11	11	11	13	16	20	22	0	3	1	1	2	3	9	7	2	8	8	6	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
