step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
5000	-287.683186326875443	-294.538674277834843	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.790862000420981	1	3	2	4	4	3	4	6	5	7	6	6	5	7	7	8	7	10	10	7	8	9	9	9	9	9	9	10	11	9	11	10	11	12	14	14	15	14	14	14	17	15	15	17	17	18	18	19	19	19	21	22	22	23	24	23	25	0	1	1	3	3	3	1	5	6	5	3	13	6	6	4	5	13	24	16	13	14	21	15	11	20	14	14	14	24	14	25	16	32	20	33	24	33	27	32	11	38	38	40	42	36	38	45	44	46	47	48	49	50	50	51	52	51	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2
5500	-293.614800209920816	-300.470288160880216	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.756690178662608	0	2	2	4	4	4	4	6	3	7	7	7	5	6	7	6	6	8	10	9	8	8	8	9	8	9	10	7	10	10	11	12	10	13	14	12	14	13	14	14	15	16	15	17	17	17	19	19	20	19	21	22	22	22	23	24	24	0	1	1	2	3	9	2	3	3	16	5	13	9	6	4	5	9	5	10	28	14	14	4	11	28	14	14	9	11	8	25	33	21	20	32	29	32	27	27	36	27	38	36	41	43	41	45	44	46	45	48	49	50	45	51	52	51	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	1	1	2	3	2	2	2	2	1	1	2	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	2	1	2	2
6000	-284.522508043305436	-291.377995994264836	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714625958614436	0	2	2	4	4	5	5	6	4	6	6	6	7	7	7	7	7	10	9	8	8	10	8	9	8	9	10	10	10	9	12	11	12	13	14	13	13	14	14	14	17	16	15	18	17	18	19	19	20	19	21	22	22	21	24	23	26	0	1	1	3	3	9	9	4	3	5	5	9	12	9	2	8	6	16	10	4	14	14	4	2	12	8	21	23	24	13	25	27	27	28	32	24	33	37	27	36	38	38	36	42	43	41	45	44	46	45	48	49	54	47	51	52	55	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2	3	1	2	1	1	1	1	2	1	1	2	2	2	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
6500	-290.767033622938129	-297.622521573897529	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704254468778205	1	2	2	4	3	5	4	5	4	6	6	6	6	7	6	7	6	10	10	8	8	9	8	9	9	9	8	10	10	10	12	11	10	14	15	12	12	13	15	14	17	15	14	17	17	18	15	20	20	19	21	22	22	22	24	24	26	0	1	1	2	3	9	2	5	3	8	8	6	9	6	2	4	9	24	10	6	14	21	5	11	16	21	14	13	8	27	25	27	27	31	12	24	33	37	32	36	38	38	36	42	47	41	43	44	46	45	48	46	50	50	51	52	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	3	2	1	1	1	2	3	1	2	2	1	1	4	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	3
7000	-304.953445068373128	-311.808933019332528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.678808572049175	0	2	3	5	2	5	6	5	4	7	7	6	7	6	5	7	7	9	10	9	8	9	9	9	9	9	9	11	11	10	12	12	10	12	14	10	12	14	14	14	16	15	16	17	18	18	16	19	20	20	21	23	22	23	23	22	26	0	1	5	3	1	9	1	3	5	15	5	6	6	6	5	8	9	4	10	13	14	14	11	15	6	14	14	20	24	22	25	33	22	22	15	11	27	37	32	36	38	38	40	42	47	38	40	44	46	45	48	56	50	50	51	49	55	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	1	2	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	1	4	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1
7500	-312.583195910826817	-319.438683861786217	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668153670407417	1	2	2	4	4	3	5	7	5	5	7	6	5	7	8	7	7	10	11	8	8	10	9	9	8	9	9	10	10	9	11	11	12	12	13	14	14	13	14	15	15	16	17	17	17	18	19	19	20	20	21	23	22	22	24	22	25	0	1	1	2	3	3	3	5	6	4	5	13	5	6	16	1	7	5	3	17	14	12	15	11	12	14	21	20	11	14	25	27	27	12	27	19	27	32	32	36	38	38	40	41	19	38	45	44	41	47	48	56	50	50	51	49	51	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	4	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	2	1	1	1	1	2	1	1	3	2	1	1	3	1	1	1	1	1	2	1	2
8000	-316.121961792705463	-322.977449743664863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616031484367972	-1	3	1	6	2	3	4	6	4	6	7	5	6	7	7	7	7	9	11	8	8	10	9	8	7	10	8	10	10	10	11	12	11	13	15	12	15	13	15	14	15	15	16	17	18	17	19	19	19	20	21	23	22	23	24	24	24	0	1	1	5	3	3	2	3	6	5	5	6	12	12	8	4	12	16	10	14	14	9	15	11	4	21	13	21	24	27	25	27	27	22	27	24	27	27	32	36	38	38	40	42	36	38	43	44	41	45	48	49	50	50	51	52	51	1	2	1	3	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	3	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	4	2	2	1	3	1	1	2	1	2	2	1	2
8500	-280.149463384935871	-287.004951335895271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.783253766490656	1	3	2	5	4	3	5	7	4	6	5	7	6	7	7	6	7	10	12	9	8	9	8	9	9	9	9	10	10	9	11	11	12	13	13	13	14	13	14	15	16	15	16	18	17	18	18	19	20	20	21	22	22	22	24	24	25	0	1	1	2	3	3	2	10	6	5	5	13	6	9	4	3	9	10	24	8	16	21	4	11	13	14	14	20	8	14	25	27	27	20	32	29	33	18	35	36	37	38	40	41	43	41	45	38	46	47	48	49	50	50	51	52	51	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	2
9000	-278.767631938899967	-285.623119889859368	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.861880852694194	0	3	2	6	3	4	5	5	5	7	6	6	6	6	7	8	6	10	11	8	8	8	8	9	9	10	9	10	10	9	12	11	11	14	15	13	15	13	14	15	16	15	16	17	17	16	18	19	19	20	21	22	22	22	24	24	26	0	1	1	2	3	5	2	5	6	3	5	9	6	6	4	3	8	16	10	12	14	14	15	11	16	14	14	20	24	22	25	27	30	20	33	24	32	27	32	36	38	38	36	42	43	38	45	44	46	47	48	49	50	50	51	52	51	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	2	1	1	1	2	1	1	3	2	2	2	2	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2
9500	-276.347759890944985	-283.203247841904385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.781096576415921	1	3	2	4	4	3	6	6	4	6	5	6	6	7	6	8	7	10	11	8	8	9	8	10	8	9	10	10	10	9	11	12	11	13	15	12	14	13	14	13	16	15	16	18	17	19	19	20	20	19	21	22	22	21	24	24	25	0	1	1	2	3	3	4	5	6	3	5	9	9	13	4	5	9	8	10	12	14	14	15	11	13	21	21	20	11	14	25	33	21	28	37	24	32	33	32	24	38	38	40	41	43	38	45	44	46	45	48	49	50	45	51	49	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	2	1	2
10000	-296.017252400071925	-302.872740351031325	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.814700640592341	1	3	2	5	3	3	5	5	4	6	7	5	6	7	7	7	5	9	12	7	8	9	9	9	9	10	10	10	10	9	11	12	11	12	14	11	13	13	12	12	16	16	15	17	16	18	19	19	21	19	21	20	22	22	23	23	26	0	1	1	2	3	3	2	3	6	9	3	9	12	6	4	3	9	8	18	6	14	14	15	8	20	18	14	20	24	14	25	21	22	28	33	24	33	33	27	11	38	38	40	41	43	42	45	41	52	45	48	46	50	50	51	52	51	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	2	2	2
10500	-306.467987130755148	-313.323475081714548	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759834686328453	0	3	2	6	3	5	5	6	4	7	6	6	6	7	8	8	7	10	11	8	8	8	7	9	9	10	10	10	10	10	11	12	11	12	15	11	15	14	14	14	17	15	16	17	17	18	18	18	20	20	22	23	22	22	23	21	25	0	3	1	5	1	9	2	9	5	5	5	9	9	3	10	8	6	16	10	6	14	14	6	8	14	14	22	20	24	21	25	27	27	28	39	14	27	30	32	36	42	38	36	38	40	38	43	42	46	45	48	56	50	43	51	49	51	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2	1	2	1	2	2	1	1	3	1	1	2
11000	-289.542778877721446	-296.398266828680846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864607315966852	0	3	3	5	2	3	6	7	4	5	7	6	5	7	7	7	6	10	10	8	8	10	9	10	7	10	9	10	9	10	11	11	12	14	14	11	14	13	14	15	15	15	16	16	17	18	19	18	20	19	20	22	22	22	24	23	26	0	1	5	2	1	5	4	4	6	3	3	6	6	13	4	4	6	20	10	6	14	14	15	11	9	20	14	20	8	27	25	27	27	28	21	24	32	27	33	36	38	38	40	42	43	41	45	44	46	45	48	46	50	50	51	49	55	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	2	1	2	3	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1
11500	-270.484785037542736	-277.340272988502136	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.864286158172739	0	3	2	5	3	4	5	5	5	6	6	6	5	7	6	7	7	9	12	8	7	9	8	9	10	9	9	11	11	10	11	11	11	13	14	11	14	13	14	13	17	15	15	17	16	18	18	19	21	19	22	23	21	20	23	24	26	0	1	1	2	3	3	2	5	6	2	8	6	6	6	2	8	9	8	18	16	13	21	15	11	20	21	21	20	24	14	25	27	27	28	32	24	27	32	27	36	38	38	40	42	43	41	45	41	41	45	48	49	50	50	51	52	55	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1
12000	-321.854117483035850	-328.709605433995250	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785438870643445	0	2	2	5	4	3	5	6	4	6	5	7	7	5	7	8	7	10	11	8	8	8	7	9	8	8	9	9	11	9	11	12	10	13	14	12	13	13	13	14	16	15	16	17	16	18	19	19	20	20	21	22	21	21	23	23	24	0	1	1	5	3	3	1	3	6	7	3	9	6	6	4	7	9	27	10	9	14	14	7	13	13	13	14	6	3	21	25	33	22	12	32	24	21	33	28	36	38	38	40	42	40	38	40	41	38	45	48	46	47	47	51	49	55	1	1	1	1	2	1	3	2	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	3	3	1	1	1	1	3	1	1	2	2	2	2	2	1	1	1	1	2	3	1	3	2	1	2	1	1	1	1	1
12500	-298.593544253231357	-305.449032204190758	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711805947293392	1	2	3	5	4	5	5	6	4	5	6	6	7	7	7	7	6	8	10	8	6	10	9	8	9	9	9	10	10	8	10	11	12	13	15	13	12	14	14	15	16	16	16	18	17	18	19	19	20	20	22	22	23	22	23	24	25	0	1	1	2	3	9	2	5	3	5	3	6	6	21	1	3	9	3	4	6	6	21	16	8	20	14	14	18	11	21	25	6	21	20	32	18	27	27	32	36	38	38	40	41	43	41	45	38	46	47	48	49	47	50	51	52	55	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	2	3	1	1	2	1	1	1	1	1	1	1	1	1	2	4	3	1	2	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1
13000	-287.804900575676015	-294.660388526635415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779651419279201	0	2	1	5	4	5	4	5	3	6	7	5	7	7	6	7	7	11	11	8	9	8	7	9	9	9	9	10	10	10	11	12	12	13	14	13	15	13	14	14	16	16	14	17	17	19	18	19	20	20	21	22	20	21	22	24	25	0	1	1	2	3	9	2	5	3	5	5	9	12	6	4	8	9	4	10	6	14	14	15	11	14	14	14	20	24	12	25	27	27	18	27	18	38	33	33	36	38	38	36	41	43	41	43	44	46	45	48	49	47	47	51	52	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	2	3	2	1	1	1	1	1	2	1	1	2
13500	-290.793196059535660	-297.648684010495060	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736511949032873	0	2	2	4	3	4	5	5	3	7	6	6	6	7	7	7	6	9	11	8	8	9	9	9	9	9	9	9	10	9	12	12	11	13	12	13	14	13	14	14	17	15	15	18	16	19	19	19	20	19	22	23	22	23	24	23	25	0	1	1	1	3	9	4	5	2	8	2	6	9	6	8	8	6	16	10	9	12	21	15	11	20	14	14	11	2	14	13	27	27	28	27	29	33	33	27	36	38	38	40	42	43	41	45	41	46	45	48	49	50	50	48	49	51	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	1	1	1	3	1	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1
14000	-287.972089381060869	-294.827577332020269	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695617175040184	1	2	2	6	4	5	4	5	4	6	6	6	6	7	5	8	5	9	12	9	9	9	9	10	10	8	9	8	10	9	12	10	11	13	13	12	14	13	14	15	17	15	16	17	17	19	19	18	20	20	21	22	22	22	24	23	26	0	1	1	1	3	9	2	5	3	5	5	9	6	13	2	10	9	16	10	28	14	14	15	11	4	14	14	9	4	14	25	14	27	20	33	24	14	33	35	36	38	38	40	37	43	41	45	44	46	47	48	49	50	50	51	52	51	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	2	1	2	1	1	5	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3
