step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
5000	-655.781510110221689	-654.182000363026077	-1.599509747195638	0.000014419720742	0.000019486717647	1.351393553017726	0.740361466764830	7	4	5	15	14	24	22	27	32	35	33	34	33	33	39	42	37	36	39	41	42	47	43	43	45	41	47	35	46	43	42	48	39	49	46	45	49	51	52	51	49	44	55	56	49	51	51	50	57	60	61	61	57	68	60	65	72	66	64	68	72	74	76	78	72	79	80	89	86	86	94	88	92	102	0	0	0	3	3	0	0	6	8	14	8	8	8	2	10	9	9	14	12	11	17	18	28	18	26	19	21	13	0	33	11	19	18	25	20	0	23	24	32	28	42	28	26	46	35	18	26	31	45	47	47	49	48	58	46	53	53	43	38	48	47	53	58	57	56	63	57	66	62	66	67	67	69	0	1	1	1	2	1	1	1	1	1	1	1	2	1	5	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	3	3	2	1	1	1	1	1	1	1	2	2	2	1
5500	-632.642935452461984	-631.189222715471715	-1.453712736990228	0.000019514937124	0.000019056926302	0.976530243520447	0.675723446369032	11	6	2	14	6	11	26	29	33	34	34	35	34	31	38	43	37	37	40	37	45	44	46	44	37	45	50	43	48	45	47	51	49	48	48	47	50	50	53	52	48	51	56	47	51	54	56	56	59	64	61	58	61	67	58	70	67	66	58	67	68	74	81	75	73	75	80	86	87	84	92	88	91	101	0	0	0	3	3	0	0	6	8	14	8	8	8	2	14	13	9	14	25	8	13	15	28	18	12	25	21	13	0	18	20	19	24	25	11	0	23	24	32	28	23	28	32	15	35	18	26	31	35	47	47	35	48	43	46	57	53	43	46	53	47	53	66	57	60	58	60	66	65	66	72	57	69	0	1	1	1	2	1	1	1	2	1	1	1	1	1	5	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	2	1	2	1	2	1	2	2	2	2	1	1	2	1	2	1	1	2	2	1	2	2	2	1	2	2	1	2	1	3	1	1	2	1	1
6000	-628.014602788985030	-626.653407637273631	-1.361195151711430	0.000031105572213	0.000017136374585	0.550910122052893	0.660148823488562	7	6	2	15	10	14	23	28	29	32	38	33	36	29	36	43	35	39	45	35	44	47	46	46	40	45	40	42	45	47	44	49	48	49	44	44	49	44	51	53	53	50	56	53	50	56	53	51	56	59	62	60	59	62	64	66	74	65	55	71	67	63	72	73	73	77	79	82	84	86	92	88	89	101	0	0	0	3	3	0	0	6	8	14	20	8	9	2	10	8	9	10	25	8	27	18	28	18	12	25	13	13	0	15	11	25	18	25	20	0	23	14	19	42	23	28	26	33	35	30	26	31	35	47	50	35	48	43	46	62	56	54	22	62	50	53	54	53	60	58	62	63	65	66	67	57	69	0	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	3	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	2	2	2	1	1	2	1	1	2	2	1	1	1	2	2	1	2	1	1	3	2	2	2	1	2	1	2	1	1	1	2	2	1	2	3	2	1	2	2	2	1	1
6500	-590.879437852642809	-589.477582541800302	-1.401855310842530	0.000075721155472	0.000030159823364	0.398301150796644	0.678284955609663	11	4	5	11	14	20	23	29	31	36	33	37	35	32	39	43	42	43	45	42	46	44	45	42	40	44	38	39	52	46	44	49	51	47	50	47	49	45	53	52	54	47	56	48	53	48	50	55	61	58	62	62	59	66	59	68	74	60	65	70	73	72	79	79	73	75	78	89	88	80	93	83	91	104	0	0	0	3	3	0	0	6	8	14	8	8	9	2	10	13	9	24	12	11	27	10	28	10	8	25	9	13	0	24	20	25	38	19	20	0	23	24	32	28	23	28	19	38	35	24	19	31	48	47	47	35	48	58	33	53	56	43	33	53	50	53	66	57	60	54	56	66	65	66	67	62	69	0	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	2	1	2	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1
7000	-629.982747308706621	-628.477622228588189	-1.505125080118390	0.000100944738162	0.000029387538308	0.291125013971434	0.658637493103598	10	8	8	14	11	18	23	25	35	37	36	32	31	26	34	46	42	40	41	41	44	49	46	42	42	45	43	39	50	49	43	44	46	52	55	49	50	52	50	51	54	47	57	47	50	54	58	51	62	55	65	61	58	64	60	64	73	66	66	68	73	76	71	74	76	76	75	86	84	83	93	89	94	95	0	0	0	3	3	0	0	6	13	14	8	8	8	2	14	13	9	14	8	11	9	15	13	14	12	19	8	8	0	33	20	25	15	32	27	0	42	30	32	16	23	28	26	10	20	30	50	31	48	26	50	35	48	43	30	48	53	43	55	53	47	31	58	56	60	58	48	70	65	66	65	67	72	0	1	1	1	2	1	1	1	2	1	2	2	2	1	2	1	2	1	1	2	1	2	3	1	2	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	1	1	2	3	5	1	2	1	2	2	1	2	2	3	2	2	1
7500	-622.512475956670983	-620.704985341675410	-1.807490614995570	0.000110791505694	0.000019369641355	0.174829660752688	0.608570798260254	6	5	4	9	14	21	27	31	36	36	36	34	36	27	39	42	41	30	40	38	39	47	46	44	40	44	45	41	51	45	42	49	50	52	53	48	51	49	50	43	48	47	57	53	42	53	53	52	59	62	63	57	61	68	61	69	72	65	62	59	69	73	70	78	76	79	79	85	83	87	87	83	91	101	0	0	0	3	3	0	0	6	8	18	8	8	8	2	10	13	9	14	12	11	9	15	17	10	12	19	21	13	0	10	20	25	18	19	27	0	27	30	25	28	17	40	32	30	20	30	19	31	35	25	47	35	60	58	44	53	60	50	15	31	19	60	58	60	62	63	53	66	56	66	57	53	62	0	1	1	1	1	2	1	1	1	1	1	1	1	1	4	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	2	1	2	4	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	4	2	1	1	1	2	1	2	1	5	2	4	2	2	3	1	1	2	1	2	2	4	2	3	1
8000	-601.763733303924482	-600.079970050667157	-1.683763253257301	0.000106517337677	0.000022225455054	0.208655750683129	0.715342039950919	7	3	0	10	14	19	27	29	34	35	34	33	32	31	38	42	43	40	37	40	46	47	38	42	41	42	39	43	50	47	42	51	46	50	53	47	48	46	48	42	51	53	57	53	50	57	57	53	56	62	61	57	57	62	61	65	73	61	66	66	67	75	75	71	77	77	80	81	90	85	93	86	90	95	0	0	0	3	3	0	0	6	13	14	6	8	8	2	10	13	11	15	8	11	27	18	13	18	19	19	8	23	0	24	8	25	24	39	20	0	16	24	19	23	28	41	32	18	20	38	25	31	20	47	47	35	48	43	18	53	60	43	22	53	47	60	58	53	56	63	57	63	67	58	72	65	57	0	1	1	1	2	2	1	1	2	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	2	2	2	1	1	1	1	2	2	2	1	3	1	2	2	2	2	2	1	2	1	2	4	1	1	2	1
8500	-627.660356443550199	-626.211623445161649	-1.448732998388596	0.000092266919407	0.000031127029812	0.337358503046667	0.624433020781174	11	6	6	17	16	19	27	29	35	37	33	31	28	33	40	36	41	41	41	42	42	48	40	45	36	41	48	40	44	45	44	48	51	52	52	48	47	50	53	48	52	49	59	53	46	53	56	53	60	61	63	59	59	67	51	60	70	61	65	66	64	68	80	76	76	77	76	86	86	86	86	83	88	103	0	0	0	3	3	0	0	6	13	14	6	8	6	2	10	8	9	10	25	13	12	30	16	18	12	25	17	13	0	18	20	12	18	19	45	0	23	18	19	28	21	28	34	30	19	30	39	31	35	47	50	35	48	58	30	31	53	43	46	53	47	53	54	57	62	54	60	66	65	63	67	65	60	0	1	1	1	2	2	1	1	1	1	1	3	1	2	3	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	1	1	3	2	2	1	1	1	1	3	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	3	2	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	3	1
9000	-610.675803298059122	-609.005312097195770	-1.670491200863390	0.000098939985168	0.000021079558382	0.213053987689318	0.652300157601043	7	4	4	11	9	15	24	27	35	35	35	37	33	31	38	38	40	43	44	40	44	48	42	43	44	44	47	43	42	40	43	42	50	48	51	46	49	50	49	48	53	53	52	50	50	49	54	52	62	62	61	59	58	70	58	68	73	64	61	64	63	72	77	73	78	77	77	83	82	83	91	85	91	102	0	0	0	3	3	0	0	6	13	14	8	8	8	2	10	9	16	30	32	13	13	10	13	30	32	32	21	13	0	15	20	12	24	32	20	0	23	30	19	28	9	28	26	24	20	24	26	31	52	51	47	45	48	58	38	48	53	43	18	48	47	53	58	60	57	58	57	66	65	63	67	67	57	0	1	1	1	2	1	1	1	2	1	1	1	2	2	4	1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	1	2	2	2	2	3	2	2	2	2	2	3	1	1	1	1	2	2	2	1
9500	-601.673048241654556	-600.130845005908895	-1.542203235745715	0.000098057248827	0.000026316610930	0.268380066184653	0.716408480400933	3	6	-5	14	16	19	27	29	29	38	38	35	31	29	39	42	39	36	44	41	43	49	41	40	40	46	48	36	51	47	48	50	50	49	49	48	48	46	55	50	50	45	56	51	51	54	57	52	59	61	63	58	57	64	62	65	73	63	64	63	74	73	78	76	73	74	80	88	89	84	90	87	89	96	0	0	0	3	4	0	0	6	6	18	8	6	9	2	10	13	8	14	25	11	17	24	28	18	12	19	21	13	0	24	17	19	38	19	20	0	23	24	25	28	23	23	32	38	35	24	26	20	35	47	50	35	48	43	38	53	56	43	22	53	50	60	66	62	56	58	62	66	62	63	67	67	65	0	1	1	1	3	1	1	1	1	2	1	1	3	1	4	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	3	2	1	1	1	1	1	2	2	2	2	1	1	2	1	2	2	1	2	1	2	1	1	2	1	1	2	2	1	4	2	2	1	2	2	1
10000	-608.613057823231543	-606.589561367328429	-2.023496455903099	0.000113485796139	0.000015335051347	0.135127494974176	0.658417473186470	10	4	3	14	12	24	25	30	32	32	35	34	34	26	38	46	39	40	43	37	35	46	48	44	37	44	46	40	45	46	42	49	49	53	55	49	51	47	53	48	53	44	56	50	48	55	56	53	61	60	64	60	59	69	60	63	73	62	58	69	70	72	76	73	64	77	76	80	81	83	86	89	93	101	0	0	0	3	3	0	0	6	8	14	8	8	9	2	10	8	9	10	25	11	8	14	9	18	12	12	21	13	0	18	20	19	24	32	48	0	28	18	26	42	17	28	19	38	20	24	26	31	35	26	47	35	31	58	46	53	56	43	18	53	51	53	54	56	53	54	56	66	60	63	60	67	72	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	3	2	1	1	1	1	3	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	3	1	3	1	2	2	1	2	1	2	1	1	3	1	1	1	2	1	2	2	1	3	1	2	1	2	2	1	2	1	3	3	1	1
10500	-643.126418158739511	-641.424301586131151	-1.702116572608415	0.000110133209668	0.000022342014652	0.202863556954728	0.626849298190426	8	3	-2	17	9	23	20	28	34	35	36	34	34	30	37	47	40	43	43	42	36	44	44	40	41	45	49	38	48	47	48	47	46	52	51	50	46	49	47	52	53	42	48	53	52	56	55	52	59	52	60	62	59	68	60	66	76	64	60	66	70	70	74	75	74	71	81	87	82	82	93	85	92	97	0	0	0	3	3	0	0	6	8	14	8	8	8	2	10	13	13	10	25	11	9	24	28	15	12	12	20	9	0	24	20	19	24	19	16	0	42	24	25	28	42	28	25	24	31	38	50	35	20	39	50	35	31	58	38	31	65	26	46	48	32	53	54	53	48	58	60	54	60	63	62	64	72	0	1	1	1	3	2	1	1	1	2	1	1	1	1	4	1	2	1	3	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	1	4	1	2	2	2	1	2	3	1	2	1	3	3	2	2	3	3	1	2	3	3	1	4	1	2	1
