step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
5000	-291.295002024493726	-289.480424742635250	-1.814577281858487	0.000011776220268	0.000022073126981	1.874381293802601	0.537850492137377	0	1	1	3	3	3	2	4	4	5	6	7	7	6	9	8	9	11	10	12	11	13	13	16	19	17	18	18	18	19	21	20	19	21	21	19	21	24	22	22	22	25	20	23	24	24	23	24	24	22	26	26	24	27	29	26	28	0	1	1	7	1	7	3	6	7	8	10	14	11	10	11	12	14	15	12	18	14	16	18	22	24	24	24	26	24	28	29	33	29	30	43	29	32	47	43	35	37	32	29	37	37	39	39	37	41	37	53	45	44	53	0	53	56	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	2	1	3	5	2	3	3	1	1	1	2	1	3	1	1	2	1	1	1	1	1	1	1	3	2	2	3	2	1	2	2	1	2	2	1	2	1	2	1
5500	-276.104809584263535	-274.737777039701484	-1.367032544562023	0.000012398032430	0.000008119244095	0.654881662971446	0.723449025122623	0	1	1	3	3	3	2	4	4	5	6	7	7	6	9	9	10	11	11	12	12	13	15	14	17	16	18	18	18	19	20	19	20	21	21	21	21	24	22	22	22	26	23	23	24	24	24	24	24	23	26	26	26	27	28	28	28	0	1	1	7	1	7	3	6	4	8	10	14	11	10	10	12	16	15	12	18	16	16	20	22	24	24	26	26	26	29	29	29	29	30	33	29	32	43	31	35	37	43	31	41	41	39	43	44	44	37	49	45	45	45	0	53	53	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	1	2	2	1	2	3	3	1	2	2	2	2	1	1	2	1	2	2	1	2	2	1	2	1	1	2	2	1	2	2	1	1	1	2	1	2	2	3	1	2	2
6000	-268.890001363894896	-267.457427274248630	-1.432574089646247	0.000026587857599	0.000024323565922	0.914837377621494	0.637665017388500	0	1	1	3	3	3	2	4	4	5	6	7	7	6	10	10	10	11	11	12	12	12	15	15	19	16	18	18	18	19	22	20	20	21	21	21	21	24	21	22	22	26	23	23	25	24	23	24	24	25	23	25	25	26	29	28	28	0	1	1	7	1	7	3	6	4	8	10	14	11	10	13	12	12	13	16	18	16	16	15	22	26	24	26	26	24	28	33	29	29	30	32	33	29	31	24	35	32	44	33	41	44	39	39	41	44	44	37	44	37	53	0	54	53	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	3	2	2	1	1	2	2	4	3	1	1	2	2	3	1	2	2	1	2	1	1	3	2	3	1	2	3	2	1	2	2	1	1	1	2	2	2	3	1	1	2	3
6500	-258.066654018594420	-256.705536846786970	-1.361117171807460	0.000048683208598	0.000028579283115	0.587046004942867	0.590207514109226	-1	0	1	3	3	2	2	4	4	5	6	7	7	6	10	10	8	10	11	12	12	13	15	15	19	17	18	18	18	19	22	20	20	21	21	21	21	22	22	22	22	24	23	23	25	24	21	24	24	25	26	26	24	27	29	27	28	0	1	1	7	1	3	3	6	4	8	10	14	11	10	11	12	12	11	16	15	19	16	18	22	27	24	24	26	26	26	29	29	29	30	33	33	32	32	47	35	37	43	47	38	44	39	32	41	41	48	44	41	37	53	0	53	54	1	1	2	1	4	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	2	3	1	1	2	2	1	1	2	4	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	3	3	2	1	3	1
7000	-229.320581439744416	-227.871713983702961	-1.448867456041448	0.000054468693853	0.000018368115468	0.337223351034931	0.738258172235637	0	1	1	3	2	3	2	4	4	5	6	7	7	8	10	9	10	11	10	12	12	13	14	16	18	17	18	18	18	19	22	20	20	21	21	21	21	24	22	22	22	26	23	23	24	24	21	24	24	25	26	25	26	24	28	28	28	0	1	1	7	1	7	3	6	4	8	10	10	11	12	11	14	16	15	14	18	19	19	20	22	24	24	26	24	26	28	32	29	29	30	33	33	32	31	47	35	37	38	39	37	47	47	33	44	41	45	45	54	54	41	0	53	53	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	3	2	3	2	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	3	2	1	1	2	1	1	1	2	1	1	2	2
7500	-233.919414412995991	-232.282574191855787	-1.636840221140214	0.000072463720722	0.000016311388787	0.225097312482943	0.794015727670038	0	1	1	3	3	3	2	4	4	5	6	7	7	8	10	8	10	11	11	12	12	13	15	16	17	17	18	18	18	19	22	20	20	21	21	20	21	24	22	22	22	26	23	23	25	24	24	24	24	25	26	25	26	26	29	26	27	0	1	1	7	1	7	3	6	7	8	10	10	11	12	13	12	16	15	17	15	19	21	20	22	24	24	26	26	26	28	32	29	29	30	33	29	33	43	33	35	37	43	39	41	41	43	39	33	37	41	49	44	41	50	0	41	54	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	3	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	2	1	2	2	1	1	2	1
8000	-263.305612360089185	-261.930655248365497	-1.374957111723661	0.000060982151589	0.000028162303214	0.461812226692693	0.725369261686470	0	1	1	3	3	3	2	4	4	5	6	7	7	6	9	10	9	11	11	9	12	12	15	16	19	17	18	18	18	19	19	19	20	21	21	21	21	24	22	22	22	26	20	23	24	23	24	24	24	25	26	25	26	27	29	28	28	0	1	1	7	1	7	3	6	7	8	10	10	11	10	13	14	12	12	14	13	19	16	15	23	29	24	26	26	24	28	29	29	29	30	33	43	32	44	31	35	37	38	26	37	44	43	35	44	44	44	49	38	45	53	0	53	53	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	3	1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	1	2	1	2	1	1	3	1	1	1	1	1	1	1	1	2	2
8500	-267.422103836115014	-266.023019527576650	-1.399084308538342	0.000045485594670	0.000018341251567	0.403232093587463	0.686663448792764	0	1	1	3	2	3	2	4	3	5	6	7	7	7	9	9	10	11	10	12	11	13	15	16	18	17	18	18	18	19	20	20	20	21	21	21	21	24	22	22	22	26	22	22	24	21	24	23	24	25	26	25	26	24	29	27	28	0	1	1	7	1	7	3	6	7	8	10	10	11	10	13	14	12	13	16	15	12	16	18	22	26	24	24	26	26	28	29	29	29	30	31	33	32	35	46	35	37	38	33	37	44	33	46	44	33	54	48	54	41	32	0	54	41	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	3	1	2	2	3	3	3	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	3	1	2	2	1	2	2
9000	-263.304667167832122	-261.943808080947974	-1.360859086884120	0.000056949494653	0.000032748291906	0.575040957010382	0.648627071119556	0	1	1	3	3	3	2	4	4	5	6	7	7	8	9	10	10	11	11	12	12	13	15	15	16	17	18	17	18	19	21	20	20	21	19	19	21	24	21	22	22	24	23	23	25	22	24	24	24	25	25	26	26	27	29	26	27	0	1	1	7	2	7	3	6	4	8	10	10	11	12	11	14	14	15	17	18	19	16	20	16	24	24	26	22	26	28	29	35	29	30	29	26	32	31	33	35	37	33	46	40	40	39	46	41	44	44	44	51	37	37	0	48	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	3	2	1	2	1	2	1	2	2	1	2	1	1	2	1	2	1	2	1	4	1	1	3	1	1	2	1	2	2	1	4	5	1	1	1
9500	-267.115169046640062	-265.717053086851593	-1.398115959788476	0.000080495725543	0.000032601730869	0.405011951240244	0.576326724832375	0	1	1	3	2	3	2	4	4	5	6	7	7	7	10	10	8	11	11	12	12	13	14	16	18	17	18	18	18	19	22	20	20	21	21	20	20	23	22	22	22	25	23	23	25	24	24	22	24	22	26	26	26	27	29	28	28	0	1	1	7	2	7	3	6	7	8	10	10	11	10	11	12	12	11	14	18	19	19	19	22	24	24	26	26	26	28	36	29	26	30	36	29	28	31	36	35	32	43	31	37	37	38	39	33	44	37	44	48	45	52	0	53	51	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	3	1	2	3	1	1	2	3	2	1	1	1	1	1	1	1	1	3	2	1	2	2	1	2	1	1	2	1	3	4	1	2	1	1	2	2	3	1	1	1	2	2
10000	-241.130745861015924	-239.769602475882436	-1.361143385133476	0.000039421592098	0.000021771977691	0.552285601172775	0.700700331500371	0	1	1	3	3	3	2	4	4	5	6	7	7	7	10	10	10	11	11	12	11	13	15	16	19	17	18	18	19	19	22	20	20	21	21	21	21	21	22	22	22	26	23	23	23	24	24	23	24	25	26	23	26	24	29	28	28	0	1	1	7	1	7	3	6	7	8	10	10	11	10	13	12	12	15	16	18	16	16	20	22	24	24	26	24	26	28	38	29	29	30	29	32	32	33	33	38	29	43	33	37	37	39	39	37	44	44	49	41	54	37	0	53	53	1	1	1	1	1	1	1	1	2	1	1	2	1	1	3	3	1	1	1	1	1	2	2	2	3	1	1	2	2	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2
10500	-274.327333844017176	-272.884191526418192	-1.443142317598964	0.000067051313429	0.000023006806377	0.343122381950559	0.533183735853100	0	1	1	3	3	4	2	4	4	5	6	7	7	8	10	10	10	9	11	12	12	13	15	16	19	17	18	18	18	19	22	19	20	21	19	21	21	24	21	22	20	24	23	23	25	23	24	24	24	25	26	26	26	24	29	27	28	0	1	1	7	2	4	3	4	7	6	10	10	11	12	18	12	12	13	14	15	19	16	18	22	24	24	24	26	26	27	29	29	29	30	29	33	41	46	33	33	32	36	35	41	37	39	39	44	41	37	54	32	38	31	0	53	45	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	3	1	1	2	2	3	1	1	2	1	1	1	4	1	2	2	1	1	1	1	1	2	1	3	3	3	2	2	2	1	2	3	2	6	2	2	1	1	2
11000	-249.241772813857096	-247.864498507474906	-1.377274306382191	0.000048712836235	0.000022126294948	0.454218983289589	0.631752590561028	-1	1	1	3	3	3	2	4	4	5	6	7	7	6	10	9	10	10	11	11	12	11	15	16	19	17	18	18	20	19	21	19	20	21	21	21	21	23	21	21	22	26	23	23	25	22	24	24	24	24	26	26	26	27	29	26	28	0	1	1	7	2	7	3	6	7	8	10	14	11	10	10	12	16	13	16	15	19	12	18	22	24	24	26	26	26	28	29	24	32	30	29	33	32	31	29	33	37	38	31	41	41	39	46	44	44	41	50	45	44	56	0	44	54	1	2	1	1	2	1	1	1	2	1	1	1	1	1	5	1	1	3	2	1	1	2	4	3	2	1	1	1	2	1	1	3	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	3	1	1	2	1
11500	-263.535333212484147	-262.172136610188943	-1.363196602295209	0.000065646168887	0.000034323122865	0.522850357410312	0.627419811092298	0	1	1	3	3	4	2	3	4	4	6	7	6	8	8	10	10	11	10	12	12	13	15	16	19	17	18	18	21	19	22	18	20	21	20	19	21	24	22	22	22	25	22	23	25	24	23	24	24	25	25	23	23	27	29	26	27	0	1	1	7	1	8	3	7	7	8	10	11	10	12	11	11	12	15	14	18	12	17	18	22	26	24	26	26	32	28	33	24	32	30	32	32	32	31	35	35	37	43	35	41	49	47	31	44	41	49	44	31	41	56	0	53	56	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	3	2	2	1	4	3	3	3	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
12000	-226.816432502286830	-225.436850887487964	-1.379581614798866	0.000048120936436	0.000021523791921	0.447285392070925	0.651422749718921	0	1	1	3	3	3	2	4	4	5	6	7	7	8	10	10	10	11	11	12	12	12	15	16	18	17	18	18	21	19	22	18	20	21	21	21	21	23	21	22	22	26	22	23	25	24	22	24	24	25	26	26	25	27	29	26	27	0	1	1	7	1	7	3	6	4	8	10	11	11	12	13	10	12	15	14	15	19	12	20	22	24	24	26	26	33	28	29	24	32	30	33	33	33	29	33	35	37	31	29	37	41	47	39	44	41	44	53	45	44	53	0	45	53	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	4	2	1	2	2	1	3	2	3	2	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	3	2	1	1	2	1	1	1	2	2	1	1	2
12500	-261.652816312999278	-260.122850392233261	-1.529965920766010	0.000113719569018	0.000031319023877	0.275405755994278	0.678282741531023	-1	1	1	2	0	4	3	4	4	5	6	7	7	8	10	10	10	11	11	12	12	12	15	15	19	17	18	16	21	19	22	19	20	21	21	20	21	24	22	22	22	25	23	23	23	23	23	24	24	25	26	25	26	27	29	28	26	0	1	5	3	1	7	4	7	4	8	10	11	11	12	13	13	14	15	14	15	14	17	15	22	24	28	26	24	33	26	29	26	32	30	33	25	32	33	29	35	25	31	39	41	32	32	39	44	37	49	42	46	41	48	0	57	45	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	2	2	2	2	4	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	3	3	1	1	1	1	1	1	2	3	1	2	2
13000	-258.002287935177492	-256.217090813866548	-1.785197121310962	0.000068701035813	0.000012375051053	0.180129031632164	0.623118859131066	-1	1	1	0	3	4	3	4	4	5	6	7	7	8	10	10	9	11	10	12	12	13	14	15	19	17	18	16	21	18	22	20	20	21	21	21	21	24	22	22	22	25	22	23	25	24	24	24	24	25	25	26	26	27	28	27	28	0	1	4	1	1	4	3	7	7	8	10	10	11	12	11	14	14	15	14	15	16	19	15	22	24	28	26	24	33	28	33	26	25	25	32	33	32	39	33	35	37	43	29	37	31	39	44	41	44	37	49	45	38	38	0	45	56	1	1	1	1	3	2	1	1	1	1	1	2	1	1	3	2	1	1	2	2	1	3	4	1	4	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	2	3	2	1	1	1	2	1	1	2	1	1	2	1
13500	-258.810176890812443	-257.392062270186273	-1.418114620626193	0.000076503956146	0.000028552633449	0.373217737847195	0.691878752648776	0	1	1	2	2	4	3	3	4	4	6	7	7	8	10	10	9	11	11	12	12	12	15	15	19	17	18	16	21	18	22	20	19	21	20	21	21	24	20	22	22	26	23	23	25	21	24	24	24	25	26	26	26	27	29	27	25	0	1	1	3	1	8	4	4	4	8	10	11	11	12	13	12	12	15	16	18	19	16	20	22	26	28	26	24	25	28	29	33	26	30	27	33	32	31	33	29	37	45	33	41	37	33	43	46	46	44	41	45	41	45	0	45	44	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	2	1	2	2	1	2	2	2	3	1	2	1	1	2	2
14000	-242.823012594238747	-241.445478878374360	-1.377533715864374	0.000061805342952	0.000028023202356	0.453410676445787	0.717512958135448	0	1	1	2	1	4	3	3	4	5	6	6	7	8	10	10	9	11	11	12	12	12	15	15	17	17	18	16	21	19	22	20	19	21	21	20	21	24	22	22	22	26	23	23	25	24	24	24	24	22	26	24	26	27	29	28	28	0	1	1	3	1	8	4	4	7	8	10	10	11	12	13	14	10	13	14	18	16	19	20	22	24	28	26	24	33	28	33	33	26	30	32	33	32	29	29	35	37	38	33	37	49	39	39	41	41	29	29	44	44	53	0	53	54	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	1	1	1	2	1
