step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
5000	-267.625829628151394	-274.481317579110794	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711392246225389	0	1	2	2	4	3	2	4	4	3	5	3	4	8	3	6	6	6	7	8	7	8	8	9	9	8	10	9	10	8	12	11	12	10	12	13	12	13	14	15	11	14	14	13	13	17	15	16	15	15	16	16	15	16	18	17	18	18	0	1	2	2	6	2	2	4	12	7	7	7	10	10	7	11	11	2	18	21	17	6	19	20	26	18	24	0	25	17	41	25	28	22	21	37	25	33	38	44	20	33	44	31	34	39	43	53	41	44	43	47	43	50	50	48	54	48	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	2	2	1	1	2	2	1	1	3	2	1	1	1	1	3	1	1	2
5500	-284.768443815748412	-291.623931766707813	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716684467539968	0	1	2	2	5	3	3	4	4	4	5	5	5	8	5	6	7	6	7	8	6	7	8	8	9	8	10	9	11	7	12	11	10	12	11	12	12	13	13	14	12	14	14	14	13	14	15	17	14	15	16	16	16	17	17	17	18	18	0	1	2	2	6	3	4	4	7	4	10	8	10	18	7	11	21	4	12	21	8	5	16	30	7	19	30	0	27	21	35	25	28	27	20	29	25	33	33	35	20	38	35	35	34	39	43	53	41	40	43	47	43	50	50	53	40	53	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	5	1	2	1	1	1	1	2	1	2	2	1	2	2	3	3	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	1	2	2
6000	-266.253314584782231	-273.108802535741631	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722545591721152	0	1	2	2	5	3	3	4	4	4	5	5	5	7	6	6	6	5	7	8	7	7	8	9	9	9	8	9	11	10	12	11	10	12	11	10	12	12	13	15	13	14	14	14	15	16	15	15	15	15	16	16	16	17	18	16	18	18	0	1	2	2	6	2	4	4	6	7	7	8	8	11	11	12	11	7	12	17	17	13	18	21	27	27	11	0	25	27	24	25	28	27	30	25	25	33	38	44	17	38	31	41	34	38	43	43	31	35	43	47	48	50	54	43	54	56	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	2	2	2	1	4	1	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	1	1	1	2	1	2	1	2
6500	-261.847433371656109	-268.702921322615509	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677125651523793	0	1	2	2	5	3	3	4	4	4	4	5	5	8	6	6	7	6	7	8	7	7	7	8	9	9	10	9	11	10	11	11	11	12	9	13	12	13	14	15	12	14	14	13	15	16	15	15	15	15	16	16	16	16	18	17	18	18	0	1	2	2	6	2	4	7	4	4	4	7	11	18	8	12	6	4	18	21	16	7	12	21	18	24	24	0	25	24	20	25	28	24	21	25	29	33	38	44	35	38	44	31	34	38	43	43	44	31	43	47	48	50	54	48	54	56	1	1	1	1	2	1	1	1	2	1	2	2	1	2	2	1	2	2	1	1	1	1	1	1	3	1	2	1	1	2	3	2	2	2	1	1	1	2	1	2	1	1	1	1	2	3	1	1	2	2	2	1	1	1	2	2	2	1
7000	-256.098095822649498	-262.953583773608898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.705496956859758	0	1	2	2	5	3	3	4	4	4	5	4	5	8	6	5	7	6	5	8	7	6	7	8	9	9	10	9	10	10	12	11	12	12	12	13	12	13	13	15	13	14	14	13	14	17	15	15	15	15	16	16	16	17	18	17	18	18	0	1	2	2	6	2	4	7	4	7	9	4	10	18	6	12	11	11	12	21	11	16	15	21	17	24	24	0	25	24	21	25	28	30	17	37	29	33	33	44	35	33	31	31	34	38	43	43	31	44	40	47	48	50	50	48	50	56	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	3	2	3	1	1	1	1	2	1	2	2	1	2	2	1	1	2	2	1	1	1	2	2	1	3	1
7500	-283.684578371681312	-290.540066322640712	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651841208535541	0	1	2	2	5	3	3	4	4	4	5	5	4	6	6	6	6	4	7	8	7	8	8	8	8	9	10	9	11	10	12	11	12	11	11	13	10	13	14	14	13	14	13	12	15	17	15	14	15	14	15	16	16	16	18	17	18	18	0	1	2	2	6	3	4	4	4	7	10	7	4	9	18	11	4	4	16	21	13	11	19	21	21	17	24	0	25	24	35	25	28	24	22	34	25	28	38	44	35	33	35	35	27	42	48	43	40	27	43	47	48	40	50	53	54	56	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	4	1	1	1	2	3	1	1	1	1	2	1	2	1	1	2	2	3	2	1	2	2	1	2	2	2	1	1	3	3	1	1	1	3	1	1	1	2	3	1	2	1
8000	-289.864690630615712	-296.720178581575112	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591665544029053	0	1	2	2	5	3	3	4	4	4	4	5	5	7	5	6	7	4	7	8	6	8	8	9	7	8	10	9	10	9	10	11	12	12	12	13	12	11	14	13	12	14	13	12	15	17	15	14	14	15	16	16	16	17	17	16	18	17	0	1	2	2	18	2	4	4	7	4	6	10	18	7	11	11	21	4	10	21	12	19	14	26	11	14	30	0	25	26	12	25	28	24	20	37	29	28	33	31	32	33	44	31	34	39	31	43	40	44	43	47	48	50	50	48	54	56	1	1	1	1	1	2	1	2	1	2	1	1	1	3	1	1	1	2	3	2	1	1	1	1	2	1	1	1	2	1	3	3	2	3	1	1	2	1	2	3	1	2	1	2	3	2	2	1	1	2	1	1	2	2	2	2	1	1
8500	-272.387896687107741	-279.243384638067141	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.607317845120182	0	1	2	2	5	3	3	4	3	4	4	5	5	8	6	5	5	5	6	8	7	8	8	8	8	9	9	9	11	10	12	10	12	12	10	13	12	11	14	15	13	14	14	13	15	17	15	15	15	14	16	16	16	16	17	17	18	18	0	1	2	2	2	2	4	4	4	7	7	7	10	4	6	6	11	7	12	17	17	12	19	21	21	14	24	0	32	17	20	25	38	24	20	25	25	28	33	44	35	38	44	21	34	39	43	43	44	31	48	47	48	40	50	53	54	48	1	1	1	1	2	2	1	1	1	1	1	2	1	4	2	2	1	2	1	2	2	1	2	1	1	1	1	1	1	2	4	2	1	2	2	3	2	2	2	2	2	1	1	3	3	2	1	1	2	2	1	1	1	1	2	1	1	1
9000	-315.079202296933545	-321.934690247892945	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539896844787170	0	1	2	2	5	3	3	4	4	4	5	4	5	8	6	6	7	6	5	6	7	8	7	8	8	9	10	8	11	10	10	11	12	12	11	13	12	10	13	15	13	14	14	12	14	17	15	17	14	15	16	16	13	17	18	15	18	17	0	1	2	2	6	3	4	7	7	7	7	4	6	7	7	7	20	6	4	12	20	18	11	17	15	14	24	0	25	18	21	25	38	27	10	25	25	28	38	49	35	39	53	17	36	39	44	53	31	44	31	47	44	49	50	53	54	56	1	1	1	1	2	1	1	1	1	1	2	1	2	3	2	2	1	2	2	2	1	1	2	1	1	1	2	1	3	3	3	2	1	1	4	3	2	2	3	1	2	1	1	4	1	3	2	2	2	3	4	1	1	1	2	1	1	2
9500	-276.258479053914073	-283.113967004873473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611494789462750	0	1	2	2	3	3	3	4	4	4	5	5	5	8	3	6	6	6	7	8	7	7	8	7	9	9	10	9	10	9	11	11	12	12	12	12	12	11	12	13	12	14	14	14	15	17	15	17	15	15	15	16	13	17	18	16	17	18	0	1	2	2	4	2	4	6	2	7	10	7	10	22	4	12	7	11	16	24	17	6	22	11	12	24	30	0	25	24	30	29	38	30	21	25	32	28	38	35	31	33	53	35	34	39	44	53	35	44	43	47	31	50	54	53	40	56	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	2	2	2	1	1	1	2	2	1	1	2	3	2	1	2	1	1	1	2	1	2	2	4	1	2	1	1	1	1	2	2	1	3	3	2
10000	-283.542137631522451	-290.397625582481851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635395425659564	0	1	2	2	5	2	3	3	4	4	5	4	5	7	6	5	7	5	7	8	6	5	8	9	9	7	8	7	11	10	11	11	12	12	12	13	12	11	14	15	12	14	14	14	14	15	15	16	15	14	16	16	13	17	18	17	18	18	0	1	2	2	6	2	4	4	7	4	12	7	10	7	11	4	21	12	11	21	18	12	16	27	27	15	21	0	25	24	20	25	38	27	31	25	25	28	33	44	24	38	53	35	27	39	53	53	44	41	47	47	41	40	54	48	40	48	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	2	1	3	2	1	2	1	3	2	3	2	1	2	3	1	2	3	1	2	2	1	1	1	1	1	2	1	1	1	1
10500	-284.099554686982344	-290.955042637941744	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635268079983483	0	1	2	2	5	3	3	3	4	4	5	5	5	8	5	6	7	6	6	8	7	8	8	8	9	9	10	9	10	10	12	11	12	12	11	13	12	11	14	15	13	14	13	14	15	15	15	17	13	15	15	16	14	17	18	17	18	18	0	1	2	2	2	2	4	4	7	4	7	4	10	4	7	7	4	11	10	21	6	4	16	21	17	24	24	0	25	24	35	25	38	21	21	29	30	28	33	35	35	33	35	49	30	39	34	53	35	44	43	47	43	50	49	53	50	56	1	1	1	1	2	2	1	1	1	2	2	2	1	4	2	2	4	1	2	1	2	3	2	1	2	1	2	1	1	2	1	2	1	4	4	3	2	1	1	3	1	2	1	1	3	1	2	2	2	1	2	1	1	2	4	2	2	1
11000	-272.934500776324512	-279.789988727283912	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710698271866237	0	1	2	2	4	3	3	4	4	4	5	5	5	8	5	6	6	6	7	8	7	8	8	9	9	9	10	7	11	10	12	11	12	12	11	13	12	10	14	14	12	14	13	12	14	17	14	17	15	15	16	16	15	17	18	17	18	18	0	1	2	2	6	2	4	7	6	4	8	8	10	18	4	11	15	15	11	17	17	18	19	21	20	11	24	0	25	17	35	25	38	26	24	25	25	28	33	44	20	38	44	35	34	39	44	53	20	40	43	47	43	50	54	53	50	56	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	2	2	1	2	1	2	1	1	1	1	2	1	1	2	2	3	1	2	2	1	1	2	2	1	1	1	2	3	2	2	3	1	1	2	1	2	1	2	2	1
11500	-246.506402921280085	-253.361890872239456	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.750185158650435	0	1	2	2	5	3	3	4	4	4	5	5	5	8	6	6	7	6	7	8	7	8	8	9	9	8	10	8	10	10	12	11	12	12	11	12	12	10	14	15	13	13	14	13	14	16	15	17	15	15	16	16	15	17	17	17	18	18	0	1	2	2	6	2	4	7	6	7	7	7	10	18	11	7	11	12	16	21	12	19	16	17	21	17	24	0	25	24	35	25	38	30	21	32	25	28	33	44	35	33	44	31	34	39	43	53	41	35	43	47	43	40	50	51	54	48	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1
12000	-307.191118356723393	-314.046606307682794	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609161018471276	0	1	2	2	5	3	3	4	4	3	5	5	5	7	6	6	7	4	7	8	6	7	8	8	8	9	10	8	10	10	12	10	12	12	11	13	11	11	14	15	12	14	14	13	15	17	13	17	15	15	16	16	15	17	17	16	18	18	0	1	2	2	6	2	4	4	7	4	7	7	10	12	12	18	21	7	11	14	18	11	19	19	8	24	24	0	25	24	35	25	38	30	20	32	25	28	33	47	35	38	31	35	27	39	37	53	41	44	43	47	43	40	50	53	54	51	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	2	2	3	2	2	1	3	2	2	2	2	1	2	3	2	2	2	1	2	2	1	1	1
12500	-303.999256572126967	-310.854744523086367	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583033876636364	-2	1	1	2	4	0	3	4	4	4	4	5	5	7	6	6	7	6	6	6	7	7	6	8	9	9	10	9	11	10	11	11	12	12	10	12	10	10	14	13	12	14	12	14	13	17	14	14	14	15	16	15	16	14	18	15	16	15	0	6	6	2	2	1	4	4	7	7	7	4	8	18	11	7	20	4	12	5	20	11	12	21	24	24	24	0	30	24	21	25	38	30	17	37	25	28	33	41	21	38	35	41	34	39	43	43	31	41	48	47	56	41	54	43	44	48	1	1	1	1	2	1	1	2	1	1	1	3	1	1	2	3	1	2	1	1	1	2	1	1	1	1	2	1	1	2	4	1	2	2	1	2	1	1	2	1	4	2	2	2	1	2	1	2	2	3	2	1	1	2	2	2	1	1
13000	-282.242989410277858	-289.098477361237258	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555223912485558	0	1	2	2	5	3	3	4	4	4	5	5	5	6	6	6	7	5	7	8	6	8	8	7	9	8	9	9	10	10	11	11	12	10	12	13	10	10	14	13	13	13	13	12	15	17	15	14	14	15	15	16	16	17	17	17	18	18	0	1	2	2	9	4	4	4	4	4	7	7	10	11	10	9	21	8	16	21	7	7	18	21	24	24	24	0	25	24	17	37	38	27	18	37	25	28	38	44	31	33	35	31	35	39	43	43	35	40	43	47	48	50	50	51	49	56	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1	4	2	1	2	1	2	1	1	2	3	1	2	1	3	1	1	1	2	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	1
13500	-264.157216706234863	-271.012704657194263	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620985800818101	0	1	2	2	5	2	3	4	3	4	5	4	5	8	6	4	6	6	7	8	7	8	8	8	9	9	10	9	11	10	12	11	12	12	11	13	11	11	14	15	13	14	14	14	15	15	15	15	15	14	16	16	16	17	17	17	18	18	0	1	2	2	6	1	4	4	4	4	12	7	10	11	12	7	11	11	12	17	5	15	19	21	24	24	21	0	25	26	21	25	38	20	27	25	25	28	33	44	31	38	35	31	34	39	43	43	35	27	43	47	48	50	50	48	54	56	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	3	1	2	1	2	2	1	2	1	3	2	2	2	1	1	3	2	2	3	1	1	1	1	2	2	1	1	3	3	2	1	1
