step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
5000	-368.775401872593307	-375.630889823552707	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521749941027941	0	3	3	5	3	4	5	3	6	6	7	6	9	8	7	9	7	10	9	8	10	10	12	10	13	11	11	13	14	13	12	14	14	14	13	14	16	13	15	15	16	15	15	12	17	17	17	19	20	20	21	21	22	23	26	29	28	30	32	32	34	0	1	1	2	0	1	5	1	5	2	9	6	20	7	9	11	6	0	9	9	0	17	20	0	12	14	17	0	21	17	19	44	27	44	19	23	24	26	36	27	27	25	12	18	39	0	28	33	36	24	25	37	36	52	49	26	0	56	44	58	56	1	2	2	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	3	1	1	1	1	2	1	3	1	1	2	3	1	4	1	1	1	2	2	3	4	4	2	3	1	2	8	1	1	16	1	2
5500	-334.958951670547208	-341.814439621506608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557019811012537	-1	2	4	5	3	5	6	6	5	7	6	6	7	8	7	9	7	10	9	9	9	10	11	10	13	10	11	13	14	11	14	14	15	13	12	15	15	15	15	14	17	14	15	15	17	18	17	17	20	20	21	22	22	23	26	30	27	30	31	32	31	0	1	2	5	0	3	5	3	5	7	6	5	4	13	11	6	11	0	5	4	0	17	15	0	35	15	8	0	21	21	25	35	27	24	8	31	24	14	32	16	39	11	22	32	29	0	31	31	37	25	41	49	50	37	18	55	0	53	55	61	58	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	2	1	1	3	2	1	2	2	1	1	1	2	1	3	1	1	1	2	2	2	1	2	2	1	3	1	4	2	1	1	1	1	2	3	5	2	1	1	4	8	2	1	4	2	1	1
6000	-582.892734432172688	-589.748222383132088	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472610113607080	-1	2	4	5	1	4	6	5	5	7	6	6	8	9	6	10	8	9	10	9	9	10	13	10	13	11	11	12	15	13	13	14	13	14	13	14	15	15	15	15	17	16	15	15	15	17	17	18	20	19	21	21	22	22	26	30	29	29	30	32	33	0	1	2	2	0	5	3	6	5	8	9	3	5	12	3	7	10	0	20	15	0	10	20	0	4	21	17	0	25	17	28	31	17	28	14	28	24	23	32	30	40	25	32	32	25	0	40	43	24	13	26	39	49	50	38	50	0	17	25	56	60	1	1	1	1	1	2	1	1	2	1	1	1	4	1	2	2	1	1	1	1	1	2	2	1	4	1	2	1	1	2	1	1	2	1	2	1	3	1	1	1	1	2	1	1	2	1	1	1	5	4	4	4	1	1	6	7	1	10	7	1	1
6500	-341.956220262973659	-348.811708213933059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655368704395465	0	2	4	5	3	4	6	6	5	7	6	7	7	8	7	10	7	10	9	8	9	9	12	10	13	11	12	12	15	12	14	14	14	14	12	13	14	15	16	15	17	16	15	15	16	17	18	18	19	18	20	21	23	24	26	29	27	28	32	31	31	0	1	2	5	0	1	9	4	5	6	3	8	4	8	9	4	11	0	11	15	0	14	15	0	30	22	22	0	25	8	10	18	27	28	10	23	24	25	31	30	37	25	23	30	37	0	42	42	37	43	48	49	52	52	54	58	0	39	51	55	56	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	4	2	1	1	3	1	3	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	6	5	2	1
7000	-264.803940477197045	-271.659428428156446	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710700868818149	-1	2	3	5	2	5	6	4	6	6	6	6	7	8	7	10	8	9	8	9	9	10	13	11	13	9	12	12	13	12	12	14	14	14	12	14	13	16	15	16	16	16	15	14	14	17	15	17	19	20	21	22	21	22	27	30	29	31	30	31	34	0	1	5	3	0	2	4	2	3	4	3	8	9	10	10	20	12	0	12	15	0	17	20	0	28	7	22	0	19	18	16	35	22	25	16	28	24	32	37	27	17	25	30	29	35	0	25	42	46	44	42	49	49	46	52	57	0	55	51	59	60	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	2	4	1	2	1	1	1	1	1	1	2	3	1	1	4	2	1	1	1	5	1	1
7500	-397.624895132387451	-404.480383083346851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609038120966194	-1	2	3	4	2	5	6	5	6	6	7	7	9	8	7	9	7	10	10	7	9	10	13	10	12	11	12	13	13	11	11	14	14	15	13	15	14	14	16	13	17	17	16	15	16	18	18	19	19	19	20	21	22	24	27	30	28	28	31	32	33	0	1	1	5	0	1	4	2	5	6	8	3	4	6	4	11	10	0	12	7	0	10	20	0	6	13	17	0	25	9	16	26	27	35	5	14	24	19	28	3	32	32	18	18	40	0	23	42	24	38	28	37	50	53	39	58	0	52	51	57	55	1	1	2	1	1	3	2	2	2	1	1	2	1	2	2	1	1	1	1	1	1	2	3	1	3	1	2	1	1	3	1	1	1	1	4	2	2	2	1	5	1	2	3	2	1	1	3	1	3	2	3	4	1	1	5	1	1	3	6	2	3
8000	-792.946301214660366	-799.801789165619766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596526879821516	0	2	3	5	2	5	4	5	6	6	6	5	9	8	6	9	8	11	9	8	10	9	13	11	12	12	13	13	14	10	13	14	13	14	13	13	15	15	16	15	16	15	15	14	16	15	17	17	21	20	21	21	22	24	26	29	29	30	30	31	33	0	1	1	5	0	7	5	3	7	8	8	7	4	6	7	9	12	0	17	15	0	17	12	0	6	14	30	0	25	14	20	18	30	21	9	18	44	35	23	22	25	31	29	27	42	0	38	38	24	26	25	37	49	51	43	55	0	57	51	57	59	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	6	1	2	3	2	1	1	1	3	2	1	2	4	1	1	1	1	5	2	1	1	1	1	1	1	1	5	3	5	3	1	1	4	1	1	1	4	1	1
8500	-292.456258627128648	-299.311746578088048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.483604882841626	-1	2	3	4	2	4	7	5	6	7	7	6	9	9	6	9	7	9	9	8	10	9	11	10	13	12	12	14	15	13	14	13	12	14	13	11	15	16	15	15	16	15	14	16	14	18	17	18	21	19	21	20	22	23	23	30	26	30	31	33	33	0	1	2	3	0	3	9	2	5	3	6	3	9	4	5	17	3	0	7	15	0	8	15	0	8	21	22	0	21	23	18	22	22	32	18	18	24	22	25	22	39	25	14	34	26	0	31	37	24	40	14	37	46	50	52	57	0	55	51	59	49	1	2	1	1	1	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	2	3	1	4	1	2	1	2	1	3	2	2	1	2	1	3	3	2	3	1	1	2	1	1	1	2	2	5	2	6	2	2	1	1	2	1	3	6	1	6
9000	-635.616075821295794	-642.471563772255195	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.433677639900063	-2	3	3	5	2	4	6	5	6	7	7	7	8	9	7	10	8	10	9	9	10	9	12	11	14	11	12	14	14	12	13	13	13	14	12	14	16	15	14	16	16	15	16	14	15	18	18	17	20	19	22	20	22	23	24	28	29	30	30	32	31	0	1	5	2	0	3	5	6	5	5	9	3	5	7	6	20	2	0	6	15	0	8	15	0	22	7	10	0	6	16	11	17	19	27	11	13	24	28	14	33	32	25	23	30	34	0	27	30	24	28	45	24	10	41	53	51	0	57	25	41	56	1	2	1	1	1	1	2	1	2	2	1	2	3	2	2	1	3	1	3	1	1	2	2	1	2	2	3	1	6	1	2	2	1	1	2	2	3	1	2	1	1	1	2	1	1	1	3	2	4	2	5	3	6	3	1	4	1	1	6	7	2
9500	-394.838572777911793	-401.694060728871193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580684727010434	-1	1	3	5	4	6	6	4	7	6	5	5	7	8	7	10	7	10	9	8	10	9	11	11	13	11	13	11	14	12	13	15	13	14	14	14	14	15	15	16	16	17	14	15	16	17	16	18	21	20	21	22	22	23	27	30	28	30	30	33	32	0	1	1	8	0	12	5	3	7	8	3	8	5	10	7	19	4	0	6	15	0	17	15	0	21	9	22	0	21	5	9	18	22	30	18	27	24	30	6	27	35	25	12	24	43	0	34	6	43	44	25	24	39	49	53	52	0	57	50	61	58	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	3	1	2	3	4	3	2	1	2	1	2	2	3	2	1	2	5	2	1	1	1	6	5	3	5	4	3	1	2	4	1	2	4	1	1
10000	-613.312182793355987	-620.167670744315387	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.378682972953518	0	2	3	4	3	4	6	4	7	6	6	6	8	7	8	10	7	8	10	9	9	9	12	10	13	12	12	11	15	12	11	13	13	14	12	14	16	15	15	15	17	16	14	13	16	18	18	18	20	18	22	21	23	23	26	29	25	30	31	32	33	0	1	2	5	0	1	6	1	10	2	4	4	5	4	6	7	8	0	20	9	0	17	20	0	21	2	17	0	28	22	15	28	22	26	15	23	24	24	25	17	29	4	32	31	30	0	23	28	24	40	50	24	35	39	52	52	0	57	21	51	58	1	1	1	1	1	3	1	2	1	3	1	2	2	1	2	2	1	1	1	2	1	1	2	1	2	5	4	1	2	2	2	1	2	1	2	2	4	2	1	3	1	6	1	1	2	1	3	3	4	1	3	4	5	4	3	3	1	3	10	4	2
10500	-362.860774520514724	-369.716262471474124	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549176905216482	0	2	4	5	3	6	5	5	7	7	7	7	7	7	7	10	6	11	9	6	9	10	13	10	11	12	13	13	14	13	13	13	15	15	13	14	15	13	14	16	16	15	15	14	16	18	18	19	20	20	22	22	22	22	26	30	28	30	29	32	33	0	1	1	2	0	8	5	2	5	6	7	8	7	7	20	17	3	0	13	7	0	10	15	0	21	25	22	0	38	19	25	13	27	16	18	38	24	25	16	36	38	29	32	27	44	0	13	38	19	47	25	37	40	49	53	50	0	59	51	58	56	1	1	2	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	1	1	2	4	1	1	1	1	1	1	2	1	3	1	3	1	1	3	1	2	1	1	1	1	1	2	1	5	3	4	1	5	3	3	1	2	5	1	1	4	1	1
11000	-437.259570162864975	-444.115058113824375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.792410598998998	-1	2	3	5	3	5	5	5	7	7	6	7	7	8	8	9	7	10	9	8	9	10	11	10	13	12	12	13	14	12	14	14	14	14	13	13	15	15	15	15	16	17	16	16	16	17	16	19	19	19	22	21	23	23	27	28	29	30	31	32	33	0	1	2	1	0	5	5	3	7	6	8	3	7	7	7	7	6	0	12	9	0	17	20	0	21	22	14	0	25	21	27	26	22	30	27	30	24	25	22	32	31	25	36	32	39	0	26	46	37	45	42	49	51	50	52	55	0	57	51	58	60	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	3	1	1	1	3	1	2	1	1	2	1	2	1	1	2	1	2	1	3	1	1	1	3	1	1	1	3	1	1
11500	-276.900376617479310	-283.755864568438710	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609420704183026	0	3	2	5	3	5	6	3	7	5	6	6	9	8	8	8	6	9	10	9	8	10	12	10	13	11	12	13	14	12	12	13	14	13	12	13	15	16	14	15	15	15	15	16	17	17	16	18	19	19	21	21	21	23	26	28	28	30	31	32	33	0	3	1	5	0	3	5	1	5	2	10	4	15	11	5	5	2	0	21	9	0	14	20	0	21	18	22	0	6	13	13	11	35	14	22	19	24	29	23	27	25	28	25	25	22	0	43	47	37	45	28	49	50	48	51	48	0	57	51	57	59	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	2	1	1	1	4	2	1	2	2	2	1	2	2	1	1	3	1	1	1	1	3	1	1	1	1	1	5	1	2	2	3	5	1	1	4	2	1
12000	-555.414265096919166	-562.269753047878567	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.725010176538630	0	2	3	4	4	5	6	4	6	6	7	7	8	8	6	10	7	11	10	7	10	10	13	10	12	11	12	13	15	10	13	14	13	14	13	14	15	15	15	15	14	16	15	15	17	18	16	18	21	19	22	22	22	24	26	28	28	30	31	32	33	0	1	1	2	0	3	5	2	5	5	7	7	7	17	5	13	10	0	12	15	0	17	20	0	13	15	22	0	28	11	26	27	30	22	22	22	24	32	31	36	19	25	26	33	32	0	33	47	24	48	48	49	49	53	51	54	0	56	55	59	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	3	1	1	1	2	1	1	2	2	1	2	3	1	1	1	1	2	3	1	1	1	1	1	4	1	2	1	1	1	1	2	1	1	2	1	2
12500	-393.893788873589870	-400.749276824549270	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688463672978266	-1	2	3	5	3	5	5	5	6	6	7	6	8	8	5	9	6	11	9	8	9	10	13	11	12	11	13	12	14	12	12	12	14	15	14	15	14	15	14	16	16	16	15	13	16	17	17	17	19	19	22	21	22	24	26	27	27	28	29	31	32	0	1	1	3	0	2	5	3	5	6	4	5	7	7	5	4	2	0	17	15	0	11	20	0	21	22	17	0	25	22	24	22	30	33	26	27	24	39	32	22	35	32	21	28	36	0	45	35	24	20	28	49	50	53	52	54	0	54	55	57	60	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	1	1	1	1	2	3	5	4	1	2	1	2	2	1	2	2	2	1
13000	-443.729891517510680	-450.585379468470080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.437520447896648	-2	1	4	5	3	5	6	6	7	5	7	5	8	9	8	9	6	11	8	7	7	9	12	11	12	12	11	12	14	11	13	14	15	12	11	13	15	14	16	14	14	16	15	15	16	18	17	17	19	19	20	22	22	23	26	29	27	30	31	33	33	0	1	5	5	0	5	5	2	5	3	6	2	5	8	7	9	12	0	12	5	0	17	7	0	21	14	22	0	25	13	18	25	22	15	14	34	24	23	18	31	23	6	17	30	27	0	43	37	24	26	18	46	35	48	44	55	0	56	51	58	56	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	1	1	1	1	2	1	2	3	1	3	3	2	1	1	1	1	1	3	2	1	1	2	1	3	1	1	7	4	2	2	1	2	1	4	5	2	3	4	4	4	1	1	1	5	1	1
