step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
10000	-328.672216662776520	-327.010856044613718	-1.661360618162793	0.000180858916681	0.000039099859857	0.216189837770226	0.685106353382207	0	2	3	4	4	4	3	6	5	6	7	6	9	8	8	11	10	10	14	15	18	17	20	21	21	22	23	28	33	35	34	36	34	32	36	36	36	34	36	37	40	40	42	44	45	0	1	1	2	2	3	2	4	3	6	3	5	7	10	10	8	10	10	11	19	20	19	21	23	23	23	22	19	34	29	29	30	29	28	38	34	38	34	38	33	31	32	41	43	43	1	1	1	1	1	1	1	2	1	1	2	1	4	1	2	2	2	1	4	1	1	2	1	1	1	2	3	6	1	1	1	1	1	2	1	2	1	1	1	1	4	3	1	1	1
10500	-336.242683958430234	-334.675897510948516	-1.566786447481692	0.000154118882915	0.000039368768510	0.255444159503226	0.610833894562771	0	2	3	5	3	4	3	7	5	7	9	8	8	9	9	11	11	10	14	15	17	18	22	21	20	20	23	27	33	35	33	36	34	31	37	36	36	35	37	36	39	41	42	44	45	0	1	1	2	1	3	2	5	7	6	5	5	4	10	7	13	15	10	11	19	20	19	25	21	20	21	23	19	34	29	34	29	34	28	38	29	34	34	30	33	32	39	33	43	43	1	1	1	1	1	1	1	2	1	1	3	2	2	1	3	1	1	2	4	1	1	2	1	2	3	1	1	4	1	2	1	2	2	2	1	2	2	2	1	1	1	2	3	1	2
11000	-347.499144816758303	-346.007728100598456	-1.491416716159822	0.000152160572152	0.000045769930275	0.300800198287738	0.658394063427881	-1	2	3	4	1	4	2	6	7	7	10	9	9	7	9	11	10	10	14	15	17	16	21	19	21	22	23	28	32	35	33	34	34	31	37	38	36	34	37	37	38	42	42	45	44	0	1	5	7	1	7	1	4	7	6	3	8	10	6	6	13	10	14	10	19	22	19	20	21	24	24	23	23	34	29	29	29	29	28	38	29	38	34	29	34	29	41	41	43	43	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	4	1	1	1	3	2	1	2	1	5	1	2	1	1	2	2	2	3	1	1	2	3	3	2	2	2	1
11500	-341.239708415990435	-339.497688206618022	-1.742020209372413	0.000136955101577	0.000026199128562	0.191297208065495	0.620482382997001	0	1	3	3	3	4	4	6	6	6	8	7	9	8	9	11	11	10	13	14	18	18	22	21	21	20	24	28	33	36	34	35	34	32	34	39	36	35	38	37	40	41	42	46	46	0	1	2	1	2	5	3	5	4	6	3	1	8	10	10	13	15	14	11	19	20	19	26	26	19	21	23	19	34	29	34	34	34	28	34	33	35	34	30	33	36	39	36	43	43	1	1	1	2	1	1	1	1	1	1	2	3	1	1	2	1	2	2	4	1	3	2	2	1	3	1	1	7	1	2	1	2	1	2	1	2	1	1	2	2	1	2	1	2	2
12000	-350.981424091543545	-349.436027977455126	-1.545396114088434	0.000201298173278	0.000053669151896	0.266615195864113	0.733618434951592	-1	1	3	4	3	4	3	6	7	6	8	8	9	8	9	9	11	10	13	14	18	16	21	21	22	20	24	29	32	34	34	35	35	31	37	38	36	35	37	36	39	40	42	46	45	0	1	1	2	2	3	2	2	3	6	8	8	8	10	10	8	15	9	2	19	22	20	26	21	23	21	23	24	34	29	29	29	29	28	38	32	38	30	29	32	32	29	39	43	43	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	5	1	1	1	1	3	1	1	2	4	1	2	1	2	2	1	1	1	1	1	2	1	3	3	2	2	1
12500	-363.757401981734347	-362.091593885425254	-1.665808096309110	0.000181475956084	0.000038953956847	0.214650787288775	0.532179003110645	-1	2	3	4	1	4	3	7	7	6	10	6	9	9	7	10	12	10	12	15	17	18	22	20	22	21	23	27	33	35	34	35	34	32	36	39	36	33	37	37	40	40	42	46	45	0	1	5	5	1	5	1	7	7	6	13	1	8	10	4	13	18	9	1	19	20	21	24	21	26	21	26	19	34	29	29	29	34	28	38	40	38	34	29	32	30	30	39	43	43	1	1	1	1	1	1	3	1	2	1	1	3	1	2	2	1	2	1	8	1	1	1	1	1	1	2	1	8	1	1	1	1	2	2	2	1	1	1	2	1	3	3	2	2	2
13000	-354.936948607032434	-353.328739672627080	-1.608208934405361	0.000207671418561	0.000049117873053	0.236517251115098	0.599382661386425	-1	2	2	4	3	4	3	6	5	6	10	8	10	8	10	11	11	11	14	15	18	18	20	20	22	21	23	29	32	36	33	35	33	31	37	38	36	35	37	37	38	42	43	45	45	0	1	1	2	2	3	3	4	5	6	3	8	8	10	10	12	15	10	16	19	19	20	22	22	23	24	24	19	34	29	29	29	29	28	30	33	38	29	29	34	31	36	42	43	43	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	2	1	2	2	1	1	1	1	1	8	1	2	1	2	1	1	1	2	1	2	2	3	1	2	1	1	1
13500	-343.074280307619006	-341.486932878072707	-1.587347429546276	0.000239526972494	0.000058839982514	0.245650758665475	0.538420559803503	0	2	3	5	3	2	1	7	6	5	9	8	9	9	8	10	12	10	13	15	18	17	19	21	21	21	23	28	33	36	33	35	34	32	37	39	35	36	38	36	40	39	40	45	45	0	1	7	5	7	7	1	3	7	6	4	2	15	8	2	15	14	10	8	19	19	20	22	22	23	23	23	21	34	29	34	29	34	28	33	34	34	37	32	33	40	30	32	30	42	1	1	1	1	1	1	1	3	2	2	2	2	1	1	3	1	2	2	2	1	3	1	1	2	1	1	2	5	1	1	1	1	1	2	1	3	2	1	2	1	2	2	2	4	4
14000	-346.678953019080325	-344.998657163625296	-1.680295855455032	0.000199337838210	0.000041818518760	0.209787159002747	0.666244586892678	-1	1	2	4	3	4	4	6	5	6	7	8	10	8	8	8	11	9	13	15	17	18	21	20	19	20	23	27	32	36	33	34	35	34	37	38	35	35	37	37	39	41	40	45	45	0	1	2	2	2	3	3	5	3	6	5	8	16	6	6	8	6	14	11	19	20	20	24	25	21	25	24	19	28	32	29	29	31	31	38	33	29	29	32	33	35	36	36	43	43	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	3	1	2	1	1	2	1	1	1	1	2	9	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
14500	-337.792017471143652	-336.273916225928474	-1.518101245215196	0.000142416971531	0.000040254134636	0.282649842945562	0.656154315650498	-1	2	3	5	1	4	3	6	6	6	7	8	10	8	10	9	11	10	12	14	17	17	21	21	20	21	23	28	32	36	33	35	35	34	36	37	37	34	37	34	38	39	42	45	44	0	5	2	5	1	7	5	4	7	6	7	4	16	6	14	8	15	6	4	19	20	19	25	22	21	19	23	19	28	32	29	31	40	29	38	33	35	29	32	31	31	39	29	45	42	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	2	1	3	3	2	1	2	1	2	2	5	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	5	1	2
