step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
5000	-180.452958602529350	-178.768306275623189	-1.684652326906157	0.000010602724903	0.000016519846123	1.558075520563285	0.861924675046041	0	2	4	4	6	5	4	6	8	7	9	8	7	8	7	7	9	9	9	9	9	9	9	10	11	12	11	12	12	12	12	14	14	14	13	15	18	0	1	2	2	4	3	0	6	2	7	15	16	5	8	6	8	9	10	10	5	16	16	15	22	21	11	20	21	22	11	27	28	28	22	31	29	36	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1
5500	-205.166398973562451	-203.483469985918077	-1.682928987644366	0.000013612220933	0.000021152096978	1.553904912510779	0.634776453671487	0	3	4	5	5	5	4	6	5	7	8	8	6	8	6	7	9	9	9	7	10	10	9	9	11	12	10	13	14	11	12	14	14	15	13	15	18	0	1	2	2	2	3	0	6	2	7	15	16	5	6	6	6	9	10	10	13	16	16	15	16	22	11	5	21	24	11	27	21	21	22	27	28	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	1	1	2	2	2	4	2	2	3	2	2	2	1	2
6000	-182.499644764095564	-181.060211083734544	-1.439433680361030	0.000018501210120	0.000017304158755	0.935298753040443	0.733703186622858	0	2	3	4	5	5	4	7	6	7	8	8	8	8	7	7	9	8	10	9	9	9	9	10	11	11	11	12	13	11	12	15	14	14	14	15	17	0	1	2	2	4	3	0	6	2	7	15	16	5	8	6	6	9	10	10	13	16	16	15	16	16	23	13	21	22	15	27	34	28	25	31	22	36	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	1	2	2	2	1
6500	-169.754975659483449	-168.382010323743060	-1.372965335740389	0.000027466561452	0.000019014287739	0.692270409309382	0.805532679579641	0	2	3	4	6	5	5	6	7	7	8	9	7	9	8	7	9	8	10	9	10	9	9	11	11	12	10	13	12	12	12	14	15	13	14	15	17	0	1	2	2	4	3	0	6	4	7	8	16	5	6	8	8	9	10	18	5	22	16	11	16	16	23	13	21	24	23	27	21	28	25	31	32	36	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1
7000	-183.303558955390628	-181.924357165072166	-1.379201790318457	0.000075941548661	0.000034051355886	0.448389010851277	0.729698866472324	0	2	3	5	5	4	5	6	7	7	9	7	7	7	7	7	9	8	10	9	9	9	9	10	11	11	9	11	12	11	11	14	14	15	14	15	18	0	1	2	3	2	2	0	6	4	7	15	6	4	6	4	8	9	10	18	13	12	16	15	22	21	15	5	21	16	15	5	28	29	16	13	32	36	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	3	2	1	3	4	1	2
7500	-177.724445963768773	-176.159170565527830	-1.565275398240936	0.000078588618237	0.000020134280086	0.256198423349750	0.770535932312814	0	3	2	5	5	4	5	6	7	7	9	8	7	9	7	6	9	9	10	9	9	9	9	11	11	13	9	12	12	11	11	14	15	14	13	15	17	0	3	1	2	2	3	0	6	4	7	15	16	5	6	8	6	9	10	10	13	16	16	15	22	22	23	5	21	24	23	27	22	28	29	31	28	32	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	1
8000	-201.162851763666254	-199.683563711222263	-1.479288052443988	0.000069661998057	0.000021600899228	0.310081534128809	0.715510593746751	-2	3	4	5	6	5	3	7	7	6	8	8	7	7	7	6	9	9	9	9	10	9	10	11	10	12	10	13	13	12	12	13	14	13	12	16	17	0	1	2	2	4	2	0	6	4	7	8	16	4	2	2	2	9	10	10	5	16	16	11	25	16	15	20	21	22	11	20	25	32	22	4	28	36	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	2	1	1	1	2	3	1	2	1	2	2	1	1	1	4	1	1
8500	-172.214976319087157	-170.767890304756378	-1.447086014330793	0.000065474302498	0.000022197549918	0.339026901720806	0.588752204502961	1	3	4	5	5	5	4	7	7	7	9	9	8	8	7	8	9	9	9	9	9	9	9	10	11	12	10	12	10	11	11	14	15	14	14	16	17	0	1	2	2	2	3	0	6	4	7	15	13	5	6	6	8	9	10	10	5	16	16	15	16	16	23	20	21	16	11	27	21	21	22	31	32	36	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	3	2	2	1	1
9000	-178.273737715993434	-176.905035936620550	-1.368701779372882	0.000074290914906	0.000036185835686	0.487082918976615	0.692855312118981	0	2	4	4	5	7	4	5	7	8	9	7	7	8	7	8	9	9	10	9	9	9	9	10	11	13	10	12	13	12	12	14	15	12	14	15	17	0	1	2	2	2	8	0	3	2	7	15	8	5	8	8	12	9	7	10	13	16	16	15	22	16	23	13	25	25	11	27	21	29	16	27	24	36	1	1	1	1	1	1	1	1	3	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	3	2	2	1
9500	-179.928416183122494	-178.550502923212690	-1.377913259909793	0.000052308670118	0.000023656167985	0.452241816346969	0.588538696040360	0	2	4	4	5	6	4	5	7	6	9	6	7	6	7	7	9	8	9	9	9	9	10	10	11	12	10	11	11	11	13	14	13	14	14	16	17	0	1	2	2	4	8	0	3	3	7	15	8	5	3	6	12	9	10	10	5	16	16	15	16	16	15	20	21	22	11	27	28	29	22	27	32	34	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	2	2	1	2	2	1	1
10000	-193.998822463842657	-192.595231224361328	-1.403591239481325	0.000054108921397	0.000044435691112	0.821226702828974	0.778524060431291	1	4	3	5	5	6	5	5	7	6	9	8	8	8	7	7	10	8	9	10	10	10	9	10	12	12	10	12	12	10	9	13	15	12	12	14	18	0	3	1	2	2	8	0	3	2	7	15	16	5	15	6	6	9	10	10	13	16	16	15	16	22	23	31	16	23	15	13	22	28	22	31	28	32	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	3	2	2	1	2	1	1	1	1	2
10500	-194.288631998366299	-192.874841725325240	-1.413790273041046	0.000085125298254	0.000032291831827	0.379344712897354	0.637945818659642	0	2	3	4	5	6	4	5	7	7	8	9	6	9	6	7	10	9	9	10	10	9	9	10	11	10	9	12	13	10	12	15	14	13	13	16	15	0	1	2	2	4	8	0	3	2	7	15	16	5	8	8	8	9	10	7	4	22	16	15	16	22	15	13	21	22	11	5	28	34	22	13	32	34	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	3	1	1	2	2	1	2	2	1	2	1	3	2	1	2	4	1	1
11000	-189.144648140692595	-187.579902455338271	-1.564745685354328	0.000077560726804	0.000019891536244	0.256464025850241	0.717383848683327	1	3	4	5	5	7	4	6	7	7	7	9	7	9	8	7	9	9	9	9	9	9	10	10	11	10	10	12	11	9	12	15	15	14	13	15	16	0	1	2	2	2	8	0	3	4	7	4	16	5	6	8	4	9	10	7	13	16	16	11	16	24	6	20	21	16	11	20	34	34	29	27	25	36	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	1
11500	-186.336027915187003	-184.753779626821967	-1.582248288365023	0.000068058520895	0.000016878612037	0.248001452495192	0.789756410406680	0	4	2	6	6	6	3	5	7	6	8	7	7	7	7	8	9	9	9	9	10	10	9	11	10	12	10	12	13	10	12	14	13	14	13	16	17	0	3	1	3	8	3	0	3	4	7	15	4	5	8	8	12	9	10	10	13	16	16	15	22	16	15	13	21	22	11	20	28	21	22	27	32	36	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1
12000	-165.552882650749780	-164.166986714388969	-1.385895936360821	0.000079208832463	0.000034114502986	0.430690643019586	0.830517335202960	0	4	2	5	5	7	4	5	7	7	9	9	7	9	7	7	8	9	8	9	9	9	9	10	11	11	9	13	12	11	10	14	14	14	13	15	18	0	3	1	2	2	8	0	2	2	7	15	16	5	6	8	8	9	10	10	5	16	16	15	22	22	11	5	12	24	11	20	21	28	29	31	28	28	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	2
12500	-204.347216877873251	-202.737077573578972	-1.610139304294284	0.000093506868308	0.000022040395716	0.235708842722684	0.688869301012611	0	2	4	5	4	6	4	7	8	6	8	8	6	8	6	7	9	8	9	9	9	10	9	9	12	13	10	13	13	11	12	14	15	13	13	16	18	0	1	2	2	2	3	0	6	4	7	15	4	5	4	4	6	9	10	10	5	16	16	15	16	16	15	4	21	21	4	9	21	21	22	20	25	29	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	2	1	1	2	2	3	2	3	4	2	2	2	1	2	2	3
13000	-168.406363086239679	-167.045059248185225	-1.361303838054450	0.000064671422164	0.000038291008613	0.592085458029053	0.837225062141050	0	4	4	3	5	5	5	6	6	7	9	6	7	8	7	7	9	9	9	8	10	9	9	11	11	12	9	12	13	11	11	12	14	15	14	15	17	0	4	4	1	4	4	0	6	2	7	15	6	5	8	8	12	9	10	10	5	22	16	15	22	21	30	20	21	22	14	27	21	32	29	31	29	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1
13500	-180.305347370771642	-178.944031987940917	-1.361315382830722	0.000085336532592	0.000046769906616	0.548064295506145	0.817915972362583	0	3	3	2	5	7	4	6	7	7	9	7	7	8	8	8	9	8	10	9	10	9	10	11	10	12	11	13	11	11	12	13	14	15	14	16	16	0	4	4	1	2	8	0	3	4	7	15	8	2	8	9	12	9	7	18	5	22	16	15	22	16	23	20	21	22	23	27	21	28	29	27	32	34	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1
14000	-173.266471519499504	-171.711603896582602	-1.554867622916888	0.000053024038365	0.000013867576315	0.261533763607345	0.872409491565101	0	2	3	5	5	5	4	6	7	7	8	9	7	8	7	7	8	8	9	9	9	10	10	11	11	12	9	12	14	11	11	12	14	15	13	15	18	0	1	2	2	2	3	0	6	4	7	15	16	5	8	6	8	2	10	18	13	16	16	11	22	22	23	13	21	22	15	27	21	32	29	27	32	36	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2
14500	-182.387811597598670	-180.968709689191684	-1.419101908406980	0.000046607109493	0.000017331563100	0.371865221613586	0.857912131756264	0	2	3	4	6	6	4	6	6	6	9	8	7	7	8	7	10	8	10	9	9	9	10	10	12	12	9	10	12	12	12	13	13	14	14	13	15	0	1	2	2	4	3	0	3	4	7	15	8	5	8	8	6	9	10	10	5	16	16	11	22	22	11	13	21	22	15	27	28	22	29	31	28	36	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	2	1
15000	-172.117278321071979	-170.674939823705472	-1.442338497366504	0.000072674725323	0.000024998306472	0.343975245333492	0.811928172504099	0	2	4	5	5	5	5	6	7	7	7	7	7	7	8	8	9	8	9	10	9	9	9	11	12	12	10	12	13	11	12	15	13	14	13	15	16	0	1	2	2	2	3	0	6	4	7	8	6	5	6	11	12	4	7	10	13	16	16	11	22	16	11	5	21	22	15	20	25	28	25	31	29	32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1
15500	-190.407407809158343	-189.020355468756009	-1.387052340402324	0.000063969263327	0.000048528505859	0.758622240361723	0.611295938360496	0	2	3	4	4	6	4	5	7	7	8	8	7	8	7	7	10	8	8	8	10	9	10	11	11	12	10	13	13	10	11	14	13	14	13	15	17	0	1	2	2	2	8	0	3	4	7	15	16	5	8	8	6	9	7	7	5	22	16	12	22	16	8	20	21	16	11	27	25	21	22	27	28	36	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	4	1	1	2	1	1	1	1	3	2	1	1
16000	-190.412889156112016	-188.867626831190790	-1.545262324921231	0.000071857228173	0.000019163504132	0.266688607658937	0.668047666235772	0	2	3	5	5	6	4	4	6	5	8	8	7	8	7	7	9	8	9	9	10	10	9	10	11	10	10	13	12	12	12	14	13	14	13	16	16	0	1	2	2	2	8	0	3	4	7	8	16	5	6	4	4	4	10	10	13	12	12	15	11	22	23	13	21	16	26	27	21	22	29	13	21	32	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	3	2	1
16500	-155.662910017518783	-154.101848574636193	-1.561061442882586	0.000068889050357	0.000017796016679	0.258328668876385	0.931708871843296	1	2	4	5	6	5	4	6	7	8	8	7	8	9	7	8	9	7	10	9	10	9	10	10	10	12	10	12	13	11	11	14	14	11	13	15	17	0	1	2	2	4	3	0	6	4	18	15	6	5	8	8	12	9	7	18	13	16	16	11	22	16	23	20	21	22	11	27	28	28	16	31	32	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
17000	-195.046260771012840	-193.195718854851606	-1.850541916161244	0.000100869471095	0.000016680775617	0.165369912582684	0.684101510550763	-1	3	4	4	5	5	4	6	7	8	9	8	7	8	7	7	9	6	10	10	9	10	9	11	12	12	10	11	14	11	12	13	13	13	13	14	16	0	1	2	2	4	3	0	6	4	18	15	9	5	9	6	6	2	7	18	13	16	16	15	16	22	11	4	21	34	11	9	21	28	22	27	22	32	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	3	2	1	1	2	2	1	1	1	2	2
17500	-216.363620537179713	-214.961912068266685	-1.401708468913021	0.000102401840523	0.000040812939372	0.398556697448410	0.512556835967570	1	3	4	4	5	5	4	6	7	6	9	8	6	9	7	7	9	8	10	9	9	9	10	10	11	12	10	12	12	10	12	13	15	14	14	16	17	0	1	2	2	4	3	0	6	2	7	15	16	5	8	6	6	9	10	10	5	16	16	15	16	16	11	4	21	22	15	12	2	21	22	32	24	33	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	3	2	1	1	2	2	2	2	3	2	1	1	2	5	2	2	1	3	2
18000	-197.847732299054030	-196.475476596632149	-1.372255702421883	0.000076550173018	0.000036107662696	0.471686232335039	0.671632918781788	-1	1	3	4	6	4	4	6	7	8	8	9	8	8	6	6	8	8	9	9	9	9	10	11	10	12	11	13	13	10	12	13	15	14	13	16	18	0	1	2	2	4	3	0	6	4	7	3	16	5	6	6	6	9	7	10	5	16	16	15	22	16	23	5	25	24	15	13	22	28	32	20	29	36	1	1	1	1	1	1	1	1	1	2	4	1	1	2	1	1	1	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	1	1
18500	-185.423306203249211	-184.038002885159301	-1.385303318089917	0.000079909781968	0.000034531137983	0.432126544864945	0.788253983223326	0	3	4	6	6	5	5	6	8	8	9	9	7	8	8	7	10	6	10	8	9	10	9	10	12	12	10	12	11	11	13	13	13	13	14	15	18	0	1	2	2	2	3	0	6	5	18	15	16	5	3	5	8	4	7	10	5	16	16	15	16	22	11	5	24	22	11	27	28	28	29	27	32	36	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	1	2
19000	-191.954775636663300	-190.587648353142328	-1.367127283520982	0.000045517775027	0.000029840352494	0.655575815733215	0.535512252428208	0	2	3	5	5	5	4	7	7	8	8	9	7	8	7	7	9	9	10	8	10	9	9	9	10	11	10	13	12	12	12	13	14	14	13	15	17	0	1	2	2	2	3	0	6	4	7	15	16	5	6	6	6	20	7	18	5	16	16	15	16	16	11	4	21	12	26	27	21	28	29	13	21	32	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	3	2	2	1	2	2	1	2	2	2	2
19500	-187.482440465646675	-186.066636033879291	-1.415804431767384	0.000077333579935	0.000029112114877	0.376448560918475	0.616272763262302	0	2	3	6	6	5	3	6	7	7	9	9	8	9	7	7	10	9	10	9	9	8	9	10	12	12	10	12	13	11	12	14	15	14	13	15	17	0	1	2	2	2	3	0	6	4	7	15	22	5	8	6	8	4	10	18	5	16	16	15	12	22	15	5	21	22	14	13	21	29	26	20	32	36	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	3	1	1	2	1	1	1	1	1	3	2	2	3	1	3	2	1	1	2	1	1
20000	-196.612946467783416	-195.229895999322594	-1.383050468460821	0.000061419307387	0.000026889176878	0.437796810520980	0.749940644417162	-1	3	3	5	6	6	4	7	7	7	8	9	8	8	8	7	8	8	10	9	9	9	10	11	11	13	9	13	13	11	13	14	14	15	13	15	17	0	1	1	3	4	3	0	6	2	7	8	3	5	6	8	6	2	10	10	9	16	16	15	22	12	11	8	21	22	11	27	21	21	28	27	32	28	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	1	1	1	2	1	1	1	2	1	2	2	1	2	2	3	1	2	1	3
20500	-194.643159242544868	-193.143305868291520	-1.499853374253356	0.000057858628746	0.000017053932333	0.294751754451622	0.776321331643114	-1	1	3	5	5	6	5	4	8	8	6	9	7	8	7	8	10	7	9	9	10	10	10	10	11	11	9	13	13	11	13	13	13	13	14	14	17	0	1	2	2	2	8	0	3	4	18	4	16	5	4	11	6	4	7	18	13	16	16	11	16	22	9	13	21	22	15	27	21	25	21	27	32	36	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	2	1	2
21000	-183.813311433451474	-182.446220338545004	-1.367091094906464	0.000064474290081	0.000031941675190	0.495417245381872	0.669511329113593	-1	2	3	4	6	7	4	5	7	7	9	8	8	8	6	7	10	8	9	10	9	8	8	10	12	13	10	12	14	11	12	13	14	13	13	15	17	0	1	2	2	8	15	0	3	4	7	23	16	5	8	8	8	9	7	10	5	16	16	15	22	21	15	5	21	22	11	20	21	32	24	31	21	36	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	3	1	1	2	1	1	1	2	1
21500	-182.231178852201111	-180.849178562937794	-1.382000289263329	0.000066796749931	0.000029428298893	0.440564831732124	0.736559429811023	-1	2	4	4	5	6	5	5	8	6	8	9	7	9	7	7	9	8	9	9	9	10	9	10	11	12	10	11	12	11	13	15	14	15	13	14	17	0	1	2	2	2	8	0	3	4	7	15	16	5	15	8	8	9	10	18	5	16	16	11	16	22	15	9	21	16	23	27	28	29	22	27	22	36	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	2	2	1	1
