step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
23000	-178.473561484084570	-176.948512978687745	-1.525048505396820	0.000248374943207	0.000069136044008	0.278353537257085	0.195537358394643	-1	6	9	13	15	18	19	19	17	19	20	20	22	23	24	27	38	42	0	1	2	3	4	4	5	5	1	5	2	4	2	6	4	6	11	13	1	4	2	2	1	3	2	1	9	2	8	4	10	3	6	4	10	11
23500	-180.061882144244436	-178.451933466559979	-1.609948677684460	0.000291186795010	0.000068658471879	0.235788411616766	0.214234961908141	1	6	9	15	16	17	19	19	18	17	21	21	23	22	24	24	38	42	0	1	1	2	2	3	10	10	5	4	1	4	9	4	2	9	14	15	1	2	4	5	3	4	1	1	1	1	9	3	4	4	8	3	7	8
24000	-171.891959936687783	-170.354144859880989	-1.537815076806784	0.000182551132087	0.000049444078475	0.270850571616987	0.250866078029756	-1	5	9	14	15	16	19	17	17	19	21	22	23	23	25	26	39	39	0	1	2	1	4	2	8	5	2	8	3	9	9	2	13	6	11	4	1	3	3	6	1	7	1	1	8	1	6	3	3	8	1	7	8	9
24500	-174.376498453254584	-172.590591346841620	-1.785907106412960	0.000176249337771	0.000031717066641	0.179955664185883	0.219105655379690	1	6	9	14	15	18	19	18	17	20	22	21	21	23	24	27	38	42	0	1	2	1	2	4	5	5	2	8	2	9	9	6	13	1	11	11	1	3	1	7	4	3	2	2	3	1	6	2	2	3	2	11	8	10
25000	-183.038027951121535	-181.514621632217342	-1.523406318904193	0.000230310061133	0.000064338235781	0.279354863893972	0.288655760854421	0	6	9	16	16	18	18	19	19	20	21	20	22	22	24	26	39	41	0	1	2	3	2	2	4	7	3	7	3	4	12	12	12	2	11	4	1	3	1	5	4	4	2	1	5	1	8	1	1	2	2	9	10	14
25500	-161.920505128908815	-159.993616946001708	-1.926888182907119	0.000196423477125	0.000029599675902	0.150693167311379	0.325075375256900	0	6	8	15	16	18	18	18	18	19	22	21	22	22	24	25	38	39	0	1	2	3	4	2	5	5	2	8	2	9	4	9	14	2	16	11	1	3	2	4	1	5	1	1	4	1	7	3	4	2	1	8	6	10
26000	-174.040327756684064	-172.472968039395425	-1.567359717288642	0.000309903820415	0.000079074843979	0.255159306759952	0.243509410052158	1	3	10	13	15	17	19	19	16	17	20	20	21	23	25	27	37	41	0	1	1	1	3	3	4	3	3	5	2	9	9	9	13	14	6	14	1	2	5	5	2	3	2	4	2	1	10	2	2	4	2	2	10	9
26500	-178.937297487744644	-177.441912838223402	-1.495384649521230	0.000315739375302	0.000094063991698	0.297916569980166	0.294920111670519	1	4	9	16	15	16	20	19	18	19	21	22	21	24	24	25	38	42	0	1	1	1	3	2	6	6	5	6	1	9	9	12	9	9	3	15	1	2	4	5	3	7	2	1	2	2	10	2	3	2	3	3	10	6
27000	-169.072716647812030	-167.402550619204362	-1.670166028607677	0.000240840343691	0.000051338511846	0.213164086462248	0.233692032734286	-2	5	8	15	16	15	18	20	18	19	21	20	21	23	25	26	39	40	0	1	2	3	4	2	5	10	2	7	3	9	9	9	12	14	4	11	1	4	2	4	1	4	1	1	6	1	6	1	1	3	2	2	12	9
27500	-152.483579184486786	-150.925644789958966	-1.557934394527824	0.000147610407851	0.000038369196644	0.259935577731519	0.287591141831308	1	5	9	15	16	17	20	19	17	20	22	20	23	22	24	26	38	42	0	1	2	1	4	4	8	5	2	8	3	6	12	12	14	2	11	16	1	3	3	6	1	2	1	2	7	1	7	2	1	1	1	9	8	9
