step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
10000	-201.394792694962803	-208.250280645922174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.726467957629590	1	3	2	2	2	5	5	7	6	8	6	8	10	9	10	11	10	10	12	12	15	12	13	14	14	14	16	15	17	15	16	18	17	17	19	18	18	19	19	20	22	0	1	1	1	1	3	5	11	0	11	7	9	9	9	9	10	0	14	18	10	16	18	19	20	16	16	30	20	24	25	30	23	21	21	34	24	31	33	19	32	29	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	3	1	3
10500	-219.113626275615729	-225.969114226575101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578875107712048	1	3	3	3	3	6	5	7	6	7	8	8	10	10	10	11	10	11	13	12	15	14	14	14	13	14	17	15	17	15	16	16	17	18	19	18	17	20	22	20	22	0	1	1	1	1	1	5	7	0	7	10	9	9	9	12	8	0	14	18	10	10	15	14	20	11	20	30	16	20	25	16	23	31	21	37	20	21	33	40	32	29	1	2	1	1	1	2	1	1	1	1	1	1	2	2	2	3	1	1	1	2	3	2	3	1	2	1	1	3	2	1	2	1	1	2	1	2	1	2	1	2	3
11000	-193.783730176971858	-200.639218127931230	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.719498426366265	1	3	3	3	3	6	4	7	7	6	8	9	9	9	10	10	10	11	13	12	14	14	12	14	13	14	15	16	16	15	16	17	16	17	19	18	18	19	20	21	21	0	1	1	1	1	1	5	10	0	7	10	9	9	9	12	10	0	14	14	8	25	18	18	20	16	16	21	24	24	25	25	23	25	21	34	29	31	33	32	32	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	2	1	1	1	3	1	2	1	1	1	1	2	2	2
11500	-209.889810289206395	-216.745298240165766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591176581370424	0	3	3	2	4	6	5	8	5	6	7	8	9	10	9	11	9	11	12	13	12	14	14	13	13	15	16	16	16	15	15	16	18	17	19	19	18	19	18	20	20	0	1	1	1	4	3	5	10	0	7	10	9	9	13	9	10	0	14	18	16	16	14	19	16	10	20	21	24	24	16	25	23	30	21	27	29	27	33	23	39	29	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	3	1	2	2	1	2	1	1	1	2	1	1	2	1	2	1	2
12000	-218.421454761166785	-225.276942712126157	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620308148524990	0	2	2	2	3	7	4	6	6	8	7	9	9	8	10	11	10	10	12	10	15	13	13	14	13	14	17	16	17	14	16	17	18	17	19	18	18	19	22	21	22	0	1	1	1	2	3	5	7	0	8	8	9	9	9	9	10	0	14	18	10	25	15	18	20	16	16	16	16	24	25	30	18	25	21	27	29	31	30	40	23	36	1	1	1	1	1	3	1	1	1	1	1	2	1	2	3	2	1	1	1	1	1	2	2	1	1	1	2	3	2	1	1	3	3	2	1	1	2	3	1	4	2
12500	-217.891412134519811	-224.746900085479183	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624909980179244	1	4	3	3	3	6	5	8	6	7	6	8	9	9	10	11	10	11	13	9	14	12	13	14	13	14	16	14	17	15	16	17	17	18	20	16	19	20	21	20	20	0	3	1	1	1	2	5	11	0	11	7	9	9	9	12	10	0	14	14	8	25	14	18	16	8	20	26	20	16	21	30	23	30	21	34	24	31	33	32	23	36	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	2	3	2	1	2	4	1	1	2	1	2	1	1	2	2	2	2	3
13000	-222.062021496616723	-228.917509447576094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706831660746393	0	3	2	3	2	6	5	6	6	8	7	8	8	9	10	12	10	12	13	13	13	13	14	15	13	15	16	15	17	16	17	17	17	17	19	19	18	18	21	18	21	0	1	1	3	1	3	5	7	0	8	8	9	9	9	12	8	0	14	14	16	11	14	18	20	16	20	21	20	24	25	10	23	25	16	30	29	25	30	32	23	36	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	1	3	2	2	1	1	1	2	1	1	2	4	2	2	3	1	1	2	1	2	1	1
13500	-224.515640702688017	-231.371128653647389	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632675808419477	1	3	4	2	3	6	4	8	6	7	6	8	8	9	10	12	11	9	12	12	14	13	12	15	13	16	17	15	16	15	14	16	18	16	19	18	18	17	21	20	22	0	1	2	1	1	2	5	7	0	11	7	9	9	9	12	10	0	9	14	8	8	23	18	20	16	24	16	21	21	8	25	23	38	25	27	29	31	25	32	32	36	1	1	1	1	1	2	1	3	1	1	1	1	1	2	1	2	1	2	2	2	4	1	2	1	1	1	3	1	1	3	1	2	1	1	1	2	2	1	2	2	1
14000	-233.496364607379206	-240.351852558338578	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708468751372690	0	4	2	1	3	6	4	8	6	6	8	8	9	9	10	12	9	12	12	10	14	14	11	14	12	13	16	15	16	15	16	16	18	16	19	18	18	17	18	21	20	0	1	1	1	4	5	1	10	0	7	10	9	9	12	9	11	0	14	14	11	16	18	14	20	8	20	21	24	20	16	30	23	38	26	34	24	31	30	18	39	36	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	2	1	2	2	1	1	1	1	2	2	2	2	1	3	3	1	3	1	2	1	1	1	1	3	2	1
14500	-217.833918718332598	-224.689406669291969	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757819722896936	-1	3	2	1	1	6	3	7	5	7	7	7	9	9	8	11	10	11	13	12	15	13	14	14	14	15	16	15	16	15	17	18	17	18	19	17	15	20	21	21	21	0	3	1	1	1	2	5	7	0	7	7	9	9	12	12	10	0	14	14	16	16	14	19	20	8	20	8	20	24	25	37	23	30	27	21	24	25	33	32	32	36	1	1	2	1	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	1	1	3	1	2	1	1	1	1	2	1	1	2	2	1	2	2	2	2
