step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35
10000	-256.346465410523024	-253.831148930818017	-2.515316479704993	0.000207422097282	0.000017687256639	0.085271805031052	0.623720836266224	6	12	13	13	14	18	17	16	17	15	19	19	17	18	18	19	20	21	22	22	21	25	22	21	23	24	24	26	25	25	24	27	27	28	28	0	1	0	2	4	5	4	2	8	3	5	6	2	13	8	2	9	16	15	6	7	19	16	11	6	18	13	22	9	20	11	29	12	29	26	1	3	1	1	1	3	1	2	1	1	2	1	2	1	2	4	2	1	1	2	2	2	1	1	1	1	2	1	5	1	3	1	3	2	2
10500	-233.726011844746324	-231.425377985767341	-2.300633858978988	0.000172152424516	0.000017674931679	0.102670245447401	0.554743666950648	5	13	13	12	14	17	17	16	16	16	18	19	17	17	18	21	20	21	22	20	22	25	23	21	23	23	24	25	25	25	25	27	28	29	29	0	4	0	1	2	4	2	2	4	3	4	2	4	9	8	6	15	2	8	2	11	17	17	11	13	20	18	15	18	16	27	22	30	32	26	1	1	1	4	1	2	2	1	2	1	3	4	2	1	1	2	1	5	3	4	3	4	1	2	2	2	1	3	1	2	1	1	2	1	3
11000	-230.832813686621336	-228.914682649028379	-1.918131037592950	0.000219418489933	0.000033408131613	0.152257595169676	0.659710260747209	6	13	13	12	15	17	17	15	16	16	17	17	18	18	18	21	20	19	23	22	22	24	22	21	23	23	25	26	24	25	25	27	26	28	28	0	4	0	1	2	8	2	4	2	3	5	4	7	7	6	2	15	7	15	7	6	23	9	18	21	18	23	22	23	23	29	28	16	32	26	1	1	1	3	1	2	2	2	2	1	1	2	1	1	1	3	1	1	3	2	3	1	2	1	1	1	1	1	1	2	1	1	2	1	2
11500	-247.669189015899974	-245.437399314683489	-2.231789701216495	0.000221686098809	0.000024263956014	0.109451860733972	0.537183815840308	5	13	12	10	15	16	17	16	18	15	17	18	18	18	19	20	19	21	21	21	22	22	22	22	23	22	25	24	26	25	23	27	28	26	29	0	4	0	1	4	4	5	2	4	3	2	11	6	8	8	9	8	11	17	11	6	15	17	18	6	18	20	15	20	12	20	22	29	17	26	1	2	1	2	2	3	1	2	5	2	2	1	1	1	1	1	1	1	2	1	3	1	1	1	3	1	4	2	3	3	1	1	2	3	2
12000	-230.519937212347259	-228.996678627215175	-1.523258585132085	0.000128307698111	0.000035854992075	0.279445369236987	0.539415753103436	5	13	12	12	13	16	18	15	16	15	17	18	17	19	18	20	17	21	22	20	19	24	22	20	22	22	24	25	25	25	26	27	29	29	30	0	4	0	1	4	4	11	4	8	3	5	6	4	8	17	12	8	24	14	21	4	9	15	11	2	24	21	14	20	12	20	28	16	22	26	1	1	1	3	1	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	3	4	2	2	4	1	3	3	2	4	2	1	3	3	4
12500	-242.203535168233060	-240.077589914701434	-2.125945253531635	0.000213353199172	0.000025898111071	0.121386092038090	0.517116698567758	6	12	13	12	15	17	18	17	18	16	18	18	17	19	18	21	19	19	21	21	22	24	23	21	20	23	24	24	25	26	25	27	26	28	29	0	1	0	1	2	4	6	5	8	3	5	5	2	13	8	6	15	12	17	25	11	15	17	18	11	24	25	9	20	16	11	19	16	19	31	1	3	1	2	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	2	2	2	2	4	3	3	3	2
13000	-224.191401527690715	-222.303210454638503	-1.888191073052219	0.000116566524472	0.000018397574656	0.157828971393747	0.658692060477970	5	13	13	12	14	16	16	17	18	14	19	19	17	18	18	21	19	21	22	21	23	23	21	22	23	23	25	26	25	26	24	28	28	25	29	0	4	0	1	4	4	4	2	2	3	2	6	4	8	8	6	15	11	23	11	20	8	17	18	20	18	25	19	25	16	25	28	16	15	26	1	1	1	3	1	2	2	3	1	1	3	2	2	1	1	3	1	1	1	2	1	3	1	1	1	1	1	2	1	2	1	1	3	4	3
13500	-231.388907300709548	-229.070836787324822	-2.318070513384734	0.000125482073580	0.000012681004123	0.101058292716960	0.443694860285128	5	13	13	13	14	18	18	15	18	16	18	18	17	17	19	20	20	19	23	21	23	24	21	22	23	24	23	25	25	25	26	27	26	29	28	0	1	0	1	2	2	4	2	8	3	5	2	2	8	8	2	15	4	17	16	11	24	15	9	20	18	20	22	20	16	29	28	6	32	24	1	4	1	4	1	2	2	1	2	2	2	3	2	1	2	3	1	2	1	1	3	1	1	3	2	2	1	1	3	2	1	1	4	1	2
14000	-223.325080003824581	-221.204950969684290	-2.120129034140295	0.000206892058578	0.000025262136071	0.122102976040144	0.714051555484815	5	13	12	12	15	18	18	16	16	15	17	18	17	19	18	21	20	20	21	21	21	23	22	21	23	23	22	26	25	25	25	27	28	28	29	0	4	0	1	2	8	13	4	4	3	9	8	4	15	9	6	15	11	15	11	14	14	17	11	11	18	20	22	27	16	20	22	30	28	26	1	1	1	2	1	1	1	2	2	2	1	1	3	1	1	2	1	2	1	2	1	1	1	2	3	1	1	2	1	2	2	2	1	2	3
14500	-232.330027825348566	-230.646682220643498	-1.683345604705067	0.000177798365976	0.000037122766716	0.208791382935103	0.653121169256810	5	13	13	11	15	17	16	15	18	15	19	18	17	17	19	21	20	20	23	20	22	24	21	21	24	22	24	24	24	25	26	27	28	28	29	0	4	0	1	2	2	4	2	8	3	5	6	5	8	9	12	15	5	17	6	20	9	15	18	20	18	20	15	8	12	25	28	29	28	26	1	1	1	2	1	2	3	1	2	1	2	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	2	2	4	4	1	2	2	3	2
15000	-260.714970485347180	-258.750336548792120	-1.964633936555087	0.000147896978992	0.000021335623704	0.144260037283960	0.497006961003630	5	12	13	13	15	17	16	17	18	15	17	19	17	19	17	21	20	20	21	22	22	22	20	22	21	23	24	24	26	24	26	26	28	28	30	0	1	0	2	2	5	2	2	15	3	7	6	5	8	2	2	15	5	17	5	13	23	9	18	5	7	26	15	5	6	27	28	30	17	18	1	4	1	1	3	2	2	2	1	1	1	2	1	1	2	5	2	2	1	4	2	1	2	1	3	5	1	2	6	3	1	1	2	5	4
15500	-253.937930894218226	-251.591313942715260	-2.346616951502957	0.000156604679804	0.000015426197599	0.098504065260011	0.397184915362061	4	12	13	12	14	16	17	15	18	15	19	18	17	16	19	20	19	20	23	21	21	24	23	21	22	23	24	25	26	25	26	26	28	27	30	0	1	0	1	2	2	8	4	14	3	8	6	2	4	14	2	14	5	14	8	4	9	14	16	21	24	25	15	25	23	25	4	30	15	18	1	5	1	3	1	1	1	2	2	2	3	1	3	2	2	5	2	3	4	3	3	3	4	1	1	1	1	4	2	1	2	8	1	3	6
16000	-269.259621535859310	-267.033736398438350	-2.225885137420946	0.000191452047837	0.000021072495327	0.110066701114610	0.489868770905410	6	13	13	12	14	15	16	15	16	15	16	18	17	18	17	21	18	21	23	21	22	23	23	21	23	22	24	24	25	24	25	28	27	28	30	0	4	0	1	2	2	2	5	8	3	5	6	4	8	9	12	2	14	17	6	20	15	8	13	20	18	25	9	24	6	25	23	16	20	26	1	1	1	3	1	1	1	1	1	1	2	1	1	2	1	2	3	2	2	3	1	4	3	2	2	1	1	4	2	4	1	3	5	2	3
16500	-239.971467077359335	-238.302922004473231	-1.668545072886100	0.000075837484588	0.000016207580444	0.213714636393380	0.442085477702727	3	13	13	12	15	16	16	16	18	16	18	18	16	17	18	19	20	19	22	21	22	24	22	21	23	24	24	22	26	26	25	27	29	28	29	0	4	0	1	4	4	4	4	8	3	5	6	4	8	14	6	15	5	15	4	4	19	17	18	21	24	20	17	20	12	25	28	16	32	18	1	1	1	4	2	2	1	2	2	2	2	1	1	1	1	2	1	3	2	3	3	1	1	1	1	2	2	1	3	4	1	3	6	1	3
17000	-257.128465285250968	-255.290943023560317	-1.837522261690648	0.000188180845793	0.000031638934651	0.168130473204482	0.528331243985504	3	12	13	11	14	18	18	16	18	14	17	18	17	18	18	20	19	21	22	22	21	23	23	22	22	21	25	25	25	24	24	27	29	28	30	0	4	0	1	2	4	8	4	4	3	5	8	2	8	8	12	8	13	11	11	6	17	11	7	8	9	20	23	31	18	20	22	12	28	26	1	1	1	4	1	3	1	2	4	1	2	1	2	1	1	2	1	3	2	2	2	2	2	2	3	2	1	1	1	1	1	3	7	2	5
17500	-252.228642728341811	-250.526342201985699	-1.702300526356122	0.000146417331772	0.000029694476102	0.202807111304553	0.348308893653418	5	13	12	12	14	17	18	17	15	15	16	19	17	18	19	20	19	21	22	20	23	23	22	22	21	24	24	25	26	25	25	27	29	28	28	0	1	0	1	2	4	11	9	4	3	5	4	4	9	9	2	9	8	8	13	20	23	14	18	20	18	25	15	27	16	20	15	6	28	18	1	5	1	4	1	3	1	2	1	2	1	3	2	2	2	3	2	2	1	1	2	1	1	1	1	2	1	3	2	3	1	3	7	2	4
18000	-247.754017105836226	-245.725383126828632	-2.028633979007585	0.000137058572546	0.000018417555276	0.134377258819616	0.362668788248126	6	12	14	13	14	18	17	14	18	16	18	19	17	18	16	21	19	19	22	22	22	25	21	21	22	23	24	25	25	26	26	27	28	29	30	0	1	0	2	4	2	2	2	2	3	5	2	2	15	8	15	8	2	17	9	2	23	17	18	4	18	2	9	12	16	25	28	30	32	26	1	3	1	1	1	3	2	1	4	1	2	3	3	1	2	2	2	3	2	3	5	3	1	1	5	3	5	4	4	3	1	1	1	2	2
18500	-256.628628678592122	-254.233523121911247	-2.395105556680880	0.000162923975311	0.000015378619293	0.094391382626082	0.412821837281494	6	13	12	11	14	18	17	16	15	15	19	17	15	19	18	21	20	21	21	22	23	23	23	20	23	23	24	24	25	25	26	26	29	28	30	0	1	0	1	4	12	13	9	2	3	5	2	4	2	9	6	4	24	14	11	13	2	9	2	14	24	20	19	14	12	29	22	12	23	26	1	2	1	2	2	1	1	1	1	2	2	2	2	4	2	2	4	1	1	2	4	4	3	3	3	2	1	1	2	4	1	2	4	1	4
19000	-252.026932546875088	-249.374112973331165	-2.652819573543920	0.000391437208945	0.000029903684963	0.076394589680675	0.676363340977324	6	13	13	12	14	18	16	17	16	15	18	18	18	19	19	21	20	20	22	21	22	23	21	20	24	24	25	25	25	26	26	26	27	28	29	0	1	0	1	2	5	5	5	5	3	7	5	5	9	7	13	5	6	8	6	20	19	8	5	22	24	6	14	21	11	25	22	27	30	18	1	3	1	3	1	2	1	1	1	2	1	2	1	1	1	2	3	1	2	2	1	1	2	2	1	1	3	3	2	4	1	1	1	1	3
19500	-231.675458770869028	-229.927541542961364	-1.747917227907669	0.000117641017014	0.000022315933264	0.189695174612635	0.658950671648905	5	12	13	13	14	18	18	16	17	14	17	18	17	18	19	20	19	20	22	20	22	23	22	21	22	23	25	25	24	24	25	27	25	28	29	0	1	0	1	4	4	5	4	8	3	5	2	2	8	4	4	9	7	17	15	11	9	17	15	20	16	25	22	20	16	29	28	12	32	26	1	3	1	4	1	2	2	1	1	1	1	4	2	1	4	4	1	1	2	1	1	3	1	1	1	1	1	1	2	2	1	1	3	1	3
20000	-277.675991063488425	-275.900041024504901	-1.775950038983506	0.000202183796569	0.000036881539526	0.182415901529939	0.437429481744617	5	13	13	13	14	17	17	16	16	15	19	19	17	18	17	20	19	20	22	20	21	23	22	22	22	23	24	25	26	26	22	28	28	28	29	0	1	0	1	4	5	8	2	4	3	9	4	2	9	2	6	7	12	17	12	11	9	15	18	5	18	20	19	23	16	15	25	16	15	31	1	5	1	4	1	2	1	2	1	1	2	2	3	1	2	1	1	1	1	1	1	5	3	1	6	1	2	2	2	3	2	3	4	6	2
20500	-241.407287761133375	-239.689419619961882	-1.717868141171507	0.000129911947378	0.000025740665243	0.198139322539256	0.616228943810649	5	12	13	13	14	16	18	14	18	15	18	19	16	18	16	20	20	20	22	21	22	24	23	21	23	22	25	25	25	25	25	28	29	29	28	0	1	0	2	4	2	4	2	2	3	5	6	4	15	2	7	8	7	15	4	20	19	7	11	20	18	25	19	19	16	25	28	30	22	18	1	4	1	1	1	2	2	1	3	1	2	2	2	1	2	1	2	1	4	4	1	1	1	2	1	1	1	2	1	2	1	2	1	3	3
21000	-239.523508381045730	-237.423998576129236	-2.099509804916483	0.000130909287916	0.000016324600995	0.124701625488857	0.460430014726894	5	13	13	12	14	16	17	17	18	15	19	17	17	18	17	20	19	20	21	22	23	23	23	21	21	22	23	25	26	24	25	27	28	29	28	0	1	0	1	4	4	2	5	7	3	2	2	4	8	4	6	15	13	11	25	11	19	8	11	7	11	13	22	25	6	20	28	30	32	18	1	4	1	4	1	2	2	1	1	1	3	2	3	1	3	2	1	1	1	1	3	1	3	1	1	2	3	2	2	3	2	1	2	1	4
