step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35
45500	-275.922168169457507	-273.988678884531680	-1.933489284925845	0.000161776096516	0.000024190771665	0.149532422814675	0.519840046323192	4	11	13	12	14	17	16	16	16	15	17	18	17	18	19	21	19	20	22	21	21	24	23	22	24	24	24	25	25	26	24	25	29	27	30	0	1	0	2	2	8	4	2	4	3	5	6	2	9	13	2	14	2	17	7	7	14	19	11	9	11	2	9	18	22	19	25	6	32	26	1	5	1	1	1	1	3	3	2	1	2	1	4	1	1	7	1	5	2	3	1	2	1	2	5	3	7	4	3	1	1	1	6	2	3
46000	-241.153657292910140	-238.926741232484801	-2.226916060425333	0.000143667335517	0.000015797509646	0.109958951970678	0.640230376106266	6	12	13	12	14	17	17	14	17	14	18	19	15	18	18	20	19	19	22	20	21	22	22	21	22	22	23	24	24	26	26	26	27	27	28	0	1	0	1	4	2	2	4	8	3	13	2	2	8	8	6	8	11	9	4	15	8	17	18	11	18	25	23	27	16	29	22	16	32	26	1	3	1	3	1	1	3	1	2	1	1	4	2	2	2	1	3	1	3	4	2	3	1	1	2	1	1	1	1	4	1	2	4	1	3
46500	-247.201376816750440	-245.313444541166064	-1.887932275584367	0.000181692041539	0.000028685303402	0.157878700458250	0.505772109916188	5	12	13	11	14	16	17	15	18	15	18	18	16	18	18	21	19	20	21	21	21	24	22	20	23	22	24	25	26	26	25	26	27	28	29	0	4	0	1	2	4	6	4	8	3	7	7	4	4	8	12	15	4	17	2	13	19	19	9	7	18	18	19	22	16	25	20	6	22	26	1	1	1	3	1	3	1	1	2	2	1	1	2	3	2	1	1	3	1	5	2	1	1	1	2	1	2	2	1	2	2	3	5	2	5
47000	-239.220581538897960	-236.830462296676615	-2.390119242221342	0.000259019120619	0.000024555486338	0.094801828835352	0.550309661096656	6	12	12	13	15	17	17	16	18	14	17	19	17	18	19	21	19	19	21	21	22	24	22	20	22	24	24	25	25	25	25	26	27	27	28	0	1	0	2	4	2	5	4	8	3	5	4	4	8	4	4	8	11	17	15	7	19	9	6	14	24	21	14	6	15	20	17	12	28	26	1	3	1	1	1	3	1	1	1	1	1	2	2	1	3	4	2	1	1	1	2	1	2	2	2	2	1	2	4	2	2	3	3	1	3
47500	-245.343208660685207	-243.337312872564553	-2.005895788120654	0.000165318681057	0.000022773049946	0.137752429430381	0.383945910022990	6	13	13	12	14	17	18	15	17	16	17	18	18	18	18	20	19	20	22	21	22	22	22	21	24	23	25	25	26	25	25	25	29	28	28	0	1	0	1	4	2	4	2	8	3	8	4	2	9	6	6	2	2	15	18	4	15	2	5	20	24	25	4	20	16	25	19	24	22	18	1	3	1	3	1	2	2	2	1	2	1	2	2	1	1	1	4	3	2	1	4	2	4	4	2	1	1	7	2	3	1	2	4	3	4
48000	-241.488765021914872	-239.355696342672104	-2.133068679242759	0.000145008272519	0.000017476032071	0.120517483366873	0.489036699086104	6	12	14	13	15	18	17	16	17	16	19	18	16	19	18	19	19	20	22	20	22	24	23	21	24	23	24	25	26	24	25	27	29	29	28	0	1	0	2	2	2	4	2	2	3	4	2	2	9	2	13	15	7	8	7	11	19	8	18	20	11	20	22	20	11	27	22	30	23	26	1	3	1	1	1	2	2	1	3	2	4	2	2	1	3	2	1	2	3	2	1	2	3	1	2	2	3	1	3	2	1	2	3	3	2
48500	-231.480955360858161	-229.274402725845164	-2.206552635012983	0.000120964844012	0.000013562481519	0.112119199837002	0.549006017810883	5	12	13	13	14	18	18	15	16	14	18	18	18	18	19	20	19	20	23	20	21	23	22	22	22	22	24	26	26	26	24	26	28	28	29	0	1	0	2	2	2	2	2	4	3	5	2	2	8	9	6	9	11	8	13	11	17	17	18	20	12	20	17	25	12	25	23	12	28	26	1	3	1	1	1	3	2	1	2	1	2	3	2	1	2	1	2	1	4	1	1	2	2	1	1	3	2	3	2	4	2	2	5	1	4
49000	-240.731447150212972	-238.202453257967193	-2.528993892245776	0.000214711512801	0.000018104593288	0.084320552035388	0.405316878048235	6	13	14	11	15	17	17	15	17	15	16	18	18	18	19	21	19	20	23	20	22	23	22	21	23	22	24	25	25	25	25	28	29	26	29	0	4	0	1	2	2	8	4	2	3	2	11	2	11	11	18	14	11	14	11	11	15	17	18	5	18	9	23	19	16	27	22	6	19	11	1	1	1	2	1	2	1	2	2	1	2	1	3	2	2	1	1	2	3	2	3	2	2	1	3	1	2	2	1	2	1	3	7	2	6
49500	-239.174007844926962	-236.923214751970278	-2.250793092956680	0.000127060858910	0.000013660312076	0.107509993187487	0.552181626129977	6	13	12	12	14	16	16	16	18	15	18	17	17	18	17	20	19	19	22	21	23	24	23	21	24	22	24	25	26	25	25	25	28	29	29	0	4	0	1	4	4	2	2	8	3	4	6	4	8	8	4	15	4	15	2	4	19	15	18	19	18	20	9	20	21	25	23	21	28	26	1	1	1	2	1	2	2	2	1	2	2	1	2	1	1	5	1	3	3	2	6	1	3	1	1	2	2	3	3	1	1	1	3	3	4
50000	-263.804635629369272	-261.467661163186563	-2.336974466182722	0.000292183465701	0.000029029995134	0.099355365864364	0.510296253716758	4	13	13	11	15	17	17	16	17	15	19	18	17	18	18	19	19	18	22	20	23	25	23	22	23	23	23	26	25	22	25	28	28	29	30	0	4	0	1	2	4	5	5	8	3	5	8	2	9	2	2	2	7	14	11	20	7	6	18	11	4	7	29	11	12	20	23	25	28	24	1	1	1	5	1	3	1	1	1	1	2	1	1	1	2	4	3	1	2	1	2	3	2	2	2	7	2	1	3	2	3	3	3	1	3
50500	-247.256318819560306	-245.159141764416205	-2.097177055144105	0.000158061629159	0.000019757922512	0.125001384693234	0.394941354878400	5	13	13	12	14	17	18	15	17	16	19	19	18	17	18	20	19	20	22	21	21	23	22	20	23	23	25	26	23	26	25	25	27	29	29	0	1	0	1	1	2	9	2	8	3	14	14	4	4	8	6	15	7	15	7	13	15	9	5	7	24	25	23	4	29	25	29	29	32	29	1	4	1	3	5	2	1	1	1	2	1	1	3	2	1	2	1	1	2	2	2	2	2	3	2	1	1	2	6	2	1	1	2	2	4
51000	-236.189474336081815	-233.661467625718217	-2.528006710363610	0.000306860656673	0.000025895561710	0.084388666801029	0.720227511094646	5	12	12	11	13	16	15	16	17	16	19	18	18	17	19	20	19	19	23	21	22	24	22	21	21	23	24	25	24	26	26	27	26	28	29	0	4	0	1	2	2	2	2	6	3	12	2	6	7	14	11	14	6	23	11	20	20	17	18	6	25	6	19	11	29	17	31	29	31	31	1	1	1	3	1	3	1	2	1	3	1	3	1	1	1	1	1	1	1	2	1	2	2	1	2	1	3	1	3	1	3	1	1	1	1
51500	-227.935533599638802	-226.003582176286642	-1.931951423352153	0.000143694141679	0.000021525589564	0.149801441536095	0.615970346844420	6	12	13	13	15	17	17	16	18	15	18	17	17	18	19	21	20	20	22	21	22	24	21	22	22	23	25	25	26	24	24	27	28	28	28	0	1	0	2	4	2	4	4	8	3	4	2	2	5	9	11	15	11	15	5	13	19	9	18	7	24	20	19	25	16	21	22	6	28	26	1	3	1	1	1	2	2	2	1	1	3	2	2	2	1	2	1	1	2	3	3	1	1	1	2	1	1	1	1	1	2	1	4	2	3
52000	-252.387243285502365	-250.592060675475778	-1.795182610026585	0.000182497419544	0.000032433257556	0.177718992611815	0.478677662739140	6	12	13	13	14	17	18	16	18	15	19	19	16	19	18	20	20	20	21	22	23	24	23	22	23	23	25	25	26	23	25	27	27	28	27	0	1	0	2	4	2	13	4	8	3	5	6	2	8	8	12	15	2	17	11	6	17	17	2	4	13	20	22	9	16	30	21	16	29	18	1	3	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	3	1	1	3	2	1	3	5	3	2	1	3	3	1	2	3	1	4
52500	-257.691929248339932	-255.436139342986934	-2.255789905353020	0.000188808647748	0.000020204138195	0.107008542438596	0.458078178894309	6	13	13	12	14	17	17	16	17	15	18	18	16	19	17	20	20	21	23	21	23	24	22	21	23	24	24	25	26	24	26	27	28	26	29	0	4	0	1	2	4	2	4	2	3	4	2	4	15	13	11	15	4	8	11	11	9	17	11	2	11	7	25	12	12	27	17	29	17	20	1	1	1	4	1	2	2	3	1	1	3	3	2	1	1	1	2	6	2	2	3	3	1	1	5	3	3	1	4	3	1	4	1	4	4
53000	-229.916820230490941	-227.236484201479783	-2.680336029011158	0.000209957419609	0.000015701822798	0.074785748593946	0.653887083469944	6	13	13	11	14	17	18	16	16	15	19	19	18	18	19	20	18	19	22	22	23	24	21	21	23	23	24	25	24	26	25	27	27	28	29	0	4	0	1	4	2	8	4	5	3	2	5	4	9	17	5	9	2	17	16	12	19	14	14	20	11	16	22	20	12	20	22	16	32	26	1	1	1	3	2	2	1	2	1	1	3	2	3	2	1	3	1	2	2	1	2	1	1	1	1	2	2	1	1	2	2	1	2	1	2
53500	-246.214665616522552	-243.665976454477118	-2.548689162045449	0.000149596279419	0.000012413333942	0.082978894863110	0.482946094742419	6	12	13	13	15	16	16	15	18	15	18	19	18	18	19	19	20	21	22	22	23	24	23	22	24	23	23	25	26	22	26	27	26	29	29	0	1	0	2	4	2	4	2	7	3	5	2	2	8	9	6	15	2	8	7	20	19	15	6	18	24	13	20	27	2	27	28	20	32	18	1	3	1	1	1	2	2	2	1	1	2	2	3	1	1	1	1	2	3	4	1	1	2	3	1	1	3	1	1	5	1	1	2	1	4
54000	-241.166059217327103	-239.233756672573918	-1.932302544753193	0.000162018009055	0.000024260567803	0.149739945236758	0.397397044422089	5	12	13	11	15	18	16	16	18	15	18	17	17	19	17	20	19	20	22	21	23	25	20	21	23	24	24	25	25	25	25	27	28	29	30	0	4	0	1	4	12	2	2	7	3	8	4	4	9	5	12	15	5	8	4	13	15	9	5	5	18	4	20	13	6	5	28	12	32	18	1	1	1	3	2	1	2	2	1	2	1	2	2	1	1	2	1	2	3	3	4	3	1	3	4	2	6	1	4	3	4	1	6	1	5
54500	-234.479012036246871	-232.126452218979040	-2.352559817267834	0.000157833754312	0.000015465353169	0.097985080799975	0.458516803727286	6	12	14	11	14	18	17	17	16	15	17	16	18	19	18	19	20	18	22	21	22	24	22	20	22	23	24	25	24	25	25	27	28	28	30	0	4	0	1	4	2	1	4	2	3	5	2	4	7	9	12	15	5	17	11	7	23	17	18	13	18	20	23	20	12	25	28	16	32	26	1	1	1	2	1	4	5	3	2	1	3	3	3	1	1	2	1	2	1	1	2	1	1	1	2	2	2	1	2	4	2	1	4	1	2
55000	-236.159516208023547	-234.031489589383852	-2.128026618639705	0.000172706900011	0.000020920199952	0.121131234193126	0.426557257348553	5	11	13	13	15	16	17	16	17	15	19	18	17	19	18	20	19	20	22	22	22	24	23	21	24	23	24	26	26	24	25	27	28	28	29	0	1	0	1	2	4	5	2	8	3	5	4	2	9	9	12	15	4	15	13	18	15	15	13	13	24	20	25	2	12	20	22	16	28	26	1	2	1	4	1	2	2	1	1	1	1	2	3	2	1	2	1	3	3	2	1	3	2	2	5	1	1	1	6	3	2	2	4	2	3
55500	-255.458610829500458	-253.284741226311013	-2.173869603189441	0.000128200039270	0.000014836958435	0.115732869659116	0.409182630920419	5	11	14	13	14	17	17	16	17	16	19	18	16	17	19	21	18	19	23	22	23	24	23	20	22	24	24	26	25	22	26	27	25	29	29	0	1	0	2	2	2	4	4	8	3	6	2	2	2	17	6	9	4	15	5	20	8	15	2	9	24	25	15	14	12	20	28	12	32	26	1	3	1	2	2	3	2	2	1	1	1	3	2	3	1	2	1	3	3	3	1	4	2	5	2	2	1	4	4	4	4	1	3	2	2
56000	-244.934508390636068	-242.587191793829845	-2.347316596806229	0.000217353412012	0.000021396865907	0.098442742207845	0.545790308708820	5	12	11	13	15	17	16	16	17	15	19	18	16	19	18	21	20	21	22	22	21	25	23	22	23	23	24	25	26	25	25	26	27	29	30	0	1	0	2	4	5	4	2	13	3	4	2	2	8	8	6	9	12	17	11	9	23	17	12	7	18	20	17	27	16	12	22	28	23	26	1	4	1	1	1	1	1	2	1	3	4	3	2	2	1	2	1	2	1	1	1	1	2	2	3	1	1	3	1	2	4	1	1	3	4
56500	-272.084649702645947	-270.107342804896177	-1.977306897749753	0.000191778176130	0.000027272014339	0.142206036628858	0.463499854777659	6	12	12	12	14	17	17	16	17	15	19	18	18	18	18	18	19	18	23	21	23	24	22	22	24	23	25	24	26	25	25	25	27	27	30	0	1	0	1	2	8	5	4	8	3	5	4	2	7	4	2	7	5	9	5	23	14	9	11	5	24	6	23	4	12	15	25	25	32	26	1	4	1	3	1	1	2	3	1	2	2	2	3	1	3	3	2	2	2	4	1	2	3	1	5	1	3	1	5	4	2	1	1	1	4
57000	-265.644146994401410	-263.763355092737129	-1.880791901664260	0.000346033412984	0.000055109918853	0.159261842309569	0.581098461544672	5	12	13	10	14	18	16	16	18	15	18	18	15	19	19	21	19	21	23	22	23	23	23	21	22	23	25	24	25	25	24	28	29	28	29	0	4	0	1	2	5	5	5	5	3	7	7	4	6	2	17	6	6	11	24	16	5	12	11	6	15	15	23	31	22	20	19	12	17	26	1	1	1	3	1	2	2	1	2	1	1	2	2	1	3	2	1	1	3	1	1	5	3	2	2	1	3	1	1	1	1	3	5	6	3
57500	-243.720850531787761	-241.652520230312717	-2.068330301475031	0.000180320624705	0.000023227019432	0.128809555036556	0.530274754735681	5	11	13	12	14	16	18	17	15	16	18	18	17	19	19	21	19	19	23	21	22	24	22	21	23	21	23	25	25	26	25	28	28	28	29	0	1	0	1	4	4	13	9	4	3	5	6	4	9	8	12	8	2	15	11	6	18	9	18	20	18	20	23	11	16	20	22	16	4	26	1	4	1	4	1	2	1	1	1	2	2	1	2	1	2	2	1	4	2	2	3	2	3	1	1	1	1	1	3	2	2	2	4	6	5
58000	-267.429779688352482	-264.966708958982906	-2.463070729369574	0.000335746139740	0.000029901841211	0.089060863766395	0.543101370220591	6	12	13	12	15	18	18	17	18	15	19	18	18	16	18	20	19	21	21	22	23	24	21	21	21	24	25	25	25	24	24	28	28	28	29	0	1	0	1	4	5	14	14	8	3	12	4	4	2	14	7	15	11	12	6	18	20	15	16	11	16	25	13	11	6	25	22	29	22	18	1	3	1	3	1	2	1	1	1	1	1	4	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	2	1	2	2	2	4
58500	-243.929111251579002	-241.841610018725220	-2.087501232853793	0.000203835342882	0.000025735761139	0.126257599760088	0.457568339912407	5	13	14	12	13	16	17	15	17	15	18	18	17	19	19	18	20	19	23	20	22	23	22	21	22	23	24	25	25	25	25	27	25	28	28	0	4	0	1	4	8	8	4	2	3	5	2	4	9	9	6	15	8	15	12	20	8	17	18	2	25	12	8	11	25	20	29	16	17	26	1	1	1	3	1	1	1	2	1	1	2	4	3	1	1	1	1	2	2	1	1	3	1	2	5	1	4	4	3	1	2	1	4	3	3
59000	-256.831630409284628	-254.419392092800308	-2.412238316484328	0.000204153386684	0.000018986665730	0.093001963074359	0.421010796412045	4	12	14	11	14	17	18	16	17	16	17	16	17	19	19	20	19	20	22	21	23	25	22	20	23	22	22	25	24	26	25	27	27	28	29	0	4	0	1	2	4	8	4	12	3	5	2	4	9	13	4	9	2	17	18	23	15	12	12	2	24	11	25	8	16	20	28	6	28	18	1	1	1	4	1	2	1	2	1	1	1	2	3	1	1	4	2	4	1	1	1	3	3	2	6	1	3	1	4	3	2	2	5	1	3
59500	-221.158367052287900	-218.885419540599770	-2.272947511688123	0.000162901690996	0.000017155962226	0.105314819759654	0.481552270209379	5	12	13	12	14	17	16	16	18	14	18	17	18	17	19	20	18	21	22	21	23	23	22	22	24	23	24	25	25	25	25	27	28	28	29	0	1	0	1	2	4	4	2	8	3	7	4	2	8	17	4	8	2	9	16	18	17	15	4	20	18	24	22	20	6	20	22	24	28	26	1	3	1	3	1	2	2	2	1	1	1	2	3	1	1	4	1	5	2	1	1	2	1	5	2	2	1	1	2	3	2	2	4	1	2
60000	-229.133513022953593	-227.069790339784845	-2.063722683168744	0.000175144053454	0.000022669904367	0.129435763987595	0.613151791650721	6	12	12	13	15	17	16	15	17	16	17	18	18	18	17	20	19	20	22	21	22	25	21	21	22	24	25	25	25	26	24	27	28	28	29	0	1	0	2	4	2	2	2	8	3	5	2	2	8	2	2	14	11	16	13	7	14	17	18	16	21	20	21	25	21	21	19	30	16	26	1	3	1	1	1	2	2	1	1	2	1	2	3	2	2	4	1	1	1	2	4	3	1	1	1	1	2	1	2	2	1	2	1	4	2
60500	-253.059874044647728	-251.300010964957693	-1.759863079690040	0.000160294406688	0.000029899244845	0.186527062687641	0.469859987206576	5	12	13	10	14	14	17	16	17	15	19	19	17	16	18	20	17	19	23	21	23	24	22	20	22	23	24	24	25	25	26	27	27	29	29	0	4	0	1	2	2	5	2	14	3	5	13	4	6	17	12	14	7	15	11	8	17	15	4	7	18	13	23	24	24	22	28	30	29	26	1	1	1	3	1	2	1	2	1	2	2	1	5	1	1	1	1	1	2	2	3	5	2	5	3	2	4	1	3	3	1	2	2	2	3
61000	-264.244454410626588	-261.656412111546331	-2.588042299080278	0.000174503657535	0.000014028934527	0.080393355220047	0.530820186442102	6	12	11	13	15	16	17	15	17	16	18	18	18	18	19	20	20	20	22	21	23	25	22	21	23	24	24	25	25	24	23	28	29	27	29	0	1	0	2	4	2	5	2	8	3	4	6	2	9	8	2	9	11	8	11	16	15	17	11	20	24	20	17	15	6	15	29	30	29	26	1	3	1	1	1	3	1	2	2	1	2	2	3	1	3	4	2	1	3	2	1	4	1	2	1	2	1	2	2	4	3	2	3	1	1
61500	-255.725853893778634	-253.553144905856186	-2.172708987922461	0.000149904980571	0.000017368689760	0.115864661023826	0.460433996861327	6	12	12	13	14	17	17	15	16	15	17	18	17	18	17	19	20	21	22	21	22	25	22	21	23	24	24	26	24	26	26	27	29	28	28	0	1	0	1	2	2	5	2	2	3	5	4	2	9	8	2	8	6	17	4	11	4	15	11	11	18	11	23	23	16	25	8	6	28	26	1	2	1	5	1	3	2	2	2	2	2	3	2	1	1	3	3	2	2	2	3	5	3	1	3	1	4	2	1	3	1	5	6	1	1
62000	-228.922407113252206	-226.879478364614812	-2.042928748637401	0.000140966714950	0.000018653619661	0.132326412428012	0.580663765752121	6	13	14	11	14	18	16	16	17	16	18	19	17	18	18	20	19	18	22	22	22	24	22	20	23	24	24	25	24	25	25	26	28	28	29	0	4	0	1	2	9	2	2	2	3	5	6	4	8	8	12	15	4	9	8	9	23	8	5	18	18	20	14	19	16	25	22	30	32	26	1	1	1	2	1	1	1	1	3	1	2	1	2	2	1	1	1	3	2	3	2	1	3	3	2	3	1	5	1	3	1	1	2	1	3
62500	-239.606467361919471	-237.391965799976504	-2.214501561942964	0.000160721686819	0.000017883159362	0.111267867556013	0.560005767290563	6	13	12	12	14	17	18	16	17	14	17	19	17	18	19	18	19	20	22	22	22	23	19	19	22	23	24	25	25	25	26	27	28	29	30	0	1	0	1	4	2	11	4	8	3	5	4	2	4	8	2	2	11	9	16	23	19	4	11	13	24	25	22	20	12	27	28	16	32	33	1	3	1	3	1	2	1	2	1	1	2	3	2	2	2	3	2	1	3	2	2	1	4	1	2	2	2	1	2	3	1	1	6	1	1
63000	-263.531439127164106	-261.415234670172708	-2.116204456991416	0.000266139014844	0.000032626156872	0.122590657710991	0.562137711090848	5	13	13	10	15	16	16	15	17	15	18	18	18	18	19	20	19	20	23	21	22	23	22	22	23	24	23	25	25	25	26	25	28	28	29	0	4	0	1	4	2	4	2	8	3	6	2	7	5	14	7	2	7	9	14	7	14	15	11	13	27	14	27	23	25	26	27	12	20	26	1	2	1	3	2	2	3	1	2	1	1	2	1	1	1	2	4	2	3	2	2	2	3	1	2	1	3	1	2	1	1	1	5	3	2
63500	-271.120846038294189	-268.589236933109646	-2.531609105184536	0.000305503261025	0.000025705199789	0.084140508689480	0.310456969616224	6	13	11	12	15	16	17	16	17	15	19	19	16	18	18	20	20	19	22	22	22	24	22	21	21	23	24	25	23	25	25	27	26	29	30	0	4	0	1	2	2	5	2	6	3	2	13	4	6	9	11	15	9	14	2	17	20	24	2	12	18	8	29	12	12	20	22	12	19	26	1	1	1	4	1	2	1	1	1	2	4	2	3	1	1	1	2	1	1	3	1	1	1	4	1	2	3	1	3	4	2	3	3	4	3
64000	-250.847713097868791	-248.850367404646136	-1.997345693222649	0.000258146617563	0.000035897633031	0.139059087312869	0.508204677888746	4	12	13	11	14	18	17	16	17	15	18	17	17	18	18	18	20	21	22	22	22	24	22	22	22	23	23	26	26	26	25	26	28	28	29	0	4	0	1	2	2	8	2	5	3	9	4	4	8	9	4	15	4	15	5	12	25	9	11	12	21	18	23	21	21	6	21	12	32	26	1	1	1	3	1	3	1	1	2	1	1	3	3	1	1	2	1	5	2	3	3	1	2	2	3	1	1	2	2	2	4	2	6	1	3
64500	-223.908917835672497	-221.464314933336681	-2.444602902335830	0.000203448989463	0.000018404471460	0.090462339029323	0.560069024408210	6	12	14	13	14	17	17	16	17	15	16	19	17	18	19	21	20	19	22	21	22	24	23	21	23	24	24	25	25	24	26	28	28	28	30	0	1	0	2	4	2	8	4	11	3	2	8	2	9	9	2	15	11	15	13	16	15	9	18	24	24	20	22	25	13	29	22	12	28	26	1	3	1	1	1	3	1	2	1	1	2	1	3	1	1	4	1	2	1	2	1	3	3	1	1	2	1	1	1	3	1	2	4	1	4
65000	-260.246737190799649	-258.304672084416950	-1.942065106382724	0.000163955069995	0.000024273153485	0.148047593071607	0.580808185553318	4	11	14	13	14	17	18	16	18	15	17	19	16	18	17	21	20	20	22	21	21	23	20	22	24	24	25	25	25	24	26	27	28	26	29	0	1	0	2	2	2	8	4	2	3	8	15	2	11	2	12	4	11	14	9	8	19	8	7	21	11	25	22	24	16	20	22	16	22	26	1	3	1	2	2	2	1	2	3	1	1	1	2	1	3	2	4	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	3	3	2
65500	-237.087496398561967	-233.969812220204460	-3.117684178357514	0.000264593423610	0.000014477341261	0.054715423625150	0.568375092036156	5	13	13	12	14	17	17	17	16	15	17	18	17	18	18	21	19	20	22	20	22	24	21	21	23	22	23	25	25	25	24	27	28	28	30	0	4	0	1	2	4	2	4	2	3	5	4	4	9	9	11	15	12	14	12	20	17	17	18	11	24	16	23	12	25	16	29	6	23	18	1	1	1	2	1	3	2	3	1	2	2	3	3	1	1	4	1	1	2	1	2	2	2	1	3	1	1	2	2	1	2	1	5	4	5
66000	-255.004477348693257	-253.090031666355230	-1.914445682338018	0.000249635752944	0.000038175428284	0.152924522365664	0.585440934535980	6	12	14	10	14	18	16	17	17	15	17	19	15	18	18	20	20	20	21	19	22	24	22	22	22	23	24	26	25	25	26	27	27	29	29	0	4	0	1	2	9	13	4	2	3	5	13	2	13	2	6	15	8	17	9	11	19	15	18	7	18	13	29	21	16	7	28	16	32	26	1	1	1	2	1	1	1	4	3	1	2	3	2	1	2	1	1	1	1	2	3	2	1	1	2	1	2	1	3	3	3	1	3	1	3
66500	-257.432265216688052	-255.018391943939065	-2.413873272749015	0.000202995647981	0.000018852415892	0.092871034818678	0.481807287655237	5	10	12	13	15	17	18	16	18	16	17	18	17	18	17	19	19	20	22	21	22	24	22	22	23	23	23	25	25	25	24	26	29	28	29	0	1	0	1	2	4	8	2	5	3	2	2	2	8	5	13	15	11	17	11	11	23	17	11	2	11	4	11	19	25	7	22	28	9	26	1	2	1	5	2	2	1	3	1	2	3	2	4	1	1	1	1	1	2	2	2	1	2	3	5	3	4	6	1	1	3	1	3	3	3
67000	-243.880200403460663	-241.977835202823712	-1.902365200636950	0.000164952544243	0.000025591927536	0.155147213116734	0.481387358983692	5	11	13	12	14	17	16	16	17	15	18	17	16	16	19	19	18	20	21	22	23	24	22	21	24	24	24	25	25	23	25	27	28	28	28	0	1	0	2	4	2	2	2	2	3	14	2	2	4	12	6	14	11	8	18	2	15	15	9	9	18	21	22	20	16	13	22	16	28	26	1	2	1	1	2	2	3	2	3	1	1	3	3	2	1	1	1	1	2	1	7	2	1	2	4	2	1	1	3	3	5	2	4	2	2
67500	-244.391441025469533	-242.488534240988315	-1.902906784481205	0.000175400102271	0.000027195145237	0.155046347666848	0.445139189690138	5	13	13	12	15	17	18	16	16	16	19	17	18	19	18	20	20	21	23	22	21	25	22	21	23	23	24	25	25	25	25	27	27	29	30	0	4	0	1	2	2	8	4	4	3	2	8	2	9	9	12	15	5	13	5	4	15	15	2	24	18	8	17	25	12	25	19	20	32	27	1	1	1	3	1	2	1	3	1	1	3	1	3	2	1	2	2	2	2	4	4	4	2	5	1	1	4	3	1	4	1	1	2	2	2
68000	-239.324103771981981	-237.484894703727264	-1.839209068254721	0.000186076549507	0.000031217712201	0.167768116313706	0.570711530421566	6	13	13	12	14	15	16	16	14	15	19	19	17	19	18	21	20	20	22	21	22	24	22	21	24	24	24	24	25	26	25	27	28	28	29	0	4	0	1	2	4	2	6	4	3	5	6	4	15	8	7	4	11	15	17	4	15	15	11	17	18	21	19	11	12	17	23	6	15	26	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	3	4	1	1	1	6	3	2	1	3	2	1	1	3	3	3	3	6	3	3
68500	-246.525476459328587	-243.610622632265517	-2.914853827063058	0.000160550764325	0.000010098679552	0.062900227191175	0.595400640339620	6	12	14	13	13	17	16	16	17	15	18	19	17	19	18	20	18	20	22	21	22	25	23	22	22	23	24	24	26	23	25	27	27	27	29	0	1	0	2	2	7	2	2	7	3	8	8	2	7	9	6	9	8	8	11	12	8	15	18	20	18	20	15	25	16	27	28	30	19	26	1	3	1	1	1	1	2	1	1	1	2	2	2	1	1	2	1	3	4	2	2	5	2	1	1	2	2	3	2	1	1	1	2	2	2
69000	-245.784933341704544	-243.583958446238910	-2.200974895465634	0.000269905303748	0.000030424502151	0.112722876239241	0.473986319433370	5	12	14	12	15	18	18	16	17	16	16	18	16	18	17	21	19	19	23	22	21	24	22	21	23	23	25	26	25	26	25	28	27	28	27	0	1	0	1	2	11	11	5	8	3	2	4	4	8	8	18	15	2	17	14	7	14	9	5	12	5	25	15	25	26	25	22	16	19	24	1	2	1	3	2	1	1	1	1	1	3	3	3	1	1	1	1	3	2	2	1	2	2	4	2	4	1	5	1	1	2	2	3	2	3
