step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
5000	-368.031149214068535	-366.640494243557498	-1.390654970511035	0.000010924077508	0.000004586825855	0.419882214480349	0.690455008483175	2	7	10	6	13	11	18	22	23	20	20	23	23	21	27	26	23	31	28	29	31	33	29	34	33	25	30	35	29	34	32	36	38	46	40	40	44	43	45	41	49	51	0	1	2	0	0	4	6	7	5	7	4	5	5	0	17	8	5	16	14	15	11	12	9	20	15	13	12	15	5	21	19	9	15	25	30	32	35	0	30	9	40	32	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	4	1	1	3	2	2	1	1	1	1	2	3	2	2
5500	-330.090768715127865	-328.479990718097497	-1.610777997030379	0.000018404683452	0.000025378263118	1.378902450818768	0.828914116459242	-2	3	12	4	11	8	16	19	30	23	26	28	24	23	25	28	20	29	28	30	32	33	30	34	33	29	36	36	30	35	35	36	37	50	38	44	40	40	42	39	42	48	0	1	2	0	0	4	4	7	15	7	7	17	5	0	5	8	5	8	14	12	11	12	15	15	17	12	9	25	13	21	19	25	27	25	30	32	35	0	30	20	40	36	1	1	2	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	2	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1
6000	-341.405692945731005	-339.856640212781485	-1.549052732949508	0.000020088839533	0.000024645629069	1.226831894849487	0.705718872987256	-9	0	3	7	10	13	15	21	32	21	20	30	26	26	22	27	20	29	31	25	29	30	30	35	30	31	28	40	29	33	34	35	39	49	35	44	39	41	46	45	39	54	0	1	2	0	0	4	6	7	20	7	6	17	20	0	5	8	5	8	14	15	11	15	20	9	20	13	15	24	20	21	14	25	27	25	30	32	35	0	30	9	24	36	1	2	1	1	1	1	1	2	2	1	2	2	1	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	3	1	2
6500	-311.081728849408819	-309.689199120498245	-1.392529728910585	0.000044433095525	0.000034681792933	0.780539652331264	0.628629063966037	1	3	9	9	12	12	12	14	34	17	24	30	26	25	19	23	26	28	28	24	29	32	31	32	30	29	35	38	32	34	30	34	39	47	37	43	41	43	42	41	46	45	0	1	2	0	0	4	4	7	24	7	4	20	15	0	5	8	15	16	14	5	11	13	15	20	15	17	12	9	15	21	14	25	20	25	30	32	35	0	30	12	28	36	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	2	1	1	1	3	1	1	1	3	2	1	2	1	1	2	2	2	1
7000	-334.404180350980084	-333.015234077160983	-1.388946273819074	0.000080814700029	0.000034235130767	0.423625042905278	0.669361787305126	2	6	12	4	12	16	12	19	30	22	17	31	27	24	29	27	28	28	28	26	25	33	31	35	33	33	29	34	32	33	32	30	38	40	40	38	38	40	44	42	41	45	0	1	2	0	0	7	4	7	5	11	4	5	20	0	5	8	5	8	14	5	11	9	17	12	15	13	5	12	27	21	19	20	24	15	30	32	30	0	30	24	27	36	1	1	2	1	1	1	1	2	3	1	3	3	1	1	4	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1
7500	-311.572033072573561	-310.044756940420427	-1.527276132153120	0.000073843041058	0.000020455178600	0.277008886775474	0.792606929956072	1	4	11	8	10	16	15	20	33	20	20	26	22	23	19	23	23	23	27	31	31	31	29	26	30	29	23	37	30	35	36	30	37	47	37	41	39	43	44	49	39	52	0	1	2	0	0	4	4	6	27	7	6	15	15	0	5	8	5	8	14	24	11	12	24	5	12	13	5	20	27	21	19	12	27	25	30	32	35	0	30	41	20	36	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	2	3	1	2	1	1	1	2	1	2
8000	-343.906418236721208	-342.511236759627366	-1.395181477093833	0.000094866745964	0.000038952484967	0.410602098457540	0.648979068640695	-4	2	7	6	13	10	16	19	33	22	26	33	17	22	25	24	25	29	30	27	29	28	32	35	31	31	27	40	29	31	24	34	38	44	38	44	41	32	45	41	37	51	0	1	2	0	0	4	6	7	20	7	6	5	5	0	5	8	5	8	14	5	11	13	27	27	20	5	5	24	5	21	14	17	27	15	30	33	35	0	30	26	20	36	1	1	1	1	1	2	1	1	2	2	3	2	1	1	2	1	2	2	2	2	1	2	1	1	1	3	2	1	3	1	1	2	3	2	1	1	1	1	2	2	2	2
8500	-328.368793860855362	-326.842294975952086	-1.526498884903278	0.000088175555899	0.000024466625750	0.277476285811445	0.778383897545512	-5	4	8	6	11	16	15	20	25	21	26	28	24	23	29	28	24	26	30	25	30	32	29	30	33	27	21	38	29	36	31	30	34	50	38	42	41	29	42	37	46	51	0	1	2	0	0	4	4	7	27	6	6	9	27	0	9	8	5	8	14	5	11	13	17	5	17	13	5	15	20	11	14	9	12	28	11	32	30	0	30	9	40	36	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	2	1	1	2	2	1	2
9000	-308.373769817376115	-307.012713667176854	-1.361056150199255	0.000051698469215	0.000028687651830	0.554903312730455	0.623427601902903	1	3	11	7	12	16	11	17	34	20	26	28	23	22	26	25	25	27	28	31	29	33	33	37	28	31	33	40	28	33	30	31	41	46	36	43	40	42	43	48	42	52	0	1	2	0	0	7	4	7	17	7	10	15	5	0	5	8	5	16	14	15	11	15	15	12	17	17	15	20	17	21	14	25	27	25	30	32	35	0	30	27	24	36	1	1	1	1	1	1	1	1	1	2	1	1	2	1	3	2	2	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	3	1	2
9500	-336.389415694594277	-334.949714021826367	-1.439701672767922	0.000077193884755	0.000026772235063	0.346818082125147	0.665488712777918	-3	3	11	6	13	13	12	20	29	20	17	31	22	21	21	26	24	29	28	29	31	32	33	33	32	26	34	37	34	34	33	32	39	45	37	39	41	34	38	47	49	54	0	1	2	0	0	4	4	7	5	6	7	5	5	0	5	8	5	8	14	17	4	15	12	5	5	5	9	27	9	21	19	17	28	20	30	32	35	0	21	28	24	36	1	2	2	1	1	2	1	1	2	1	1	2	2	1	2	2	2	2	1	2	3	1	1	2	3	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2
10000	-315.712084866856458	-314.036469501518866	-1.675615365337575	0.000066546819623	0.000014063606652	0.211334016134958	0.629148170223335	2	7	11	9	14	15	14	17	32	20	22	28	26	24	23	25	27	27	29	18	32	29	27	33	34	29	33	37	32	27	31	32	40	50	38	43	40	42	43	43	44	53	0	1	2	0	0	4	4	7	17	7	6	13	15	0	5	8	20	8	14	5	11	13	15	17	12	13	15	9	20	11	14	17	26	36	30	32	35	0	21	27	28	36	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	1	2	1	3	2	1	1	2	2	1	1
10500	-329.415744605423981	-327.826389124552179	-1.589355480871828	0.000064158136071	0.000015701958701	0.244738386464657	0.703619758596510	2	8	10	6	14	9	18	22	32	20	28	26	26	24	27	29	22	26	29	24	31	29	32	24	32	30	23	35	31	31	36	35	38	46	39	45	44	34	46	42	43	56	0	1	2	0	0	4	4	7	24	7	7	5	20	0	5	8	5	8	14	5	11	13	15	5	15	15	5	15	17	11	19	20	17	25	21	32	35	0	30	33	33	36	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	3	1	2	1	1	2	2	2	2	2	1	1	3	1	1	2
11000	-325.445085483453909	-324.079354846969125	-1.365730636484775	0.000067490799048	0.000043519829263	0.644826107806465	0.681278005400136	-2	2	9	8	14	16	14	19	28	24	20	26	25	22	26	21	21	26	28	25	30	29	31	29	32	29	31	31	30	33	32	30	38	47	37	42	40	42	46	42	45	54	0	1	2	0	0	4	4	7	12	6	4	5	5	0	5	8	5	8	14	5	6	15	20	13	12	20	9	9	17	21	19	17	25	36	30	32	35	0	30	5	40	36	1	1	2	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	2	4	1	4
11500	-327.005253215014193	-325.409007850617741	-1.596245364396454	0.000087681290073	0.000021189345914	0.241663254461782	0.671797887426371	1	7	10	7	14	14	14	20	34	18	22	29	22	23	27	27	23	24	27	28	27	31	30	25	29	31	33	39	30	35	36	30	38	49	37	36	43	41	42	45	40	56	0	1	2	0	0	4	4	7	12	7	6	24	5	0	5	8	5	8	14	17	11	20	17	5	24	15	12	12	24	21	19	17	20	41	30	32	35	0	30	27	24	36	1	2	1	1	1	2	1	1	2	1	2	1	2	1	2	2	3	1	2	1	1	1	1	3	1	1	1	2	1	1	1	1	2	3	1	1	1	1	1	2	3	3
12000	-317.489331786359912	-316.123625896143039	-1.365705890216897	0.000075394940822	0.000037971188866	0.503630461838393	0.764708195987097	-3	3	11	3	14	9	15	18	34	21	25	30	26	18	30	23	21	26	28	26	28	25	29	37	30	28	34	35	31	32	35	35	41	46	41	45	44	27	41	44	46	54	0	1	2	0	0	4	6	7	12	7	10	17	5	0	5	8	5	8	14	5	11	17	17	12	20	22	25	27	17	11	19	25	9	25	30	32	35	0	30	28	40	36	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1
12500	-328.622854432444456	-326.916582302925065	-1.706272129519385	0.000055578326466	0.000011204364073	0.201595923896945	0.774349923218944	-5	-2	5	12	12	14	15	18	29	24	26	31	27	22	28	23	23	22	26	21	29	33	32	35	33	30	34	40	31	35	36	34	42	42	41	41	42	39	40	50	47	50	0	1	2	0	0	4	4	7	20	7	4	17	5	0	5	8	5	8	14	5	11	13	17	20	15	13	12	17	15	11	14	9	12	25	30	32	30	0	30	36	27	36	1	1	2	1	1	1	1	1	2	1	2	1	3	1	3	1	2	1	1	1	1	1	1	2	1	1	1	4	1	3	2	1	2	2	1	2	2	1	1	2	2	1
13000	-339.015764445687523	-337.637366362700789	-1.378398082986725	0.000060016958285	0.000027053949928	0.450771760208331	0.601035985828718	-3	4	9	6	12	16	12	14	34	22	30	23	28	21	26	27	25	28	29	29	26	31	33	29	33	24	30	37	27	32	31	36	40	47	36	44	42	35	44	42	44	55	0	1	2	0	0	4	4	7	27	6	10	5	17	0	5	8	5	10	14	5	6	13	20	5	12	5	20	17	12	21	14	12	29	36	30	32	35	0	30	24	17	36	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	1	1	2	1	1	2	3	3	2
13500	-325.294912155373140	-323.509447814082137	-1.785464341290997	0.000075343469384	0.000013566627185	0.180063744019206	0.788746212563001	-1	7	10	9	11	16	12	20	34	18	26	26	27	22	19	26	25	29	29	29	26	28	25	35	33	29	31	31	32	35	29	32	38	48	36	42	39	40	42	43	46	48	0	1	2	0	0	4	4	6	12	6	6	5	15	0	5	8	5	8	14	5	6	17	15	28	20	13	12	12	17	21	14	17	12	25	21	32	30	0	30	27	33	32	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	3	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2
14000	-324.209659731416252	-322.741721731690404	-1.467937999725836	0.000085706901883	0.000027382265481	0.319487286081134	0.775000553290938	-3	5	11	4	13	17	13	20	27	22	26	22	24	19	28	28	24	31	29	34	32	32	27	31	30	30	29	33	32	35	33	35	42	48	40	44	43	35	45	42	48	51	0	1	2	0	0	7	4	6	5	6	7	5	5	0	5	8	5	8	14	24	11	12	12	15	12	13	5	27	9	21	19	27	9	33	30	32	35	0	30	15	40	33	1	1	1	1	1	1	2	1	2	1	3	2	2	1	1	1	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1
14500	-328.288851594068433	-326.913583545382664	-1.375268048685769	0.000075083683445	0.000034594907893	0.460751341780263	0.677402575622388	-1	5	1	8	14	13	17	20	24	21	25	22	26	22	23	27	25	23	29	29	29	29	34	34	28	30	35	38	32	36	34	33	39	45	34	43	44	32	39	47	47	56	0	3	1	0	0	4	4	7	5	7	4	5	9	0	5	8	5	8	14	17	7	13	20	17	9	9	12	24	9	21	14	25	20	12	11	32	35	0	21	33	33	36	1	1	1	1	1	1	2	1	2	1	4	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	3	1	1	2	2	1	2	3	2	2	2	1	2	2	1	2
15000	-308.102305445024626	-306.275442950111483	-1.826862494913126	0.000077951076585	0.000013287054207	0.170453761379529	0.812226980230201	-2	6	11	8	11	11	15	19	32	19	22	29	23	20	25	26	25	27	30	28	27	30	33	36	32	28	29	33	31	33	29	33	41	41	37	37	44	36	44	46	49	46	0	1	2	0	0	4	6	7	27	7	6	15	5	0	5	8	5	8	14	15	11	13	20	20	17	13	15	20	17	21	14	13	9	25	30	32	35	0	30	33	33	36	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
15500	-304.520502433830018	-303.151534259650305	-1.368968174179722	0.000057430885274	0.000027900069052	0.485802524526082	0.718697420453566	-2	5	1	8	13	15	15	21	26	24	22	29	27	23	27	26	20	27	28	30	31	33	30	32	30	30	34	36	29	34	34	34	38	45	37	42	43	40	43	45	35	50	0	3	1	0	0	4	4	7	17	7	6	5	5	0	17	8	5	8	14	17	11	9	9	13	13	13	15	15	9	21	14	25	20	25	30	32	35	0	30	33	24	36	1	1	1	1	1	2	1	1	2	1	1	2	3	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2
16000	-307.374207402081709	-305.899501536623688	-1.474705865458030	0.000081360375119	0.000025529944452	0.313788430970795	0.735743440125475	0	7	4	10	13	14	17	21	34	20	24	30	25	22	29	28	26	28	27	30	28	30	33	31	33	32	35	39	30	34	32	32	33	43	39	40	44	36	39	45	45	52	0	3	1	0	0	4	6	7	20	7	6	5	5	0	17	8	5	8	14	5	11	13	20	5	13	13	15	9	17	11	14	12	15	25	30	32	35	0	30	9	28	36	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	2	1	1	1	2	2	2	2	1	2	1	1	2
16500	-332.465875655415857	-331.031601281435940	-1.434274373979928	0.000071565727697	0.000025255583148	0.352900528788407	0.495494056657435	0	7	4	5	12	15	16	22	30	19	26	19	26	23	25	29	24	28	28	27	31	31	30	37	32	30	33	39	31	35	36	30	35	45	41	38	39	42	45	48	47	42	0	3	1	0	0	4	4	6	15	6	6	5	5	0	12	8	5	8	14	5	11	5	17	5	20	13	15	9	20	21	14	15	5	20	37	32	30	0	21	24	15	32	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	2	2	1	2	3	1	2	2	3	1	1	1	2	1	1	3	1	4	3	1	2	1	1	3	1	4	2
17000	-330.506242900309587	-328.802852125228981	-1.703390775080603	0.000062674588759	0.000012689924864	0.202473205098194	0.681823191810171	-3	3	2	12	9	15	14	17	32	15	27	20	22	25	29	27	27	28	28	30	30	30	33	27	30	26	35	36	32	34	35	34	39	50	42	44	39	38	47	48	40	53	0	3	1	0	0	4	4	7	20	4	6	5	5	0	5	8	12	8	14	17	11	13	12	5	17	12	13	17	12	21	14	12	28	15	37	32	30	0	30	41	20	36	1	1	1	1	1	1	1	1	1	1	2	3	2	1	4	3	1	2	1	1	1	2	2	3	1	1	3	1	1	1	2	2	1	2	1	2	1	1	3	2	2	2
17500	-323.783387262704764	-322.193116689411454	-1.590270573293338	0.000065346976858	0.000015965903892	0.244325057705592	0.747147598267789	0	4	6	9	9	15	14	19	21	23	30	28	26	20	23	23	23	23	29	28	25	27	33	34	29	30	35	38	28	34	33	35	40	43	40	35	38	40	47	45	42	45	0	1	2	0	0	4	4	7	5	7	6	15	17	0	5	8	5	8	14	17	6	15	17	15	17	13	20	24	15	21	14	9	28	36	37	25	30	0	30	27	33	36	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2
18000	-355.073726023163260	-353.480754811950987	-1.592971211212295	0.000095926672720	0.000023321122325	0.243114054346592	0.672197420167833	-3	5	8	7	13	10	14	19	34	20	24	26	27	20	23	29	24	23	26	23	25	32	28	29	32	26	34	37	33	29	26	35	40	40	39	43	41	42	44	48	49	53	0	1	2	0	0	4	4	6	5	6	4	5	5	0	5	8	5	8	14	5	4	26	15	5	17	17	5	12	24	11	14	17	12	9	30	32	35	0	30	33	25	32	1	2	1	1	1	1	2	2	4	2	3	2	3	1	2	2	2	1	2	2	4	1	1	1	2	1	3	1	1	1	2	2	2	1	3	2	1	1	2	1	3	3
18500	-319.422438720860896	-318.031526532567682	-1.390912188293198	0.000060461708736	0.000025353468066	0.419330988087728	0.762407190748442	0	3	7	10	13	14	15	22	26	23	19	30	23	18	27	25	21	31	26	28	28	33	28	36	27	28	31	33	29	32	36	34	33	47	35	43	41	40	38	39	38	54	0	1	2	0	0	4	4	7	5	7	6	5	5	0	17	8	5	8	14	5	11	27	17	27	17	13	5	27	13	21	19	25	26	36	21	32	35	0	30	24	33	36	1	1	1	1	1	1	1	2	2	2	1	3	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2
19000	-328.129752478155751	-326.719724768511014	-1.410027709644711	0.000062860018985	0.000024199164033	0.384969085658378	0.614548610392106	1	7	12	7	13	14	16	21	28	20	28	24	28	23	24	25	28	29	27	32	31	30	30	37	26	31	35	29	29	32	35	35	40	43	37	41	44	43	41	41	47	54	0	1	2	0	0	4	4	7	15	6	6	5	12	0	5	8	5	8	14	9	11	5	12	9	12	15	9	5	12	21	19	17	28	22	30	32	35	0	30	9	24	36	1	1	1	1	1	2	3	1	1	1	1	2	1	1	2	1	2	1	1	2	1	3	2	1	1	1	1	2	1	1	2	2	2	1	1	2	2	1	1	2	1	2
