step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
10000	-179.239008382495882	-177.724693430358798	-1.514314952137086	0.000069465841641	0.000019801922671	0.285059853929969	0.824605592253384	0	3	2	6	5	4	6	7	6	6	6	6	5	8	8	8	9	8	7	8	8	9	10	10	9	10	11	10	11	11	13	14	12	13	15	13	14	14	13	15	16	15	0	1	1	5	2	3	13	3	5	2	5	6	3	9	10	10	11	4	12	8	9	18	25	18	8	15	28	22	23	23	29	24	27	24	23	29	27	23	33	36	35	36	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1
10500	-222.429878966863413	-220.743040724382922	-1.686838242480487	0.000097736275131	0.000020296161640	0.207662524617508	0.729173076491213	0	3	3	6	4	7	7	5	6	6	5	6	6	8	7	7	10	8	7	9	9	9	9	11	9	10	11	11	13	12	14	14	12	13	13	13	14	14	13	14	16	15	0	1	1	11	2	8	13	3	2	5	5	3	3	16	2	10	21	9	13	4	5	18	13	22	13	16	22	18	23	23	29	24	22	28	23	25	27	29	33	36	23	35	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	3	2
11000	-206.312315755649735	-204.675244026865130	-1.637071728784594	0.000086922048898	0.000019558301899	0.225009674147166	0.781533813337440	0	3	2	5	4	5	6	5	6	6	6	7	7	7	8	8	10	8	6	7	8	9	9	9	9	10	12	10	13	11	13	12	12	12	14	14	14	14	14	13	16	15	0	1	1	2	2	3	8	3	5	4	5	19	7	9	10	10	18	11	6	7	9	14	20	18	20	15	18	18	23	23	25	22	22	18	29	40	9	23	34	25	38	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	3	1	1	1	1	1
11500	-193.311145379013482	-190.938862189592896	-2.372283189420575	0.000102685363660	0.000009887882392	0.096293006514977	0.886584737568328	0	3	2	5	4	4	7	8	5	7	6	6	6	7	8	8	10	9	7	8	9	8	9	10	9	9	10	11	12	12	14	14	12	13	14	13	15	15	13	15	17	15	0	1	1	2	2	3	13	7	5	2	5	6	6	4	10	10	11	22	6	13	9	11	6	22	13	10	22	18	25	25	29	24	27	18	23	30	34	30	33	36	38	36	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	1	1	2	1	2	1	2	2	1	1	2	1	1	1	1
12000	-224.901259279077436	-222.719370097335855	-2.181889181741571	0.000126558747155	0.000014532595033	0.114828847152736	0.724564190424595	0	3	3	4	4	7	7	4	5	6	6	5	6	8	7	5	8	9	7	8	9	8	9	11	9	9	11	12	11	11	13	14	12	13	15	13	14	14	13	14	16	15	0	1	1	2	2	13	3	3	5	4	5	8	8	11	10	2	9	22	12	3	5	9	20	18	6	15	18	18	23	3	30	24	22	22	40	29	33	23	28	23	38	36	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	2	2	2	1	1	1	1	1	1	1	5	1	2	2	2	1	1	2	3	1	3	1	1
12500	-232.146904968353681	-230.453813921876417	-1.693091046477261	0.000103467386601	0.000021280301819	0.205671589069299	0.641075715554977	0	2	3	6	4	7	7	7	6	7	6	6	6	5	8	7	10	9	7	7	9	8	9	11	9	10	10	12	12	12	13	14	13	14	15	14	13	14	13	14	16	15	0	1	1	2	2	13	13	3	5	2	5	3	3	5	14	5	9	22	12	3	9	14	13	8	7	13	13	22	13	20	29	24	17	22	29	30	27	30	27	25	38	36	1	1	1	2	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	2	1	1	2	2	1	2	1	2	3	2	1	1	2	2	2	1	2	1	1	3	1	1
13000	-215.474627683261190	-213.987690778731576	-1.486936904529620	0.000072124319765	0.000021936135936	0.304143401385702	0.759014549480446	0	2	2	3	5	3	7	6	4	6	6	5	6	7	9	8	9	9	8	8	7	7	8	11	9	11	11	12	11	11	13	14	13	12	15	13	14	15	11	14	17	16	0	1	1	2	9	3	3	3	2	2	9	6	3	2	14	10	5	22	12	13	5	11	13	18	20	15	18	10	25	23	30	24	27	18	29	29	27	20	18	36	38	30	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	2	2	1	1	2	1	1	1	1	3	1	2	1	2	1	2	2	1	1	3	1	1	1	2
13500	-217.802558907282105	-215.657255595168465	-2.145303312113630	0.000141843532761	0.000016886367745	0.119049260945262	0.677523950961946	1	3	2	5	4	4	5	8	6	7	6	5	6	9	7	8	9	8	7	9	10	9	9	11	9	10	11	11	12	12	14	15	12	13	15	13	15	14	14	15	17	16	0	1	1	2	2	3	3	7	5	1	5	6	7	10	4	10	11	5	12	7	20	18	8	10	13	15	22	22	23	23	30	34	28	28	25	29	20	30	28	36	35	36	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	3	1	3	1	1	1	1	2
14000	-254.502486903861865	-252.421398809914024	-2.081088093947844	0.000147522285184	0.000018750353350	0.127101836353998	0.570550712931819	0	2	2	5	4	6	5	8	3	6	6	6	7	8	7	7	9	7	7	7	9	9	10	9	9	9	12	10	11	12	13	14	12	13	15	13	14	15	13	13	16	16	0	1	1	2	9	3	3	12	2	2	4	3	3	2	2	4	11	5	12	12	13	14	8	18	13	15	11	18	13	8	25	24	24	18	30	7	28	36	22	30	29	6	1	1	1	2	1	2	2	1	1	2	1	2	2	2	2	1	2	1	1	1	2	1	1	1	1	1	3	2	2	2	3	3	1	3	2	5	2	1	3	1	4	7
14500	-205.040497725831472	-203.312092318220351	-1.728405407611124	0.000101283377251	0.000019760077989	0.195096950021228	0.832277039026541	1	2	3	5	4	5	7	6	5	5	7	7	6	9	7	8	9	9	8	8	8	8	9	10	10	10	12	10	12	12	13	14	13	12	14	13	12	14	13	15	16	15	0	1	1	2	3	3	8	3	5	2	9	6	6	4	10	10	11	22	8	3	9	5	3	22	20	15	28	18	25	20	25	34	27	18	29	30	22	30	37	36	38	36	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	3	2	2	3	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1
15000	-202.092952624027845	-200.511602263601816	-1.581350360426033	0.000093189894954	0.000023150283035	0.248420529357760	0.765591637388757	0	2	2	4	4	6	6	6	6	6	6	6	4	9	8	8	9	8	8	9	8	9	8	10	10	10	11	11	13	11	14	12	10	13	14	13	14	13	12	14	16	15	0	1	1	2	2	13	13	13	5	4	5	3	3	4	10	10	9	5	12	7	11	18	8	22	23	15	5	33	23	23	23	27	22	22	30	30	28	30	33	36	38	36	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	4	1	2	2	3	1	1	2	2	1	1	1	1	1	1	1
15500	-215.697628095050391	-213.967329448934152	-1.730298646116232	0.000088102353263	0.000017141184223	0.194559890724100	0.689330713772510	0	2	2	4	4	5	6	6	5	4	3	5	4	6	8	7	9	7	6	8	7	8	10	10	9	11	10	11	12	12	11	14	12	13	16	13	14	14	13	14	16	15	0	1	1	2	11	3	12	13	5	2	2	3	3	10	9	10	18	5	3	8	9	18	25	22	20	4	18	18	23	23	25	24	27	28	29	23	27	30	28	30	38	25	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	3
16000	-218.753501403229563	-217.180972359281867	-1.572529043947701	0.000070959000431	0.000017925838584	0.252622478831202	0.667151607553019	0	3	2	5	5	6	5	6	4	7	6	6	6	7	9	8	7	9	7	8	9	8	8	10	9	10	11	10	13	11	14	13	12	12	16	12	15	14	14	14	15	15	0	1	1	1	9	7	3	2	2	5	9	3	3	4	14	10	9	2	12	7	4	13	8	22	7	15	28	22	30	23	29	18	27	26	30	23	27	25	33	36	38	40	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	3	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	2	3	1	1	1	1
16500	-224.243854618547346	-221.678683284422419	-2.565171334124932	0.000141029674809	0.000011547634343	0.081880883288642	0.899959934176840	0	2	3	4	4	5	6	8	5	7	6	7	6	7	9	8	8	9	8	9	8	7	10	11	9	11	11	11	13	10	13	15	12	14	16	12	13	15	13	14	17	12	0	1	1	2	2	3	6	7	5	4	5	6	6	9	14	10	5	22	6	13	9	13	19	18	7	15	18	18	23	8	23	24	28	18	40	30	27	30	18	23	38	20	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	2	1	3	1	1
17000	-222.658677470040914	-220.516804632147313	-2.141872837893600	0.000088816561127	0.000010609845517	0.119457963501036	0.689389232174233	0	3	3	5	5	5	7	7	6	7	7	7	7	9	9	7	10	8	7	8	9	8	9	10	9	11	11	12	12	10	12	14	12	14	15	13	14	15	14	14	17	15	0	1	1	1	2	2	3	3	1	4	5	6	3	16	11	9	5	9	6	7	10	4	8	18	13	15	22	18	23	23	25	24	27	24	29	20	28	23	33	31	38	36	1	2	1	2	1	1	2	2	4	1	1	1	2	1	1	1	3	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	1	2
