step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49
33000	-259.769162909955242	-257.996971506047942	-1.772191403907297	0.000117329084769	0.000021513587040	0.183361074390438	0.777133790428744	-1	2	3	4	5	5	4	5	4	4	8	6	5	7	5	8	8	8	9	7	10	9	9	9	11	10	9	12	12	13	13	10	11	12	12	12	14	15	13	16	13	14	17	17	18	20	19	22	24	0	1	2	3	3	3	2	9	2	2	7	8	9	5	3	12	12	10	7	15	17	8	16	10	18	19	20	16	24	24	36	10	26	27	22	21	26	30	33	33	36	39	41	41	39	43	43	43	48	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1	2	1	2	1	2	1	2	2	1	2	1	1	2	1	1	2	2	1	2	1	2	1
33500	-261.277336699286934	-259.495939550383696	-1.781397148903250	0.000083659563745	0.000015147589599	0.181062259008909	0.829273434419039	0	2	2	2	5	3	4	4	3	4	7	6	7	8	7	8	6	9	8	6	10	10	9	10	11	9	11	11	11	12	14	11	12	12	13	12	12	13	14	14	14	16	16	17	17	20	19	22	24	0	1	1	1	8	2	9	9	2	6	7	9	20	5	12	15	2	10	13	9	5	19	16	18	18	11	20	23	24	25	36	24	26	27	29	21	26	32	37	33	36	33	41	41	37	47	41	41	48	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1
34000	-273.155911527161834	-271.580006673459593	-1.575904853702252	0.000099893112049	0.000025072765471	0.250995939127112	0.628913059407059	0	2	4	3	5	4	4	3	2	5	6	6	5	7	8	8	9	8	8	7	8	9	10	10	8	10	10	12	12	12	14	11	12	12	12	13	14	15	14	16	14	16	16	17	17	20	19	21	24	0	1	2	1	3	8	1	1	1	1	7	13	3	5	12	10	12	10	11	12	12	18	16	9	10	11	15	16	18	25	1	18	26	27	32	21	11	30	33	33	36	39	41	41	33	41	44	46	48	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	3	1	2	1	2	2	2	7	1	1	1	1	2	4	1	1	1	1	1	1	1	3	3	1	1	1
34500	-277.539152369517637	-276.117967138982465	-1.421185230535174	0.000063945505556	0.000023599985714	0.369064025834840	0.599303891066580	0	2	2	3	5	4	4	3	3	5	7	5	5	7	7	5	9	9	8	7	8	9	9	8	10	9	12	12	11	12	12	12	12	13	12	13	14	14	13	14	14	16	16	17	17	20	19	22	23	0	1	1	1	8	3	3	3	2	6	7	2	9	8	2	9	12	24	4	4	12	21	16	10	24	7	26	16	18	25	13	24	21	27	29	21	26	24	33	33	31	39	41	43	39	47	41	44	47	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	3	1	1	1	2	2	1	3	2	3	1	1	4	2	3	1	1	2	2	3	1	1	1	2	1	1	1	1	3	2	2
35000	-262.807819220586907	-260.595761214749416	-2.212058005837513	0.000100243880986	0.000011180045646	0.111528459751022	0.647416061602070	-2	2	3	4	5	3	4	4	3	5	7	4	6	6	8	7	9	7	8	7	8	11	9	9	10	10	11	11	12	12	13	11	13	13	13	13	13	14	14	15	15	15	16	18	17	19	20	21	24	0	1	1	3	9	2	2	1	2	6	7	9	8	5	12	9	15	10	7	13	9	21	16	18	18	11	20	16	24	25	17	24	19	27	32	22	26	29	33	33	36	33	41	43	33	43	44	43	47	1	2	3	1	1	1	1	3	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2
35500	-292.759026856153980	-290.701016091052679	-2.058010765101276	0.000143884905741	0.000018736572087	0.130219163646518	0.729269226288829	0	2	3	2	5	2	4	5	5	5	6	6	6	7	8	8	8	6	7	7	9	7	10	9	10	9	10	12	11	12	12	12	13	11	13	13	12	14	15	14	14	14	17	17	18	19	19	22	25	0	1	1	1	3	1	2	3	3	6	7	9	9	5	8	13	8	10	11	13	5	9	16	18	18	19	20	16	24	25	21	18	11	20	29	34	26	32	22	37	36	37	41	33	33	43	41	43	48	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	5	2	2	1	2	1	4	1	1	1	1	2	2	2	2	2	1
36000	-255.061052061423396	-253.055010091062172	-2.006041970361232	0.000062496374616	0.000008607642647	0.137730271557844	0.732634915042522	0	2	3	2	4	4	4	5	4	5	6	6	6	7	9	7	8	8	7	7	10	10	9	9	10	10	11	12	11	13	12	13	12	13	12	13	15	14	15	14	15	13	17	17	17	19	17	22	24	0	1	1	1	2	3	2	2	2	6	7	9	3	5	1	8	8	10	11	13	8	15	16	10	18	7	15	16	24	18	21	29	26	27	29	8	26	32	42	33	36	33	41	28	42	43	41	44	48	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	1	1	2	1	1	2	1	1	2	1	2	1	3	1	3	1	1	1	1	1	4	2	1	1	1	1	1	1	2	3	1	1	2	1
36500	-308.452803327729271	-306.757027352686521	-1.695775975042724	0.000104361724907	0.000021376230522	0.204828259990425	0.579923748561302	0	1	3	4	4	4	4	5	5	5	7	4	7	8	8	7	8	7	8	8	8	10	9	10	10	9	10	13	12	13	14	13	12	13	12	13	15	15	13	15	15	15	17	17	16	19	20	23	23	0	1	1	2	2	3	1	1	12	6	7	2	9	5	13	8	8	7	10	13	8	26	16	18	18	8	21	23	24	25	27	10	22	20	21	26	36	24	26	33	36	39	41	41	39	31	43	41	47	1	1	1	1	1	1	3	2	1	1	2	1	1	2	1	2	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	3	1	3	3	2	2	3	2	1	1	1	2	1	1	3	2	4	2
37000	-247.232630103719885	-245.116347923057646	-2.116282180662237	0.000114136131552	0.000013990917525	0.122580968312642	0.640556690689871	0	2	4	3	4	3	2	4	5	5	7	4	5	6	9	8	8	8	7	7	7	10	10	10	9	9	10	12	12	12	14	12	12	12	12	13	12	14	14	16	14	15	15	17	17	20	19	23	25	0	1	2	2	1	2	1	2	8	6	7	2	5	5	9	8	9	10	7	9	13	3	16	15	18	19	9	16	24	25	15	24	26	27	24	27	26	24	33	33	36	39	41	43	42	43	44	46	48	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1
37500	-281.941858385293813	-280.321807855712223	-1.620050529581577	0.000082389581741	0.000019085463493	0.231648991168964	0.568138021481609	0	2	2	3	4	5	4	4	5	5	7	6	6	8	9	9	7	8	8	8	9	10	9	10	10	8	11	11	10	12	13	12	11	11	13	12	15	14	15	15	14	16	16	17	17	18	20	23	24	0	1	1	1	1	4	3	1	2	4	7	7	9	8	3	9	9	10	7	13	11	9	17	18	18	7	20	23	18	10	3	24	26	15	24	27	7	24	33	33	15	39	41	43	40	43	44	47	47	1	1	1	2	2	2	1	2	2	1	1	1	1	2	4	2	1	2	1	1	1	2	1	1	1	2	2	1	1	3	4	1	2	1	2	1	4	2	2	2	3	1	2	1	1	1	2	2	3
38000	-302.679159472362585	-300.770533230274054	-1.908626242088516	0.000119803148986	0.000018448268854	0.153988179862695	0.563198688156188	0	1	3	3	5	5	3	1	3	4	7	5	7	7	7	8	8	8	8	6	9	10	9	9	10	10	11	12	12	12	12	11	12	12	12	11	12	15	14	14	15	15	16	17	17	19	20	22	24	0	1	1	2	1	9	2	1	2	3	4	3	20	5	12	4	5	10	6	5	13	5	16	15	10	11	11	16	32	18	21	18	11	27	18	21	5	25	26	37	7	37	37	41	42	44	43	37	47	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	3	1	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	1	3	2	2	2	5	2	2	2	1	1	2	6	2
38500	-303.122657505297752	-300.624485550993427	-2.498171954304345	0.000112511633963	0.000009730851931	0.086487517671666	0.506266904351430	-1	2	3	3	5	4	3	1	4	4	8	5	5	7	8	6	9	8	6	7	9	9	10	10	10	10	9	12	12	12	14	13	10	13	12	12	14	14	14	16	14	15	15	16	16	19	18	22	24	0	1	8	8	3	2	8	1	1	2	7	2	4	5	13	3	9	10	2	3	6	3	16	10	18	22	13	23	24	25	8	29	11	27	18	22	21	29	33	33	12	39	36	31	39	44	44	44	48	1	1	2	1	1	1	2	1	3	1	3	2	1	2	2	1	2	2	2	2	2	4	2	3	1	1	2	1	2	1	5	1	1	2	3	2	2	1	2	3	6	1	1	1	2	1	2	4	1
39000	-307.155973934363374	-305.358102438050253	-1.797871496313139	0.000098289304537	0.000017405094183	0.177080245558432	0.464902775717877	0	3	4	4	5	3	4	4	2	5	7	6	6	7	8	7	6	9	9	7	9	11	9	10	10	10	11	12	12	12	14	11	11	12	11	14	15	14	14	14	12	16	15	17	17	19	19	22	24	0	9	9	9	3	1	6	9	1	6	7	2	8	5	12	2	3	10	13	4	3	13	16	10	10	13	11	16	24	25	26	24	19	27	18	21	22	25	33	33	16	39	41	41	26	43	36	43	44	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	3	1	2	3	1	2	2	2	1	2	1	1	1	1	2	2	2	1	2	2	2	2	2	3	1	3	4	4
39500	-307.640739141649306	-305.645773070997791	-1.994966070651488	0.000140966021011	0.000019654401801	0.139426520374438	0.591660591400246	0	2	3	3	4	5	4	4	4	4	8	5	7	7	8	8	6	6	8	6	9	10	9	9	10	9	11	12	11	12	12	9	13	12	13	13	12	15	12	15	15	15	14	17	17	19	19	23	23	0	1	2	1	3	2	2	2	3	3	7	3	12	9	3	8	8	10	7	2	13	15	16	10	32	7	20	16	24	15	20	12	27	6	24	31	26	24	26	39	43	33	31	43	40	44	43	38	44	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	3	3	2	2	3	2	3	2	3	2	1	2	4	2	1	1	1	1	2	1	1	3	3	2
40000	-248.180727073599769	-246.706003132345160	-1.474723941254610	0.000073827367811	0.000023165077159	0.313773575377412	0.750937801716462	0	2	4	2	5	4	3	4	3	5	7	4	7	7	8	6	9	7	8	5	9	10	8	9	9	10	11	12	11	12	13	12	10	12	13	12	14	14	15	14	13	14	15	17	17	20	18	22	25	0	1	1	1	12	9	1	2	1	6	7	9	20	5	9	9	15	10	11	8	14	21	16	18	18	11	13	23	24	25	36	24	11	27	29	21	26	32	42	33	36	33	41	41	39	47	44	47	47	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	2
40500	-266.921989225277571	-265.130592677491336	-1.791396547786226	0.000113336866419	0.000020244873375	0.178625667135120	0.637254646285000	0	2	4	4	4	4	3	4	5	4	8	4	6	8	8	7	6	8	8	7	8	10	10	10	9	9	10	11	12	12	14	11	12	12	13	14	14	13	15	16	15	14	17	18	18	19	19	23	25	0	1	2	2	1	1	1	2	3	2	7	1	8	5	13	6	8	10	7	13	3	9	16	18	18	5	15	16	24	25	26	24	19	13	24	23	26	32	42	39	36	33	41	36	39	36	41	47	48	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	3	2	2	2	1	1	1	1	1	1	2	1	2	1	2	1
41000	-284.702783222903690	-282.932437909506802	-1.770345313396883	0.000121409006681	0.000022318458227	0.183828686493428	0.546153171894364	0	2	3	3	3	4	4	5	4	5	6	5	6	7	8	8	8	7	8	8	9	9	9	9	10	10	9	12	12	13	13	12	12	11	13	13	13	14	14	15	14	13	16	17	17	18	20	22	24	0	1	2	1	1	2	2	1	3	6	7	2	5	3	6	18	12	8	12	13	17	13	16	5	18	11	4	16	24	25	21	15	20	27	29	27	11	32	42	33	8	33	31	31	42	43	43	44	43	1	1	1	1	2	1	1	3	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	2	1	2	3	3	2	2	2	2	2	1	1	2	3	1	1	2	6	1	2	2	2	1	2	3	3
41500	-268.290836656923943	-266.709732635608759	-1.581104021315174	0.000097772224757	0.000024299895423	0.248535772642136	0.674754870071551	0	2	3	4	4	4	3	4	3	4	7	6	6	7	7	6	5	9	8	7	9	10	9	9	10	9	11	13	9	12	12	12	12	13	13	12	14	15	14	14	14	13	17	18	17	19	20	22	24	0	1	2	2	9	9	1	2	2	2	7	8	8	3	12	3	9	11	20	13	15	15	16	10	18	19	22	23	10	24	22	25	26	11	29	15	19	35	42	33	36	33	41	41	39	43	44	47	47	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	3	1	1	1	1	2	2	1	1	2	3	2	2	3	2	1	1	1	1	2	2	1	1	1	1	2
42000	-286.578807875441100	-284.539487127543509	-2.039320747897602	0.000121726242322	0.000016169996966	0.132839038301284	0.605681045478048	0	2	2	2	4	5	4	4	4	5	8	5	6	7	7	7	8	7	8	7	9	11	10	8	10	9	10	13	13	13	13	11	12	12	11	13	14	14	14	15	14	16	17	17	18	18	19	23	23	0	1	1	1	2	8	2	1	1	8	7	3	9	12	13	9	12	10	7	12	20	17	16	18	6	19	11	23	35	32	21	24	19	13	24	6	7	24	26	39	31	37	41	37	42	36	41	44	44	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	2	2	4	2	3	5	3	2	1	1	2	2	2	1	2	3	1	3
42500	-279.242216623113222	-277.308802621893506	-1.933414001219702	0.000127705472947	0.000019097788071	0.149545572561230	0.611039448461037	0	2	2	4	5	3	4	5	3	4	7	4	5	7	9	8	8	8	7	7	9	10	10	8	10	9	10	12	13	12	11	12	13	13	13	13	13	14	13	16	14	15	16	17	17	20	18	22	23	0	1	1	2	2	1	3	4	1	9	7	3	6	2	9	9	14	5	7	13	12	14	16	6	18	19	20	23	24	25	22	24	26	27	24	15	26	32	26	42	36	33	36	41	33	43	36	44	47	1	1	1	1	2	1	1	1	2	1	1	1	1	3	2	2	1	1	2	1	2	1	1	3	1	1	1	1	2	1	1	2	2	1	3	1	2	1	2	1	1	1	2	1	2	2	2	2	2
43000	-296.789350723288294	-295.036112069009050	-1.753238654279221	0.000103238884922	0.000019436924358	0.188271351173496	0.604574856388936	0	3	4	3	4	2	4	3	2	4	8	5	5	7	6	8	6	8	8	7	7	10	10	9	10	9	11	11	11	12	13	13	12	13	13	14	14	14	15	15	15	15	16	17	16	19	20	23	25	0	1	8	9	9	1	4	9	1	6	7	8	8	13	8	20	1	6	2	13	5	19	16	10	18	3	20	16	24	11	6	10	26	27	24	20	22	29	33	33	36	31	22	36	39	41	44	47	48	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	3	3	1	1	2	1	2	1	3	2	2	1	2	4	5	1	1	2	3	2	2	2	2	1	1	2	2	1	2	2	1	1
43500	-298.093137719950676	-296.373914981639075	-1.719222738311603	0.000079790944035	0.000015778106103	0.197743068382955	0.622613815354528	-1	2	3	1	5	4	4	5	4	5	7	6	6	8	9	8	8	9	7	8	7	10	9	8	10	9	11	12	13	13	13	12	11	10	13	12	14	14	13	16	14	16	17	17	17	20	19	22	25	0	1	2	1	2	2	2	1	2	2	6	9	9	5	2	3	11	12	7	13	12	5	16	11	18	9	13	16	24	25	11	24	26	13	24	15	26	32	33	39	36	39	41	31	37	43	44	43	48	1	1	1	1	1	1	1	2	1	1	3	1	1	2	2	1	1	1	2	1	1	3	1	1	1	3	3	2	3	2	2	2	1	1	3	1	3	1	1	1	1	1	2	2	2	2	2	2	2
44000	-276.768701053099221	-274.890938625751517	-1.877762427347714	0.000102599702640	0.000016401097994	0.159855219575842	0.558151986085635	0	2	4	4	5	5	4	5	4	5	8	6	6	8	8	8	7	7	8	7	9	10	10	8	10	10	11	11	12	12	13	12	12	12	12	13	14	14	14	15	14	15	16	17	18	19	20	22	24	0	1	2	2	3	2	1	1	1	2	13	3	1	5	1	13	8	3	7	12	3	15	16	18	10	13	8	16	18	25	27	24	26	27	24	12	21	24	33	33	21	39	41	41	39	44	41	41	44	1	1	1	1	1	2	2	3	2	3	1	1	3	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	2	1	1	2	1	1	2	3	3	3	1	2	2	1	1	1	2	2	3	3	3
44500	-291.136872856437662	-288.963303631025894	-2.173569225411748	0.000117474701129	0.000013599688445	0.115766955052251	0.570172702775752	-1	2	4	1	4	2	4	4	3	3	6	5	7	7	8	7	8	9	8	7	10	10	9	8	10	9	9	12	11	12	13	13	11	12	13	13	12	15	14	15	14	13	16	17	18	20	19	22	24	0	1	9	1	2	1	6	1	1	2	7	9	9	8	9	8	8	10	11	12	15	12	16	10	13	8	13	23	18	25	12	22	26	22	29	15	12	25	42	31	26	33	31	36	39	43	44	41	48	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	1	1	1	3	1	2	2	4	1	1	1	1	3	1	1	1	1	3	3	2	1	1	2	1	2	2	2	2	1	4	2
45000	-316.059615951746196	-314.362360570196756	-1.697255381549414	0.000099904463823	0.000020417125465	0.204366498589110	0.574423817512065	-1	1	3	3	5	4	3	4	4	5	6	5	6	8	8	8	8	8	9	7	9	11	10	9	11	9	10	12	12	13	12	12	12	12	10	13	15	14	15	15	14	16	16	18	18	20	19	22	24	0	1	2	1	3	7	2	4	2	6	7	9	12	3	9	8	12	10	9	12	17	15	15	10	18	15	20	16	24	25	19	24	7	11	18	4	13	21	36	33	31	39	13	43	33	44	36	43	48	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	2	3	1	1	1	1	2	2	1	1	2	1	1	1	2	4	3	1	5	5	2	1	2	1	1	5	1	3	2	2	3	1
45500	-285.741950611546145	-283.852232002819619	-1.889718608726533	0.000076341866086	0.000012026593391	0.157536015389494	0.575649280480272	-1	1	3	4	3	4	4	5	4	3	7	6	6	7	9	8	6	9	8	7	9	10	7	10	10	9	11	10	12	12	13	12	12	12	13	13	15	14	14	16	13	15	16	17	17	19	19	22	23	0	1	2	1	2	2	1	3	2	2	9	9	3	4	9	23	8	4	11	13	4	12	12	10	18	11	8	16	22	25	22	10	4	27	24	21	27	32	33	33	8	33	41	43	42	43	44	47	43	1	1	2	3	1	2	2	1	1	1	1	1	1	1	2	1	1	3	1	1	3	3	1	3	1	1	3	1	1	1	2	4	3	1	2	1	2	1	1	3	3	2	2	1	1	2	1	1	3
46000	-269.587329846525051	-267.632464337975193	-1.954865508549860	0.000103197504107	0.000015054300186	0.145878529874436	0.672639467668042	0	2	3	4	4	4	2	4	4	5	7	5	5	6	8	9	8	8	8	8	9	11	7	9	10	10	11	12	10	12	13	11	11	13	12	12	14	14	14	15	14	16	17	16	17	19	20	21	24	0	1	1	2	2	1	1	3	7	8	12	2	2	8	12	23	12	10	7	13	13	15	5	8	18	11	21	16	24	25	26	24	26	8	29	21	26	32	33	33	36	39	41	41	39	43	41	43	43	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	5	1	2	2	1	2	2	1	2	2	1	2	1	3	2	2
46500	-289.734910380057272	-287.970387985561274	-1.764522394496013	0.000071714095214	0.000013289945889	0.185318462836259	0.708341029468686	0	1	4	2	4	4	4	4	5	5	7	5	6	7	8	9	8	7	7	7	9	6	8	10	10	9	11	13	12	13	10	11	11	12	13	14	12	14	13	13	13	14	17	17	17	20	19	22	24	0	1	4	2	1	2	1	4	8	1	7	3	8	22	5	23	11	10	13	13	3	1	9	18	10	7	20	23	32	25	9	24	11	27	32	15	26	32	33	33	31	33	41	41	42	43	41	43	48	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	2	3	2	1	2	2	2	3	1	2	3	1	2	1	2	3	2	1	2	1	1	2	3	2	2	1	2	3	1
47000	-270.548078815813483	-268.700070489509528	-1.848008326303970	0.000119382416539	0.000019805620137	0.165900646942428	0.671548122166306	-1	1	3	3	5	5	4	4	4	5	8	6	5	6	7	8	8	7	7	6	9	10	7	9	9	9	10	12	10	13	11	12	13	12	12	13	12	14	15	15	13	14	16	17	17	20	19	22	23	0	1	2	1	4	3	3	2	3	3	19	9	3	4	5	23	19	10	7	1	5	15	13	8	18	19	5	23	24	25	11	20	37	27	29	21	26	24	42	33	15	33	36	43	42	47	44	47	47	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	2	1	1	2	1	3	1	1	1	2	2	2	1	1	3	1	1	1	2	1	1	1	2
47500	-289.370829047149925	-287.878871196009300	-1.491957851140647	0.000088993523092	0.000026733897785	0.300402735570373	0.551043815476936	0	2	2	4	4	4	3	4	2	5	5	5	6	6	9	8	7	8	7	3	9	9	9	9	10	9	11	13	13	12	13	12	11	13	12	12	15	14	13	15	14	15	15	18	16	19	19	23	25	0	1	1	9	2	3	9	2	1	6	7	1	20	8	6	12	8	10	11	1	14	19	16	10	18	12	15	23	18	25	6	21	19	27	24	13	26	32	33	33	15	39	31	43	40	41	44	44	48	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	1	1	2	1	1	1	2	2	2	2	2	2	1	4	2	2	1	2	1	2	1	1	2	3	1	1	2	1	2	1	2	1
48000	-254.603158908767426	-252.746492387119019	-1.856666521648408	0.000110565521694	0.000018143749944	0.164099528185669	0.648365123431966	-1	2	3	2	4	4	4	5	4	5	5	5	6	8	8	8	8	8	8	7	10	11	10	10	10	9	9	13	12	12	13	12	12	12	13	13	15	15	14	14	14	16	16	18	17	19	19	23	24	0	1	2	1	2	4	2	3	2	6	7	2	6	5	13	3	12	10	7	8	27	3	17	18	18	11	13	23	24	25	21	24	26	27	29	22	31	30	33	33	36	39	22	41	39	43	43	43	43	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	4	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	2	1	1	1	2	2	2	1	2	2	3	3
48500	-283.734079060119257	-282.331750356984060	-1.402328703135215	0.000088239474691	0.000035073560551	0.397481520299597	0.632982328808397	0	2	3	4	2	4	4	4	4	5	7	4	6	5	8	7	8	8	8	6	10	9	9	9	10	10	10	11	13	13	14	12	11	13	12	13	14	14	13	15	14	13	16	18	17	19	20	20	22	0	1	1	2	1	3	2	1	3	3	13	5	3	5	9	3	8	10	11	8	15	12	16	18	18	20	3	16	32	25	15	24	23	27	24	21	19	35	33	33	36	33	41	41	39	43	43	41	47	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	2	2	3	2	1	2	3	2	1	2	2	1	2	1	1	2	1	1	2	2	2	1	2	3	2
49000	-300.720734442938976	-298.738877554243288	-1.981856888695688	0.000104365519172	0.000014765721099	0.141480837884400	0.539783510007303	-1	1	4	3	5	3	3	5	3	5	7	5	6	8	9	9	8	9	8	7	9	10	9	9	10	10	10	11	12	12	13	13	12	12	12	11	15	13	14	15	15	16	17	17	16	19	20	23	24	0	1	1	2	9	1	1	1	2	7	5	6	2	13	20	12	13	10	11	13	17	3	10	13	18	11	2	23	18	25	22	3	8	20	24	2	26	36	33	33	22	39	36	41	39	41	36	44	48	1	1	3	1	1	2	1	4	1	1	1	1	2	1	1	2	1	2	1	1	1	3	2	3	1	1	4	1	2	2	1	4	3	2	1	6	2	1	1	2	2	2	3	1	1	2	4	2	1
49500	-265.066582929791309	-263.548259423351453	-1.518323506439839	0.000080315302021	0.000022689868621	0.282509908447724	0.618036034545886	0	2	2	2	5	4	4	5	4	4	7	5	6	7	5	7	8	7	7	7	8	10	9	9	9	9	12	11	12	12	14	12	12	12	13	13	14	14	13	15	15	15	17	18	16	19	20	22	24	0	1	1	1	2	2	2	3	3	3	13	3	3	5	4	5	3	10	7	13	15	13	16	18	18	20	13	23	24	25	34	24	26	20	29	17	19	30	33	33	36	39	36	41	39	43	44	41	47	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	3	2	1	1	2	2	2	1	1	1	2	1	1	2	1	2	2	2	1	2	3	1	1	2	1	1	3	1	1	1	1	4	2
50000	-288.335282279008993	-286.609827878685792	-1.725454400323212	0.000099258553635	0.000019448701965	0.195939808235389	0.520158070626500	0	2	3	4	5	3	3	4	4	5	6	6	6	8	8	8	7	9	8	7	9	11	10	9	10	10	10	12	12	12	12	11	12	12	10	12	14	15	15	15	13	15	16	17	17	19	20	22	24	0	1	1	1	4	1	1	3	2	6	7	2	3	12	3	5	12	13	7	9	8	3	16	15	18	11	20	16	35	25	22	3	26	27	15	21	20	24	3	37	22	33	41	41	42	43	43	44	48	1	1	1	2	1	1	1	1	1	1	2	2	2	1	3	1	1	1	2	2	2	4	1	1	1	2	2	2	1	1	1	4	1	2	1	2	3	3	5	1	1	2	2	3	2	2	3	3	1
50500	-287.505750391893969	-285.445072226308980	-2.060678165584971	0.000159367033317	0.000020694181987	0.129852338696232	0.698625689738242	0	2	4	3	2	4	2	4	5	5	7	6	5	7	8	6	8	8	8	7	9	11	9	10	10	9	9	12	13	12	13	12	12	12	12	13	15	14	15	15	14	16	16	17	17	20	19	21	24	0	1	2	2	1	2	1	2	6	6	8	3	1	13	12	6	6	10	11	12	9	21	16	18	18	11	8	23	18	18	3	24	21	27	24	21	27	32	31	31	21	39	21	36	39	43	44	36	43	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	2	3	3	1	2	1	1	1	3	1	1	1	2	1	3	2	1	2	2	3	4
