step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49
10000	-242.465129971715214	-240.858607834690758	-1.606522137024458	0.000092345585780	0.000021907006924	0.237228523041979	0.719592985854200	-1	1	2	3	5	3	4	4	3	4	7	5	6	6	8	9	8	6	8	8	9	10	7	9	10	10	10	13	12	11	12	10	12	12	13	13	14	14	14	15	15	15	17	17	18	19	19	22	24	0	1	2	2	9	2	3	3	3	6	7	9	3	5	12	23	13	10	18	12	12	13	13	18	8	11	13	23	32	25	22	24	21	27	29	31	26	32	33	33	36	39	41	41	39	43	44	47	48	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	1
10500	-290.392407323334680	-288.714655066651517	-1.677752256683150	0.000089468447667	0.000018844288845	0.210624967081345	0.648144179333843	-1	3	2	4	3	4	4	3	5	5	6	5	6	7	7	8	8	9	9	7	8	9	10	9	11	9	10	12	11	13	13	12	11	12	13	14	14	15	14	16	14	16	17	16	18	19	19	22	25	0	1	1	2	1	3	8	3	3	5	7	8	8	9	6	15	15	10	7	13	15	12	16	11	24	11	3	23	9	25	15	19	19	27	29	12	22	24	33	39	31	39	41	36	39	43	36	47	47	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	5	1	3	1	5	2	1	1	1	3	2	3	1	1	1	1	2	1	3	1	3	2	4
11000	-279.107562279317051	-277.276890224844294	-1.830672054472732	0.000095993483317	0.000016282105509	0.169616779667187	0.665820156261820	0	2	2	4	5	5	4	3	5	5	8	5	7	7	7	9	8	8	6	8	8	10	8	9	10	9	12	12	12	12	12	12	13	12	11	14	14	14	13	15	14	15	15	17	17	19	19	22	24	0	1	1	1	3	8	1	3	2	8	19	8	10	5	2	23	8	10	8	13	2	21	15	10	18	11	13	16	18	25	13	24	26	13	24	22	26	32	9	39	31	39	41	43	42	43	44	44	44	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	3	1	1	1	2	1	1	2	1	1	3	1	2	1	3	1	3	2	1	3	3	1	3	1	1	1	1	2	1	2	2	2	4
11500	-274.825118255719588	-273.290228123748818	-1.534890131970795	0.000119247297540	0.000032498125732	0.272527146545766	0.712038091501400	0	2	4	3	4	5	3	4	5	4	7	5	6	8	7	6	8	8	9	8	9	10	7	9	10	8	11	12	11	12	12	12	13	12	13	13	14	15	14	16	15	15	17	17	17	20	20	22	24	0	1	4	2	2	1	1	2	1	7	6	4	2	8	13	12	2	10	13	16	2	12	16	6	18	11	5	16	24	24	15	24	22	27	29	21	11	32	33	37	36	39	41	36	42	36	43	43	48	1	1	1	1	1	3	2	1	2	1	1	1	2	2	1	1	2	2	2	1	3	3	1	1	1	1	2	3	1	2	2	2	2	1	1	3	3	2	1	1	1	1	1	2	1	3	2	2	1
12000	-282.630938059167704	-279.759418602928974	-2.871519456238734	0.000139686487050	0.000009062434272	0.064876957415660	0.587895444302952	-1	2	3	4	5	3	4	4	5	5	7	6	7	7	8	8	8	8	9	8	9	9	10	9	10	9	11	12	12	13	13	12	12	11	12	13	13	14	14	14	15	15	16	17	18	18	19	23	24	0	1	1	2	3	1	6	3	3	4	7	3	9	5	12	9	4	10	7	13	14	13	16	10	18	6	13	16	24	25	27	6	19	6	24	21	26	35	33	33	34	39	31	43	33	36	44	47	47	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	2	1	2	1	3	1	2	1	3	2	5	2	2	2	1	1	1	2	1	1	1	2	3	1	2	3
12500	-309.139993572709159	-307.298626995314635	-1.841366577394515	0.000101077144783	0.000016910884371	0.167306708226263	0.523959504754821	-1	2	3	3	4	4	4	5	5	4	5	2	6	7	7	7	8	7	7	8	10	9	9	10	10	9	10	10	13	13	12	11	11	12	13	14	15	13	13	15	14	15	17	17	18	19	19	20	24	0	1	1	2	12	12	12	1	3	2	3	1	2	2	9	10	19	10	7	13	15	13	16	18	18	13	20	4	32	25	20	10	26	27	32	21	26	24	33	39	32	39	31	36	37	44	37	31	47	1	1	2	1	1	1	1	2	1	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	1	1	3	1	2	2	4	1	1	1	3	3	2	1	1	2	1	1	2	1	2	2	5	2
13000	-259.025294493088438	-257.231785876524441	-1.793508616563978	0.000090158986404	0.000016059012024	0.178118817258097	0.681844708163551	0	2	3	3	5	4	4	4	4	5	7	1	5	7	7	7	8	7	8	7	10	8	8	9	9	9	12	11	10	12	14	12	12	13	12	13	14	15	14	14	14	16	16	18	16	19	19	22	24	0	1	12	12	12	2	2	12	1	8	7	1	8	5	9	5	3	10	11	13	26	20	16	18	18	7	15	16	26	25	21	24	19	27	29	26	11	32	33	33	36	39	41	43	37	41	44	44	47	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	3	2	2	1	2	2	2	3	1	1	2	3	2	1	1	1	1	1	1	1	3	1	2	2
13500	-273.190279354386803	-271.457996201263597	-1.732283153123199	0.000083984938500	0.000016293077801	0.193999996814752	0.643698474818190	-1	2	3	4	2	4	4	4	4	5	7	5	7	8	8	8	8	7	8	6	6	6	9	9	10	9	11	13	13	12	11	12	12	13	11	13	12	12	14	15	14	16	16	17	17	17	20	23	25	0	1	2	2	1	2	2	3	2	6	5	1	20	11	21	22	12	10	5	12	8	8	16	18	18	19	13	23	32	25	4	24	26	27	24	20	26	24	33	39	36	39	41	41	33	36	44	47	48	1	1	1	1	2	1	1	1	2	1	3	2	1	1	1	1	1	1	3	1	1	2	1	1	2	1	3	2	1	1	3	1	1	1	1	3	2	2	1	1	1	2	1	2	2	2	1	2	1
14000	-274.875715245777030	-273.243698377101680	-1.632016868675338	0.000096549709759	0.000021910943090	0.226939502401662	0.728737593683679	0	2	2	3	3	4	4	4	5	5	6	5	6	7	7	8	9	8	7	8	9	11	10	9	10	10	9	12	11	12	12	12	11	13	12	12	14	14	14	15	14	15	16	17	17	18	20	22	24	0	1	1	1	3	2	1	1	3	8	7	2	8	8	6	13	19	10	9	13	12	21	16	18	18	20	19	23	18	25	1	24	26	27	29	26	22	35	33	33	36	39	41	41	42	31	41	44	47	1	1	1	1	1	1	2	3	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	6	2	1	2	1	2	2	2	1	2	1	1	1	2	2	2	3	3	1
14500	-278.010385640911295	-276.113028259887244	-1.897357381024024	0.000128467157123	0.000020051848482	0.156085406816386	0.719685555264069	0	2	3	3	4	4	3	4	4	3	6	6	5	8	9	7	8	8	8	7	9	10	9	10	9	9	11	12	11	12	10	12	12	12	12	12	14	14	14	15	14	16	17	17	14	20	19	22	24	0	1	1	1	2	3	2	2	1	1	7	8	8	20	2	9	12	11	11	8	3	12	16	9	18	9	13	23	24	25	12	27	15	27	29	31	31	24	33	27	36	39	37	41	33	43	44	47	47	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	3	2	1	2	1	2	3	2	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2	2	2	2
