step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
10500	-158.307854195802946	-164.247051414888176	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.805556407867462	0	0	2	2	3	3	4	7	6	8	6	7	7	6	5	9	7	11	9	8	9	9	12	12	13	11	14	15	0	0	1	1	2	3	4	14	15	14	6	15	11	6	6	12	7	9	0	13	12	8	21	0	20	21	24	25	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	2	1	2	1
11000	-153.974271879932587	-159.913469099017817	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.739646931077915	0	0	2	2	4	4	6	6	5	7	6	7	6	7	7	9	9	11	8	8	9	10	13	12	12	13	14	14	0	0	1	1	2	3	4	6	6	11	6	9	6	8	9	12	7	12	0	11	12	8	18	0	20	12	24	25	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1
11500	-171.298184481568711	-177.237381700653941	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.817238893909903	-2	0	1	2	4	3	6	4	5	7	6	6	6	6	6	10	10	12	6	7	9	9	12	11	9	12	14	14	0	0	1	1	2	3	4	6	6	6	9	9	6	8	9	12	7	16	0	6	12	14	21	0	10	21	24	20	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2	4
12000	-166.085368560020896	-172.024565779106126	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.768624691547619	-1	1	0	2	4	4	5	7	6	7	6	7	6	6	7	9	9	10	9	8	9	10	12	12	12	12	14	14	0	0	1	1	2	3	4	11	6	6	6	9	6	3	9	12	7	21	0	11	12	14	21	0	20	18	24	20	1	1	1	1	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	2	2	1	2	1	1	2
12500	-187.552472226630869	-193.491669445716099	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.600030809969455	1	-2	2	2	3	3	5	7	5	8	6	7	8	6	7	8	9	11	7	8	9	11	13	11	11	13	14	14	0	0	1	1	2	3	4	14	6	14	6	11	15	6	9	9	7	11	0	11	12	20	21	0	20	18	24	13	1	1	1	1	3	1	2	1	1	1	1	1	1	2	1	2	3	2	1	1	1	2	2	1	2	1	1	3
13000	-157.324481053123236	-163.263678272208466	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.817676048985073	0	0	1	2	4	3	5	6	5	8	6	6	7	6	7	9	9	11	8	8	9	9	13	12	12	13	14	14	0	0	1	1	2	3	4	6	6	6	6	9	14	6	9	15	4	16	0	11	15	14	21	0	20	18	24	20	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2
13500	-160.067417615553069	-166.006614834638299	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.622707964929777	-1	0	1	2	4	3	6	5	5	7	5	7	7	7	6	9	10	11	9	9	9	10	13	10	13	12	13	14	0	0	1	1	2	3	4	6	6	6	6	9	11	8	9	12	4	12	0	11	12	14	21	0	20	18	24	20	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	1	4	2	1	1	1	2	2	1	2	1	2	2
14000	-171.849077022805801	-177.788274241891031	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.643624733328210	-1	0	1	2	4	3	5	7	4	7	6	5	7	7	6	9	9	11	8	8	10	10	11	12	11	12	14	14	0	0	1	1	2	3	4	6	6	6	6	9	11	6	9	8	7	8	0	11	14	8	21	0	20	21	24	20	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	3
14500	-171.273369027645685	-177.212566246730916	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.651105197453164	0	-1	1	1	3	4	6	6	5	7	7	7	6	5	7	10	9	11	6	9	9	10	13	11	13	12	13	14	0	0	1	1	2	3	4	6	6	14	14	8	6	6	9	12	7	21	0	11	12	8	21	0	20	21	24	11	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	4
15000	-166.615151602673137	-172.554348821758367	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.697651832545003	0	-1	2	2	4	3	5	6	5	7	6	7	7	6	6	8	10	12	8	9	10	10	12	11	12	12	15	14	0	0	1	1	2	3	4	6	6	11	6	8	6	6	9	12	7	22	0	8	12	8	21	0	11	21	24	20	1	1	1	1	3	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	4	1	1	2
