step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
22500	-74.787960760080466	-81.643448711039838	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649065521702605	-1	1	2	3	4	3	6	6	5	7	7	7	8	9	9	10	0	1	2	3	3	3	9	4	0	8	5	9	7	9	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
23000	-61.608324262541146	-68.463812213500518	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.927948968006821	-1	0	1	2	3	2	6	5	5	7	7	6	8	8	10	9	0	1	1	3	6	3	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23500	-71.651293628891196	-78.506781579850568	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.863592511583109	1	2	2	4	4	4	6	7	4	5	7	6	7	7	9	9	0	1	1	3	3	3	9	5	0	5	5	9	7	9	13	14	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1
24000	-73.491055744973465	-80.346543695932837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.855578500997159	0	2	1	3	3	3	4	7	3	8	7	7	7	9	9	10	0	1	1	3	3	3	9	3	0	8	5	9	7	13	13	12	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1
24500	-71.499072299809797	-78.354560250769168	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.806121024327515	0	2	1	3	3	3	7	6	4	7	8	6	8	7	10	9	0	1	1	3	1	3	12	3	0	8	10	9	7	9	13	14	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1
25000	-67.123499835762573	-73.978987786721945	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.887869876515241	0	1	1	4	3	3	6	7	4	6	5	6	8	8	9	9	0	1	1	3	2	3	9	5	0	5	6	9	7	12	13	14	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
25500	-61.168334796802256	-68.023822747761628	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.885455667491323	1	2	2	3	4	4	6	7	5	7	6	7	7	9	10	10	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
26000	-58.854248311525581	-65.709736262484952	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.993451923276559	0	1	1	3	4	2	6	6	5	5	8	7	8	8	9	9	0	1	1	6	6	3	9	5	0	5	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26500	-58.224127956570740	-65.079615907530112	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.991598810770108	-1	2	2	3	4	4	6	7	5	6	8	7	7	9	9	10	0	1	1	3	3	3	9	5	0	5	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27000	-59.775380423521980	-66.630868374481352	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.830314825679057	0	1	2	4	3	4	6	7	5	8	6	7	7	8	9	9	0	1	1	3	3	3	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1
27500	-69.835639115554457	-76.691127066513829	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771116381192469	-1	2	1	3	3	3	5	7	4	7	8	7	8	8	10	9	0	3	1	3	3	3	9	5	0	5	8	9	7	9	12	14	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1
28000	-55.966436322595079	-62.821924273554451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.963386050420309	0	1	2	4	4	3	6	6	5	7	8	6	7	8	9	10	0	1	1	6	6	3	9	5	0	5	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28500	-67.734812471347894	-74.590300422307266	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.935801186334433	0	1	2	3	4	4	7	8	5	7	5	7	8	8	10	9	0	1	1	3	3	3	9	5	0	5	3	9	7	9	13	14	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1
29000	-72.099123397120678	-78.954611348080050	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695897923213656	1	2	2	4	4	3	5	7	4	8	6	6	7	8	10	9	0	1	1	3	3	3	9	11	0	11	5	9	7	7	7	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1
29500	-74.888364989322639	-81.743852940282011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.720396496163248	0	1	1	4	4	3	6	5	4	6	6	6	7	6	9	9	0	1	1	6	6	3	9	5	0	5	5	9	14	9	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
30000	-61.355853186663367	-68.211341137622739	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.946379703807609	0	1	2	3	3	4	6	5	5	7	7	8	8	8	9	9	0	1	1	3	3	3	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
30500	-63.157333641421090	-70.012821592380462	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.875800901213550	0	2	2	4	4	3	5	6	4	6	6	6	7	8	10	9	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
31000	-61.140981692937999	-67.996469643897370	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.888979880119108	0	2	3	4	4	2	7	6	5	7	8	7	8	8	9	9	0	1	6	6	3	1	9	5	0	8	8	9	7	12	7	14	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
31500	-56.647010886468713	-63.502498837428085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.993119946557199	0	1	3	4	4	2	6	6	5	7	7	7	7	8	10	10	0	1	6	6	6	1	9	5	0	8	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-86.520896960745830	-93.376384911705202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778080704496380	1	2	3	3	4	2	7	8	4	8	8	6	8	9	8	9	0	1	6	6	6	1	9	5	0	5	6	9	7	7	12	12	1	1	1	1	2	1	2	1	1	2	3	2	1	1	2	1
